grid,divisor,grid_config_id,selected_splits,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay
exp_tail_current,100000.0,131,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,2.0,0.75,0.0
exp_tail_current,100000.0,132,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0
exp_tail_current,100000.0,174,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0
exp_tail_current,100000.0,208,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.0
exp_tail_current,100000.0,223,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.75,0.0
exp_tail_current,200000.0,5,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,2.0,0.5,0.0
exp_tail_current,200000.0,47,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.5,0.0
exp_tail_current,200000.0,138,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.0
exp_tail_current,200000.0,157,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.3,0.75,0.0
exp_tail_current,200000.0,172,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,1.5,0.75,0.0
exp_tail_current,300000.0,13,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0
exp_tail_current,300000.0,35,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.5,0.0
exp_tail_current,300000.0,47,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.5,0.0
exp_tail_current,300000.0,144,1,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.5,0.75,0.0
exp_tail_current,300000.0,174,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0
exp_tail_current,400000.0,4,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.5,0.5,0.0
exp_tail_current,400000.0,13,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0
