split,grid,divisor,config_id,grid_config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_chars,train_utility,profile_robust_utility,selection_score,fixed_n
60,exp_tail_current,100000.0,223,223,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.75,0.0,0.35365853658536583,10642.871951219513,0.2472298170731707,,0.2472298170731707,11
60,exp_tail_uncapped_decay,100000.0,377,125,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.75,0.25,0.34146341463414637,8383.164634146342,0.25763176829268297,,0.25763176829268297,11
60,exp_tail_current,200000.0,172,172,shifted_exponential,bounded_identity,0.2,5.0,0.0,1.5,0.75,0.0,0.34146341463414637,8534.463414634147,0.29879109756097566,,0.29879109756097566,21
60,exp_tail_uncapped_decay,200000.0,348,96,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0,0.3475609756097561,10273.65243902439,0.2961927134146341,,0.2961927134146341,21
60,exp_tail_current,300000.0,174,174,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0,0.3597560975609756,14300.987804878048,0.3120861382113821,,0.3120861382113821,31
60,exp_tail_uncapped_decay,300000.0,358,106,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,0.5,0.35365853658536583,11797.914634146342,0.3143321544715447,,0.3143321544715447,31
60,exp_tail_current,400000.0,132,132,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0,0.36585365853658536,11624.006097560976,0.3367936432926829,,0.3367936432926829,40
60,exp_tail_uncapped_decay,400000.0,324,72,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0,0.36585365853658536,11624.006097560976,0.3367936432926829,,0.3367936432926829,40
60,exp_tail_current,500000.0,138,138,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.0,0.3597560975609756,12266.067073170732,0.3352239634146341,,0.3352239634146341,49
60,exp_tail_uncapped_decay,500000.0,328,76,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.0,0.3597560975609756,12536.109756097561,0.33468387804878047,,0.33468387804878047,49
60,exp_tail_current,600000.0,181,181,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.75,0.0,0.3719512195121951,22912.664634146342,0.3337634451219512,,0.3337634451219512,58
60,exp_tail_uncapped_decay,600000.0,387,135,shifted_exponential,bounded_identity,0.8,20.0,10.0,,0.75,1.0,0.3597560975609756,13257.853658536585,0.33765967479674797,,0.33765967479674797,58
60,exp_tail_current,700000.0,26,26,shifted_exponential,bounded_identity,0.0,20.0,10.0,2.0,0.5,0.0,0.36585365853658536,20809.506097560974,0.3361257926829268,,0.3361257926829268,68
60,exp_tail_uncapped_decay,700000.0,349,97,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.25,0.3780487804878049,17338.286585365855,0.35327979965156797,,0.35327979965156797,68
