generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,71,0.1,current_beta0,1.0,0.0,505,0.5568553302829491,0.5900724439726147,313151.7375,507.7575,0.5587572702226147,0.34155010040025546,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.1,current_beta1,1.0,1.0,505,0.5568553302829491,0.5904658794527095,314423.1275,509.385,0.5590235667027095,0.38937158393700927,0.9947112391768086
gemma3_4b,fsfairx_llama3_rm,71,0.1,current_beta2,1.0,2.0,505,0.5568553302829491,0.5905293363299429,315630.265,510.96,0.5589663098299429,0.3790894029731504,0.9895242743186828
gemma3_4b,fsfairx_llama3_rm,71,0.1,top2_factor4_beta0,4.0,0.0,505,0.5568553302829491,0.6214583096690945,735053.6525,920.2725,0.5479529444190945,-1.598689171087064,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.1,top2_factor4_beta2,4.0,2.0,505,0.5568553302829491,0.621565586319245,735661.42,920.8175,0.547999444319245,-1.5903387257161166,0.992240279907675
gemma3_4b,fsfairx_llama3_rm,71,0.1,top2_factor1_beta2,1.0,2.0,505,0.5568553302829491,0.5941834205434136,403327.445,603.87,0.5538506760434135,-0.5395753755304507,0.9903133893661434
gemma3_4b,fsfairx_llama3_rm,71,0.1,top2_factor0p25_beta2,0.25,2.0,505,0.5568553302829491,0.5497178064493846,138946.59,268.99,0.5358231474493846,-3.7769563636712586,0.9845131349213727
gemma3_4b,fsfairx_llama3_rm,71,0.2,current_beta0,1.0,0.0,278,0.5268170623416387,0.569640044213108,179291.965,335.905,0.5337816512131079,1.3220127762211158,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.2,current_beta1,1.0,1.0,278,0.5268170623416387,0.5703012330436132,180294.7675,337.535,0.5342422795436133,1.409448883255666,0.9932328161693071
gemma3_4b,fsfairx_llama3_rm,71,0.2,current_beta2,1.0,2.0,278,0.5268170623416387,0.5705382436552688,181300.375,339.13,0.5342781686552689,1.4162613261739188,0.9866353278565537
gemma3_4b,fsfairx_llama3_rm,71,0.2,top2_factor4_beta0,4.0,0.0,278,0.5268170623416387,0.6121163377045313,598022.75,795.615,0.4925117877045313,-6.511800222381671,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.2,top2_factor4_beta2,4.0,2.0,278,0.5268170623416387,0.6121285445339997,599871.6425,797.24,0.49215421603399967,-6.579674195358604,0.9916667232666899
gemma3_4b,fsfairx_llama3_rm,71,0.2,top2_factor1_beta2,1.0,2.0,278,0.5268170623416387,0.5706583701155051,236648.2,404.8675,0.5233287301155052,-0.6621524767304081,0.9878493389656023
gemma3_4b,fsfairx_llama3_rm,71,0.2,top2_factor0p25_beta2,0.25,2.0,278,0.5268170623416387,0.5221115266293885,78511.15,172.4375,0.5064092966293885,-3.873786020054125,0.9796748058718744
gemma3_4b,fsfairx_llama3_rm,71,0.5,current_beta0,1.0,0.0,133,0.484093429036688,0.5351897929835122,81047.91,171.4875,0.4946658379835122,2.183960432568267,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.5,current_beta1,1.0,1.0,133,0.484093429036688,0.5358055544766778,81777.25,172.76,0.49491692947667776,2.2358288278210594,0.9901271673315739
gemma3_4b,fsfairx_llama3_rm,71,0.5,current_beta2,1.0,2.0,133,0.484093429036688,0.5366028285028728,82643.5925,174.1225,0.4952810322528728,2.311042155322647,0.9806569122690278
gemma3_4b,fsfairx_llama3_rm,71,0.5,top2_factor4_beta0,4.0,0.0,133,0.484093429036688,0.5864685885242829,338734.7225,530.97,0.4171012272742829,-13.838692645697526,1.0
gemma3_4b,fsfairx_llama3_rm,71,0.5,top2_factor4_beta2,4.0,2.0,133,0.484093429036688,0.586831315898376,341055.96,533.7775,0.416303335898376,-14.003514419356932,0.9896297731263405
gemma3_4b,fsfairx_llama3_rm,71,0.5,top2_factor1_beta2,1.0,2.0,133,0.484093429036688,0.5432794715253803,115916.1675,233.27,0.48532138777538025,0.25366151759915423,0.9831157956892933
gemma3_4b,fsfairx_llama3_rm,71,0.5,top2_factor0p25_beta2,0.25,2.0,133,0.484093429036688,0.48334372164057077,37054.2275,85.095,0.4648166078905708,-3.9820456114177696,0.9707595550596321
gemma3_4b,fsfairx_llama3_rm,71,1.0,current_beta0,1.0,0.0,68,0.44737727263262445,0.5067369721746359,43810.78,102.965,0.4629261921746359,3.475572071534316,1.0
gemma3_4b,fsfairx_llama3_rm,71,1.0,current_beta1,1.0,1.0,68,0.44737727263262445,0.5069321850851619,44300.7975,103.9325,0.4626313875851619,3.4096758788781374,0.986570308190831
gemma3_4b,fsfairx_llama3_rm,71,1.0,current_beta2,1.0,2.0,68,0.44737727263262445,0.5083272041422561,44833.2625,104.9525,0.4634939416422561,3.6024782651098777,0.9738346300317476
gemma3_4b,fsfairx_llama3_rm,71,1.0,top2_factor4_beta0,4.0,0.0,68,0.44737727263262445,0.5636892646549891,197191.715,352.465,0.36649754965498915,-18.078639199012642,1.0
gemma3_4b,fsfairx_llama3_rm,71,1.0,top2_factor4_beta2,4.0,2.0,68,0.44737727263262445,0.5638903096380018,199136.7675,355.225,0.3647535421380018,-18.46846846028123,0.9868744259497142
gemma3_4b,fsfairx_llama3_rm,71,1.0,top2_factor1_beta2,1.0,2.0,68,0.44737727263262445,0.5128284250083853,65599.1675,148.56,0.4472292575083853,-0.03308507903589167,0.9778013097930999
gemma3_4b,fsfairx_llama3_rm,71,1.0,top2_factor0p25_beta2,0.25,2.0,68,0.44737727263262445,0.44568936897128425,20743.41,46.055,0.42494595897128423,-5.013959142211561,0.9610042175136029
