reward_model,generator,price_per_million,relative_net_utility_gain_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,gemma3_4b,0.1,0.547458737102957,-0.39486848539248703,1.310083711922984,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,1.1106237567465531,0.292860483439247,1.9734961777160627,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.5,2.1279811815267027,1.0902350048229155,3.4226349534745406,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,3.6167919551228516,2.132879348607367,5.126608355968701,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,3.2222809578440668,1.3926180192234572,5.1129437204769745,0.95,1000
fsfairx_llama3_rm,gemma3_4b,5.0,2.401096600050245,0.491382209030694,4.5995869564732175,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,4.674688369925436,2.3342088226693805,7.386866319187204,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,0.6609206064590448,0.20229844975721328,1.1283096643947725,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,1.4604159035164017,0.8264149474467433,2.1373132385953695,0.95,1000
rm_mistral_7b,gemma3_4b,0.5,1.927191196529512,0.9905114191809512,2.9824303371970635,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,2.0543344338217286,0.8694801721300116,3.3176472357500053,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,2.6251113119412297,1.2604050601142665,4.145642293226732,0.95,1000
rm_mistral_7b,gemma3_4b,5.0,1.1729975610160568,-1.0105424655418385,3.38374172061948,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,2.9321662271252453,0.8212923753723429,5.220304148678755,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,1.8310221168338034,0.52044212042497,2.9854900611390285,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,2.1633250854165027,1.0392408440936998,3.363590219929566,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.5,3.011523768256839,1.64539507585738,4.653664459373039,0.95,1000
