reward_model,generator,split_seed,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,gemma3_4b,71,0.1,505,0.5981512857829491,0.5905293363299429,0.0412959555,0.0315630265,0.5568553302829491,0.558966309829943,0.0021109795469939074,0.37908940297317034,412959.555,315630.265,510.96,23.56872212340504
fsfairx_llama3_rm,gemma3_4b,71,0.2,278,0.5722883203416387,0.5705382436552688,0.04547125800000001,0.036260075,0.5268170623416387,0.5342781686552689,0.0074611063136301725,1.4162613261739188,227356.29,181300.375,339.13,20.257154530450862
fsfairx_llama3_rm,gemma3_4b,71,0.5,133,0.538473345286688,0.5366028285028726,0.05437991625,0.04132179625,0.484093429036688,0.4952810322528725,0.011187603216184505,2.3110421553225895,108759.8325,82643.5925,174.1225,24.012762248415566
fsfairx_llama3_rm,gemma3_4b,71,1.0,68,0.5029944426326245,0.5083272041422561,0.055617169999999994,0.0448332625,0.44737727263262445,0.4634939416422561,0.016116669009631657,3.6024782651098777,55617.17,44833.2625,104.9525,19.38952934858067
fsfairx_llama3_rm,gemma3_4b,71,2.0,40,0.47549900362623526,0.47270707191979433,0.065426685,0.048318,0.4100723186262353,0.42438907191979425,0.01431675329355897,3.491275232017825,32713.3425,24159.0,58.19,26.149399132785035
fsfairx_llama3_rm,gemma3_4b,71,5.0,16,0.4161614169652561,0.41331255746830065,0.0654401125,0.0524829375,0.35072130446525596,0.36082961996830093,0.010108315503044973,2.8821504067045773,13088.0225,10496.5875,26.045,19.800050007554614
fsfairx_llama3_rm,gemma3_4b,71,10.0,10,0.3839188576848802,0.37179934528938546,0.081766425,0.057880625000000005,0.3021524326848802,0.31391872028938544,0.011766287604505266,3.894156171423754,8176.6425,5788.0625,14.125,29.212234728374142
fsfairx_llama3_rm,gemma3_4b,72,0.1,541,0.6040264134062557,0.5977169911694272,0.041295356250000005,0.03011294225,0.5627310571562558,0.5676040489194274,0.004872991763171575,0.8659539403773251,412953.5625,301129.4225,531.06,27.079107714441864
fsfairx_llama3_rm,gemma3_4b,72,0.2,244,0.5697889241045639,0.5752930780483584,0.037241521500000006,0.034479177500000006,0.5325474026045639,0.5408139005483583,0.008266497943794415,1.552255799833953,186207.6075,172395.8875,353.5325,7.417376865228242
fsfairx_llama3_rm,gemma3_4b,72,0.5,124,0.5351535331404347,0.5417001461846734,0.04731994999999999,0.03960273,0.4878335831404347,0.5020974161846735,0.014263833044238838,2.9239137150860417,94639.9,79205.46,190.1475,16.308597113902266
fsfairx_llama3_rm,gemma3_4b,72,1.0,63,0.4976642247108261,0.5132947498813435,0.0480881225,0.0430047425,0.44957610221082617,0.4702900073813435,0.020713905170517355,4.607430214518762,48088.1225,43004.7425,114.6225,10.57096791416633
fsfairx_llama3_rm,gemma3_4b,72,2.0,34,0.4616269979531837,0.4751246109130606,0.051880375,0.04635712,0.40974662295318365,0.4287674909130606,0.019020867959876953,4.642104875151153,25940.1875,23178.56,63.9,10.646135460663109
fsfairx_llama3_rm,gemma3_4b,72,5.0,16,0.4159799025219031,0.42135935392197416,0.0610123,0.050386375000000004,0.35496760252190307,0.3709729789219742,0.016005376400071103,4.5089682231165025,12202.46,10077.275,28.91,17.41603742196245
fsfairx_llama3_rm,gemma3_4b,72,10.0,7,0.35704606523746485,0.3817851549184475,0.053324325000000006,0.056429875000000004,0.3037217402374649,0.32535527991844754,0.02163353968098264,7.1228156614895095,5332.4325,5642.9875,15.9925,-5.823889941410432
fsfairx_llama3_rm,gemma3_4b,73,0.1,505,0.5980732118707369,0.5894532568818622,0.040808267,0.0308015555,0.557264944870737,0.5586517013818622,0.0013867565111251867,0.2488504837581087,408082.67,308015.555,509.9475,24.521285111176127
fsfairx_llama3_rm,gemma3_4b,73,0.2,283,0.5739818220163823,0.568477556850024,0.04574336550000001,0.035704158500000006,0.5282384565163821,0.532773398350024,0.004534941833641892,0.8585027798901369,228716.8275,178520.7925,344.62,21.94680450436031
fsfairx_llama3_rm,gemma3_4b,73,0.5,133,0.5350906151184552,0.5305618903004992,0.05374525625,0.040793739999999995,0.48134535886845525,0.4897681503004991,0.00842279143204383,1.7498436988868231,107490.5125,81587.48,177.0625,24.09797097208928
fsfairx_llama3_rm,gemma3_4b,73,1.0,75,0.4989123963905574,0.5018167616124027,0.060614394999999995,0.044461879999999995,0.43829800139055736,0.4573548816124026,0.019056880221845263,4.347927702472937,60614.395,44461.88,106.9875,26.64798518569723
fsfairx_llama3_rm,gemma3_4b,73,2.0,40,0.467836121040231,0.467167824539756,0.06465975,0.04830264499999999,0.4031763710402309,0.41886517953975594,0.01568880849952503,3.891301580756459,32329.875,24151.3225,59.6025,25.297198025046498
fsfairx_llama3_rm,gemma3_4b,73,5.0,15,0.4086198658203907,0.4079959765516562,0.06067428750000001,0.05266148750000001,0.3479455783203909,0.35533448905165615,0.007388910731265241,2.1235823047193536,12134.8575,10532.2975,26.8775,13.206253143063273
fsfairx_llama3_rm,gemma3_4b,73,10.0,11,0.38468465449741385,0.37211138479508543,0.08895925,0.058158525,0.29572540449741386,0.3139528597950854,0.018227455297671558,6.16364202076219,8895.925,5815.8525,14.7375,34.62340903278748
fsfairx_llama3_rm,gemma3_4b,74,0.1,505,0.5987276456470959,0.5889720639840413,0.041396463,0.0321968055,0.5573311826470959,0.5567752584840413,-0.0005559241630546108,-0.0997475433572903,413964.63,321968.055,510.6125,22.223293569791213
fsfairx_llama3_rm,gemma3_4b,74,0.2,269,0.5704928428945061,0.5674616036866513,0.044110970000000006,0.037125818000000005,0.5263818728945061,0.5303357856866513,0.003953912792145187,0.7511491173514638,220554.85,185629.09,330.8375,15.835407836191317
fsfairx_llama3_rm,gemma3_4b,74,0.5,143,0.5399836613138319,0.5333431376994004,0.058628906249999994,0.042305789999999996,0.48135475506383196,0.4910373476994006,0.009682592635568643,2.0115294455301775,117257.8125,84611.58,161.11,27.841413551868875
fsfairx_llama3_rm,gemma3_4b,74,1.0,62,0.49256318665539794,0.5027048486516921,0.050839075,0.04636564,0.44172411165539793,0.45633920865169214,0.014615096996294208,3.3086482287604615,50839.075,46365.64,96.75,8.799206122456004
fsfairx_llama3_rm,gemma3_4b,74,2.0,40,0.46812535152365997,0.4601733216566395,0.065596085,0.050385555,0.40252926652366,0.4097877666566394,0.007258500132979406,1.8032229546103733,32798.0425,25192.7775,54.495,23.18816740358819
fsfairx_llama3_rm,gemma3_4b,74,5.0,15,0.4022757644802505,0.3945742430029068,0.0614677625,0.054306925000000006,0.34080800198025046,0.3402673180029067,-0.0005406839773437477,-0.1586476767570381,12293.5525,10861.385,23.6825,11.64974485609428
fsfairx_llama3_rm,gemma3_4b,74,10.0,8,0.352906671814129,0.356019194998201,0.06547175000000001,0.059487250000000005,0.287434921814129,0.296531944998201,0.009097023184072017,3.164898380007787,6547.175,5948.725,12.7975,9.140583534119672
fsfairx_llama3_rm,gemma3_4b,75,0.1,523,0.6015276881121141,0.5967292683405501,0.044431406750000006,0.03215036275,0.5570962813621141,0.5645789055905502,0.007482624228436152,1.3431474017634712,444314.0675,321503.6275,492.2225,27.640457276316155
fsfairx_llama3_rm,gemma3_4b,75,0.2,283,0.5785631245956956,0.5722310529450506,0.048088370000000005,0.036584436000000005,0.5304747545956956,0.5356466169450507,0.005171862349355072,0.9749497604832933,240441.85,182922.18,308.9075,23.92248687156583
fsfairx_llama3_rm,gemma3_4b,75,0.5,134,0.5424072612507657,0.5353584156060448,0.05692430999999999,0.04189617875,0.4854829512507655,0.49346223685604484,0.00797928560527933,1.6435768928078804,113848.62,83792.3575,157.315,26.400199229468047
fsfairx_llama3_rm,gemma3_4b,75,1.0,68,0.5059421178432395,0.5037280536339054,0.0577907675,0.0456390575,0.4481513503432396,0.45808899613390536,0.00993764579066575,2.2174753647522194,57790.7675,45639.0575,94.17,21.027078416980704
fsfairx_llama3_rm,gemma3_4b,75,2.0,40,0.4762340491073512,0.46700171116360367,0.0679524,0.049396949999999995,0.4082816491073512,0.41760476116360357,0.009323112056252358,2.283500146684524,33976.2,24698.475,51.56,27.306541049322764
fsfairx_llama3_rm,gemma3_4b,75,5.0,16,0.4168599432918957,0.4115277152894681,0.0679288375,0.05335192500000001,0.3489311057918956,0.358175790289468,0.009244684497572375,2.649429742467831,13585.7675,10670.385,22.6825,21.459093128157825
fsfairx_llama3_rm,gemma3_4b,75,10.0,9,0.3777615091328739,0.3697553074981856,0.076363375,0.05923105,0.30139813413287386,0.3105242574981856,0.009126123365311711,3.0279296159439344,7636.3375,5923.105,12.3625,22.435264287362887
rm_mistral_7b,gemma3_4b,71,0.1,505,0.5934628432775467,0.5868646433598846,0.0412959555,0.031549969750000004,0.5521668877775467,0.5553146736098847,0.0031477858323379904,0.5700787030181623,412959.555,315499.6975,512.31,23.600339626479883
rm_mistral_7b,gemma3_4b,71,0.2,254,0.5653825030201585,0.5673095187159152,0.041545452000000004,0.036085882500000006,0.5238370510201584,0.5312236362159151,0.007386585195756634,1.410092161555098,207727.26,180429.4125,339.865,13.141196538191469
rm_mistral_7b,gemma3_4b,71,0.5,107,0.5234774008177583,0.5314838262255438,0.0437457675,0.040913178749999994,0.4797316333177583,0.4905706474755437,0.010839014157785376,2.2593911689383996,87491.535,81826.3575,174.9975,6.475114992553288
rm_mistral_7b,gemma3_4b,71,1.0,68,0.5003660581111099,0.500609995534946,0.055617169999999994,0.044609214999999994,0.4447488881111099,0.4560007805349462,0.011251892423836285,2.5299427889801196,55617.17,44609.215,105.1725,19.792368076261347
rm_mistral_7b,gemma3_4b,71,2.0,36,0.46577263935764257,0.46509619245793465,0.05888880999999999,0.04745046,0.4068838293576426,0.4176457324579346,0.010761903100292014,2.644957190184258,29444.405,23725.23,57.42,19.423639227894064
rm_mistral_7b,gemma3_4b,71,5.0,16,0.4211081379750322,0.4120395758174968,0.0654401125,0.051019387500000006,0.3556680254750322,0.36102018831749694,0.005352162842464758,1.5048197923657545,13088.0225,10203.8775,25.175,22.036522324132612
rm_mistral_7b,gemma3_4b,71,10.0,8,0.37695076856250054,0.37587277431361876,0.065430425,0.056829375,0.3115203435625005,0.31904339931361875,0.007523055751118224,2.414948463745793,6543.0425,5682.9375,13.5675,13.145337203602136
rm_mistral_7b,gemma3_4b,72,0.1,545,0.5927953343220344,0.5863447672317363,0.041601621500000005,0.030142488500000005,0.5511937128220343,0.5562022787317361,0.005008565909701779,0.908676168321773,416016.215,301424.885,533.2775,27.544919132539103
rm_mistral_7b,gemma3_4b,72,0.2,193,0.5522287344818424,0.5702532661460475,0.0294500735,0.034495698500000005,0.5227786609818424,0.5357575676460474,0.012978906664204981,2.4826772079466677,147250.3675,172478.4925,358.8975,-17.132809532716454
rm_mistral_7b,gemma3_4b,72,0.5,131,0.5340012736394809,0.5343045552745455,0.049998805,0.03983112125,0.484002468639481,0.49447343402454536,0.010470965385064368,2.1634115657504793,99997.61,79662.2425,200.015,20.335853526899307
rm_mistral_7b,gemma3_4b,72,1.0,62,0.49594529347886185,0.5065629867165753,0.0473231975,0.0434445425,0.4486220959788618,0.46311844421657516,0.014496348237713341,3.2313050042894855,47323.1975,43444.5425,118.815,8.196096639496941
rm_mistral_7b,gemma3_4b,72,2.0,36,0.4659597973754577,0.47239867111042094,0.054926684999999996,0.046411324999999996,0.4110331123754577,0.425987346110421,0.014954233734963296,3.638206578671786,27463.3425,23205.6625,65.0575,15.503138410774287
rm_mistral_7b,gemma3_4b,72,5.0,16,0.42103782406578283,0.4189718297329588,0.0610123,0.050360300000000004,0.3600255240657828,0.368611529732959,0.00858600566717621,2.3848324891563526,12202.46,10072.06,28.765,17.458774706083858
rm_mistral_7b,gemma3_4b,72,10.0,7,0.3644180895760439,0.3816938921756661,0.053324325000000006,0.056228900000000005,0.3110937645760438,0.32546499217566605,0.014371227599622227,4.619580729690043,5332.4325,5622.89,15.675,-5.446998157032468
rm_mistral_7b,gemma3_4b,73,0.1,520,0.5863659532621898,0.5788245838585029,0.042023179,0.03131636125,0.5443427742621898,0.547508222608503,0.00316544834631316,0.5815174731773844,420231.79,313163.6125,517.6375,25.478362191494362
rm_mistral_7b,gemma3_4b,73,0.2,254,0.5602906533191431,0.5622791570548018,0.041058832,0.035804826500000005,0.5192318213191431,0.5264743305548016,0.007242509235658501,1.3948508042628092,205294.16,179024.1325,344.5075,12.796285827127274
