generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,previous,0.3,,4261.349802456792,False,
gemma2_9b,71,previous,0.35,7195.594602789079,8307.716419895149,True,13.386612648967933
gemma2_9b,71,previous,0.4,12547.255462558795,17515.368446545388,True,28.36430760305514
gemma2_9b,71,previous,0.45,26566.312415850138,38977.10940482303,True,31.841245229532543
gemma2_9b,71,previous,0.5,61783.825678587666,97984.93471211774,True,36.945586727071735
gemma2_9b,71,previous,0.55,158539.83276364364,261003.8751344498,True,39.25767091313273
gemma2_9b,71,previous,0.6,543724.1569203015,803705.2836102941,True,32.347818533945826
gemma2_9b,71,mean_costse0,0.3,,4261.349802456792,False,
gemma2_9b,71,mean_costse0,0.35,7072.287239108939,8307.716419895149,True,14.870863644642828
gemma2_9b,71,mean_costse0,0.4,12623.056597701081,17515.368446545388,True,27.93153831605085
gemma2_9b,71,mean_costse0,0.45,26577.67722877298,38977.10940482303,True,31.812087569828208
gemma2_9b,71,mean_costse0,0.5,62233.22701077666,97984.93471211774,True,36.48694343307012
gemma2_9b,71,mean_costse0,0.55,163270.15107577742,261003.8751344498,True,37.44531532657407
gemma2_9b,71,mean_costse0,0.6,559323.0033847229,803705.2836102941,True,30.4069520518505
gemma2_9b,71,mean_costse1,0.3,,4261.349802456792,False,
gemma2_9b,71,mean_costse1,0.35,7100.9479142739,8307.716419895149,True,14.525875037468827
gemma2_9b,71,mean_costse1,0.4,12736.222493105122,17515.368446545388,True,27.28544345513252
gemma2_9b,71,mean_costse1,0.45,26731.060636338756,38977.10940482303,True,31.418565808189324
gemma2_9b,71,mean_costse1,0.5,63021.10737002489,97984.93471211774,True,35.68286027318126
gemma2_9b,71,mean_costse1,0.55,162606.68507680134,261003.8751344498,True,37.699513084609
gemma2_9b,71,mean_costse1,0.6,560961.3893159134,803705.2836102941,True,30.20309798188212
gemma2_9b,71,mean_costse2,0.3,,4261.349802456792,False,
