generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,previous,2e-08,0.5951526335809068,0.5909400034717875,937,0.7128693411124479,0.6562470002577525,0.6151775626309067,1001246.4525,767.0575,1212158.1152773101,17.39968244399033
gemma2_9b,71,previous,1e-07,0.5469653376257234,0.5308452984261326,309,3.036673631165998,2.8363874247058716,0.5772466301257234,302812.925,331.3475,458642.4240623176,33.97625053567753
gemma2_9b,71,previous,2e-07,0.5196551334772332,0.49760166767075814,166,4.43195174761089,4.1713310129977375,0.5530431979772332,166940.3225,185.97,279518.73760130355,40.27580264113876
gemma2_9b,71,previous,1e-06,0.4399742454838656,0.41155665459581137,50,6.904903752792691,5.694027950670271,0.4809794579838656,41005.2125,50.14,65937.23862026508,37.81175348250404
gemma2_9b,71,previous,2e-06,0.39420649259878304,0.3635221436972772,33,8.440847258828395,5.114780577276608,0.43872218259878304,22257.845,28.0325,32166.46052043777,30.804183488394944
gemma2_9b,71,previous,1e-05,0.2778627225203625,0.2663296886884845,5,4.33035982156977,3.8508591865279107,0.35094957252036246,7308.685,7.6875,8395.540182076636,12.945625397600114
gemma2_9b,71,mean_costse0,2e-08,0.593916365683758,0.5909400034717875,937,0.5036657180905512,0.4471609947650582,0.616158738883758,1112118.66,828.9875,1253968.736016108,11.31209032106889
gemma2_9b,71,mean_costse0,1e-07,0.5465405278812469,0.5308452984261326,309,2.9566484815157983,2.756517830675627,0.5811934731312468,346529.4525,388.115,493378.8903972956,29.76402938095799
gemma2_9b,71,mean_costse0,2e-07,0.5195073561946724,0.49760166767075814,166,4.402253840195786,4.141707219781567,0.5576812771946723,190869.605,224.5925,307736.8816273231,37.976363447021676
gemma2_9b,71,mean_costse0,1e-06,0.43968621421671633,0.41155665459581137,50,6.834917940649247,5.6248348442254565,0.48482658921671634,45140.375,57.6425,71159.42548968401,36.564447099781596
gemma2_9b,71,mean_costse0,2e-06,0.3949265480034879,0.3635221436972772,33,8.63892471220755,5.30678265560379,0.44282813300348794,23950.7925,31.6,34629.31325100504,30.836651808840365
gemma2_9b,71,mean_costse0,1e-05,0.2810432217554433,0.2663296886884845,5,5.524556101655127,5.039566959953797,0.3554503217554433,7440.71,8.2625,8811.80405027426,15.559742845525326
gemma2_9b,71,mean_costse1,2e-08,0.5938547445837581,0.5909400034717875,937,0.49323807744379533,0.43673921669998506,0.616158738883758,1115199.715,830.4425,1253968.736016108,11.06638602944605
gemma2_9b,71,mean_costse1,1e-07,0.5466046031623073,0.5308452984261326,309,2.9687189060350363,2.7685647922912975,0.5815342764123073,349296.7325,390.9525,496865.16880055296,29.699895578671274
gemma2_9b,71,mean_costse1,2e-07,0.5191020482064327,0.49760166767075814,166,4.320801543193467,4.060458195409181,0.5577105687064327,193042.6025,227.1575,307915.0916273778,37.30654724335183
gemma2_9b,71,mean_costse1,1e-06,0.4393666147966166,0.41155665459581137,50,6.757261701458166,5.548058191074111,0.4855851497966166,46218.535,59.0075,72189.11355080029,35.97575489346395
gemma2_9b,71,mean_costse1,2e-06,0.3954270241482085,0.3635221436972772,33,8.776598896132194,5.4402341362977165,0.4449461791482085,24759.5775,32.6725,35899.770810603215,31.031377245764734
gemma2_9b,71,mean_costse1,1e-05,0.28141210032581393,0.2663296886884845,5,5.663060589152245,5.177434883081497,0.35762790032581393,7621.58,8.685,9013.203246643945,15.439829864727772
gemma2_9b,71,mean_costse2,2e-08,0.5937946028837581,0.5909400034717875,937,0.48306078370049116,0.4265676447894425,0.616158738883758,1118206.8,831.855,1253968.736016108,10.826580608973336
gemma2_9b,71,mean_costse2,1e-07,0.546358865175849,0.5308452984261326,309,2.922427079171937,2.7223629490628185,0.581561120675849,352022.555,393.725,497139.7746551258,29.19042632543253
gemma2_9b,71,mean_costse2,2e-07,0.5189358934046883,0.49760166767075814,166,4.287410416808747,4.02715040003324,0.5579733739046883,195187.4025,229.6725,309514.00242374366,36.93745647320458
gemma2_9b,71,mean_costse2,1e-06,0.43917988326147217,0.41155665459581137,50,6.711889689352612,5.503200092452631,0.48652700826147216,47347.125,60.3625,73467.61449353395,35.55374660467964
gemma2_9b,71,mean_costse2,2e-06,0.397132150334313,0.3635221436972772,33,9.245655930392095,5.894904387229786,0.44819676533431296,25532.3075,33.64,37876.57833836967,32.59077609411381
gemma2_9b,71,mean_costse2,1e-05,0.2820745329919186,0.2663296886884845,5,5.9117871465881615,5.425018297309183,0.3601159829919186,7804.145,9.0675,9360.637382549865,16.628059809810424
gemma2_9b,72,previous,2e-08,0.6023425656451735,0.59938709383184,800,0.4930823242187997,0.13787901862125654,0.6205756546951735,911654.4525,792.3,1052034.8961746003,13.343706010613376
gemma2_9b,72,previous,1e-07,0.5594544188273457,0.5435054143689845,319,2.9344702070499498,2.795462053485402,0.5888163948273457,293619.76,360.3225,461181.00710347574,36.33307628080178
gemma2_9b,72,previous,2e-07,0.5326568418287432,0.5105942713382504,161,4.320959268240027,3.779653285221252,0.5654766968287431,164099.275,210.1275,263181.2486853248,37.64780894545915
gemma2_9b,72,previous,1e-06,0.4491846301036587,0.4217574480845677,31,6.50306998575909,4.6828202514128945,0.4899398376036587,40755.2075,56.035,61131.04889811273,33.33141139467964
gemma2_9b,72,previous,2e-06,0.402624927464108,0.3774932936069785,16,6.657504724652127,5.0996357222251305,0.447150812464108,22262.9425,31.5325,32688.59623189571,31.893855759162083
