generator,reward_model,method,metric,price,mean,ci_low,ci_high,confidence,bootstrap_repetitions
gemma2_9b,FSFairX,mean_costse2,profit,2e-08,0.37392669398408374,0.1181226066986982,0.6200964794391237,0.95,1000
gemma2_9b,FSFairX,mean_costse2,profit,1e-07,3.2579910056425,1.9596665461619232,4.595252592840092,0.95,1000
gemma2_9b,FSFairX,mean_costse2,profit,2e-07,4.522590549262472,2.9490558915759864,6.25668140235378,0.95,1000
gemma2_9b,FSFairX,mean_costse2,profit,1e-06,6.131008243375934,4.042799240692819,8.551924391058007,0.95,1000
gemma2_9b,FSFairX,mean_costse2,profit,2e-06,7.2729116176256765,4.8440426853830765,10.329690250232748,0.95,1000
gemma2_9b,FSFairX,mean_costse2,profit,1e-05,5.7647308243647455,3.1253488916413774,8.693647897231687,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,2e-08,8.608494396787695,3.3564738545259933,11.74728105706752,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,1e-07,29.556314950332126,18.36261972301942,37.36604893819504,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,2e-07,37.19858069746586,24.503968571522513,44.99510054826172,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,1e-06,33.676794525717625,21.669455777940357,43.927447580925644,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,2e-06,31.54430823238048,19.33205697803594,40.66515200266891,0.95,1000
gemma2_9b,FSFairX,mean_costse2,saving,1e-05,17.8888388531264,9.28856424172554,27.079488519337733,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,2e-08,0.5209767399408542,-0.03250624551831125,1.0207189066154099,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,1e-07,4.909140940683724,3.4915406305046326,6.314196968031251,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,2e-07,6.2838462475063634,4.202515104929294,8.537579223869082,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,1e-06,8.921970654484118,5.899197255966187,12.352272754631958,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,2e-06,10.75484065714843,7.805326426990858,13.776804957325124,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,profit,1e-05,12.720729608741529,5.854270898831066,20.577146746031154,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,2e-08,18.12968121364879,9.807093293193317,22.52414260928815,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,1e-07,38.998157543685224,29.207990324678256,46.3187095037541,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,2e-07,42.641823946487854,30.47474124756634,50.636352394493194,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,1e-06,42.12766866905715,28.568199562345413,50.50568541122833,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,2e-06,36.7312678897325,27.03827377529117,44.54456391038837,0.95,1000
llama3.1_8b,FSFairX,mean_costse2,saving,1e-05,31.01797315965329,20.733181370046896,39.64255616997441,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,2e-08,-0.23726059237019181,-0.9897992218382242,0.4426090954240093,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,1e-07,3.0325626720781864,1.6643052431016698,4.4566668910951455,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,2e-07,5.668033557279524,4.083467140868017,7.557676443358112,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,1e-06,9.042448267545446,6.184891940207269,12.356996480658582,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,2e-06,11.071357801639,7.765015624425294,14.752163396608207,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,profit,1e-05,12.174521830498616,7.043555931277847,18.310683391773136,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,2e-08,5.9593418093946555,-5.60311410859113,13.51986487127869,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,1e-07,28.8227573353518,17.439491133510614,36.285393691903835,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,2e-07,37.414538994368655,27.68515989631052,43.87470043371411,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,1e-06,39.98177299828331,28.524482769027188,47.04742148595468,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,2e-06,37.515152175768385,25.788629124847553,44.6552570297572,0.95,1000
llama3.2_3b,FSFairX,mean_costse2,saving,1e-05,31.976044179981365,21.234460295883594,40.005527454947995,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,2e-08,0.37854252014764833,0.11960657047967185,0.6377348253094568,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,1e-07,2.590512068604895,1.6654384393408077,3.6894843205195373,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,2e-07,2.4128440160797533,1.6399983279905122,3.181693160874062,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,1e-06,3.560409677373266,1.9509342407417747,5.453069628900622,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,2e-06,3.201667915857334,1.6094056085289346,4.98511295097438,0.95,1000
mistral_7b,FSFairX,mean_costse2,profit,1e-05,7.077396259966425,3.758504157367209,11.282129703849527,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,2e-08,10.679414891814705,6.11210086736748,13.844491068233978,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,1e-07,24.886532503059033,15.689079789281125,32.45245260157509,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,2e-07,19.431262958273262,12.627937061074443,24.343849573869253,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,1e-06,20.080189017942082,11.03391393088177,26.831393292715337,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,2e-06,13.8234752224032,5.395669001934028,18.623529855496795,0.95,1000
mistral_7b,FSFairX,mean_costse2,saving,1e-05,15.675698701661144,7.843769422366095,21.994866035146703,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,2e-08,0.8684949638508448,0.4822793045886799,1.2614043714255458,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,1e-07,3.629734317820006,2.468432978775507,4.939577194990609,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,2e-07,5.909753858643752,4.4323184062747085,7.560784342071729,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,1e-06,7.820690578278485,4.793202519248672,11.563630668688505,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,2e-06,8.137364353612094,4.591817615715092,12.316083760947548,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,profit,1e-05,8.70292725025742,3.8423155895021224,15.41769312391525,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,2e-08,13.385214192259337,5.274989762556347,18.261282314993235,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,1e-07,31.568105268563603,19.159065225700555,38.92046783444437,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,2e-07,37.977084584616264,28.477133540682964,44.52719166780847,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,1e-06,36.47011782595637,22.215846313639044,45.5874952190691,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,2e-06,32.496971967488314,18.98746038177486,43.378994296480954,0.95,1000
qwen2.5_7b,FSFairX,mean_costse2,saving,1e-05,25.632112361291103,15.118691438784843,34.67632139458749,0.95,1000
