generator,split_seed,method,target,prompt_index,quality,length,samples
gemma2_9b,71,spacing,0.3,33,0.3580150739534704,1930.0,4.0
gemma2_9b,71,spacing,0.3,18,0.2675937024081436,4233.5,4.0
gemma2_9b,71,spacing,0.3,74,0.3545834945595552,2156.0,4.0
gemma2_9b,71,spacing,0.3,9,0.44760389780654397,8178.375,4.0
gemma2_9b,71,spacing,0.3,87,0.3043020636607507,12721.5,4.0
gemma2_9b,71,spacing,0.3,82,0.26111865275845103,7252.25,4.0
gemma2_9b,71,spacing,0.3,23,0.29623212093337725,11626.875,4.0
gemma2_9b,71,spacing,0.3,54,0.3597990834942556,6513.5,4.0
gemma2_9b,71,spacing,0.3,31,0.2773611219358828,12346.875,4.0
gemma2_9b,71,spacing,0.3,66,0.26194193387332443,19976.25,4.0
gemma2_9b,71,spacing,0.3,37,0.21967183432915607,7469.5,4.0
gemma2_9b,71,spacing,0.3,77,0.4015532088751004,7475.5,4.0
gemma2_9b,71,spacing,0.3,34,0.22023973438618105,7595.5,4.0
gemma2_9b,71,spacing,0.3,75,0.4238947797415825,1216.875,4.0
gemma2_9b,71,spacing,0.3,99,0.28101002599726016,7440.25,4.0
gemma2_9b,71,spacing,0.3,63,0.3652050474223845,1545.0,4.0
gemma2_9b,71,spacing,0.3,98,0.21109241277595522,3103.0,4.0
gemma2_9b,71,spacing,0.3,55,0.308283782690415,3785.0,4.0
gemma2_9b,71,spacing,0.3,57,0.31528548512945354,7208.5,4.0
gemma2_9b,71,spacing,0.3,7,0.4348645682070833,1063.75,4.0
gemma2_9b,71,spacing,0.3,19,0.43903247070878865,631.75,6.0
gemma2_9b,71,spacing,0.3,14,0.37615701477951397,5048.5,4.0
gemma2_9b,71,spacing,0.3,39,0.2627067495918278,11909.625,4.0
gemma2_9b,71,spacing,0.3,56,0.31738930468663207,2547.75,4.0
gemma2_9b,71,spacing,0.3,62,0.365003835861495,1386.5,4.0
gemma2_9b,71,spacing,0.3,40,0.355644450710615,2930.625,4.0
gemma2_9b,71,spacing,0.3,80,0.29373537503427893,2019.125,4.0
gemma2_9b,71,spacing,0.3,22,0.3327967298837232,7407.875,4.0
gemma2_9b,71,spacing,0.3,59,0.293491211204268,10657.5,4.0
gemma2_9b,71,spacing,0.3,71,0.3799208978907088,3307.875,4.0
gemma2_9b,71,spacing,0.3,84,0.10549285793133897,838.375,5.0
gemma2_9b,71,spacing,0.3,81,0.29517858466977304,13971.0,4.0
gemma2_9b,71,spacing,0.3,89,0.34539982918513323,10536.625,4.0
gemma2_9b,71,spacing,0.3,96,0.39287105944267714,12860.625,4.0
gemma2_9b,71,spacing,0.3,16,0.3261630406357399,7443.625,4.0
gemma2_9b,71,spacing,0.3,8,0.34724266597587605,1219.75,4.0
gemma2_9b,71,spacing,0.3,95,0.27979502100524306,2998.25,4.0
gemma2_9b,71,spacing,0.3,50,0.36244984227228066,279.5,10.625
gemma2_9b,71,spacing,0.3,6,0.20149727908687043,5660.75,4.0
gemma2_9b,71,spacing,0.3,90,0.3255735685959307,1886.375,4.0
gemma2_9b,71,spacing,0.3,27,0.22976705516592114,1350.5,4.375
gemma2_9b,71,spacing,0.3,45,0.22835018371859614,922.625,4.0
gemma2_9b,71,spacing,0.3,32,0.36028441717732457,10668.375,4.0
gemma2_9b,71,spacing,0.3,29,0.3890803374287113,1829.25,4.0
gemma2_9b,71,spacing,0.3,70,0.3683812425494824,9673.125,4.0
gemma2_9b,71,spacing,0.3,94,0.29011025773934707,7443.875,4.0
gemma2_9b,71,spacing,0.3,86,0.35430348930198974,8228.625,4.0
gemma2_9b,71,spacing,0.3,93,0.19032705475574457,7655.125,4.0
gemma2_9b,71,spacing,0.3,0,0.2689663414232511,7746.375,4.0
gemma2_9b,71,spacing,0.3,35,0.29097986221508665,9186.625,4.0
gemma2_9b,71,spacing,0.35,33,0.3842028931569495,3912.8821745614587,8.380646789552834
