generator,split_seed,method,target,attained_quality,fixed_attained_quality,mean_length,fixed_mean_length,samples,train_feasible,fixed_train_feasible,matched_feasible,matched_length,matched_saving_percent,unmatched_train_baseline_saving,adaptive_low,adaptive_high,adaptive_high_weight,fixed_low,fixed_high,fixed_high_weight
gemma2_9b,71,spacing,0.3,0.31475488111132993,0.2998215305742455,6101.69,5014.529573875998,4.2,True,True,True,6229.554308991035,2.0525434509253815,-21.680207686634056,293,293,0.0,3,4,0.2971759435905217
gemma2_9b,71,spacing,0.35,0.3358753300599676,0.3418283949759796,7516.7256951378495,9002.83371714892,9.21970581505391,True,True,True,8372.096696235367,10.216926919658576,16.507113967686404,432,334,0.23424417818635987,5,6,0.9414961736587459
gemma2_9b,71,spacing,0.4,0.3822271455168507,0.38204930415892824,13576.846027654796,16483.62491941431,15.647484020687864,True,True,True,16407.02049409496,17.249777114978126,17.63434260346417,332,136,0.5528764465901868,10,11,0.8875437968193697
gemma2_9b,71,spacing,0.45,0.43340468482835204,0.43305874743943706,25610.430069566508,36815.76334792183,37.12114252272028,True,True,True,36618.60236886504,30.061694295187593,30.436237794286658,378,377,0.6669644869038196,21,28,0.47796596979824735
gemma2_9b,71,spacing,0.5,0.48830738731847695,0.4860344292252637,59811.15826532132,81864.9271559926,95.14421765558289,True,True,True,83179.57275980567,28.093934266727228,26.939215188756105,374,226,0.39807365862530664,51,69,0.17266953628915063
gemma2_9b,71,spacing,0.55,0.5378269532680243,0.5476949348787015,140002.0389111824,214228.60523523492,194.8579571884761,True,True,True,175112.17886004213,20.050084567174164,34.64829836451935,175,223,0.7102305487031819,131,153,0.4750458353734472
gemma2_9b,71,spacing,0.6,0.5894845508875515,0.5969993970631919,371912.99332206295,528788.2670965183,403.0736808874574,True,True,True,443695.21007525915,16.17827173320635,29.666935432555906,465,464,0.5314904783080371,266,356,0.9264166846410935
gemma2_9b,71,dmrl_envelope,0.3,0.3133328003116585,0.2998215305742455,6088.8725,5014.529573875998,4.0025,True,True,True,6088.8225,-0.0008211768367294425,-21.42460045945218,783,783,0.0,3,4,0.2971759435905217
gemma2_9b,71,dmrl_envelope,0.35,0.33716052498136767,0.3418283949759796,7919.168997657605,9002.83371714892,6.269722003296558,True,True,True,8508.265212361699,6.923811141291091,12.036929188496636,917,822,0.14038563269048956,5,6,0.9414961736587459
gemma2_9b,71,dmrl_envelope,0.4,0.3828849281574033,0.38204930415892824,13958.246215416983,16483.62491941431,12.476647904950685,True,True,True,16561.15896280537,15.716972183131972,15.320530018994493,816,866,0.09289220622965272,10,11,0.8875437968193697
gemma2_9b,71,dmrl_envelope,0.45,0.42787078866237443,0.43305874743943706,28400.4586729304,36815.76334792183,26.12025048707528,True,True,True,33547.46348529841,15.342455964289503,22.857884530231953,619,618,0.2164238760258465,21,28,0.47796596979824735
gemma2_9b,71,dmrl_envelope,0.5,0.48339569137344685,0.4860344292252637,65366.91642656925,81864.9271559926,63.88212452850619,True,True,True,76491.12579821103,14.543137201285571,20.15272144319703,858,857,0.9094197677406682,51,69,0.17266953628915063
gemma2_9b,71,dmrl_envelope,0.55,0.5494057153648684,0.5476949348787015,206385.59619909094,214228.60523523492,196.04622938366342,True,True,True,212079.8151356455,2.6849414843711394,3.661046585040273,607,605,0.44172535322488354,131,153,0.4750458353734472
gemma2_9b,71,dmrl_envelope,0.6,0.5917728102771662,0.5969993970631919,560656.9674446913,528788.2670965183,423.2563689554356,True,True,True,460212.0920136009,-21.82577928181033,-6.026741198922281,601,597,0.19736336921013167,266,356,0.9264166846410935
gemma2_9b,71,moment_envelope,0.3,0.3133328003116585,0.2998215305742455,6089.155,5014.529573875998,4.01,True,True,True,6088.8225,-0.00546082596428743,-21.43023408860598,1273,1273,0.0,3,4,0.2971759435905217
gemma2_9b,71,moment_envelope,0.35,0.3340524389547291,0.3418283949759796,7506.094114127942,9002.83371714892,8.382664248396644,True,True,True,8178.95838489671,8.22677215244525,16.6252054635857,1410,1164,0.6031621344513296,5,6,0.9414961736587459
gemma2_9b,71,moment_envelope,0.4,0.38690186000237003,0.38204930415892824,13968.954544400181,16483.62491941431,14.857412577095293,True,True,True,17502.448205368983,20.188568019215047,15.255566583854774,1308,1306,0.05662332263355833,10,11,0.8875437968193697
gemma2_9b,71,moment_envelope,0.45,0.4329217343474569,0.43305874743943706,25952.279921254838,36815.76334792183,29.733320520359193,True,True,True,36350.579992544896,28.605596041170823,29.507695722626405,1357,1112,0.018510144025612612,21,28,0.47796596979824735
gemma2_9b,71,moment_envelope,0.5,0.48813861637803924,0.4860344292252637,55277.920289253416,81864.9271559926,68.25531323076572,True,True,True,82949.75082123102,33.359751244599266,32.47667565388286,1109,1353,0.8511515591151035,51,69,0.17266953628915063
gemma2_9b,71,moment_envelope,0.55,0.5431263529297471,0.5476949348787015,139215.61284710554,214228.60523523492,168.96971355592763,True,True,True,191703.88045428635,27.37986705475017,35.015395028950934,1349,1348,0.16019720422395248,131,153,0.4750458353734472
gemma2_9b,71,moment_envelope,0.6,0.5931735790134521,0.5969993970631919,418019.84578034305,528788.2670965183,417.1733802145498,True,True,True,470322.9788934533,11.120684180935791,20.94759437919923,1345,1344,0.8179976072858628,266,356,0.9264166846410935
gemma2_9b,71,all_train_selected,0.3,0.3133328003116585,0.2998215305742455,6089.155,5014.529573875998,4.01,True,True,True,6088.8225,-0.00546082596428743,-21.43023408860598,1273,1273,0.0,3,4,0.2971759435905217
gemma2_9b,71,all_train_selected,0.35,0.3358753300599676,0.3418283949759796,7516.7256951378495,9002.83371714892,9.21970581505391,True,True,True,8372.096696235367,10.216926919658576,16.507113967686404,432,334,0.23424417818635987,5,6,0.9414961736587459
gemma2_9b,71,all_train_selected,0.4,0.38295049646305657,0.38204930415892824,13741.84486534801,16483.62491941431,12.863698746622863,True,True,True,16576.52361004026,17.100562285419784,16.633356239725206,816,136,0.16066091329564647,10,11,0.8875437968193697
gemma2_9b,71,all_train_selected,0.45,0.4322297943516862,0.43305874743943706,25684.4493945982,36815.76334792183,31.067207798197433,True,True,True,35966.57498732431,28.588003156680443,30.23518444566481,378,1112,0.5856982671541534,21,28,0.47796596979824735
gemma2_9b,71,all_train_selected,0.5,0.48813861637803924,0.4860344292252637,55277.920289253416,81864.9271559926,68.25531323076572,True,True,True,82949.75082123102,33.359751244599266,32.47667565388286,1109,1353,0.8511515591151035,51,69,0.17266953628915063
gemma2_9b,71,all_train_selected,0.55,0.5415705335840035,0.5476949348787015,138572.70380513507,214228.60523523492,173.99698387656503,True,True,True,186821.73213837045,25.82623968902049,35.31549922897806,1349,223,0.2509810978561628,131,153,0.4750458353734472
gemma2_9b,71,all_train_selected,0.6,0.5894845508875515,0.5969993970631919,371912.99332206295,528788.2670965183,403.0736808874574,True,True,True,443695.21007525915,16.17827173320635,29.666935432555906,465,464,0.5314904783080371,266,356,0.9264166846410935
gemma2_9b,72,spacing,0.3,0.32331870504903415,0.3114041636926145,5263.4175,4763.629294295971,4.075,True,True,True,5281.551431332921,0.3433447836054704,-10.491752712631964,440,440,0.0,3,5,0.31397694798443676
gemma2_9b,72,spacing,0.35,0.36345872566926074,0.3591953034477548,8426.416100875054,8840.28982170609,15.25572887767283,True,True,True,9204.219912928524,8.450513127798509,4.681675931198848,479,332,0.060026390473903256,6,7,0.7363991241607317
gemma2_9b,72,spacing,0.4,0.40693074524311107,0.4035225783613322,14031.184017539585,16594.90853772944,18.32611415487725,True,True,True,17648.339762522228,20.49572817418206,15.448862007049247,331,380,0.7497858282553839,12,13,0.6746374367926431
gemma2_9b,72,spacing,0.45,0.4497372954223702,0.4470195150877291,26558.7076588125,34891.98428943084,39.2138911221647,True,True,True,35987.24412958043,26.19966240487407,23.883068848975096,377,376,0.33038178134679064,24,28,0.6945344229181347
gemma2_9b,72,spacing,0.5,0.4935732438227632,0.5018759445499742,57002.831247387585,80656.7038326229,87.12021595770679,True,True,True,68747.14325354109,17.083345504030913,29.326604561378222,374,226,0.5571950089313679,51,68,0.6406450134863044
gemma2_9b,72,spacing,0.55,0.5413419018422456,0.5424862225967397,136225.24611727346,172969.96809297413,194.33759389265387,True,True,True,167289.93292660906,18.56937011443709,21.243411431948577,371,468,0.8056241360942996,132,137,0.14586325500724062
gemma2_9b,72,spacing,0.6,0.5898840865707492,0.5821403291795061,360872.36656129226,393915.93442422425,440.4875727578599,True,True,True,454253.5292731281,20.557058271238816,8.388482154506093,221,464,0.7487997930367327,272,320,0.6314187319166742
gemma2_9b,72,dmrl_envelope,0.3,0.32302606673001094,0.3114041636926145,5259.155,4763.629294295971,4.0025,True,True,True,5259.105,-0.0009507321112600664,-10.402272618009501,783,783,0.0,3,5,0.31397694798443676
gemma2_9b,72,dmrl_envelope,0.35,0.3610858184265502,0.3591953034477548,8149.137861123786,8840.28982170609,7.319537375913683,True,True,True,8909.726320592621,8.536608556773773,7.818204770677061,916,820,0.5356055421790543,6,7,0.7363991241607317
gemma2_9b,72,dmrl_envelope,0.4,0.4116909255541289,0.4035225783613322,15944.597078245231,16594.90853772944,15.201954242295498,True,True,True,19415.11983507498,17.875360988295164,3.918740847565927,572,866,0.5897491899902064,12,13,0.6746374367926431
gemma2_9b,72,dmrl_envelope,0.45,0.4562790270043051,0.4470195150877291,31336.351158764053,34891.98428943084,34.215855429804755,True,True,True,39120.17012865182,19.897201224559236,10.19040104217812,862,861,0.7754255572946678,24,28,0.6945344229181347
gemma2_9b,72,dmrl_envelope,0.5,0.5069765184295237,0.5018759445499742,76516.85742272326,80656.7038326229,83.93548236875512,True,True,True,85933.80533866523,10.958374156514738,5.132674921219882,612,610,0.41385153991634405,51,68,0.6406450134863044
gemma2_9b,72,dmrl_envelope,0.55,0.5481966363006907,0.5424862225967397,189870.52083877593,172969.96809297413,201.1909457521162,True,True,True,191749.5860084575,0.9799578756841121,-9.77080179416896,607,605,0.4063840114065018,132,137,0.14586325500724062
gemma2_9b,72,dmrl_envelope,0.6,0.5870889180353285,0.5821403291795061,486705.4787190708,393915.93442422425,417.8867496198825,True,True,True,426829.7507330329,-14.028011843881071,-23.5556717020027,601,599,0.1711449778757234,272,320,0.6314187319166742
gemma2_9b,72,moment_envelope,0.3,0.32302606673001094,0.3114041636926145,5259.4375,4763.629294295971,4.01,True,True,True,5259.105,-0.006322368539901646,-10.408202970321723,1273,1273,0.0,3,5,0.31397694798443676
gemma2_9b,72,moment_envelope,0.35,0.3583807688400609,0.3591953034477548,7796.816794555916,8840.28982170609,8.68285386576069,True,True,True,8574.01165133231,9.064541644932634,11.803606535478872,1164,1067,0.2953846466305804,6,7,0.7363991241607317
gemma2_9b,72,moment_envelope,0.4,0.41070534680668025,0.4035225783613322,14768.556438112075,16594.90853772944,17.194454036110223,True,True,True,19049.314177063796,22.47197825161569,11.005496628469224,1307,1306,0.3061528971084278,12,13,0.6746374367926431
gemma2_9b,72,moment_envelope,0.45,0.4487415183383748,0.4470195150877291,26342.71002990407,34891.98428943084,31.512672222425262,True,True,True,35510.352671003355,25.81681665072647,24.502115410261826,1357,1356,0.7650040331080328,24,28,0.6945344229181347
gemma2_9b,72,moment_envelope,0.5,0.4974595886252648,0.5018759445499742,53152.318474724976,80656.7038326229,70.643965961142,True,True,True,73676.47702411587,27.85713891107049,34.1005571154686,1108,1352,0.08013223231091376,51,68,0.6406450134863044
