id,partition,price,method,quality,cost,samples,profit
59,train,2e-08,fixed_1,0.08274736664675762,2.68275e-05,1.0,0.08272053914675762
59,train,2e-08,fixed_2,0.13968598186546238,5.481500000000001e-05,2.0,0.13963116686546237
59,train,2e-08,fixed_4,0.22683243563419947,0.00013137499999999998,4.0,0.22670106063419942
59,train,2e-08,fixed_8,0.31438879669628467,0.0002667275,8.0,0.3141220691962846
59,train,2e-08,fixed_16,0.3550534482971597,0.000548925,16.0,0.35450452329715965
59,train,2e-08,fixed_32,0.46159202252370707,0.00111443,32.0,0.46047759252370707
59,train,2e-08,fixed_64,0.48649293444447966,0.002166185,64.0,0.4843267494444797
59,train,2e-08,fixed_128,0.5384963549358797,0.004327135,128.0,0.5341692199358796
59,train,2e-08,fixed_256,0.572847478683661,0.008620847499999999,256.0,0.564226631183661
59,train,2e-08,fixed_512,0.5955932803095877,0.01721392,512.0,0.5783793603095877
59,train,2e-08,dmrl_doubling,0.5955932803095877,0.01721392,512.0,0.5783793603095877
59,train,2e-08,dmrl_sequential,0.5745632593278203,0.015498452499999999,461.125,0.5590648068278203
59,train,1e-07,fixed_1,0.08274736664675762,0.0001341375,1.0,0.08261322914675763
59,train,1e-07,fixed_2,0.13968598186546238,0.000274075,2.0,0.1394119068654624
59,train,1e-07,fixed_4,0.22683243563419947,0.0006568749999999999,4.0,0.22617556063419947
59,train,1e-07,fixed_8,0.31438879669628467,0.0013336374999999999,8.0,0.3130551591962847
59,train,1e-07,fixed_16,0.3550534482971597,0.0027446249999999997,16.0,0.35230882329715973
59,train,1e-07,fixed_32,0.46159202252370707,0.00557215,32.0,0.456019872523707
59,train,1e-07,fixed_64,0.48649293444447966,0.010830925,64.0,0.47566200944447967
59,train,1e-07,fixed_128,0.5384963549358797,0.021635674999999997,128.0,0.5168606799358796
59,train,1e-07,fixed_256,0.572847478683661,0.043104237499999996,256.0,0.5297432411836611
59,train,1e-07,fixed_512,0.5955932803095877,0.0860696,512.0,0.5095236803095877
59,train,1e-07,dmrl_doubling,0.5955932803095877,0.0860696,512.0,0.5095236803095877
59,train,1e-07,dmrl_sequential,0.5574344100177724,0.06517781249999999,388.25,0.49225659751777234
59,train,2e-07,fixed_1,0.08274736664675762,0.000268275,1.0,0.08247909164675764
59,train,2e-07,fixed_2,0.13968598186546238,0.00054815,2.0,0.13913783186546239
59,train,2e-07,fixed_4,0.22683243563419947,0.0013137499999999998,4.0,0.22551868563419947
59,train,2e-07,fixed_8,0.31438879669628467,0.0026672749999999998,8.0,0.31172152169628464
59,train,2e-07,fixed_16,0.3550534482971597,0.005489249999999999,16.0,0.3495641982971597
59,train,2e-07,fixed_32,0.46159202252370707,0.0111443,32.0,0.4504477225237071
59,train,2e-07,fixed_64,0.48649293444447966,0.02166185,64.0,0.4648310844444796
59,train,2e-07,fixed_128,0.5384963549358797,0.04327134999999999,128.0,0.4952250049358796
59,train,2e-07,fixed_256,0.572847478683661,0.08620847499999999,256.0,0.48663900368366103
59,train,2e-07,fixed_512,0.5955932803095877,0.1721392,512.0,0.42345408030958775
59,train,2e-07,dmrl_doubling,0.5955932803095877,0.1613498,480.0,0.4342434803095877
59,train,2e-07,dmrl_sequential,0.5535332383460528,0.11634974999999999,346.625,0.4371834883460528
59,train,1e-06,fixed_1,0.08274736664675762,0.001341375,1.0,0.08140599164675763
59,train,1e-06,fixed_2,0.13968598186546238,0.0027407499999999997,2.0,0.1369452318654624
59,train,1e-06,fixed_4,0.22683243563419947,0.006568749999999999,4.0,0.22026368563419943
59,train,1e-06,fixed_8,0.31438879669628467,0.013336375000000001,8.0,0.3010524216962846
59,train,1e-06,fixed_16,0.3550534482971597,0.027446249999999995,16.0,0.32760719829715973
59,train,1e-06,fixed_32,0.46159202252370707,0.0557215,32.0,0.4058705225237071
59,train,1e-06,fixed_64,0.48649293444447966,0.10830925,64.0,0.3781836844444797
59,train,1e-06,fixed_128,0.5384963549358797,0.21635675,128.0,0.3221396049358796
59,train,1e-06,fixed_256,0.572847478683661,0.431042375,256.0,0.14180510368366106
59,train,1e-06,fixed_512,0.5955932803095877,0.8606959999999999,512.0,-0.2651027196904122
59,train,1e-06,dmrl_doubling,0.5478531416352027,0.3533331249999999,208.0,0.19452001663520274
59,train,1e-06,dmrl_sequential,0.5059232957625024,0.22910387499999996,135.375,0.27681942076250243
59,train,2e-06,fixed_1,0.08274736664675762,0.00268275,1.0,0.08006461664675762
59,train,2e-06,fixed_2,0.13968598186546238,0.005481499999999999,2.0,0.13420448186546236
59,train,2e-06,fixed_4,0.22683243563419947,0.013137499999999998,4.0,0.2136949356341995
59,train,2e-06,fixed_8,0.31438879669628467,0.026672750000000002,8.0,0.28771604669628464
59,train,2e-06,fixed_16,0.3550534482971597,0.05489249999999999,16.0,0.3001609482971597
59,train,2e-06,fixed_32,0.46159202252370707,0.111443,32.0,0.350149022523707
59,train,2e-06,fixed_64,0.48649293444447966,0.2166185,64.0,0.26987443444447967
59,train,2e-06,fixed_128,0.5384963549358797,0.4327135,128.0,0.1057828549358796
59,train,2e-06,fixed_256,0.572847478683661,0.86208475,256.0,-0.289237271316339
59,train,2e-06,fixed_512,0.5955932803095877,1.7213919999999998,512.0,-1.1257987196904122
59,train,2e-06,dmrl_doubling,0.5211110477461931,0.48910899999999996,144.0,0.03200204774619314
59,train,2e-06,dmrl_sequential,0.48840779248198135,0.27455699999999994,80.75,0.21385079248198147
59,train,1e-05,fixed_1,0.08274736664675762,0.01341375,1.0,0.06933361664675763
59,train,1e-05,fixed_2,0.13968598186546238,0.0274075,2.0,0.11227848186546238
