generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,theory_doubling,2e-08,0.5901666321308351,0.5909400034717875,937,-0.1308713805815953,-0.18701935728551927,0.618068552630835,1395096.025,921.58,1343600.5213643622,-3.8326498700183897
gemma2_9b,71,theory_doubling,1e-07,0.5041089920471764,0.5308452984261326,309,-5.03655329683146,-5.221146488966528,0.6046479345471765,1005389.425,760.7,909268.89095791,-10.571189116656953
gemma2_9b,71,theory_doubling,2e-07,0.44805889038039437,0.49760166767075814,166,-9.956312550613099,-10.181025883818357,0.5934568003803944,726989.55,621.7,655096.5309632261,-10.974416080492055
gemma2_9b,71,theory_doubling,1e-06,0.3124309914574481,0.41155665459581137,50,-24.085544974534375,-24.94540241226436,0.5429284039574481,230497.4125,271.88,220849.2589431931,-4.368660145374825
gemma2_9b,71,theory_doubling,2e-06,0.23579986923317042,0.3635221436972772,33,-35.13466144457693,-37.12419257431646,0.5176852292331704,140942.68,181.32,131126.90288979904,-7.485708038456673
gemma2_9b,71,theory_doubling,1e-05,0.07239056911311731,0.2663296886884845,5,-72.81918907741834,-72.94411164186288,0.4571599191131173,38476.935,56.59,44650.10931777926,13.825664510346803
gemma2_9b,71,theory_sequential,2e-08,0.5891449749669068,0.5909400034717875,937,-0.30375816399887334,-0.3598089410654126,0.6153232191169068,1308912.2075,883.305,1217718.1981566425,-7.4889255561266355
gemma2_9b,71,theory_sequential,1e-07,0.5181814439577193,0.5308452984261326,309,-2.38560170090223,-2.5753479033194293,0.5936076314577192,754261.875,630.575,658522.1972373367,-14.538565011827242
gemma2_9b,71,theory_sequential,2e-07,0.48050144468386224,0.49760166767075814,166,-3.4365284720489293,-3.677512600615565,0.5757855086838622,476420.32,464.8675,446517.97873792704,-6.696783262029271
gemma2_9b,71,theory_sequential,1e-06,0.37672662069073776,0.41155665459581137,50,-8.462998597187084,-9.499807350636027,0.5178811031907378,141154.4825,179.56,131515.95767236472,-7.328787318453767
gemma2_9b,71,theory_sequential,2e-06,0.32373104413619574,0.3635221436972772,33,-10.945990567831121,-13.677429699102028,0.49238023413619575,84324.595,113.5675,83980.9481577058,-0.40919619250889827
gemma2_9b,71,theory_sequential,1e-05,0.1808095466243883,0.2663296886884845,5,-32.11063043148967,-32.422648868657575,0.4296693466243883,24885.98,34.7225,27629.126591448112,9.928459310390158
gemma2_9b,72,theory_doubling,2e-08,0.6005477766710586,0.59938709383184,800,0.1936449501771048,-0.1604999627169893,0.6246566419210586,1205443.2625,922.54,1178432.7618159198,-2.292069735269253
gemma2_9b,72,theory_doubling,1e-07,0.5196854222626833,0.5435054143689845,319,-4.382659579197828,-4.511786293639674,0.6121661112626833,924806.89,793.5,839021.8565803227,-10.22440985856068
gemma2_9b,72,theory_doubling,2e-07,0.4653513202168088,0.5105942713382504,161,-8.860841897591479,-9.333749469705296,0.6014937457168088,680712.1275,665.82,651377.7038206651,-4.50344301121659
gemma2_9b,72,theory_doubling,1e-06,0.3211751937279873,0.4217574480845677,31,-23.84836469714517,-25.149876418343297,0.5522734612279873,231098.2675,303.68,204968.2316182125,-12.748334547013629
gemma2_9b,72,theory_doubling,2e-06,0.24343872656566956,0.3774932936069785,16,-35.511774463701556,-36.45370731543927,0.5263852865656695,141473.28,196.18,117710.67771865419,-20.18729544497393
gemma2_9b,72,theory_doubling,1e-05,0.10385704008898178,0.27698041157171094,5,-62.503832130347995,-62.631315646904206,0.4554904150889818,35163.3375,50.32,36607.83576186093,3.9458717834553014
gemma2_9b,72,theory_sequential,2e-08,0.5978193592092736,0.59938709383184,800,-0.2615562861962711,-0.6140922427310582,0.6209661095092737,1157337.515,892.705,1064128.2089932736,-8.759217659957308
gemma2_9b,72,theory_sequential,1e-07,0.5290656808004863,0.5435054143689845,319,-2.6567782374832145,-2.7882356733840696,0.5991463965504863,700807.1575,671.9475,610106.0341376544,-14.86645243405038
gemma2_9b,72,theory_sequential,2e-07,0.4910151697710451,0.5105942713382504,161,-3.8345713350620168,-4.333559479544541,0.5834799332710451,462323.8175,517.03,394717.6288573651,-17.127734790650816
gemma2_9b,72,theory_sequential,1e-06,0.3849765823500481,0.4217574480845677,31,-8.720857426836616,-10.280914193673155,0.5291673448500481,144190.7625,196.9075,124703.71539867604,-15.626677231728149
gemma2_9b,72,theory_sequential,2e-06,0.32741371437627487,0.3774932936069785,16,-13.266349383902755,-14.533205064719377,0.49450296937627486,83544.6275,117.0475,65953.8279437976,-26.671385277579883
gemma2_9b,72,theory_sequential,1e-05,0.20144389952818956,0.27698041157171094,5,-27.271427468423983,-27.518697915171256,0.42571619952818957,22427.23,30.1,23084.585110298398,2.8475933492308814
gemma2_9b,73,theory_doubling,2e-08,0.6033011655436501,0.605442901608492,935,-0.35374699400255954,-0.39412754335083805,0.6286705037936501,1268466.9125,918.74,1159658.5209860639,-9.382795844195236
gemma2_9b,73,theory_doubling,1e-07,0.5225645749218137,0.5372614348993974,284,-2.7355136667003896,-3.618902245740353,0.6167425989218137,941780.24,770.5,845792.3408674954,-11.348873061921271
gemma2_9b,73,theory_doubling,2e-07,0.4686771551434765,0.5062372859441439,165,-7.419471430401822,-7.497301157046349,0.6058539206434765,685883.8275,642.74,679803.781894912,-0.8943824331397954
gemma2_9b,73,theory_doubling,1e-06,0.32847099093554344,0.4217070194350825,33,-22.10919529497938,-22.48763612650634,0.5543105634355434,225839.5725,316.64,238284.89689996952,5.222875877523192
gemma2_9b,73,theory_doubling,2e-06,0.25204563520258005,0.37643620929336324,18,-33.04426381412301,-33.73358316916648,0.53176360520258,139858.985,224.88,146475.0218092592,4.516836200150676
gemma2_9b,73,theory_doubling,1e-05,0.09016559678613517,0.2721564613903621,5,-66.86994079600117,-66.86994079600117,0.46359197178613515,37342.6375,69.52,43161.61683140157,13.481838166841008
gemma2_9b,73,theory_sequential,2e-08,0.6000096581841217,0.605442901608492,935,-0.8973998059826525,-0.9375600460012748,0.6236440017841217,1181717.18,873.7525,1001614.5739208288,-17.981228585179032
gemma2_9b,73,theory_sequential,1e-07,0.5342259493657247,0.5372614348993974,284,-0.56499226195923,-1.468094241972079,0.6035380223657246,693120.73,637.96,647525.3698503694,-7.041478569429138
gemma2_9b,73,theory_sequential,2e-07,0.49657486065176587,0.5062372859441439,165,-1.9086751530672708,-1.9911376440142403,0.5862686901517659,448469.1475,497.9825,441236.22059283184,-1.639241424344129
gemma2_9b,73,theory_sequential,1e-06,0.39029772335164126,0.4217070194350825,33,-7.4481321476500515,-7.897805327456845,0.5298406158516412,139542.8925,223.065,140274.19472584454,0.521337675310729
gemma2_9b,73,theory_sequential,2e-06,0.3353104520655111,0.37643620929336324,18,-10.925026926886874,-11.842067146097007,0.5061097420655111,85399.645,144.245,91521.22194985059,6.688696697258834
gemma2_9b,73,theory_sequential,1e-05,0.19084193017860926,0.2721564613903621,5,-29.877861725693514,-29.877861725693514,0.43922078017860927,24837.885,42.8475,29717.260004169268,16.419330057632177
gemma2_9b,74,theory_doubling,2e-08,0.6011490388972078,0.6040694406484791,926,-0.483454641925965,-0.5399912847325279,0.6268866551472079,1286880.8125,917.31,1142835.655422825,-12.604188221961055
gemma2_9b,74,theory_doubling,1e-07,0.515696410448111,0.5336993919400159,263,-3.3732437705172322,-4.618080450457833,0.6140597254481109,983633.15,788.35,826840.7904368222,-18.962823481452084
