generator,split_seed,price,method,selected_policy,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high,delta_test_oracle
gemma2_9b,41,2e-08,spacing,spacing_w4_a4_n5,507,0.6031167378103424,0.6032223670469036,-0.00010562923656129319,-0.017510828896880076,0.6165755854603424,0.616600060846904,0.013458847650000001,0.013377693800000002,509.77,-0.0025378736779588696,0.0017666239407252526,-0.001178511327672327
gemma2_9b,41,2e-08,recent_gain,recent_gain_w16_a0.5_n32,507,0.46933196540703576,0.6032223670469036,-0.13389040163986765,-22.195861585062378,0.470291827557036,0.616600060846904,0.0009598621499999999,0.013377693800000002,37.045,-0.14976736620557893,-0.11821475555898633,-0.13496328373097893
gemma2_9b,41,2e-08,remaining_range,remaining_range_w0_a0.1_n4,507,0.6041017234747115,0.6032223670469036,0.0008793564278077959,0.14577649567483983,0.6169718132747115,0.616600060846904,0.0128700898,0.013377693800000002,505.7925,-0.0002232631706860703,0.0021070262804755045,-0.00019352566330321785
gemma2_9b,41,2e-08,all_train_selected,remaining_range_w0_a0.1_n4,507,0.6041017234747115,0.6032223670469036,0.0008793564278077959,0.14577649567483983,0.6169718132747115,0.616600060846904,0.0128700898,0.013377693800000002,505.7925,-0.0003128305494236317,0.0021754232795292146,-0.00019352566330321785
gemma2_9b,41,2e-08,original_sequential,spacing_w2_a4_n4,507,0.5936468815746578,0.6032223670469036,-0.00957548547224585,-1.5873889953920273,0.606410686224658,0.616600060846904,0.012763804650000002,0.013377693800000002,486.15,-0.016179102702061885,-0.004113196098957691,-0.010648367563356853
gemma2_9b,41,1e-07,spacing,spacing_w4_a2_n5,377,0.5509208375697126,0.5525451219320627,-0.0016242843623500535,-0.2939641122286054,0.6002518878197127,0.6022818041820625,0.04933105024999999,0.04973668225000002,437.9325,-0.008662364751694965,0.005183273500043409,-0.003849142441819109
gemma2_9b,41,1e-07,recent_gain,recent_gain_w16_a1_n32,377,0.46549251680703607,0.5525451219320627,-0.0870526051250266,-15.754840947764263,0.470291827557036,0.6022818041820625,0.004799310749999999,0.04973668225000002,37.045,-0.10658026650438229,-0.06959293808253693,-0.08927746320449559
gemma2_9b,41,1e-07,remaining_range,remaining_range_w0_a0.1_n4,377,0.5645933530004844,0.5525451219320627,0.012048231068421915,2.180497228225152,0.5956628230004847,0.6022818041820625,0.031069469999999995,0.04973668225000002,363.955,0.00483965950840698,0.019302459725237826,0.00982337298895275
gemma2_9b,41,1e-07,all_train_selected,remaining_range_w0_a0.1_n4,377,0.5645933530004844,0.5525451219320627,0.012048231068421915,2.180497228225152,0.5956628230004847,0.6022818041820625,0.031069469999999995,0.04973668225000002,363.955,0.004992318353264589,0.01971445789941034,0.00982337298895275
gemma2_9b,41,1e-07,original_sequential,spacing_w2_a4_n4,377,0.5414973111273996,0.5525451219320627,-0.011047810804662916,-1.999440473934956,0.5969508066273999,0.6022818041820625,0.0554534955,0.04973668225000002,451.2625,-0.018778732653230643,-0.003737581832260175,-0.013272668884132033
