generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,odds_current_costse0,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_costse0,0.35,8667.347728489392,10245.896074796543,True,15.406640227301905
gemma2_9b,71,odds_current_costse0,0.4,16440.503164157122,21087.891648758457,True,22.038184575341123
gemma2_9b,71,odds_current_costse0,0.45,31974.088961183526,46511.10682689116,True,31.254938567281787
gemma2_9b,71,odds_current_costse0,0.5,59917.997299120994,99208.44369545512,True,39.603933831424555
gemma2_9b,71,odds_current_costse0,0.55,143676.59693655107,214263.90542127052,True,32.94409683513221
gemma2_9b,71,odds_current_costse0,0.6,394490.7368474588,548920.7474137497,True,28.133389254075514
gemma2_9b,71,odds_current_costse1,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_costse1,0.35,8579.900858619556,10245.896074796543,True,16.260122140757403
gemma2_9b,71,odds_current_costse1,0.4,16662.992111800442,21087.891648758457,True,20.983129137134625
gemma2_9b,71,odds_current_costse1,0.45,31927.758986358458,46511.10682689116,True,31.354549129114908
gemma2_9b,71,odds_current_costse1,0.5,60334.79334646984,99208.44369545512,True,39.183812285492124
gemma2_9b,71,odds_current_costse1,0.55,142370.50404000696,214263.90542127052,True,33.55366889253318
gemma2_9b,71,odds_current_costse1,0.6,396887.0481679495,548920.7474137497,True,27.696839655289008
gemma2_9b,71,odds_current_costse2,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_costse2,0.35,8585.641370153004,10245.896074796543,True,16.204094717762473
gemma2_9b,71,odds_current_costse2,0.4,16527.66682510329,21087.891648758457,True,21.624849461532826
gemma2_9b,71,odds_current_costse2,0.45,32144.089692979782,46511.10682689116,True,30.88943289907875
gemma2_9b,71,odds_current_costse2,0.5,60648.08803268708,99208.44369545512,True,38.86801790897819
gemma2_9b,71,odds_current_costse2,0.55,143753.7717663101,214263.90542127052,True,32.90807824879715
gemma2_9b,71,odds_current_costse2,0.6,398504.83171881223,548920.7474137497,True,27.402118867545965
gemma2_9b,71,odds_mean_costse0,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_costse0,0.35,8600.385865849737,10245.896074796543,True,16.06018836160683
gemma2_9b,71,odds_mean_costse0,0.4,16273.339567107254,21087.891648758457,True,22.83088400605785
gemma2_9b,71,odds_mean_costse0,0.45,31247.496724524688,46511.10682689116,True,32.817129377668486
gemma2_9b,71,odds_mean_costse0,0.5,61466.51820131318,99208.44369545512,True,38.04305771593407
gemma2_9b,71,odds_mean_costse0,0.55,141944.41036752405,214263.90542127052,True,33.75253284567786
gemma2_9b,71,odds_mean_costse0,0.6,385169.3692303044,548920.7474137497,True,29.83151556121042
gemma2_9b,71,odds_mean_costse1,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_costse1,0.35,8566.891352914234,10245.896074796543,True,16.387094985400285
gemma2_9b,71,odds_mean_costse1,0.4,16277.270895364214,21087.891648758457,True,22.812241420433644
gemma2_9b,71,odds_mean_costse1,0.45,31064.45890124217,46511.10682689116,True,33.21066510659397
gemma2_9b,71,odds_mean_costse1,0.5,61989.566558686536,99208.44369545512,True,37.515836102641764
gemma2_9b,71,odds_mean_costse1,0.55,140810.0094440069,214263.90542127052,True,34.28197382701663
gemma2_9b,71,odds_mean_costse1,0.6,386070.3110307349,548920.7474137497,True,29.66738589318907
gemma2_9b,71,odds_mean_costse2,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_costse2,0.35,8406.50035089601,10245.896074796543,True,17.95251201527591
gemma2_9b,71,odds_mean_costse2,0.4,16388.758921773122,21087.891648758457,True,22.28355876089678
gemma2_9b,71,odds_mean_costse2,0.45,31137.588807637592,46511.10682689116,True,33.05343404634937
gemma2_9b,71,odds_mean_costse2,0.5,62281.26371122917,99208.44369545512,True,37.22181158045687
gemma2_9b,71,odds_mean_costse2,0.55,141197.56308875012,214263.90542127052,True,34.10109705079002
gemma2_9b,71,odds_mean_costse2,0.6,387971.7693981011,548920.7474137497,True,29.320986458238774
gemma2_9b,72,odds_current_costse0,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_current_costse0,0.35,6574.703217569213,7592.430580091911,True,13.40450007131152
gemma2_9b,72,odds_current_costse0,0.4,12884.080656984872,15722.010224823078,True,18.05067880796485
gemma2_9b,72,odds_current_costse0,0.45,25204.941791417856,36113.056995948165,True,30.20546060599131
gemma2_9b,72,odds_current_costse0,0.5,55511.43331996496,76898.66553723335,True,27.812228037836316
gemma2_9b,72,odds_current_costse0,0.55,127344.22671476434,198184.50347067398,True,35.74460944994728
gemma2_9b,72,odds_current_costse0,0.6,383193.6200056857,569802.1302506098,True,32.749703859978574
gemma2_9b,72,odds_current_costse1,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_current_costse1,0.35,6585.520001504779,7592.430580091911,True,13.262032072144969
gemma2_9b,72,odds_current_costse1,0.4,12829.52311123316,15722.010224823078,True,18.397692611998462
gemma2_9b,72,odds_current_costse1,0.45,24614.29040967571,36113.056995948165,True,31.84102245224657
gemma2_9b,72,odds_current_costse1,0.5,55863.334395729566,76898.66553723335,True,27.354611415615192
gemma2_9b,72,odds_current_costse1,0.55,126490.34616290659,198184.50347067398,True,36.17546077126874
gemma2_9b,72,odds_current_costse1,0.6,383873.3595881463,569802.1302506098,True,32.630409889953995
gemma2_9b,72,odds_current_costse2,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_current_costse2,0.35,6561.629895882837,7592.430580091911,True,13.576688957972605
gemma2_9b,72,odds_current_costse2,0.4,12942.571623484138,15722.010224823078,True,17.678646442746583
gemma2_9b,72,odds_current_costse2,0.45,24826.242568563637,36113.056995948165,True,31.254109638657546
gemma2_9b,72,odds_current_costse2,0.5,56248.32720228774,76898.66553723335,True,26.85396188695495
gemma2_9b,72,odds_current_costse2,0.55,126012.56682195904,198184.50347067398,True,36.41653882357884
gemma2_9b,72,odds_current_costse2,0.6,385443.3023394195,569802.1302506098,True,32.354885691653315
gemma2_9b,72,odds_mean_costse0,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_mean_costse0,0.35,6537.37618779801,7592.430580091911,True,13.896134856476083
gemma2_9b,72,odds_mean_costse0,0.4,12807.611466670565,15722.010224823078,True,18.53706184181869
gemma2_9b,72,odds_mean_costse0,0.45,25218.041678775342,36113.056995948165,True,30.16918594954514
gemma2_9b,72,odds_mean_costse0,0.5,55319.21535510465,76898.66553723335,True,28.062190717315115
gemma2_9b,72,odds_mean_costse0,0.55,129735.8994331579,198184.50347067398,True,34.53781846654053
gemma2_9b,72,odds_mean_costse0,0.6,387528.46386727097,569802.1302506098,True,31.98894084568821
gemma2_9b,72,odds_mean_costse1,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_mean_costse1,0.35,6529.167175302273,7592.430580091911,True,14.004255864750581
gemma2_9b,72,odds_mean_costse1,0.4,12867.589668316892,15722.010224823078,True,18.155569902883116
gemma2_9b,72,odds_mean_costse1,0.45,25181.715988082116,36113.056995948165,True,30.269774749594113
gemma2_9b,72,odds_mean_costse1,0.5,55275.57243230243,76898.66553723335,True,28.11894452766711
gemma2_9b,72,odds_mean_costse1,0.55,130432.7552046513,198184.50347067398,True,34.18619875900042
gemma2_9b,72,odds_mean_costse1,0.6,386936.39317225985,569802.1302506098,True,32.09284896810094
gemma2_9b,72,odds_mean_costse2,0.3,,4030.3153300212684,False,
gemma2_9b,72,odds_mean_costse2,0.35,6542.950603639161,7592.430580091911,True,13.8227141543393
gemma2_9b,72,odds_mean_costse2,0.4,12754.104434533094,15722.010224823078,True,18.87739384372129
gemma2_9b,72,odds_mean_costse2,0.45,25270.636938225856,36113.056995948165,True,30.023545386752538
