generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,odds_mean_n3_costse1,0.3,5564.986980691161,5682.447243811397,True,2.06707177524893
gemma2_9b,71,odds_mean_n3_costse1,0.35,11440.21820471725,11430.783216175962,True,-0.08254017561926119
gemma2_9b,71,odds_mean_n3_costse1,0.4,21398.60518633888,22986.620601867657,True,6.908433575485007
gemma2_9b,71,odds_mean_n3_costse1,0.45,42851.51751300175,43860.550070600555,True,2.300546974387241
gemma2_9b,71,odds_mean_n3_costse1,0.5,86593.60901518278,99658.55898699633,True,13.109711904943655
gemma2_9b,71,odds_mean_n3_costse1,0.55,200277.09418247972,210502.33424260665,True,4.857542362614476
gemma2_9b,71,odds_mean_n3_costse1,0.6,532433.0726600825,493199.56846729445,True,-7.9548942661716415
gemma2_9b,71,odds_current_n4_costse0,0.3,,5682.447243811397,False,
gemma2_9b,71,odds_current_n4_costse0,0.35,10814.110113583147,11430.783216175962,True,5.394845575587038
gemma2_9b,71,odds_current_n4_costse0,0.4,20634.143485179757,22986.620601867657,True,10.234114694078878
gemma2_9b,71,odds_current_n4_costse0,0.45,38617.48306925251,43860.550070600555,True,11.953947209755677
gemma2_9b,71,odds_current_n4_costse0,0.5,78638.40351245958,99658.55898699633,True,21.09217280301986
gemma2_9b,71,odds_current_n4_costse0,0.55,185754.00534491416,210502.33424260665,True,11.756795470576453
gemma2_9b,71,odds_current_n4_costse0,0.6,459095.07325788634,493199.56846729445,True,6.9149483069082756
gemma2_9b,71,odds_mean_n4_costse1,0.3,,5682.447243811397,False,
gemma2_9b,71,odds_mean_n4_costse1,0.35,11036.394574884102,11430.783216175962,True,3.4502328828505124
gemma2_9b,71,odds_mean_n4_costse1,0.4,19973.669449896493,22986.620601867657,True,13.107412368942839
gemma2_9b,71,odds_mean_n4_costse1,0.45,39492.36579866804,43860.550070600555,True,9.959255560865577
gemma2_9b,71,odds_mean_n4_costse1,0.5,81940.60549834353,99658.55898699633,True,17.778657115606777
gemma2_9b,71,odds_mean_n4_costse1,0.55,180736.42122555495,210502.33424260665,True,14.140419451475584
gemma2_9b,71,odds_mean_n4_costse1,0.6,449636.4570392688,493199.56846729445,True,8.83275538204662
gemma2_9b,72,odds_mean_n3_costse1,0.3,5062.514658714337,5196.780416753831,True,2.583633466725588
gemma2_9b,72,odds_mean_n3_costse1,0.35,10943.789090158154,10147.342362527132,True,-7.848820894938968
gemma2_9b,72,odds_mean_n3_costse1,0.4,21320.353313292148,21043.260171600254,True,-1.316778576286648
gemma2_9b,72,odds_mean_n3_costse1,0.45,42201.057855842235,41776.01136794621,True,-1.01744152679486
gemma2_9b,72,odds_mean_n3_costse1,0.5,89568.3077237435,94879.50333739074,True,5.597832436749439
gemma2_9b,72,odds_mean_n3_costse1,0.55,223487.06576267548,225205.50062161882,True,0.7630519033505201
gemma2_9b,72,odds_mean_n3_costse1,0.6,528537.2442956506,497666.76120647904,True,-6.203042978866646
gemma2_9b,72,odds_current_n4_costse0,0.3,,5196.780416753831,False,
gemma2_9b,72,odds_current_n4_costse0,0.35,10322.940213443519,10147.342362527132,True,-1.7304811904725659
gemma2_9b,72,odds_current_n4_costse0,0.4,19859.841731424982,21043.260171600254,True,5.623740953278711
gemma2_9b,72,odds_current_n4_costse0,0.45,39208.19172983815,41776.01136794621,True,6.146636679820238
gemma2_9b,72,odds_current_n4_costse0,0.5,80183.13583731014,94879.50333739074,True,15.489507199274044
gemma2_9b,72,odds_current_n4_costse0,0.55,205911.38492848046,225205.50062161882,True,8.567337671540965
gemma2_9b,72,odds_current_n4_costse0,0.6,468988.6837105327,497666.76120647904,True,5.76250610477238
gemma2_9b,72,odds_mean_n4_costse1,0.3,,5196.780416753831,False,
gemma2_9b,72,odds_mean_n4_costse1,0.35,10281.270871527322,10147.342362527132,True,-1.3198382809549436
gemma2_9b,72,odds_mean_n4_costse1,0.4,19840.8052844922,21043.260171600254,True,5.714204345251006
gemma2_9b,72,odds_mean_n4_costse1,0.45,39904.07564843999,41776.01136794621,True,4.480886657701633
gemma2_9b,72,odds_mean_n4_costse1,0.5,84476.50508964466,94879.50333739074,True,10.964431602000591
gemma2_9b,72,odds_mean_n4_costse1,0.55,204280.18604972525,225205.50062161882,True,9.29165340728131
gemma2_9b,72,odds_mean_n4_costse1,0.6,469166.1572160962,497666.76120647904,True,5.726844991875623
gemma2_9b,73,odds_mean_n3_costse1,0.3,,4386.65673467054,False,
gemma2_9b,73,odds_mean_n3_costse1,0.35,9772.404581378658,9358.796295799131,True,-4.419460286417198
gemma2_9b,73,odds_mean_n3_costse1,0.4,21168.029037801865,20127.21347063923,True,-5.171185612359763
gemma2_9b,73,odds_mean_n3_costse1,0.45,43978.80914306009,43561.06375158148,True,-0.9589880400095563
gemma2_9b,73,odds_mean_n3_costse1,0.5,91235.99293397655,101614.68542762534,True,10.213772202287608
gemma2_9b,73,odds_mean_n3_costse1,0.55,240024.34253639204,263026.21768571914,True,8.74508836104363
gemma2_9b,73,odds_mean_n3_costse1,0.6,682032.3445143553,644952.2723843886,True,-5.7492738172518765
gemma2_9b,73,odds_current_n4_costse0,0.3,,4386.65673467054,False,
