generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,odds_mean_n3_costse1,2e-08,0.6042729068511994,0.6197076741833175,931,-2.4906529280049425,-2.562873194776458,0.6270334491011994,1138027.1125,782.6625,867435.4603327819,-31.194442069892858
gemma2_9b,71,odds_mean_n3_costse1,1e-07,0.5426774926704693,0.5507261550378892,331,-1.4614636137748407,-1.5335825998908235,0.5776489844204693,349714.9175,304.4125,334151.1023792238,-4.657717724095067
gemma2_9b,71,odds_mean_n3_costse1,2e-07,0.5098347293547704,0.5080650848470389,198,0.34831059258169783,-0.2210069727045665,0.5489082148547704,195367.4275,182.405,206692.60537031316,5.479237077699439
gemma2_9b,71,odds_mean_n3_costse1,1e-06,0.41049380205527997,0.41074211111256803,35,-0.06045376175709768,-0.06045376175709768,0.45854957205527996,48055.77,49.3025,49562.39625308514,3.039857567401938
gemma2_9b,71,odds_mean_n3_costse1,2e-06,0.3620555745238791,0.3623863201186104,21,-0.09126878592520576,-0.6464394996230398,0.4128587895238791,25401.6075,26.79,27213.95519725864,6.659626225302262
gemma2_9b,71,odds_mean_n3_costse1,1e-05,0.244930059156532,0.24528967877971677,4,-0.14661017331583065,-0.14661017331583065,0.311506209156532,6657.615,6.555,6672.314217963246,0.2203016447227979
gemma2_9b,71,odds_current_n4_costse0,2e-08,0.6128418038074979,0.6197076741833175,931,-1.107920824906331,-1.1811652117684626,0.6327227445574979,994047.0375,701.7675,1006720.4837756415,1.2588843159434537
gemma2_9b,71,odds_current_n4_costse0,1e-07,0.5470365926512256,0.5507261550378892,331,-0.6699450085877595,-0.7426432961769679,0.5772202969012256,301837.0425,268.0875,331863.4538155198,9.047821015028445
gemma2_9b,71,odds_current_n4_costse0,2e-07,0.5116480597182455,0.5080650848470389,198,0.7052196614308232,0.13387720304067038,0.5458605622182454,171062.5125,164.0,196057.9761185586,12.749016445749461
gemma2_9b,71,odds_current_n4_costse0,1e-06,0.4114894675283071,0.41074211111256803,35,0.18195271327664428,0.18195271327664428,0.45543054002830713,43941.0725,44.9875,47482.26396797747,7.457924648171133
gemma2_9b,71,odds_current_n4_costse0,2e-06,0.3641832172145831,0.3623863201186104,21,0.49585124940272657,-0.06258196042611021,0.4117280422145831,23772.4125,24.6625,26842.22135634339,11.43649333484813
gemma2_9b,71,odds_current_n4_costse0,1e-05,0.24849015406320757,0.24528967877971677,4,1.3047737268900712,1.3047737268900712,0.32025672906320757,7176.6575,6.4825,7629.587256623743,5.936490944913498
gemma2_9b,71,odds_mean_n4_costse1,2e-08,0.613451698884395,0.6197076741833175,931,-1.0095042484614971,-1.0828215275295454,0.6367829465843949,1166562.385,805.495,1106122.1300503176,-5.464157465770336
