generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,odds_current_n2_costse0,0.3,4379.561208122069,5028.71983469853,True,12.909023527165298
gemma2_9b,71,odds_current_n2_costse0,0.35,9308.073673553787,10245.896074796543,True,9.153151607204634
gemma2_9b,71,odds_current_n2_costse0,0.4,18284.57649820458,21087.891648758457,True,13.293482332165352
gemma2_9b,71,odds_current_n2_costse0,0.45,34454.19422922466,46511.10682689116,True,25.922652502209644
gemma2_9b,71,odds_current_n2_costse0,0.5,66175.63798131616,99208.44369545512,True,33.29636519200052
gemma2_9b,71,odds_current_n2_costse0,0.55,170734.68961165595,214263.90542127052,True,20.31570166894443
gemma2_9b,71,odds_current_n2_costse0,0.6,497807.2431249837,548920.7474137497,True,9.31163643013827
gemma2_9b,71,odds_current_n2_costse1,0.3,4351.7715502656065,5028.71983469853,True,13.461642459417433
gemma2_9b,71,odds_current_n2_costse1,0.35,9370.57997418924,10245.896074796543,True,8.543089781678114
gemma2_9b,71,odds_current_n2_costse1,0.4,18148.432195891633,21087.891648758457,True,13.939086475910855
gemma2_9b,71,odds_current_n2_costse1,0.45,34406.8917312138,46511.10682689116,True,26.024354012317573
gemma2_9b,71,odds_current_n2_costse1,0.5,66234.72533323358,99208.44369545512,True,33.23680639869983
gemma2_9b,71,odds_current_n2_costse1,0.55,170538.7661488358,214263.90542127052,True,20.407141924565153
gemma2_9b,71,odds_current_n2_costse1,0.6,493983.7884621675,548920.7474137497,True,10.008176810663238
gemma2_9b,71,odds_mean_n2_costse0,0.3,4243.698012387926,5028.71983469853,True,15.610768706856504
gemma2_9b,71,odds_mean_n2_costse0,0.35,9010.219057782835,10245.896074796543,True,12.060214235954426
gemma2_9b,71,odds_mean_n2_costse0,0.4,17104.83685698467,21087.891648758457,True,18.88787583944309
gemma2_9b,71,odds_mean_n2_costse0,0.45,32591.5500194569,46511.10682689116,True,29.927382419088
gemma2_9b,71,odds_mean_n2_costse0,0.5,64171.576177639705,99208.44369545512,True,35.31641684186656
gemma2_9b,71,odds_mean_n2_costse0,0.55,155419.11737354673,214263.90542127052,True,27.46369619839951
gemma2_9b,71,odds_mean_n2_costse0,0.6,441384.01858452585,548920.7474137497,True,19.590574656885373
gemma2_9b,71,odds_mean_n2_costse1,0.3,4248.514353911698,5028.71983469853,True,15.514992014535345
gemma2_9b,71,odds_mean_n2_costse1,0.35,8909.163138728125,10245.896074796543,True,13.0465205415912
gemma2_9b,71,odds_mean_n2_costse1,0.4,17152.065978106504,21087.891648758457,True,18.663912619655708
gemma2_9b,71,odds_mean_n2_costse1,0.45,32242.94031061613,46511.10682689116,True,30.676901690126325
gemma2_9b,71,odds_mean_n2_costse1,0.5,64315.313995268174,99208.44369545512,True,35.171532180567254
gemma2_9b,71,odds_mean_n2_costse1,0.55,152965.98588429255,214263.90542127052,True,28.608607416381382
gemma2_9b,71,odds_mean_n2_costse1,0.6,442977.9388133753,548920.7474137497,True,19.300201185603918
gemma2_9b,71,odds_current_n3_costse0,0.3,4694.7107329482915,5028.71983469853,True,6.642030431792034
gemma2_9b,71,odds_current_n3_costse0,0.35,8870.286005155434,10245.896074796543,True,13.425961571335032
gemma2_9b,71,odds_current_n3_costse0,0.4,17156.89760845804,21087.891648758457,True,18.64100074950762
gemma2_9b,71,odds_current_n3_costse0,0.45,33516.28329935499,46511.10682689116,True,27.93918359307459
gemma2_9b,71,odds_current_n3_costse0,0.5,61382.19857093351,99208.44369545512,True,38.1280501089591
gemma2_9b,71,odds_current_n3_costse0,0.55,155138.75214933197,214263.90542127052,True,27.594546620295603
gemma2_9b,71,odds_current_n3_costse0,0.6,426300.49400761793,548920.7474137497,True,22.338425716983622
gemma2_9b,71,odds_current_n3_costse1,0.3,4701.480924526268,5028.71983469853,True,6.507399913478773
gemma2_9b,71,odds_current_n3_costse1,0.35,8795.846147620228,10245.896074796543,True,14.15249497545883
gemma2_9b,71,odds_current_n3_costse1,0.4,17331.644315205645,21087.891648758457,True,17.812341774688324
gemma2_9b,71,odds_current_n3_costse1,0.45,33450.47424900999,46511.10682689116,True,28.08067463647189
gemma2_9b,71,odds_current_n3_costse1,0.5,61830.40880260467,99208.44369545512,True,37.676263733751924
gemma2_9b,71,odds_current_n3_costse1,0.55,154336.81793391405,214263.90542127052,True,27.968820679120952
gemma2_9b,71,odds_current_n3_costse1,0.6,428297.9504812609,548920.7474137497,True,21.974537763567024
gemma2_9b,71,odds_mean_n3_costse0,0.3,4696.06244638359,5028.71983469853,True,6.615150560179939
gemma2_9b,71,odds_mean_n3_costse0,0.35,8758.617438412155,10245.896074796543,True,14.515847374666269
gemma2_9b,71,odds_mean_n3_costse0,0.4,17113.808160573186,21087.891648758457,True,18.845333399743847
gemma2_9b,71,odds_mean_n3_costse0,0.45,33769.988024707665,46511.10682689116,True,27.393712322530696
gemma2_9b,71,odds_mean_n3_costse0,0.5,64499.99289725946,99208.44369545512,True,34.985379777493385
gemma2_9b,71,odds_mean_n3_costse0,0.55,154692.5854482235,214263.90542127052,True,27.802778940261597
gemma2_9b,71,odds_mean_n3_costse0,0.6,441202.0943793866,548920.7474137497,True,19.623716819209612
gemma2_9b,71,odds_mean_n3_costse1,0.3,4695.782355088939,5028.71983469853,True,6.620720393136603
gemma2_9b,71,odds_mean_n3_costse1,0.35,8697.318888869111,10245.896074796543,True,15.114121543128988
gemma2_9b,71,odds_mean_n3_costse1,0.4,17213.082255050424,21087.891648758457,True,18.374569910767548
gemma2_9b,71,odds_mean_n3_costse1,0.45,33376.718897387414,46511.10682689116,True,28.239250419020102
gemma2_9b,71,odds_mean_n3_costse1,0.5,64855.13651562989,99208.44369545512,True,34.62740256795199
gemma2_9b,71,odds_mean_n3_costse1,0.55,154013.09229933732,214263.90542127052,True,28.119908018792206
gemma2_9b,71,odds_mean_n3_costse1,0.6,441693.3400094112,548920.7474137497,True,19.534223821843575
gemma2_9b,71,odds_current_n4_costse0,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_n4_costse0,0.35,8667.347728489392,10245.896074796543,True,15.406640227301905
gemma2_9b,71,odds_current_n4_costse0,0.4,16440.503164157122,21087.891648758457,True,22.038184575341123
gemma2_9b,71,odds_current_n4_costse0,0.45,31974.088961183526,46511.10682689116,True,31.254938567281787
gemma2_9b,71,odds_current_n4_costse0,0.5,59917.997299120994,99208.44369545512,True,39.603933831424555
gemma2_9b,71,odds_current_n4_costse0,0.55,143676.59693655107,214263.90542127052,True,32.94409683513221
gemma2_9b,71,odds_current_n4_costse0,0.6,394490.7368474588,548920.7474137497,True,28.133389254075514
gemma2_9b,71,odds_current_n4_costse1,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_n4_costse1,0.35,8579.900858619556,10245.896074796543,True,16.260122140757403
gemma2_9b,71,odds_current_n4_costse1,0.4,16662.992111800442,21087.891648758457,True,20.983129137134625
gemma2_9b,71,odds_current_n4_costse1,0.45,31927.758986358458,46511.10682689116,True,31.354549129114908
gemma2_9b,71,odds_current_n4_costse1,0.5,60334.79334646984,99208.44369545512,True,39.183812285492124
gemma2_9b,71,odds_current_n4_costse1,0.55,142370.50404000696,214263.90542127052,True,33.55366889253318
gemma2_9b,71,odds_current_n4_costse1,0.6,396887.0481679495,548920.7474137497,True,27.696839655289008
gemma2_9b,71,odds_mean_n4_costse0,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_n4_costse0,0.35,8600.385865849737,10245.896074796543,True,16.06018836160683
gemma2_9b,71,odds_mean_n4_costse0,0.4,16273.339567107254,21087.891648758457,True,22.83088400605785
gemma2_9b,71,odds_mean_n4_costse0,0.45,31247.496724524688,46511.10682689116,True,32.817129377668486
gemma2_9b,71,odds_mean_n4_costse0,0.5,61466.51820131318,99208.44369545512,True,38.04305771593407
gemma2_9b,71,odds_mean_n4_costse0,0.55,141944.41036752405,214263.90542127052,True,33.75253284567786
gemma2_9b,71,odds_mean_n4_costse0,0.6,385169.3692303044,548920.7474137497,True,29.83151556121042
gemma2_9b,71,odds_mean_n4_costse1,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_n4_costse1,0.35,8566.891352914234,10245.896074796543,True,16.387094985400285
gemma2_9b,71,odds_mean_n4_costse1,0.4,16277.270895364214,21087.891648758457,True,22.812241420433644
gemma2_9b,71,odds_mean_n4_costse1,0.45,31064.45890124217,46511.10682689116,True,33.21066510659397
gemma2_9b,71,odds_mean_n4_costse1,0.5,61989.566558686536,99208.44369545512,True,37.515836102641764
gemma2_9b,71,odds_mean_n4_costse1,0.55,140810.0094440069,214263.90542127052,True,34.28197382701663
gemma2_9b,71,odds_mean_n4_costse1,0.6,386070.3110307349,548920.7474137497,True,29.66738589318907
gemma2_9b,72,odds_current_n2_costse0,0.3,3285.455715413373,4030.3153300212684,True,18.48142275765714
gemma2_9b,72,odds_current_n2_costse0,0.35,6632.829552294302,7592.430580091911,True,12.638917375336645
gemma2_9b,72,odds_current_n2_costse0,0.4,14049.326047721035,15722.010224823078,True,10.639124088986307
gemma2_9b,72,odds_current_n2_costse0,0.45,26984.914502901192,36113.056995948165,True,25.2765710033109
gemma2_9b,72,odds_current_n2_costse0,0.5,61095.66217771181,76898.66553723335,True,20.550426004297726
gemma2_9b,72,odds_current_n2_costse0,0.55,149131.5591731911,198184.50347067398,True,24.751150285946245
gemma2_9b,72,odds_current_n2_costse0,0.6,470179.89421947964,569802.1302506098,True,17.483654542904993
gemma2_9b,72,odds_current_n2_costse1,0.3,3319.2172116164747,4030.3153300212684,True,17.64373405494902
gemma2_9b,72,odds_current_n2_costse1,0.35,6521.799417174914,7592.430580091911,True,14.101296701010291
gemma2_9b,72,odds_current_n2_costse1,0.4,13982.301865483441,15722.010224823078,True,11.065432056473645
gemma2_9b,72,odds_current_n2_costse1,0.45,26242.645991314424,36113.056995948165,True,27.331973047147983
gemma2_9b,72,odds_current_n2_costse1,0.5,61160.1649536272,76898.66553723335,True,20.466545776383814
gemma2_9b,72,odds_current_n2_costse1,0.55,148813.7178852266,198184.50347067398,True,24.911526744447478
gemma2_9b,72,odds_current_n2_costse1,0.6,469382.3383251489,569802.1302506098,True,17.623625219037777
gemma2_9b,72,odds_mean_n2_costse0,0.3,3242.3663451831726,4030.3153300212684,True,19.550554244943854
gemma2_9b,72,odds_mean_n2_costse0,0.35,6345.719829086514,7592.430580091911,True,16.420443201343094
gemma2_9b,72,odds_mean_n2_costse0,0.4,13137.828011667965,15722.010224823078,True,16.43671627356541
gemma2_9b,72,odds_mean_n2_costse0,0.45,25747.95465981839,36113.056995948165,True,28.701813688308697
gemma2_9b,72,odds_mean_n2_costse0,0.5,57505.90602002281,76898.66553723335,True,25.21859044201594
gemma2_9b,72,odds_mean_n2_costse0,0.55,142118.1793729277,198184.50347067398,True,28.289963703465137
gemma2_9b,72,odds_mean_n2_costse0,0.6,432779.0942653442,569802.1302506098,True,24.047476959238512
gemma2_9b,72,odds_mean_n2_costse1,0.3,3221.9789915120996,4030.3153300212684,True,20.056404333625753
gemma2_9b,72,odds_mean_n2_costse1,0.35,6386.769973435965,7592.430580091911,True,15.879771226585927
gemma2_9b,72,odds_mean_n2_costse1,0.4,13155.970090048373,15722.010224823078,True,16.321323406362186
gemma2_9b,72,odds_mean_n2_costse1,0.45,25556.91392384215,36113.056995948165,True,29.230821066436995
gemma2_9b,72,odds_mean_n2_costse1,0.5,57203.85393103902,76898.66553723335,True,25.611382809573403
gemma2_9b,72,odds_mean_n2_costse1,0.55,143111.04520356416,198184.50347067398,True,27.78898314582866
gemma2_9b,72,odds_mean_n2_costse1,0.6,433704.1537878723,569802.1302506098,True,23.885129457638055
gemma2_9b,72,odds_current_n3_costse0,0.3,3964.1502125976776,4030.3153300212684,True,1.641685873329457
gemma2_9b,72,odds_current_n3_costse0,0.35,6394.817736123602,7592.430580091911,True,15.773774041590393
gemma2_9b,72,odds_current_n3_costse0,0.4,13499.452560037593,15722.010224823078,True,14.136599792285764
gemma2_9b,72,odds_current_n3_costse0,0.45,26483.78552849168,36113.056995948165,True,26.664238002717067
gemma2_9b,72,odds_current_n3_costse0,0.5,58301.875259103515,76898.66553723335,True,24.183501947931074
gemma2_9b,72,odds_current_n3_costse0,0.55,139064.66015914583,198184.50347067398,True,29.830709402703782
gemma2_9b,72,odds_current_n3_costse0,0.6,426240.9527601503,569802.1302506098,True,25.194917651030647
gemma2_9b,72,odds_current_n3_costse1,0.3,3963.93159193285,4030.3153300212684,True,1.6471102792859682
gemma2_9b,72,odds_current_n3_costse1,0.35,6352.511223389289,7592.430580091911,True,16.33099366036762
gemma2_9b,72,odds_current_n3_costse1,0.4,13485.154893823397,15722.010224823078,True,14.22754023825762
gemma2_9b,72,odds_current_n3_costse1,0.45,25609.46489125607,36113.056995948165,True,29.08530315190593
gemma2_9b,72,odds_current_n3_costse1,0.5,58520.34005706169,76898.66553723335,True,23.89940755379313
gemma2_9b,72,odds_current_n3_costse1,0.55,138490.25145084265,198184.50347067398,True,30.12054473202769
gemma2_9b,72,odds_current_n3_costse1,0.6,425635.8163181641,569802.1302506098,True,25.301118805757817
gemma2_9b,72,odds_mean_n3_costse0,0.3,3964.7612773272585,4030.3153300212684,True,1.6265241631518657
gemma2_9b,72,odds_mean_n3_costse0,0.35,6479.806976987704,7592.430580091911,True,14.654379666264106
gemma2_9b,72,odds_mean_n3_costse0,0.4,13355.08831029577,15722.010224823078,True,15.054830016521903
gemma2_9b,72,odds_mean_n3_costse0,0.45,27409.856853680576,36113.056995948165,True,24.099870978089932
gemma2_9b,72,odds_mean_n3_costse0,0.5,59743.22527563597,76898.66553723335,True,22.309152105235086
gemma2_9b,72,odds_mean_n3_costse0,0.55,146604.5467216912,198184.50347067398,True,26.026231035069415
gemma2_9b,72,odds_mean_n3_costse0,0.6,448081.1045934943,569802.1302506098,True,21.361981501118688
gemma2_9b,72,odds_mean_n3_costse1,0.3,3963.212834410983,4030.3153300212684,True,1.6649440581099961
