generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,odds_current_n2_costse0,2e-08,0.6013895090564741,0.6135448098375619,951,-1.981159417566565,-2.120131877445535,0.6193635324564741,898701.17,707.04,857730.6724547793,-4.776615651153682
gemma2_9b,71,odds_current_n2_costse0,1e-07,0.5471961390662626,0.5443691531680899,356,0.5193141238294684,0.08327940565473256,0.5758276763162626,286315.3725,325.15,350908.4344422113,18.40738369395013
gemma2_9b,71,odds_current_n2_costse0,2e-07,0.5141247564842021,0.5043549212672537,235,1.937095248798306,0.9527374855554426,0.546535679984202,162054.6175,189.805,202402.3207216933,19.93440741085776
gemma2_9b,71,odds_current_n2_costse0,1e-06,0.4272964635542039,0.4075245939842592,49,4.851699716240535,4.565000659524385,0.46894245355420394,41645.99,52.72,60542.81266397877,31.21233030394348
gemma2_9b,71,odds_current_n2_costse0,2e-06,0.3702299165560188,0.35894930903654637,28,3.1426742538523382,2.3510001990443614,0.4147014115560188,22235.7475,29.845,26731.690103659854,16.81877421975766
gemma2_9b,71,odds_current_n2_costse0,1e-05,0.26040189765657884,0.24384346329543255,7,6.790600058482867,3.0883379662050547,0.3150750976565788,5467.32,6.8575,6261.2435447167045,12.679965873338773
gemma2_9b,71,odds_current_n2_costse1,2e-08,0.6018307996196149,0.6135448098375619,951,-1.909234668784544,-2.04830910456126,0.6198631554696149,901617.7925,708.6225,866676.3296679734,-4.03166229835914
gemma2_9b,71,odds_current_n2_costse1,1e-07,0.5470773253970675,0.5443691531680899,356,0.49748818668670075,0.06154814550448027,0.5759346936470675,288573.6825,327.72,351613.75879744743,17.92878541301982
gemma2_9b,71,odds_current_n2_costse1,2e-07,0.5144230359462,0.5043549212672537,235,1.996236034269068,1.0113071767532087,0.5472093019462,163931.33,192.2175,204516.1409003211,19.84430701736236
gemma2_9b,71,odds_current_n2_costse1,1e-06,0.42778393644698426,0.4075245939842592,49,4.971317746655449,4.684291614874429,0.47053367394698425,42749.7375,53.7625,62022.91720591754,31.074287657141518
gemma2_9b,71,odds_current_n2_costse1,2e-06,0.3729438849373426,0.35894930903654637,28,3.8987610641622292,3.1012836470191663,0.41915862493734257,23107.37,30.985,28720.31447892633,19.543464550309352
gemma2_9b,71,odds_current_n2_costse1,1e-05,0.2616578454343746,0.24384346329543255,7,7.305663189896026,3.5855446691917736,0.3188371454343746,5717.93,7.3525,6633.542917158994,13.802773700168224
gemma2_9b,71,odds_mean_n2_costse0,2e-08,0.6082921690402293,0.6135448098375619,951,-0.8561136388266766,-0.9966812040794591,0.6294164149402293,1056212.295,801.67,1042606.5168367049,-1.3049772798826575
gemma2_9b,71,odds_mean_n2_costse0,1e-07,0.5530880832566668,0.5443691531680899,356,1.6016576321114053,1.1609279023290437,0.5871465117566668,340584.285,387.2075,426819.01305524044,20.20405029240805
gemma2_9b,71,odds_mean_n2_costse0,2e-07,0.5233291860554203,0.5043549212672537,235,3.7620857828632843,2.760104959088168,0.5614374955554203,190541.5475,232.4375,263480.89581136726,27.682974162797148
gemma2_9b,71,odds_mean_n2_costse0,1e-06,0.43148454119725266,0.4075245939842592,49,5.87938680675525,5.58987771529243,0.47814590119725264,46661.36,63.745,69975.97297432841,33.31802615003535
gemma2_9b,71,odds_mean_n2_costse0,2e-06,0.37943589081724505,0.35894930903654637,28,5.707374625037331,4.896015151396539,0.42802195081724503,24293.03,34.89,33631.353742293286,27.766719751604374
gemma2_9b,71,odds_mean_n2_costse0,1e-05,0.26384227228581564,0.24384346329543255,7,8.201494811510777,4.450319217881083,0.32107387228581563,5723.16,8.045,6854.893642163404,16.509864357373594
gemma2_9b,71,odds_mean_n2_costse1,2e-08,0.6082269208902292,0.6135448098375619,951,-0.8667482573506863,-1.0073007446951059,0.6294164149402293,1059474.7025,803.175,1042606.5168367049,-1.617886075992847
gemma2_9b,71,odds_mean_n2_costse1,1e-07,0.5533472493672795,0.5443691531680899,356,1.64926615458268,1.2083299075865928,0.5876763703672795,343291.21,389.845,430643.58476036415,20.28414629907287
gemma2_9b,71,odds_mean_n2_costse1,2e-07,0.524025467789955,0.5043549212672537,235,3.9001397018743504,2.8968257574468064,0.562553086789955,192638.095,234.895,269926.64422441926,28.63316789140716
gemma2_9b,71,odds_mean_n2_costse1,1e-06,0.43323210536992146,0.4075245939842592,49,6.308211029505424,6.017529391479294,0.48118839786992146,47956.2925,65.2825,73573.77400864477,34.81876776585467
gemma2_9b,71,odds_mean_n2_costse1,2e-06,0.3792394361117731,0.35894930903654637,28,5.652644137883232,4.841704749401182,0.42950348111177306,25132.0225,36.015,34453.55660953902,27.055360975296814
gemma2_9b,71,odds_mean_n2_costse1,1e-05,0.2621917883939882,0.24384346329543255,7,7.524632750284328,3.7969228994223245,0.3221878633939882,5999.6075,8.5075,6965.136311841017,13.86231034990053
gemma2_9b,71,odds_current_n3_costse0,2e-08,0.6073224021945463,0.6135448098375619,951,-1.014173299691514,-1.1545167657838955,0.6255282209445463,910290.9375,717.72,968108.2743465472,5.972197364553333
gemma2_9b,71,odds_current_n3_costse0,1e-07,0.5525382601544434,0.5443691531680899,356,1.5006557478158733,1.0603641460543582,0.5814744051544434,289361.45,331.19,388124.60631857166,25.446249660735788
gemma2_9b,71,odds_current_n3_costse0,2e-07,0.5191514792430968,0.5043549212672537,235,2.933759016104165,1.939776947653311,0.5519093742430968,163789.475,195.175,221281.1585848935,25.981282795406678
gemma2_9b,71,odds_current_n3_costse0,1e-06,0.43020970874201087,0.4075245939842592,49,5.566563366388597,5.277909637170877,0.4722995087420109,42089.8,56.155,63673.65613063105,33.89762335360518
gemma2_9b,71,odds_current_n3_costse0,2e-06,0.374050342559771,0.35894930903654637,28,4.2070100549175615,3.407166665298342,0.419270557559771,22610.1075,31.81,28774.604842006793,21.423395302400515
gemma2_9b,71,odds_current_n3_costse0,1e-05,0.26426390187613763,0.24384346329543255,7,8.374404753251213,4.617234643977511,0.32657617687613766,6231.2275,7.4625,7399.412124372438,15.787532911224545
gemma2_9b,71,odds_current_n3_costse1,2e-08,0.6077634216076869,0.6135448098375619,951,-0.9422927449106111,-1.082738124241876,0.626027843957687,913221.1175,719.31,977053.9315597394,6.5331924879355014
gemma2_9b,71,odds_current_n3_costse1,1e-07,0.5524185822352481,0.5443691531680899,356,1.4786710489219663,1.0384748128329084,0.5815814224852481,291628.4025,333.765,388829.93067380716,24.99846861206535
gemma2_9b,71,odds_current_n3_costse1,2e-07,0.5194488927050946,0.5043549212672537,235,2.9927280970939103,1.9981765924380923,0.5525829962050947,165670.5175,197.59,223756.82612938114,25.959569428194495
gemma2_9b,71,odds_current_n3_costse1,1e-06,0.4306904041347912,0.4075245939842592,49,5.684518306992478,5.395542050144805,0.4738907291347912,43200.325,57.405,65254.90045691669,33.79757735049769
gemma2_9b,71,odds_current_n3_costse1,2e-06,0.3767566859410948,0.35894930903654637,28,4.960972609849867,4.155342162668348,0.4237277709410948,23485.5425,32.995,31248.21853427217,24.84197947399237
gemma2_9b,71,odds_current_n3_costse1,1e-05,0.26584342465393346,0.24384346329543255,7,9.022165721066099,5.242538758149052,0.3303382246539335,6449.48,7.97,7785.431269676249,17.159630897773038
gemma2_9b,71,odds_mean_n3_costse0,2e-08,0.608164773191652,0.6135448098375619,951,-0.8768775417290706,-1.017415667634827,0.6291809978416519,1050811.2325,800.98,1037932.6319179663,-1.2407934952614053
gemma2_9b,71,odds_mean_n3_costse0,1e-07,0.5532061916205313,0.5443691531680899,356,1.6233540054597368,1.1825301607093135,0.5871193138705313,339131.2225,386.775,426622.69603090704,20.507927577432184
gemma2_9b,71,odds_mean_n3_costse0,2e-07,0.523020995205867,0.5043549212672537,235,3.7009798361266113,2.699589083246724,0.560989181705867,189840.9325,232.5575,260890.59374117112,27.23350820062884
gemma2_9b,71,odds_mean_n3_costse0,1e-06,0.43104263695963535,0.4075245939842592,49,5.770950593544919,5.481738002378474,0.47765178695963534,46609.15,64.8575,69391.67497619434,32.831784193147314
gemma2_9b,71,odds_mean_n3_costse0,2e-06,0.37573944123177544,0.35894930903654637,28,4.677577522100644,3.874122280670324,0.42387619123177545,24068.375,35.175,31330.587142599506,23.179304331406026
gemma2_9b,71,odds_mean_n3_costse0,1e-05,0.2648177847439659,0.24384346329543255,7,8.601551653292242,4.836506718360291,0.32885120974396587,6403.3425,8.19,7627.879593758138,16.053440260910413
gemma2_9b,71,odds_mean_n3_costse1,2e-08,0.6081002980916519,0.6135448098375619,951,-0.8873861629359132,-1.027909389574035,0.6291809978416519,1054034.9875,802.4975,1037932.6319179663,-1.5513873527878808
gemma2_9b,71,odds_mean_n3_costse1,1e-07,0.5533403919643864,0.5443691531680899,356,1.64800645739867,1.2070756747425593,0.5875197439643864,341793.52,389.4175,429513.03993806266,20.423016714629227
gemma2_9b,71,odds_mean_n3_costse1,2e-07,0.5244005346702216,0.5043549212672537,235,3.974505364714374,2.9704733066564915,0.5627814896702216,191904.775,234.99,271246.32786609745,29.250738061701963
