generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,odds_current_n4,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_n4,0.35,8667.347728489392,10245.896074796543,True,15.406640227301905
gemma2_9b,71,odds_current_n4,0.4,16440.503164157122,21087.891648758457,True,22.038184575341123
gemma2_9b,71,odds_current_n4,0.45,31974.088961183526,46511.10682689116,True,31.254938567281787
gemma2_9b,71,odds_current_n4,0.5,59917.997299120994,99208.44369545512,True,39.603933831424555
gemma2_9b,71,odds_current_n4,0.55,143676.59693655107,214263.90542127052,True,32.94409683513221
gemma2_9b,71,odds_current_n4,0.6,394490.7368474588,548920.7474137497,True,28.133389254075514
gemma2_9b,71,odds_current_n6,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_n6,0.35,9417.124581138029,10245.896074796543,True,8.088814171140923
gemma2_9b,71,odds_current_n6,0.4,15838.405853115413,21087.891648758457,True,24.893364794730942
gemma2_9b,71,odds_current_n6,0.45,31768.11138823911,46511.10682689116,True,31.697795310534616
gemma2_9b,71,odds_current_n6,0.5,59586.86605350595,99208.44369545512,True,39.93770708023342
gemma2_9b,71,odds_current_n6,0.55,143676.74693655106,214263.90542127052,True,32.94402682800725
gemma2_9b,71,odds_current_n6,0.6,394490.88684745884,548920.7474137497,True,28.133361927726362
gemma2_9b,71,odds_current_n8,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_current_n8,0.35,,10245.896074796543,False,
gemma2_9b,71,odds_current_n8,0.4,15957.250801230359,21087.891648758457,True,24.329795187610248
gemma2_9b,71,odds_current_n8,0.45,31326.68931345306,46511.10682689116,True,32.64686340394501
gemma2_9b,71,odds_current_n8,0.5,59517.3632697461,99208.44369545512,True,40.007764407181526
gemma2_9b,71,odds_current_n8,0.55,143676.94693655107,214263.90542127052,True,32.94393348517398
gemma2_9b,71,odds_current_n8,0.6,394491.08684745885,548920.7474137497,True,28.133325492594164
gemma2_9b,71,odds_mean_n4,0.3,,5028.71983469853,False,
gemma2_9b,71,odds_mean_n4,0.35,8600.385865849737,10245.896074796543,True,16.06018836160683
gemma2_9b,71,odds_mean_n4,0.4,16273.339567107254,21087.891648758457,True,22.83088400605785
gemma2_9b,71,odds_mean_n4,0.45,31247.496724524688,46511.10682689116,True,32.817129377668486
gemma2_9b,71,odds_mean_n4,0.5,61466.51820131318,99208.44369545512,True,38.04305771593407
