generator,split_seed,price,selected_budget,fixed_n,profit,fixed_profit,relative_percent
gemma2_9b,71,2e-08,2525540.1422356702,951,0.6144264194993416,0.613544809837562,0.1436911612067985
gemma2_9b,71,1e-07,467842.8381140575,356,0.5594043486160339,0.5443691531680896,2.761948460974192
gemma2_9b,71,2e-07,295388.9669786302,235,0.5275111551692294,0.5043549212672535,4.591257649235006
gemma2_9b,71,1e-06,54719.23029365426,49,0.4370040054649075,0.407524593984259,7.23377482385447
gemma2_9b,71,2e-06,29639.146433042195,28,0.39272111744057464,0.3589493090365462,9.408517457430174
gemma2_9b,71,1e-05,6399.999999999998,7,0.2759160764551208,0.24384346329543266,13.15295178564209
gemma2_9b,72,2e-08,2943898.604159175,938,0.6103211167991346,0.6094161908336828,0.1484906339974056
gemma2_9b,72,1e-07,635677.9237614812,320,0.5596302997755407,0.5429426569487849,3.0735553033420913
gemma2_9b,72,2e-07,344320.46952246147,158,0.5290708469253683,0.5098505676564831,3.7697867744329177
gemma2_9b,72,1e-06,74349.34099475584,40,0.4419657039146345,0.4231312748582889,4.451202304214806
gemma2_9b,72,2e-06,34548.90316471563,24,0.40779577395042277,0.3765258789383323,8.304846163631662
gemma2_9b,72,1e-05,6399.999999999998,6,0.2969644278792121,0.27398408780819655,8.387472518879648
gemma2_9b,73,2e-08,2525540.1422356702,872,0.6335894822816308,0.630420932515488,0.502608590977416
gemma2_9b,73,1e-07,545341.5113293902,285,0.576388974304102,0.551551085082187,4.503279912542259
gemma2_9b,73,2e-07,253411.13740265247,163,0.5426432545595044,0.5156416269517421,5.2365104360143695
gemma2_9b,73,1e-06,54719.23029365426,49,0.4543939874080127,0.41843733436116504,8.593079559151489
gemma2_9b,73,2e-06,29639.146433042195,26,0.41004808867692616,0.37284373046786184,9.978539309854703
gemma2_9b,73,1e-05,5490.493757995722,5,0.28987930731274486,0.2630995638920642,10.1785586507726
gemma2_9b,74,2e-08,inf,938,0.6348458182835066,0.6338402612841919,0.1586451761958757
gemma2_9b,74,1e-07,401357.52849816234,316,0.5768046211948998,0.555686694686881,3.800329701958827
gemma2_9b,74,2e-07,295388.9669786302,162,0.5443639080326189,0.5165998875426321,5.3743760228162305
gemma2_9b,74,1e-06,46943.06130775618,35,0.44850749222095104,0.4184915836772171,7.172404348013178
gemma2_9b,74,2e-06,34548.90316471563,21,0.4069763964940995,0.3752803549274043,8.44596343787476
gemma2_9b,74,1e-05,6399.999999999998,5,0.28679029278124313,0.2651726466456205,8.152291123945623
gemma2_9b,75,2e-08,2525540.1422356702,925,0.6186611147740018,0.6176284323508502,0.1672012441559605
gemma2_9b,75,1e-07,401357.52849816234,412,0.5657576046468349,0.5461368764959282,3.5926393172340445
gemma2_9b,75,2e-07,295388.9669786302,201,0.5327321002807313,0.5108323305912363,4.287075891251473
gemma2_9b,75,1e-06,54719.23029365426,42,0.4417942260203219,0.4189665668014893,5.448563448178097
gemma2_9b,75,2e-06,29639.146433042195,19,0.3989754973250809,0.3710867668951823,7.515420359297301
gemma2_9b,75,1e-05,6399.999999999998,6,0.2753973809843937,0.2560276425707711,7.565487155656807
llama3.1_8b,71,2e-08,inf,960,0.6286653668531256,0.6286653668531256,0.0
llama3.1_8b,71,1e-07,545341.5113293902,343,0.5653420403918002,0.544383099705112,3.8500351495190674
llama3.1_8b,71,2e-07,344320.46952246147,146,0.5287332458995793,0.49896323375342183,5.966373899378167
llama3.1_8b,71,1e-06,74349.34099475584,38,0.41958209080105513,0.38771243901986013,8.219919861679369
llama3.1_8b,71,2e-06,40271.96642053846,22,0.3640779636771122,0.3333823110107015,9.207342937107843
llama3.1_8b,71,1e-05,8695.951675724136,3,0.24401867283460518,0.20135597489021897,21.187699032842847
llama3.1_8b,72,2e-08,inf,960,0.6083830065106219,0.6083830065106219,0.0
llama3.1_8b,72,1e-07,635677.9237614812,343,0.5550178000320488,0.5401140493278688,2.759371048156706
llama3.1_8b,72,2e-07,344320.46952246147,154,0.5182643146719621,0.5020303603554253,3.233659873686445
llama3.1_8b,72,1e-06,74349.34099475584,32,0.4137383273744903,0.38296732293520563,8.034890340889687
llama3.1_8b,72,2e-06,40271.96642053846,16,0.36419198690831317,0.32574135681759253,11.804036940956221
llama3.1_8b,72,1e-05,8695.951675724136,3,0.23495397564220016,0.1915852597965505,22.636770642848028
llama3.1_8b,73,2e-08,2525540.1422356702,960,0.6323802352882925,0.6356460890295828,-0.5137849186291934
llama3.1_8b,73,1e-07,545341.5113293902,271,0.5695273767238413,0.5472173333030489,4.076998673658087
llama3.1_8b,73,2e-07,344320.46952246147,153,0.5353048975786877,0.5017264905075413,6.6925720898609296
llama3.1_8b,73,1e-06,74349.34099475584,34,0.43255973377325085,0.3882516724744032,11.412201012931591
llama3.1_8b,73,2e-06,34548.90316471563,15,0.38142989931113647,0.3298628448564095,15.632877500093805
llama3.1_8b,73,1e-05,6399.999999999998,4,0.24261379894891383,0.19886043288882724,22.002047076175717
llama3.1_8b,74,2e-08,inf,959,0.638335364887207,0.6380599684865629,0.04316152309277995
llama3.1_8b,74,1e-07,545341.5113293902,301,0.5813046086259062,0.5547454434405421,4.787631065636806
llama3.1_8b,74,2e-07,295388.9669786302,132,0.5431049602692448,0.5057552680145129,7.3849339031818415
llama3.1_8b,74,1e-06,63783.53010043795,34,0.4360327245649261,0.38630512485813306,12.872622315081896
llama3.1_8b,74,2e-06,34548.90316471563,22,0.37874995933136163,0.3329246943819515,13.764453560430878
llama3.1_8b,74,1e-05,6399.999999999998,3,0.24057597309302836,0.203650254731784,18.131928393547604
llama3.1_8b,75,2e-08,inf,960,0.6172417467394349,0.6172417467394349,0.0
llama3.1_8b,75,1e-07,545341.5113293902,308,0.5546054942206886,0.5355003294732179,3.5677223142448535
llama3.1_8b,75,2e-07,295388.9669786302,155,0.5156378615168801,0.4938016805681438,4.422054806215455
llama3.1_8b,75,1e-06,101021.60568942704,35,0.4119351155446538,0.38139579033316523,8.007252829091577
llama3.1_8b,75,2e-06,46943.06130775618,23,0.36738643024359063,0.3287268805735477,11.760385887090067
llama3.1_8b,75,1e-05,7460.166936780598,4,0.22977646081947195,0.194912710785451,17.886852988462625
llama3.2_3b,71,2e-08,2525540.1422356702,947,0.6390555963582925,0.6394224865370343,-0.057378366645940294
llama3.2_3b,71,1e-07,545341.5113293902,381,0.5732007739259793,0.5572617040212431,2.86024856718463
llama3.2_3b,71,2e-07,344320.46952246147,184,0.5318507363323481,0.5073001188373758,4.839466143086491
llama3.2_3b,71,1e-06,74349.34099475584,58,0.417205465953954,0.3764287011767869,10.832533398673187
llama3.2_3b,71,2e-06,40271.96642053846,23,0.36505169981432717,0.32848217182458117,11.132880602505017
llama3.2_3b,71,1e-05,8695.951675724136,4,0.22988823040946657,0.20643931520104344,11.35874491038062
llama3.2_3b,72,2e-08,1858733.5248688953,956,0.6402108662580659,0.6408210866030245,-0.0952247605011523
llama3.2_3b,72,1e-07,635677.9237614812,321,0.5807651855380123,0.5610813983367948,3.5081874500858157
llama3.2_3b,72,2e-07,344320.46952246147,212,0.546995518232336,0.5155756105113024,6.094141592515238
llama3.2_3b,72,1e-06,74349.34099475584,30,0.43008158399082086,0.38087181161826933,12.920297819748411
llama3.2_3b,72,2e-06,40271.96642053846,23,0.37470325492895,0.333868468910532,12.230800396236473
llama3.2_3b,72,1e-05,8695.951675724136,4,0.23069679981059008,0.2007736376346548,14.903929882660224
llama3.2_3b,73,2e-08,3431558.5987473316,947,0.6349544001571388,0.6345483363001208,0.06399258083090602
llama3.2_3b,73,1e-07,545341.5113293902,355,0.5754434177605731,0.5618256632656854,2.4238398822390352
llama3.2_3b,73,2e-07,344320.46952246147,176,0.5355615943795613,0.5122739087009839,4.545944129309643
llama3.2_3b,73,1e-06,86665.38991570374,59,0.43487799988520737,0.39170910887519317,11.020650281525295
llama3.2_3b,73,2e-06,40271.96642053846,25,0.38643261710782895,0.34328635761174964,12.568591363853997
llama3.2_3b,73,1e-05,8695.951675724136,5,0.2521521078396547,0.21901158263475362,15.131859605877395
llama3.2_3b,74,2e-08,2525540.1422356702,952,0.6449859164178782,0.6458482161606232,-0.13351430276777795
llama3.2_3b,74,1e-07,545341.5113293902,382,0.5858528478181125,0.5700163335315758,2.7782562279260556
llama3.2_3b,74,2e-07,344320.46952246147,184,0.5493930188304257,0.5217366457683437,5.300830080922038
llama3.2_3b,74,1e-06,74349.34099475584,41,0.4359310714932264,0.39286846305874884,10.96107539383686
llama3.2_3b,74,2e-06,40271.96642053846,22,0.3874488006441644,0.3403169606449369,13.849394961070317
llama3.2_3b,74,1e-05,8695.951675724136,3,0.2431075828535369,0.21009479262783892,15.713283424485775
llama3.2_3b,75,2e-08,2525540.1422356702,956,0.6432721680030957,0.6438540430821825,-0.09037375556443165
llama3.2_3b,75,1e-07,635677.9237614812,353,0.5792881662895235,0.5629494318432529,2.90234495712574
llama3.2_3b,75,2e-07,295388.9669786302,177,0.5430446410934179,0.5151954389014617,5.405560703592086
llama3.2_3b,75,1e-06,86665.38991570374,50,0.43694231849126686,0.38203393023060533,14.372647012666501
llama3.2_3b,75,2e-06,40271.96642053846,23,0.38678395387027964,0.33441546854770093,15.65970783289556
llama3.2_3b,75,1e-05,5490.493757995722,5,0.23572882787773772,0.2113584414481321,11.530358694278213
mistral_7b,71,2e-08,2166634.7478925926,958,0.6060187147354391,0.604312290216917,0.28237461758548377
mistral_7b,71,1e-07,635677.9237614812,325,0.5409516914031848,0.5354716760588165,1.0233996660107814
mistral_7b,71,2e-07,295388.9669786302,210,0.5061053421089735,0.49471488956515747,2.302427677854608
mistral_7b,71,1e-06,74349.34099475584,34,0.4083773554847576,0.4038660952724179,1.1170188003270636
mistral_7b,71,2e-06,40271.96642053846,28,0.35589241460722293,0.34770597066661624,2.354415693498669
mistral_7b,71,1e-05,7460.166936780598,4,0.2249422832514645,0.20833066303582368,7.973679905576054
mistral_7b,72,2e-08,1594588.2525109483,910,0.6236659280872681,0.6221605493912682,0.24195984420303682
mistral_7b,72,1e-07,545341.5113293902,321,0.5501600751033702,0.5418150298358393,1.540201878500729
mistral_7b,72,2e-07,295388.9669786302,129,0.5114439253456733,0.4989716301481182,2.4996000662107267
mistral_7b,72,1e-06,86665.38991570374,34,0.4077507893929746,0.4038449369912248,0.9671663660932954
mistral_7b,72,2e-06,46943.06130775618,23,0.3539186755620753,0.34676996640625984,2.0615133513149595
mistral_7b,72,1e-05,8695.951675724136,4,0.21913396568446855,0.20283585756136677,8.035121757587111
mistral_7b,73,2e-08,2525540.1422356702,958,0.6236125235321359,0.6232524194694559,0.057778205335583685
mistral_7b,73,1e-07,635677.9237614812,282,0.5566458312370249,0.5436258119317292,2.395033315108819
mistral_7b,73,2e-07,295388.9669786302,128,0.5158087972844032,0.5017629639158312,2.7992965560782497
mistral_7b,73,1e-06,86665.38991570374,32,0.420725417169058,0.4058141001069422,3.6744206419112313
mistral_7b,73,2e-06,40271.96642053846,27,0.3659606421377935,0.3528198306208576,3.7245104658125388
mistral_7b,73,1e-05,8695.951675724136,4,0.2297243901949268,0.2120366355315236,8.341838955831548
mistral_7b,74,2e-08,2525540.1422356702,926,0.6317189539094387,0.6289694422486473,0.4371455075721236
mistral_7b,74,1e-07,545341.5113293902,312,0.5545154481387911,0.5444430445765517,1.8500380641419212
mistral_7b,74,2e-07,295388.9669786302,148,0.5170547261018646,0.5080417958017827,1.774052917409667
mistral_7b,74,1e-06,74349.34099475584,32,0.4119154096339731,0.4006372819351916,2.8150469782305207
mistral_7b,74,2e-06,40271.96642053846,23,0.3609299872401454,0.3407139794293988,5.933424817086405
mistral_7b,74,1e-05,7460.166936780598,4,0.21108259142286595,0.19259056829443313,9.601728315252773
mistral_7b,75,2e-08,2166634.7478925926,924,0.6284694299687847,0.6262274589469268,0.35801225095240957
mistral_7b,75,1e-07,635677.9237614812,325,0.5529923742274856,0.5457160437132174,1.3333546994070173
mistral_7b,75,2e-07,344320.46952246147,154,0.5119889954161017,0.5045040308784208,1.483628292255343
mistral_7b,75,1e-06,86665.38991570374,32,0.4133230160877326,0.4063460155483442,1.7170097090710377
mistral_7b,75,2e-06,40271.96642053846,24,0.35568459454037193,0.3497755042917584,1.6893951051771117
mistral_7b,75,1e-05,8695.951675724136,4,0.21946923315868072,0.20521126050762512,6.947948477966596
qwen2.5_7b,71,2e-08,inf,784,0.6073194371430463,0.6078177669636459,-0.08198671504602685
qwen2.5_7b,71,1e-07,635677.9237614812,335,0.5492835434765081,0.5275253621968469,4.124575392745217
qwen2.5_7b,71,2e-07,401357.52849816234,254,0.5107720083441553,0.4758442142921493,7.340174158461386
qwen2.5_7b,71,1e-06,54719.23029365426,41,0.40376640984415746,0.37591526257272967,7.408889727120172
