generator,split_seed,target,attained_quality,mean_length,matched_feasible,matched_saving_percent,train_feasible
gemma2_9b,71,0.3,0.28240698176930246,2988.147218519048,True,25.21670421956165,True
gemma2_9b,71,0.35,0.33294113329272923,5716.6545300712805,True,29.084444014063816,True
gemma2_9b,71,0.4,0.3835439938948533,12124.936989983671,True,27.463337432754987,True
gemma2_9b,71,0.45,0.43065423191612257,22308.326503657907,True,36.429364298044206,True
gemma2_9b,71,0.5,0.48689609826256225,49572.98785520487,True,38.99292278712079,True
gemma2_9b,71,0.55,0.5397148623890127,118867.2512896568,True,34.3269960789129,True
gemma2_9b,71,0.6,0.5915137654958734,328330.8364173987,True,28.365579642310312,True
gemma2_9b,72,0.3,0.3231628434201741,3723.8974166826765,True,29.332396192302703,True
gemma2_9b,72,0.35,0.3710010967274714,7505.706510312337,True,25.981257918173917,True
gemma2_9b,72,0.4,0.41461034545102804,14677.40330484772,True,28.398323103354215,True
gemma2_9b,72,0.45,0.45950376778561874,27083.924798228745,True,33.396707173424254,True
gemma2_9b,72,0.5,0.5006349920707367,56272.66589927983,True,27.580801968241552,True
gemma2_9b,72,0.55,0.5503990038235622,131989.0188063209,True,33.875974537026245,True
gemma2_9b,72,0.6,0.595391642934445,341289.5778173395,True,33.659863567306715,True
gemma2_9b,73,0.3,0.31276684822811635,3528.1677167207854,True,34.40523873222824,True
gemma2_9b,73,0.35,0.3586710197684146,6834.864855569009,True,28.88744340212508,True
gemma2_9b,73,0.4,0.41632636569426024,14813.0645384444,True,35.154023662612325,True
gemma2_9b,73,0.45,0.46394004579657405,28012.959457452427,True,40.12635618418737,True
gemma2_9b,73,0.5,0.5214494705422773,66463.5032989142,True,42.884161374126876,True
gemma2_9b,73,0.55,0.5713681207903842,160372.296593499,True,40.07317461675082,True
gemma2_9b,73,0.6,0.6205466149985852,442516.46660511295,True,32.27534213560772,True
gemma2_9b,74,0.3,0.31164322028990105,3517.264802540195,True,31.38447812071805,True
gemma2_9b,74,0.35,0.35232924779475217,6539.51878939826,True,22.550881290008984,True
gemma2_9b,74,0.4,0.40281301303215367,13794.435407800145,True,22.070153914122304,True
gemma2_9b,74,0.45,0.45364867001464454,26045.13193821192,True,32.19912291068533,True
gemma2_9b,74,0.5,0.5127636841867979,61872.62349038452,True,38.001627148543335,True
gemma2_9b,74,0.55,0.5664285752347188,149299.39707163218,True,39.89589743981284,True
gemma2_9b,74,0.6,0.6242270182478521,465529.7778289935,True,31.749037810107296,True
gemma2_9b,75,0.3,0.2933695430655523,3157.4132363305416,True,32.68457543202331,True
gemma2_9b,75,0.35,0.3338012506280673,5776.722064014769,True,25.73299043325821,True
gemma2_9b,75,0.4,0.3849920313662348,12310.68162878457,True,18.487336817835455,True
gemma2_9b,75,0.45,0.43814083859254077,23552.702986009903,True,28.09002757073872,True
gemma2_9b,75,0.5,0.49504014836052773,53180.41840025752,True,28.417050368669393,True
gemma2_9b,75,0.55,0.550655378043856,130499.95937912486,True,33.780591222760016,True
gemma2_9b,75,0.6,0.6017711516248438,361679.37018344447,True,29.43572306106983,True
llama3.1_8b,71,0.3,0.32164627290969433,7848.647837647833,True,39.83365667946812,True
llama3.1_8b,71,0.35,0.3666880134448814,13560.493647385123,True,40.80766723076884,True
llama3.1_8b,71,0.4,0.39821679015942946,21623.576967148165,True,34.412819063341374,True
llama3.1_8b,71,0.45,0.43907297107724574,37405.769442261146,True,29.838378444820734,True
llama3.1_8b,71,0.5,0.49253174379844383,73489.11354013676,True,36.42250393774161,True
llama3.1_8b,71,0.55,0.5447905681385923,158758.32860687477,True,32.73647232224085,True
llama3.1_8b,71,0.6,0.5991619803012938,362855.01122105645,True,32.26001664386037,True
llama3.1_8b,72,0.3,0.30259532437845904,6965.708711814668,True,36.155453486902076,True
llama3.1_8b,72,0.35,0.34972237758635827,12026.486337118917,True,37.07674400942719,True
