reward_model,generator,price_per_million,relative_net_utility_gain_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,gemma3_4b,0.1,0.054979664570323036,-0.7634931458308812,0.8099041512065708,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,0.10107201898642222,-1.4144278754067918,1.4347622787936516,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.5,1.010152898023648,-0.8699363798394601,2.78923546590103,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,3.4807938473998745,1.7685178288625296,5.3979737293584735,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,4.416555971630139,2.7081094436086603,6.334094631489913,0.95,1000
fsfairx_llama3_rm,gemma3_4b,5.0,2.1014415021233446,-0.0637678822962016,4.497482649413397,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,5.771000220768661,3.4349835011771157,8.19496524989621,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,0.20723729813745315,-0.37603161522100137,0.8644425896855773,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,1.084052681381674,0.04471790172516652,2.0972971726975036,0.95,1000
rm_mistral_7b,gemma3_4b,0.5,2.1033758567952607,0.11834910492197923,3.7253465614295167,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,2.04139859682971,0.2691316855144719,3.6502864431171065,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,2.805489246982991,1.0699533727467576,4.551250456412525,0.95,1000
rm_mistral_7b,gemma3_4b,5.0,1.992370111923681,-0.5566487220339488,4.713201353238243,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,3.6429143337337173,1.4381663212252065,5.90887885787274,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,1.5904457872908422,-0.001639331808610059,2.9804621703759913,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,2.4481395018530474,0.7148332264468898,4.1092181844079105,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.5,3.700012716826117,1.885607130564615,5.6973419751235825,0.95,1000
fsfairx_llama3_rm,granite42_8b,1.0,3.9528663375194784,1.8551376495789673,6.163503954231961,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,5.218586919101744,3.0113945062228336,7.368781899257296,0.95,1000
fsfairx_llama3_rm,granite42_8b,5.0,1.0900443865670912,-1.889216987861899,4.196069183012967,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,4.187446838238893,1.254803572319964,7.639042561715611,0.95,1000
rm_mistral_7b,granite42_8b,0.1,-0.1978476031710056,-1.5531288025527314,1.099613316573964,0.95,1000
rm_mistral_7b,granite42_8b,0.2,0.3332048593414846,-1.1712577031102258,1.8521166123820259,0.95,1000
rm_mistral_7b,granite42_8b,0.5,1.9519455069745697,0.15627474350480783,3.8219764118949366,0.95,1000
rm_mistral_7b,granite42_8b,1.0,2.278489445600962,0.5454013452712905,3.9546960708544194,0.95,1000
rm_mistral_7b,granite42_8b,2.0,2.52757328851932,0.5694483861205079,4.589099233087055,0.95,1000
rm_mistral_7b,granite42_8b,5.0,0.45745708960099185,-2.4121950984765315,3.259127064486246,0.95,1000
rm_mistral_7b,granite42_8b,10.0,4.653721005410773,1.783508162877535,7.778844963076108,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,2.8228800334876287,2.034052071521956,3.597721109957864,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,3.5264501324174224,2.4925700875909387,4.568419700064102,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.5,5.017055987707714,3.683175585581851,6.352821976319634,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,7.1399609675226134,5.740689293640839,8.605797319282047,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,5.395749491012338,3.3869216881325857,7.787755999836373,0.95,1000
fsfairx_llama3_rm,ministral3_8b,5.0,5.789368903091914,2.8505019153829805,9.212586343417634,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,7.861856702889492,5.219052202377179,11.257547505468159,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,1.5934507243620304,0.713519572772672,2.5645186424199844,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,2.1698429794063534,1.0282893916152995,3.3523089099204384,0.95,1000
rm_mistral_7b,ministral3_8b,0.5,3.3841380343505207,2.069900570197373,4.641565315946149,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,3.908539393983136,2.0498173299443505,5.627631859728279,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,3.498896901094247,1.0426055197897306,6.044552141199053,0.95,1000
rm_mistral_7b,ministral3_8b,5.0,4.473892036231701,2.007873254445095,7.0771636914086145,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,7.771562026305766,4.476060948066112,11.585736864624431,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,1.8488483385988062,0.9529975588352663,2.7609670844124174,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.2,3.2401650185463957,2.080385256793395,4.343429004913809,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.5,3.5813139795395954,2.1182492688628756,5.267748064467701,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,4.927042765711197,3.623982919248754,6.426866514660055,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,4.5008046010438445,3.0018722679069683,6.20849397132098,0.95,1000
fsfairx_llama3_rm,qwen35_9b,5.0,4.3805360745731,2.328162701682589,6.54254674198177,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,6.635878638302029,3.9029569538755413,9.884187803797651,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,0.7036415508901456,-0.07259400205586403,1.4320048381777177,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,2.197658252265796,1.1064376423707307,3.3045077413092243,0.95,1000
rm_mistral_7b,qwen35_9b,0.5,3.5094329099024373,2.5954010687555003,4.5417651610578025,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,5.3535301128851405,4.079466181875975,6.4852232591346,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,3.9824497583911893,2.1925946136167265,5.640254265575645,0.95,1000
rm_mistral_7b,qwen35_9b,5.0,2.7521453732463765,0.6127388637714885,4.901190137033694,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,5.785884147098694,2.6274481283876976,9.14448604609037,0.95,1000
