reward_model,generator,split_seed,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,gemma3_4b,71,0.1,505,0.5981512857829491,0.6085591922630758,0.0412959555,0.054110239750000004,0.5568553302829491,0.5544489525130758,-0.0024063777698732913,-0.4321369732872205,412959.555,541102.3975,753.0875,-31.030361435758525
fsfairx_llama3_rm,gemma3_4b,71,0.2,278,0.5722883203416387,0.5813310038226082,0.04547125800000001,0.055270422,0.5268170623416387,0.5260605818226081,-0.0007564805190306556,-0.14359453653004145,227356.29,276352.11,474.025,-21.550237294952336
fsfairx_llama3_rm,gemma3_4b,71,0.5,133,0.538473345286688,0.5542143381352855,0.05437991625,0.06410891625,0.484093429036688,0.49010542188528555,0.006011992848597547,1.241907550895907,108759.8325,128217.8325,279.665,-17.890796218355696
fsfairx_llama3_rm,gemma3_4b,71,1.0,68,0.5029944426326245,0.5227150315444434,0.055617169999999994,0.061058907499999995,0.44737727263262445,0.4616561240444436,0.014278851411819171,3.191680106545024,55617.17,61058.9075,140.025,-9.784276150692328
fsfairx_llama3_rm,gemma3_4b,71,2.0,40,0.47549900362623526,0.48747018965298716,0.065426685,0.058503555,0.4100723186262353,0.4289666346529873,0.01889431602675201,4.607557049948898,32713.3425,29251.7775,79.07,10.581508141517482
fsfairx_llama3_rm,gemma3_4b,71,5.0,16,0.4161614169652561,0.4153446561990349,0.0654401125,0.05393420000000001,0.35072130446525596,0.3614104561990347,0.010689151733778768,3.047762310897108,13088.0225,10786.84,32.885,17.582354400750756
fsfairx_llama3_rm,gemma3_4b,71,10.0,10,0.3839188576848802,0.37987084948790717,0.081766425,0.06016085,0.3021524326848802,0.3197099994879072,0.017557566803027003,5.810830860110295,8176.6425,6016.085,20.3225,26.423528972925013
fsfairx_llama3_rm,gemma3_4b,72,0.1,541,0.6040264134062557,0.6152012797171981,0.041295356250000005,0.052791647000000004,0.5627310571562558,0.5624096327171982,-0.00032142443905758267,-0.0571186599655422,412953.5625,527916.47,781.0025,-27.839185307912185
fsfairx_llama3_rm,gemma3_4b,72,0.2,244,0.5697889241045639,0.5887648234046176,0.037241521500000006,0.05373266850000001,0.5325474026045639,0.5350321549046175,0.0024847523000536276,0.4665786158943391,186207.6075,268663.3425,498.6575,-44.2816145414467
fsfairx_llama3_rm,gemma3_4b,72,0.5,124,0.5351535331404347,0.5588177992750151,0.04731994999999999,0.061099379999999995,0.4878335831404347,0.49771841927501503,0.009884836134580355,2.0262721707158002,94639.9,122198.76,287.4425,-29.119705325132415
fsfairx_llama3_rm,gemma3_4b,72,1.0,63,0.4976642247108261,0.5289270781906059,0.0480881225,0.056280329999999996,0.44957610221082617,0.4726467481906058,0.023070645979779647,5.13164420135499,48088.1225,56280.33,157.33,-17.035823139071415
fsfairx_llama3_rm,gemma3_4b,72,2.0,34,0.4616269979531837,0.49057136296156145,0.051880375,0.054060199999999996,0.40974662295318365,0.4365111629615614,0.026764540008377746,6.531973299859455,25940.1875,27030.1,83.345,-4.2016369388232055
fsfairx_llama3_rm,gemma3_4b,72,5.0,16,0.4159799025219031,0.42143321711791387,0.0610123,0.05056443750000001,0.35496760252190307,0.37086877961791404,0.015901177096010966,4.479613627564728,12202.46,10112.8875,33.7525,17.124190532073026
fsfairx_llama3_rm,gemma3_4b,72,10.0,7,0.35704606523746485,0.38636228464592165,0.053324325000000006,0.057040350000000004,0.3037217402374649,0.3293219346459217,0.02560019440845679,8.42883172881904,5332.4325,5704.035,21.23,-6.968723936027321
fsfairx_llama3_rm,gemma3_4b,73,0.1,505,0.5980732118707369,0.6086458282194952,0.040808267,0.048542048750000004,0.557264944870737,0.5601037794694953,0.002838834598758333,0.5094227844202237,408082.67,485420.4875,709.235,-18.95150742372862
fsfairx_llama3_rm,gemma3_4b,73,0.2,283,0.5739818220163823,0.5812612506891703,0.04574336550000001,0.050702303500000004,0.5282384565163821,0.5305589471891703,0.002320490672788167,0.43928847742197696,228716.8275,253511.5175,468.265,-10.840780834108044
fsfairx_llama3_rm,gemma3_4b,73,0.5,133,0.5350906151184552,0.5465725599946214,0.05374525625,0.06019388625,0.48134535886845525,0.4863786737446214,0.005033314876166151,1.0456764116306112,107490.5125,120387.7725,264.545,-11.998510101065897
fsfairx_llama3_rm,gemma3_4b,73,1.0,75,0.4989123963905574,0.5145953622838452,0.060614394999999995,0.05999791249999999,0.43829800139055736,0.4545974497838452,0.01629944839328784,3.7188050918725897,60614.395,59997.9125,151.0725,1.0170562619654877
fsfairx_llama3_rm,gemma3_4b,73,2.0,40,0.467836121040231,0.48297990594787094,0.06465975,0.0607534,0.4031763710402309,0.42222650594787114,0.019050134907640237,4.7250127428076185,32329.875,30376.7,85.385,6.041393602666267
fsfairx_llama3_rm,gemma3_4b,73,5.0,15,0.4086198658203907,0.4131753110319675,0.06067428750000001,0.05632195,0.3479455783203909,0.3568533610319677,0.008907782711576773,2.5601080360258,12134.8575,11264.39,33.97,7.173281598073988
fsfairx_llama3_rm,gemma3_4b,73,10.0,11,0.38468465449741385,0.37795068533613246,0.08895925,0.062070175000000005,0.29572540449741386,0.31588051033613246,0.0201551058387186,6.815480013620156,8895.925,6207.0175,20.805,30.22628338255998
fsfairx_llama3_rm,gemma3_4b,74,0.1,505,0.5987276456470959,0.6098362840987798,0.041396463,0.05475275075,0.5573311826470959,0.5550835333487798,-0.0022476492983161123,-0.4032879135957716,413964.63,547527.5075,754.0425,-32.2643211087865
fsfairx_llama3_rm,gemma3_4b,74,0.2,269,0.5704928428945061,0.5800787488561131,0.044110970000000006,0.0567989225,0.5263818728945061,0.523279826356113,-0.0031020465383930773,-0.5893148488064992,220554.85,283994.6125,479.845,-28.76371229197634
fsfairx_llama3_rm,gemma3_4b,74,0.5,143,0.5399836613138319,0.5424367913540391,0.058628906249999994,0.05901771499999999,0.48135475506383196,0.48341907635403913,0.0020643212902071717,0.42885652805765345,117257.8125,118035.43,228.6375,-0.6631690319141681
fsfairx_llama3_rm,gemma3_4b,74,1.0,62,0.49256318665539794,0.5121179591244054,0.050839075,0.057452579999999996,0.44172411165539793,0.4546653791244054,0.012941267469007478,2.929717243758553,50839.075,57452.58,114.78,-13.008704426663954
fsfairx_llama3_rm,gemma3_4b,74,2.0,40,0.46812535152365997,0.47237945284024535,0.065596085,0.061295089999999997,0.40252926652366,0.41108436284024535,0.008555096316585353,2.125335231017916,32798.0425,30647.545,71.94,6.556786125269531
fsfairx_llama3_rm,gemma3_4b,74,5.0,15,0.4022757644802505,0.39508276042493046,0.0614677625,0.05790485,0.34080800198025046,0.33717791042493045,-0.003630091555320014,-1.065142700355485,12293.5525,11580.97,36.1175,5.796392051849953
fsfairx_llama3_rm,gemma3_4b,74,10.0,8,0.352906671814129,0.35897278009907124,0.06547175000000001,0.061023525,0.287434921814129,0.29794925509907116,0.010514333284942168,3.657987421494075,6547.175,6102.3525,18.4375,6.794113491696807
fsfairx_llama3_rm,gemma3_4b,75,0.1,523,0.6015276881121141,0.6122304542168616,0.044431406750000006,0.051468373000000005,0.5570962813621141,0.5607620812168616,0.0036657998547474646,0.6580190852799258,444314.0675,514683.73,710.0875,-15.837820057317886
fsfairx_llama3_rm,gemma3_4b,75,0.2,283,0.5785631245956956,0.5870108333421516,0.048088370000000005,0.05477276800000001,0.5304747545956956,0.5322380653421512,0.0017633107464556375,0.33240238695233576,240441.85,273863.84,454.2225,-13.900238248873897
fsfairx_llama3_rm,gemma3_4b,75,0.5,134,0.5424072612507657,0.5478357928606944,0.05692430999999999,0.060857302499999995,0.4854829512507655,0.4869784903606944,0.0014955391099288895,0.3080518288182692,113848.62,121714.605,229.69,-6.90916148127223
fsfairx_llama3_rm,gemma3_4b,75,1.0,68,0.5059421178432395,0.5191569855878703,0.0577907675,0.060106045,0.4481513503432396,0.45905094058787044,0.01089959024463083,2.432122593468216,57790.7675,60106.045,116.2375,-4.006310350524411
fsfairx_llama3_rm,gemma3_4b,75,2.0,40,0.4762340491073512,0.48320102498881645,0.0679524,0.05820880999999999,0.4082816491073512,0.4249922149888165,0.0167105658814653,4.092901534516806,33976.2,29104.405,63.8575,14.338846015740426
fsfairx_llama3_rm,gemma3_4b,75,5.0,16,0.4168599432918957,0.4067993409703917,0.0679288375,0.05268707500000001,0.3489311057918956,0.35411226597039175,0.005181160178496125,1.484866236484573,13585.7675,10537.415,26.115,22.4378379800773
