id,partition,price,method,quality,cost,samples,profit
59,train,2e-08,fixed_1,0.18242880775546086,3.7825000000000005e-05,1.0,0.18239098275546087
59,train,2e-08,fixed_2,0.20389315449405165,7.295250000000001e-05,2.0,0.20382020199405165
59,train,2e-08,fixed_4,0.25601228219780464,0.000146235,4.0,0.25586604719780465
59,train,2e-08,fixed_8,0.3041514679387696,0.00029356999999999994,8.0,0.3038578979387696
59,train,2e-08,fixed_16,0.32756900667998595,0.0006012575,16.0,0.326967749179986
59,train,2e-08,fixed_32,0.41762160114557745,0.001212405,32.0,0.4164091961455775
59,train,2e-08,fixed_64,0.45945288390169714,0.0024509025,64.0,0.4570019814016972
59,train,2e-08,fixed_128,0.5039462995542696,0.0049065125,128.0,0.4990397870542696
59,train,2e-08,fixed_256,0.5559477903971672,0.009855775,256.0,0.5460920153971673
59,train,2e-08,fixed_512,0.5807089620605344,0.0196731125,512.0,0.5610358495605344
59,train,2e-08,dmrl_doubling,0.5807089620605344,0.0196731125,512.0,0.5610358495605344
59,train,2e-08,dmrl_sequential,0.5807089620605344,0.019386845,504.375,0.5613221170605344
59,train,1e-07,fixed_1,0.18242880775546086,0.00018912499999999998,1.0,0.18223968275546087
59,train,1e-07,fixed_2,0.20389315449405165,0.0003647625,2.0,0.20352839199405165
59,train,1e-07,fixed_4,0.25601228219780464,0.0007311749999999999,4.0,0.2552811071978046
59,train,1e-07,fixed_8,0.3041514679387696,0.00146785,8.0,0.30268361793876963
59,train,1e-07,fixed_16,0.32756900667998595,0.0030062875,16.0,0.324562719179986
59,train,1e-07,fixed_32,0.41762160114557745,0.0060620249999999995,32.0,0.4115595761455774
59,train,1e-07,fixed_64,0.45945288390169714,0.0122545125,64.0,0.44719837140169716
59,train,1e-07,fixed_128,0.5039462995542696,0.024532562499999997,128.0,0.4794137370542696
59,train,1e-07,fixed_256,0.5559477903971672,0.04927887500000001,256.0,0.5066689153971672
59,train,1e-07,fixed_512,0.5807089620605344,0.0983655625,512.0,0.4823433995605344
59,train,1e-07,dmrl_doubling,0.5807089620605344,0.0983655625,512.0,0.4823433995605344
59,train,1e-07,dmrl_sequential,0.5559363982581476,0.07996081249999999,415.5,0.4759755857581475
59,train,2e-07,fixed_1,0.18242880775546086,0.00037824999999999995,1.0,0.1820505577554609
59,train,2e-07,fixed_2,0.20389315449405165,0.000729525,2.0,0.20316362949405165
59,train,2e-07,fixed_4,0.25601228219780464,0.0014623499999999998,4.0,0.25454993219780464
59,train,2e-07,fixed_8,0.3041514679387696,0.0029357,8.0,0.30121576793876964
59,train,2e-07,fixed_16,0.32756900667998595,0.006012575,16.0,0.321556431679986
59,train,2e-07,fixed_32,0.41762160114557745,0.012124049999999999,32.0,0.40549755114557745
59,train,2e-07,fixed_64,0.45945288390169714,0.024509025,64.0,0.4349438589016972
59,train,2e-07,fixed_128,0.5039462995542696,0.049065124999999994,128.0,0.4548811745542696
59,train,2e-07,fixed_256,0.5559477903971672,0.09855775000000001,256.0,0.45739004039716724
59,train,2e-07,fixed_512,0.5807089620605344,0.196731125,512.0,0.38397783706053445
59,train,2e-07,dmrl_doubling,0.5518248454793764,0.16594275,432.0,0.38588209547937635
59,train,2e-07,dmrl_sequential,0.5251558773309571,0.113048,293.5,0.4121078773309573
59,train,1e-06,fixed_1,0.18242880775546086,0.0018912499999999997,1.0,0.18053755775546088
59,train,1e-06,fixed_2,0.20389315449405165,0.003647625,2.0,0.20024552949405164
59,train,1e-06,fixed_4,0.25601228219780464,0.0073117500000000005,4.0,0.24870053219780464
59,train,1e-06,fixed_8,0.3041514679387696,0.0146785,8.0,0.28947296793876964
59,train,1e-06,fixed_16,0.32756900667998595,0.030062875,16.0,0.2975061316799861
59,train,1e-06,fixed_32,0.41762160114557745,0.06062025,32.0,0.35700135114557746
59,train,1e-06,fixed_64,0.45945288390169714,0.122545125,64.0,0.3369077589016972
59,train,1e-06,fixed_128,0.5039462995542696,0.245325625,128.0,0.2586206745542696
59,train,1e-06,fixed_256,0.5559477903971672,0.49278874999999994,256.0,0.0631590403971673
59,train,1e-06,fixed_512,0.5807089620605344,0.9836556249999999,512.0,-0.4029466629394655
59,train,1e-06,dmrl_doubling,0.47493738056767537,0.245796625,128.0,0.22914075556767544
59,train,1e-06,dmrl_sequential,0.4501181941364613,0.14833962499999997,77.75,0.30177856913646134
59,train,2e-06,fixed_1,0.18242880775546086,0.0037824999999999994,1.0,0.1786463077554609
59,train,2e-06,fixed_2,0.20389315449405165,0.00729525,2.0,0.19659790449405165
59,train,2e-06,fixed_4,0.25601228219780464,0.014623500000000001,4.0,0.24138878219780463
59,train,2e-06,fixed_8,0.3041514679387696,0.029357,8.0,0.27479446793876966
59,train,2e-06,fixed_16,0.32756900667998595,0.06012575,16.0,0.267443256679986
59,train,2e-06,fixed_32,0.41762160114557745,0.1212405,32.0,0.2963811011455775
59,train,2e-06,fixed_64,0.45945288390169714,0.24509025,64.0,0.21436263390169719
59,train,2e-06,fixed_128,0.5039462995542696,0.49065125,128.0,0.013295049554269613
59,train,2e-06,fixed_256,0.5559477903971672,0.9855774999999999,256.0,-0.42962970960283264
59,train,2e-06,fixed_512,0.5807089620605344,1.9673112499999998,512.0,-1.3866022879394655
59,train,2e-06,dmrl_doubling,0.4480877864405602,0.27596325,72.0,0.1721245364405602
59,train,2e-06,dmrl_sequential,0.43181988796209186,0.18357099999999998,48.0,0.24824888796209188
59,train,1e-05,fixed_1,0.18242880775546086,0.018912500000000002,1.0,0.16351630775546086
59,train,1e-05,fixed_2,0.20389315449405165,0.03647625,2.0,0.16741690449405164
59,train,1e-05,fixed_4,0.25601228219780464,0.0731175,4.0,0.18289478219780464
59,train,1e-05,fixed_8,0.3041514679387696,0.146785,8.0,0.15736646793876963
59,train,1e-05,fixed_16,0.32756900667998595,0.30062875,16.0,0.02694025667998596
59,train,1e-05,fixed_32,0.41762160114557745,0.6062025000000001,32.0,-0.1885808988544226
59,train,1e-05,fixed_64,0.45945288390169714,1.22545125,64.0,-0.765998366098303
59,train,1e-05,fixed_128,0.5039462995542696,2.453256250000001,128.0,-1.9493099504457307
59,train,1e-05,fixed_256,0.5559477903971672,4.927887500000001,256.0,-4.371939709602833
59,train,1e-05,fixed_512,0.5807089620605344,9.836556250000001,512.0,-9.255847287939467
59,train,1e-05,dmrl_doubling,0.33141365833013575,0.32162250000000003,17.0,0.00979115833013569
59,train,1e-05,dmrl_sequential,0.33141365833013575,0.28842749999999995,15.25,0.04298615833013569
75,test,2e-08,fixed_1,0.41106170338135056,1.2124999999999998e-06,1.0,0.41106049088135055
75,test,2e-08,fixed_2,0.4472581481762141,2.5275e-06,2.0,0.44725562067621416
75,test,2e-08,fixed_4,0.4524026782459068,4.9900000000000005e-06,4.0,0.4523976882459067
75,test,2e-08,fixed_8,0.4675525821508144,9.73e-06,8.0,0.4675428521508145
75,test,2e-08,fixed_16,0.48237294206069015,1.94575e-05,16.0,0.48235348456069016
75,test,2e-08,fixed_32,0.49950970416259005,3.929999999999999e-05,32.0,0.49947040416259014
75,test,2e-08,fixed_64,0.5001198407997375,7.805750000000001e-05,64.0,0.5000417832997376
