partition,price,method,prompts,quality,cost,samples,profit
train,2e-08,fixed_1,50,0.20862556999371396,2.963485000000001e-05,1.0,0.20859593514371394
train,2e-08,fixed_2,50,0.261091050564101,5.8737000000000024e-05,2.0,0.26103231356410095
train,2e-08,fixed_3,50,0.2968264685982791,8.782405e-05,3.0,0.2967386445482792
train,2e-08,fixed_4,50,0.31221038253193323,0.00011675079999999998,4.0,0.3120936317319332
train,2e-08,fixed_5,50,0.3281005569502971,0.00014581000000000002,5.0,0.3279547469502971
train,2e-08,fixed_6,50,0.34418058199586304,0.00017488189999999998,6.0,0.3440057000958631
train,2e-08,fixed_7,50,0.35473865377653935,0.00020417155,7.0,0.35453448222653927
train,2e-08,fixed_8,50,0.36818787098358974,0.00023363300000000007,8.0,0.3679542379835897
train,2e-08,fixed_9,50,0.3747816943087521,0.0002629928999999999,9.0,0.37451870140875193
train,2e-08,fixed_10,50,0.38084379264671375,0.00029266210000000005,10.0,0.38055113054671375
train,2e-08,fixed_11,50,0.38592261704737907,0.0003215731000000001,11.0,0.38560104394737904
train,2e-08,fixed_12,50,0.3922697898421954,0.00035055019999999994,12.0,0.3919192396421956
train,2e-08,fixed_13,50,0.3979657235681326,0.0003799883,13.0,0.39758573526813273
train,2e-08,fixed_14,50,0.4012614394424683,0.00040905779999999994,14.0,0.40085238164246834
train,2e-08,fixed_15,50,0.40636188169705134,0.00043853205,15.0,0.40592334964705157
train,2e-08,fixed_16,50,0.4119267723137943,0.00046810520000000003,16.0,0.4114586671137943
train,2e-08,fixed_17,50,0.41466440224961304,0.0004972850500000001,17.0,0.4141671171996131
train,2e-08,fixed_18,50,0.41694062275560223,0.0005267148500000001,18.0,0.4164139079056023
train,2e-08,fixed_19,50,0.4204746288513438,0.0005558746500000002,19.0,0.4199187542013438
train,2e-08,fixed_20,50,0.42470913091524787,0.0005851292500000002,20.0,0.4241240016652478
train,2e-08,fixed_21,50,0.42671695125705,0.0006142418999999999,21.0,0.4261027093570499
train,2e-08,fixed_22,50,0.42895399115485483,0.0006437460500000002,22.0,0.4283102451048547
train,2e-08,fixed_23,50,0.43183019544414575,0.0006724267000000001,23.0,0.43115776874414585
train,2e-08,fixed_24,50,0.434346718182007,0.0007017166999999999,24.0,0.4336450014820069
train,2e-08,fixed_25,50,0.4377450051878292,0.00073073505,25.0,0.43701427013782906
train,2e-08,fixed_26,50,0.4400957064249899,0.0007602921500000001,26.0,0.4393354142749902
train,2e-08,fixed_27,50,0.4432517657076531,0.0007897631499999999,27.0,0.4424620025576532
train,2e-08,fixed_28,50,0.4453729633246,0.0008187952000000002,28.0,0.4445541681246
train,2e-08,fixed_29,50,0.4470178967145473,0.0008481150000000003,29.0,0.44616978171454735
train,2e-08,fixed_30,50,0.44997800551012296,0.0008773260499999999,30.0,0.44910067946012305
train,2e-08,fixed_31,50,0.4517498424214908,0.0009064833000000001,31.0,0.4508433591214907
train,2e-08,fixed_32,50,0.45363968228691076,0.0009361089500000002,32.0,0.4527035733369111
train,2e-08,fixed_33,50,0.4548687341257836,0.0009648558000000003,33.0,0.4539038783257836
train,2e-08,fixed_34,50,0.45680336857106196,0.0009935813000000002,34.0,0.45580978727106186
train,2e-08,fixed_35,50,0.4591416568923249,0.0010229189000000004,35.0,0.4581187379923249
train,2e-08,fixed_36,50,0.4606453435716743,0.0010518184499999999,36.0,0.45959352512167434
train,2e-08,fixed_37,50,0.46321402118774346,0.0010810689,37.0,0.46213295228774365
train,2e-08,fixed_38,50,0.46474034876811204,0.0011104762499999999,38.0,0.4636298725181119
train,2e-08,fixed_39,50,0.46724979403436223,0.0011394744499999998,39.0,0.4661103195843623
train,2e-08,fixed_40,50,0.4690886597588345,0.0011688533000000002,40.0,0.4679198064588346
train,2e-08,fixed_41,50,0.47091153333586816,0.0011977105999999998,41.0,0.46971382273586815
train,2e-08,fixed_42,50,0.47158502559032056,0.0012265827499999998,42.0,0.4703584428403206
train,2e-08,fixed_43,50,0.4734822089350934,0.00125570045,43.0,0.4722265084850937
train,2e-08,fixed_44,50,0.4751909323779712,0.0012851299,44.0,0.47390580247797104
train,2e-08,fixed_45,50,0.4757383169353168,0.00131446065,45.0,0.47442385628531675
train,2e-08,fixed_46,50,0.47650193279696573,0.0013434873000000003,46.0,0.4751584454969657
train,2e-08,fixed_47,50,0.47745156769924135,0.0013722852499999999,47.0,0.47607928244924147
train,2e-08,fixed_48,50,0.4792186150617648,0.0014015949000000002,48.0,0.47781702016176486
train,2e-08,fixed_49,50,0.48032888655623934,0.0014308802500000001,49.0,0.4788980063062393
train,2e-08,fixed_50,50,0.4819001135742671,0.0014602767500000002,50.0,0.4804398368242672
train,2e-08,fixed_51,50,0.48361251489833523,0.0014901265499999996,51.0,0.4821223883483352
train,2e-08,fixed_52,50,0.48512686556665324,0.0015196681499999997,52.0,0.48360719741665337
train,2e-08,fixed_53,50,0.4872131473969972,0.0015492330000000001,53.0,0.4856639143969972
train,2e-08,fixed_54,50,0.4874404493462199,0.0015781355,54.0,0.48586231384622
train,2e-08,fixed_55,50,0.4885976880598431,0.00160726165,55.0,0.486990426409843
train,2e-08,fixed_56,50,0.489736543971919,0.0016368257499999998,56.0,0.488099718221919
train,2e-08,fixed_57,50,0.49076646708590344,0.00166598045,57.0,0.48910048663590333
train,2e-08,fixed_58,50,0.49206812845042003,0.0016953606,58.0,0.49037276785042005
train,2e-08,fixed_59,50,0.49320916873427095,0.0017244694000000003,59.0,0.49148469933427075
train,2e-08,fixed_60,50,0.49335469494365164,0.0017535618,60.0,0.4916011331436515
train,2e-08,fixed_61,50,0.49362283543971186,0.0017825831500000002,61.0,0.4918402522897118
train,2e-08,fixed_62,50,0.49408457288619334,0.001812020200000001,62.0,0.4922725526861932
train,2e-08,fixed_63,50,0.4955264275949381,0.0018414764999999994,63.0,0.493684951094938
train,2e-08,fixed_64,50,0.4965771499955588,0.0018704300500000002,64.0,0.4947067199455587
train,2e-08,fixed_65,50,0.4974109562954759,0.0019000085499999997,65.0,0.49551094774547594
train,2e-08,fixed_66,50,0.4980253123373702,0.0019290114499999997,66.0,0.4960963008873701
train,2e-08,fixed_67,50,0.4992529132295134,0.00195798575,67.0,0.4972949274795133
train,2e-08,fixed_68,50,0.5001563181782689,0.00198675695,68.0,0.49816956122826894
train,2e-08,fixed_69,50,0.5013797179509742,0.0020163892,69.0,0.49936332875097433
train,2e-08,fixed_70,50,0.5019811531030609,0.0020454825999999997,70.0,0.499935670503061
train,2e-08,fixed_71,50,0.5033798079937163,0.002074735949999999,71.0,0.5013050720437163
train,2e-08,fixed_72,50,0.5042053443569607,0.0021040379499999997,72.0,0.502101306406961
train,2e-08,fixed_73,50,0.5050169855514198,0.0021330958999999997,73.0,0.5028838896514201
train,2e-08,fixed_74,50,0.506561338441933,0.0021621945000000003,74.0,0.504399143941933
