id,partition,price,method,quality,cost,samples,profit
59,train,2e-08,fixed_1,0.15878507357068583,5.187e-05,1.0,0.15873320357068582
59,train,2e-08,fixed_2,0.19794299624086314,0.000117825,2.0,0.19782517124086318
59,train,2e-08,fixed_4,0.33288281773195166,0.0002243175,4.0,0.33265850023195165
59,train,2e-08,fixed_8,0.3652313082738887,0.0004378775,8.0,0.3647934307738887
59,train,2e-08,fixed_16,0.4612111745742133,0.000882655,16.0,0.46032851957421334
59,train,2e-08,fixed_32,0.523238968326783,0.0017557050000000002,32.0,0.521483263326783
59,train,2e-08,fixed_64,0.523238968326783,0.0034723450000000004,64.0,0.519766623326783
59,train,2e-08,fixed_128,0.5347254864968229,0.006913977500000001,128.0,0.5278115089968229
59,train,2e-08,fixed_256,0.5791191508076916,0.0138784875,256.0,0.5652406633076916
59,train,2e-08,fixed_512,0.5981729713670042,0.027799402500000004,512.0,0.5703735688670042
59,train,2e-08,dmrl_doubling,0.5282835528748099,0.021793205,401.0,0.5064903478748098
59,train,2e-08,dmrl_sequential,0.5282835528748099,0.0216979825,399.375,0.5065855703748099
59,train,1e-07,fixed_1,0.15878507357068583,0.00025935,1.0,0.15852572357068584
59,train,1e-07,fixed_2,0.19794299624086314,0.000589125,2.0,0.19735387124086318
59,train,1e-07,fixed_4,0.33288281773195166,0.0011215875,4.0,0.33176123023195164
59,train,1e-07,fixed_8,0.3652313082738887,0.0021893875,8.0,0.36304192077388875
59,train,1e-07,fixed_16,0.4612111745742133,0.0044132749999999995,16.0,0.45679789957421324
59,train,1e-07,fixed_32,0.523238968326783,0.008778525,32.0,0.514460443326783
59,train,1e-07,fixed_64,0.523238968326783,0.017361725,64.0,0.505877243326783
59,train,1e-07,fixed_128,0.5347254864968229,0.0345698875,128.0,0.5001555989968229
59,train,1e-07,fixed_256,0.5791191508076916,0.06939243749999999,256.0,0.5097267133076916
59,train,1e-07,fixed_512,0.5981729713670042,0.1389970125,512.0,0.4591759588670043
59,train,1e-07,dmrl_doubling,0.5282835528748099,0.108966025,401.0,0.41931752787480986
59,train,1e-07,dmrl_sequential,0.5282835528748099,0.09406989999999998,346.125,0.4342136528748099
59,train,2e-07,fixed_1,0.15878507357068583,0.0005187,1.0,0.1582663735706858
59,train,2e-07,fixed_2,0.19794299624086314,0.00117825,2.0,0.19676474624086315
59,train,2e-07,fixed_4,0.33288281773195166,0.002243175,4.0,0.3306396427319516
59,train,2e-07,fixed_8,0.3652313082738887,0.004378775,8.0,0.3608525332738888
59,train,2e-07,fixed_16,0.4612111745742133,0.008826549999999999,16.0,0.45238462457421325
59,train,2e-07,fixed_32,0.523238968326783,0.01755705,32.0,0.505681918326783
59,train,2e-07,fixed_64,0.523238968326783,0.03472345,64.0,0.48851551832678297
59,train,2e-07,fixed_128,0.5347254864968229,0.069139775,128.0,0.465585711496823
59,train,2e-07,fixed_256,0.5791191508076916,0.13878487499999997,256.0,0.44033427580769163
59,train,2e-07,fixed_512,0.5981729713670042,0.277994025,512.0,0.3201789463670042
59,train,2e-07,dmrl_doubling,0.5282835528748099,0.200479725,369.0,0.3278038278748099
59,train,2e-07,dmrl_sequential,0.5225977192564232,0.143564175,264.625,0.37903354425642316
59,train,1e-06,fixed_1,0.15878507357068583,0.0025935,1.0,0.1561915735706858
59,train,1e-06,fixed_2,0.19794299624086314,0.00589125,2.0,0.19205174624086316
59,train,1e-06,fixed_4,0.33288281773195166,0.011215874999999998,4.0,0.3216669427319516
59,train,1e-06,fixed_8,0.3652313082738887,0.021893875,8.0,0.3433374332738887
59,train,1e-06,fixed_16,0.4612111745742133,0.04413275,16.0,0.4170784245742133
59,train,1e-06,fixed_32,0.523238968326783,0.08778524999999998,32.0,0.4354537183267829
59,train,1e-06,fixed_64,0.523238968326783,0.17361725,64.0,0.349621718326783
59,train,1e-06,fixed_128,0.5347254864968229,0.34569887499999996,128.0,0.18902661149682293
59,train,1e-06,fixed_256,0.5791191508076916,0.6939243749999999,256.0,-0.11480522419230832
59,train,1e-06,fixed_512,0.5981729713670042,1.389970125,512.0,-0.7917971536329957
59,train,1e-06,dmrl_doubling,0.499486291645701,0.30402724999999997,113.0,0.19545904164570105
59,train,1e-06,dmrl_sequential,0.4956154007066958,0.21872562499999998,81.125,0.27688977570669576
59,train,2e-06,fixed_1,0.15878507357068583,0.005187,1.0,0.15359807357068583
59,train,2e-06,fixed_2,0.19794299624086314,0.0117825,2.0,0.18616049624086314
59,train,2e-06,fixed_4,0.33288281773195166,0.022431749999999997,4.0,0.31045106773195164
59,train,2e-06,fixed_8,0.3652313082738887,0.04378775,8.0,0.3214435582738887
59,train,2e-06,fixed_16,0.4612111745742133,0.0882655,16.0,0.3729456745742133
59,train,2e-06,fixed_32,0.523238968326783,0.17557049999999996,32.0,0.347668468326783
59,train,2e-06,fixed_64,0.523238968326783,0.3472345,64.0,0.17600446832678301
59,train,2e-06,fixed_128,0.5347254864968229,0.6913977499999999,128.0,-0.15667226350317703
59,train,2e-06,fixed_256,0.5791191508076916,1.3878487499999999,256.0,-0.8087295991923082
59,train,2e-06,fixed_512,0.5981729713670042,2.77994025,512.0,-2.1817672786329956
59,train,2e-06,dmrl_doubling,0.4956154007066958,0.41685049999999996,77.0,0.07876490070669583
59,train,2e-06,dmrl_sequential,0.47528935672696343,0.27876650000000003,51.625,0.1965228567269634
59,train,1e-05,fixed_1,0.15878507357068583,0.025935,1.0,0.13285007357068582
59,train,1e-05,fixed_2,0.19794299624086314,0.0589125,2.0,0.13903049624086314
59,train,1e-05,fixed_4,0.33288281773195166,0.11215875000000002,4.0,0.22072406773195163
59,train,1e-05,fixed_8,0.3652313082738887,0.21893875000000002,8.0,0.1462925582738887
59,train,1e-05,fixed_16,0.4612111745742133,0.44132750000000004,16.0,0.019883674574213264
59,train,1e-05,fixed_32,0.523238968326783,0.8778525000000001,32.0,-0.35461353167321713
59,train,1e-05,fixed_64,0.523238968326783,1.7361725,64.0,-1.212933531673217
59,train,1e-05,fixed_128,0.5347254864968229,3.4569887500000003,128.0,-2.922263263503177
59,train,1e-05,fixed_256,0.5791191508076916,6.93924375,256.0,-6.36012459919231
59,train,1e-05,fixed_512,0.5981729713670042,13.89970125,512.0,-13.301528278632997
59,train,1e-05,dmrl_doubling,0.45643437599795794,0.5487337500000001,20.0,-0.09229937400204213
59,train,1e-05,dmrl_sequential,0.4124984885061837,0.3678925,13.375,0.044605988506183684
75,test,2e-08,fixed_1,0.4259513683356464,7.875e-07,1.0,0.4259505808356464
75,test,2e-08,fixed_2,0.43484657800567983,1.6450000000000001e-06,2.0,0.43484493300567983
75,test,2e-08,fixed_4,0.4386660264680189,3.2850000000000003e-06,4.0,0.438662741468019
75,test,2e-08,fixed_8,0.4417281659363895,6.485e-06,8.0,0.44172168093638947
