partition,price,method,prompts,quality,cost,samples,profit
train,2e-08,fixed_1,50,0.1598211955874837,3.60941e-05,1.0,0.15978510148748376
train,2e-08,fixed_2,50,0.2152537495341642,7.150740000000002e-05,2.0,0.2151822421341642
train,2e-08,fixed_3,50,0.24646497906766915,0.00010648900000000002,3.0,0.2463584900676691
train,2e-08,fixed_4,50,0.2713665502233936,0.00014120539999999996,4.0,0.27122534482339367
train,2e-08,fixed_5,50,0.28928473818288847,0.00017735694999999996,5.0,0.28910738123288837
train,2e-08,fixed_6,50,0.3136066509753473,0.00021294095,6.0,0.31339371002534727
train,2e-08,fixed_7,50,0.32745337411370634,0.0002487186,7.0,0.32720465551370626
train,2e-08,fixed_8,50,0.33953374572507955,0.00028337334999999997,8.0,0.3392503723750794
train,2e-08,fixed_9,50,0.35285531977875373,0.0003190703,9.0,0.3525362494787536
train,2e-08,fixed_10,50,0.36110121807061346,0.00035388095000000015,10.0,0.36074733712061346
train,2e-08,fixed_11,50,0.36610682286949464,0.00038916000000000005,11.0,0.36571766286949475
train,2e-08,fixed_12,50,0.3751411867207038,0.00042463699999999995,12.0,0.3747165497207036
train,2e-08,fixed_13,50,0.38155036808976456,0.00045960724999999993,13.0,0.38109076083976445
train,2e-08,fixed_14,50,0.38844014713246894,0.0004939780499999999,14.0,0.38794616908246904
train,2e-08,fixed_15,50,0.39546040642017904,0.0005289646,15.0,0.39493144182017914
train,2e-08,fixed_16,50,0.4016658683076927,0.00056401925,16.0,0.40110184905769275
train,2e-08,fixed_17,50,0.40790558662022874,0.00060010145,17.0,0.4073054851702288
train,2e-08,fixed_18,50,0.41273437112944494,0.0006358962499999999,18.0,0.41209847487944506
train,2e-08,fixed_19,50,0.4172494190359167,0.0006716211,19.0,0.41657779793591687
train,2e-08,fixed_20,50,0.4226275522459036,0.0007069813999999999,20.0,0.4219205708459037
train,2e-08,fixed_21,50,0.42567965680651504,0.0007422109000000001,21.0,0.4249374459065152
train,2e-08,fixed_22,50,0.43017486470215366,0.0007780982000000001,22.0,0.4293967665021539
train,2e-08,fixed_23,50,0.43329621055983303,0.0008133718999999999,23.0,0.43248283865983306
train,2e-08,fixed_24,50,0.4363061505805596,0.0008487575,24.0,0.4354573930805597
train,2e-08,fixed_25,50,0.4389199560900372,0.0008844319999999999,25.0,0.43803552409003726
train,2e-08,fixed_26,50,0.44191263840592737,0.0009198048000000001,26.0,0.44099283360592756
train,2e-08,fixed_27,50,0.4444409198182608,0.0009552032500000001,27.0,0.4434857165682608
train,2e-08,fixed_28,50,0.44711342174488455,0.0009905135500000001,28.0,0.44612290819488476
train,2e-08,fixed_29,50,0.45079325519954866,0.0010255682999999996,29.0,0.4497676868995486
train,2e-08,fixed_30,50,0.45224179543134413,0.0010603973,30.0,0.45118139813134417
train,2e-08,fixed_31,50,0.4542066735322543,0.00109530425,31.0,0.45311136928225443
train,2e-08,fixed_32,50,0.45556548025074783,0.00113021825,32.0,0.4544352620007479
train,2e-08,fixed_33,50,0.4568749841541538,0.0011669022999999997,33.0,0.4557080818541539
train,2e-08,fixed_34,50,0.45864111891803655,0.00120219995,34.0,0.4574389189680368
train,2e-08,fixed_35,50,0.4598929070836711,0.0012372405,35.0,0.45865566658367124
train,2e-08,fixed_36,50,0.4627739136911809,0.0012732352,36.0,0.4615006784911809
train,2e-08,fixed_37,50,0.46566746106998885,0.0013096283500000003,37.0,0.46435783271998887
train,2e-08,fixed_38,50,0.46724012367276174,0.0013452509,38.0,0.46589487277276187
train,2e-08,fixed_39,50,0.46895165492265745,0.0013800224,39.0,0.4675716325226577
train,2e-08,fixed_40,50,0.47030664418925516,0.0014150302000000003,40.0,0.4688916139892552
train,2e-08,fixed_41,50,0.47153751468396193,0.00144988755,41.0,0.47008762713396185
train,2e-08,fixed_42,50,0.47217297636596844,0.0014841286999999997,42.0,0.4706888476659686
train,2e-08,fixed_43,50,0.474262402332008,0.0015184663500000003,43.0,0.47274393598200815
train,2e-08,fixed_44,50,0.4761773360422714,0.0015536397000000001,44.0,0.4746236963422716
train,2e-08,fixed_45,50,0.47756648128992757,0.0015906396999999994,45.0,0.47597584158992745
train,2e-08,fixed_46,50,0.47883127638280226,0.0016261213499999996,46.0,0.4772051550328021
train,2e-08,fixed_47,50,0.4813355568190656,0.001660857000000001,47.0,0.4796746998190653
train,2e-08,fixed_48,50,0.4832738676469947,0.0016957798999999998,48.0,0.4815780877469946
train,2e-08,fixed_49,50,0.4860067316000824,0.0017305021,49.0,0.48427622950008237
train,2e-08,fixed_50,50,0.4902930352636707,0.0017652354500000001,50.0,0.4885277998136706
train,2e-08,fixed_51,50,0.49103369505866973,0.0017994135499999997,51.0,0.48923428150866977
