figure,reward_model,group,setting,value,cases
profit_improvement,FSFairX,price,2e-08,0.38093606511064787,25
profit_improvement,FSFairX,price,1e-07,3.483988200965862,25
profit_improvement,FSFairX,price,2e-07,4.959413645754373,25
profit_improvement,FSFairX,price,1e-06,7.0953054842114485,25
profit_improvement,FSFairX,price,2e-06,8.087628469176506,25
profit_improvement,FSFairX,price,1e-05,9.288061154765748,25
profit_improvement,FSFairX,generator,gemma2_9b,4.553859822375902,30
profit_improvement,FSFairX,generator,llama3.1_8b,7.351917474750836,30
profit_improvement,FSFairX,generator,llama3.2_3b,6.79194392277843,30
profit_improvement,FSFairX,generator,mistral_7b,3.20356207633822,30
profit_improvement,FSFairX,generator,qwen2.5_7b,5.844827553743767,30
profit_improvement,Mistral,price,2e-08,0.19785274331186134,25
profit_improvement,Mistral,price,1e-07,2.642645206987567,25
profit_improvement,Mistral,price,2e-07,4.086419483552011,25
profit_improvement,Mistral,price,1e-06,6.695340563260903,25
profit_improvement,Mistral,price,2e-06,7.3616355437137955,25
profit_improvement,Mistral,price,1e-05,9.002619775875484,25
profit_improvement,Mistral,generator,gemma2_9b,4.47768362849937,30
profit_improvement,Mistral,generator,llama3.1_8b,7.032475795325043,30
profit_improvement,Mistral,generator,llama3.2_3b,6.193536384924098,30
profit_improvement,Mistral,generator,mistral_7b,2.0849760527711294,30
profit_improvement,Mistral,generator,qwen2.5_7b,5.200089235731711,30
matched_quality_cost_saving,FSFairX,price,2e-08,11.352429300781036,25
matched_quality_cost_saving,FSFairX,price,1e-07,30.766373520198357,25
matched_quality_cost_saving,FSFairX,price,2e-07,34.932658236242375,25
matched_quality_cost_saving,FSFairX,price,1e-06,34.46730860739131,25
matched_quality_cost_saving,FSFairX,price,2e-06,30.422235097554577,25
matched_quality_cost_saving,FSFairX,price,1e-05,24.43813345114266,25
matched_quality_cost_saving,FSFairX,generator,gemma2_9b,26.41222194263503,30
matched_quality_cost_saving,FSFairX,generator,llama3.1_8b,34.941095403710804,30
matched_quality_cost_saving,FSFairX,generator,llama3.2_3b,30.2782679155247,30
matched_quality_cost_saving,FSFairX,generator,mistral_7b,17.429428882525574,30
matched_quality_cost_saving,FSFairX,generator,qwen2.5_7b,29.588267700029167,30
matched_quality_cost_saving,Mistral,price,2e-08,12.548067863611529,25
matched_quality_cost_saving,Mistral,price,1e-07,27.32262051151638,25
matched_quality_cost_saving,Mistral,price,2e-07,30.10674992541002,25
matched_quality_cost_saving,Mistral,price,1e-06,30.396416694120884,25
matched_quality_cost_saving,Mistral,price,2e-06,28.53573801030918,25
matched_quality_cost_saving,Mistral,price,1e-05,21.980630611771698,25
matched_quality_cost_saving,Mistral,generator,gemma2_9b,26.482511799235308,30
matched_quality_cost_saving,Mistral,generator,llama3.1_8b,30.042255839864,30
matched_quality_cost_saving,Mistral,generator,llama3.2_3b,28.488931102511987,30
matched_quality_cost_saving,Mistral,generator,mistral_7b,14.505579309366029,30
matched_quality_cost_saving,Mistral,generator,qwen2.5_7b,26.22257496297241,30
target_quality_frontier,FSFairX,target,0.3,6.25929270944942,11
target_quality_frontier,FSFairX,target,0.35,24.93042815961701,25
target_quality_frontier,FSFairX,target,0.4,28.718012399329705,25
target_quality_frontier,FSFairX,target,0.45,31.62769506539682,25
target_quality_frontier,FSFairX,target,0.5,35.570378934713034,25
target_quality_frontier,FSFairX,target,0.55,35.54523209513967,25
target_quality_frontier,FSFairX,target,0.6,29.703174718894108,25
target_quality_frontier,Mistral,target,0.3,13.299717693891505,20
target_quality_frontier,Mistral,target,0.35,24.730933863339878,25
target_quality_frontier,Mistral,target,0.4,25.550660426651667,25
target_quality_frontier,Mistral,target,0.45,28.07403004681922,25
target_quality_frontier,Mistral,target,0.5,31.34175344697516,25
target_quality_frontier,Mistral,target,0.55,29.468703875527126,25
target_quality_frontier,Mistral,target,0.6,27.806786420610717,25
