generator,reward_model,split_seed,price_per_million,fixed_n,fixed_net_utility,theory_net_utility,incumbent_net_utility,theory_gain_percent,incumbent_gain_percent,theory_minus_incumbent,theory_calls,incumbent_calls
gemma3_4b,fsfairx_llama3_rm,71,0.1,505,0.5568553302829491,0.5479994443192449,0.5589663098299429,-1.5903387257161363,0.3790894029731504,-0.010966865510698032,920.8175,510.96
gemma3_4b,fsfairx_llama3_rm,71,0.2,278,0.5268170623416387,0.49215421603399956,0.5342781686552688,-6.579674195358624,1.4162613261738977,-0.04212395262126922,797.24,339.13
gemma3_4b,fsfairx_llama3_rm,71,0.5,133,0.484093429036688,0.416303335898376,0.4952810322528725,-14.003514419356932,2.3110421553225895,-0.07897769635449653,533.7775,174.1225
gemma3_4b,fsfairx_llama3_rm,71,1.0,68,0.44737727263262445,0.36475354213800165,0.4634939416422561,-18.468468460281272,3.6024782651098777,-0.09874039950425445,355.225,104.9525
gemma3_4b,fsfairx_llama3_rm,71,2.0,40,0.4100723186262353,0.3114471365253804,0.4243890719197943,-24.050680238855094,3.4912752320178386,-0.11294193539441388,233.27,58.19
gemma3_4b,fsfairx_llama3_rm,71,5.0,16,0.35072130446525596,0.23001834030343066,0.3608296199683007,-34.41563504271885,2.882150406704514,-0.13081127966487005,124.3425,26.045
gemma3_4b,fsfairx_llama3_rm,71,10.0,10,0.3021524326848802,0.1635802850041848,0.31391872028938544,-45.86166871117486,3.894156171423754,-0.15033843528520063,70.1075,14.125
gemma3_4b,fsfairx_llama3_rm,72,0.1,541,0.5627310571562558,0.5598222655003912,0.5676040489194273,-0.5169061879335667,0.8659539403773053,-0.007781783419036126,925.8075,531.06
gemma3_4b,fsfairx_llama3_rm,72,0.2,244,0.5325474026045639,0.5042689009467773,0.5408139005483583,-5.310044048564141,1.552255799833953,-0.036544999601580974,816.0125,353.5325
gemma3_4b,fsfairx_llama3_rm,72,0.5,124,0.4878335831404347,0.4279743405591866,0.5020974161846735,-12.270422670760688,2.9239137150860417,-0.07412307562548692,568.1,190.1475
gemma3_4b,fsfairx_llama3_rm,72,1.0,63,0.44957610221082617,0.37852685887601845,0.4702900073813435,-15.803607661843552,4.607430214518762,-0.09176314850532508,391.925,114.6225
gemma3_4b,fsfairx_llama3_rm,72,2.0,34,0.40974662295318365,0.32647653193268206,0.4287674909130606,-20.322337355789696,4.642104875151153,-0.10229095898037854,262.52,63.9
gemma3_4b,fsfairx_llama3_rm,72,5.0,16,0.35496760252190307,0.24804661566407804,0.3709729789219742,-30.12133673557646,4.5089682231165025,-0.12292636325789613,146.1,28.91
gemma3_4b,fsfairx_llama3_rm,72,10.0,7,0.3037217402374649,0.18106693225337656,0.3253552799184474,-40.383940869096385,7.122815661489475,-0.14428834766507087,83.9925,15.9925
gemma3_4b,fsfairx_llama3_rm,73,0.1,505,0.557264944870737,0.5469989214045616,0.5586517013818623,-1.8422159083695167,0.24885048375812863,-0.011652779977300631,940.745,509.9475
gemma3_4b,fsfairx_llama3_rm,73,0.2,283,0.5282384565163821,0.49058237794727994,0.532773398350024,-7.128613622233385,0.8585027798901369,-0.042191020402744084,807.5725,344.62
gemma3_4b,fsfairx_llama3_rm,73,0.5,133,0.48134535886845525,0.41649423048210826,0.48976815030049914,-13.472889515087205,1.7498436988868347,-0.07327391981839088,547.135,177.0625
gemma3_4b,fsfairx_llama3_rm,73,1.0,75,0.43829800139055736,0.36108842105183164,0.4573548816124027,-17.61577285175116,4.3479277024729495,-0.09626646056057103,363.8475,106.9875
gemma3_4b,fsfairx_llama3_rm,73,2.0,40,0.4031763710402309,0.3100035691463494,0.41886517953975605,-23.10968811329081,3.8913015807564864,-0.10886161039340664,233.7375,59.6025
gemma3_4b,fsfairx_llama3_rm,73,5.0,15,0.3479455783203909,0.2288299500191415,0.35533448905165615,-34.2339824739968,2.1235823047193536,-0.12650453903251466,127.4025,26.8775
gemma3_4b,fsfairx_llama3_rm,73,10.0,11,0.29572540449741386,0.15606031146797425,0.3139528597950854,-47.22796584446331,6.16364202076219,-0.15789254832711117,73.55,14.7375
gemma3_4b,fsfairx_llama3_rm,74,0.1,505,0.5573311826470959,0.5487146955741274,0.5567752584840413,-1.5460263737700213,-0.0997475433572903,-0.00806056290991386,925.3025,510.6125
gemma3_4b,fsfairx_llama3_rm,74,0.2,269,0.5263818728945061,0.492696039121066,0.5303357856866512,-6.3995049047198425,0.7511491173514427,-0.037639746565585164,813.14,330.8375
gemma3_4b,fsfairx_llama3_rm,74,0.5,143,0.48135475506383196,0.4108302638270069,0.4910373476994005,-14.651250557911888,2.0115294455301544,-0.08020708387239361,554.7375,161.11
gemma3_4b,fsfairx_llama3_rm,74,1.0,62,0.44172411165539793,0.35145555658492045,0.45633920865169203,-20.435505486034835,3.3086482287604366,-0.10488365206677158,363.6225,96.75
gemma3_4b,fsfairx_llama3_rm,74,2.0,40,0.40252926652366,0.2976776478018079,0.4097877666566396,-26.048197595016138,1.8032229546104148,-0.11211011885483169,218.0625,54.495
