reward_model,generator,price_per_million,relative_net_utility_gain_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,gemma3_4b,0.1,-1.3965752479604,-2.3015769120279717,-0.4584767534562502,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,-6.573931319274104,-8.28284367081613,-4.813338118962584,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.5,-13.98412229964507,-16.38991937443201,-11.436539256785435,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,-18.77324592900404,-21.716187352639263,-15.56953170461646,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,-24.28949043115287,-27.642740145059673,-20.716919639987662,0.95,1000
fsfairx_llama3_rm,gemma3_4b,5.0,-34.47633350910525,-38.18978200137449,-30.04643284659188,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,-46.71455903341685,-52.308692264445256,-41.02368846304672,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,-2.3548739990326393,-3.1606108637659878,-1.5040386550511868,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,-8.018893328886376,-9.641347700527334,-6.351358926449492,0.95,1000
rm_mistral_7b,gemma3_4b,0.5,-14.456673701425643,-16.73351493351769,-11.974652991408856,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,-18.534063030171698,-21.07578578241115,-15.51244132465974,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,-23.67669170509624,-26.524084040645903,-20.367345637748638,0.95,1000
rm_mistral_7b,gemma3_4b,5.0,-33.514221349529564,-37.217357267136954,-29.354527692337097,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,-43.13409095570068,-48.140957415019656,-37.177767211051965,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,-4.376184728184507,-6.00348177825387,-2.7084824107019525,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,-10.510343767726976,-13.205894900262692,-7.595099076808574,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.5,-18.89760272550545,-22.580273501953965,-15.004866357740365,0.95,1000
fsfairx_llama3_rm,granite42_8b,1.0,-27.762962477662967,-32.38147699743064,-23.09088196058476,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,-37.16009832015682,-42.840813775662774,-31.896087591691575,0.95,1000
fsfairx_llama3_rm,granite42_8b,5.0,-56.94593637557485,-64.1773641140994,-50.02797064712918,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,-82.74792851558068,-94.43677004424161,-72.02314387982929,0.95,1000
rm_mistral_7b,granite42_8b,0.1,-3.947813858600173,-5.422028455108547,-2.324707539126269,0.95,1000
rm_mistral_7b,granite42_8b,0.2,-12.04814834110743,-14.48607997858026,-9.339456989442958,0.95,1000
rm_mistral_7b,granite42_8b,0.5,-21.551384028742298,-25.305773790957957,-17.94523820475143,0.95,1000
rm_mistral_7b,granite42_8b,1.0,-31.21647069199497,-35.651857163160344,-26.893648684386566,0.95,1000
rm_mistral_7b,granite42_8b,2.0,-42.0474363455141,-48.219264226095454,-36.598198127560835,0.95,1000
rm_mistral_7b,granite42_8b,5.0,-61.84937139874302,-71.45641219344981,-53.451403161904345,0.95,1000
rm_mistral_7b,granite42_8b,10.0,-86.58367575270984,-100.86281548232056,-73.91695962008875,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,-2.8259032717263475,-4.4550536314400375,-1.2986671936607865,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,-8.59787521188687,-10.999289468451519,-6.2749212721570276,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.5,-16.546327690599618,-19.454567272151376,-13.51837221361951,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,-22.623858693477892,-25.74249345127478,-19.12313055032145,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,-29.790628730859332,-33.45512814812148,-25.880221454483298,0.95,1000
fsfairx_llama3_rm,ministral3_8b,5.0,-43.93008119706568,-49.170270221256004,-38.543109137652166,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,-62.76923191904823,-70.08048900318929,-55.18239984472622,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,-2.315501648501982,-3.5257037836709118,-0.9517964209032111,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,-9.03970704239962,-11.630624383968827,-6.380547264813403,0.95,1000
rm_mistral_7b,ministral3_8b,0.5,-19.232605636753895,-22.357127323091078,-15.738311105506225,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,-26.483251724422637,-29.84499514772277,-22.976186172712715,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,-34.16835111809668,-38.406809474650345,-29.736159249764306,0.95,1000
rm_mistral_7b,ministral3_8b,5.0,-48.93444585416202,-54.87453841015246,-43.16943929424998,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,-68.4361703360547,-77.85968503836644,-59.66796455430004,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,-1.7136274557679059,-3.0092766674420277,-0.3683574623231519,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.2,-6.010071522704241,-8.202812544966308,-3.5245226440431052,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.5,-13.067776204734457,-15.754828999167218,-9.978765596370652,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,-19.850281267157737,-22.345214651976477,-16.83922949646841,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,-26.692019844046957,-29.60699876844866,-23.540459989214696,0.95,1000
fsfairx_llama3_rm,qwen35_9b,5.0,-38.111541705216794,-41.464222493385776,-34.74591460311256,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,-50.89523805088906,-56.028714551911534,-45.971959919500236,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,-2.000865743888565,-3.0125495241287554,-1.0463017130277557,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,-7.537508883088028,-9.60293805689669,-5.486684645942332,0.95,1000
rm_mistral_7b,qwen35_9b,0.5,-15.957766661372904,-18.642267632660644,-13.018744761975395,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,-22.32563168627031,-25.175780926692823,-19.28156937078079,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,-29.371177568878654,-32.97374053914219,-25.794760490030292,0.95,1000
rm_mistral_7b,qwen35_9b,5.0,-39.76696554302102,-44.29695634551964,-35.11592524132687,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,-52.26813010077689,-59.1415843536985,-45.639363434131496,0.95,1000
