reward_model,generator,split_seed,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,gemma3_4b,71,0.1,505,0.5981512857829491,0.6215655863192449,0.0412959555,0.07356614200000001,0.5568553302829491,0.5479994443192449,-0.008855885963704235,-1.5903387257161363,412959.555,735661.42,920.8175,-78.14369738944534
fsfairx_llama3_rm,gemma3_4b,71,0.2,278,0.5722883203416387,0.6121285445339995,0.04547125800000001,0.1199743285,0.5268170623416387,0.49215421603399945,-0.03466284630763927,-6.5796741953586455,227356.29,599871.6425,797.24,-163.84651266960768
fsfairx_llama3_rm,gemma3_4b,71,0.5,133,0.538473345286688,0.5868313158983759,0.05437991625,0.17052798,0.484093429036688,0.416303335898376,-0.06779009313831202,-14.003514419356932,108759.8325,341055.96,533.7775,-213.58632333311104
fsfairx_llama3_rm,gemma3_4b,71,1.0,68,0.5029944426326245,0.5638903096380017,0.055617169999999994,0.19913676749999998,0.44737727263262445,0.3647535421380017,-0.08262373049462274,-18.468468460281258,55617.17,199136.7675,355.225,-258.049083583361
fsfairx_llama3_rm,gemma3_4b,71,2.0,40,0.47549900362623526,0.5432794715253805,0.065426685,0.23183233499999997,0.4100723186262353,0.3114471365253804,-0.09862518210085486,-24.050680238855094,32713.3425,115916.1675,233.27,-254.33911255017736
fsfairx_llama3_rm,gemma3_4b,71,5.0,16,0.4161614169652561,0.5022840153034307,0.0654401125,0.27226567500000004,0.35072130446525596,0.23001834030343063,-0.12070296416182533,-34.41563504271886,13088.0225,54453.135,124.3425,-316.05318908949005
fsfairx_llama3_rm,gemma3_4b,71,10.0,10,0.3839188576848802,0.4707129350041848,0.081766425,0.30713265,0.3021524326848802,0.16358028500418484,-0.13857214768069534,-45.86166871117485,8176.6425,30713.265,70.1075,-275.6219621929172
fsfairx_llama3_rm,gemma3_4b,72,0.1,541,0.6040264134062557,0.6289363997503912,0.041295356250000005,0.06911413425000001,0.5627310571562558,0.5598222655003913,-0.002908791655864551,-0.5169061879335469,412953.5625,691141.3425,925.8075,-67.3653905092537
fsfairx_llama3_rm,gemma3_4b,72,0.2,244,0.5697889241045639,0.6181613764467773,0.037241521500000006,0.11389247549999999,0.5325474026045639,0.5042689009467773,-0.02827850165778656,-5.310044048564141,186207.6075,569462.3775,816.0125,-205.82122027425754
fsfairx_llama3_rm,gemma3_4b,72,0.5,124,0.5351535331404347,0.5919711518091866,0.04731994999999999,0.16399681124999999,0.4878335831404347,0.4279743405591866,-0.059859242581248084,-12.270422670760688,94639.9,327993.6225,568.1,-246.57012792701602
fsfairx_llama3_rm,gemma3_4b,72,1.0,63,0.4976642247108261,0.5701135038760184,0.0480881225,0.19158664499999997,0.44957610221082617,0.37852685887601845,-0.07104924333480772,-15.803607661843552,48088.1225,191586.645,391.925,-298.40741338986567
fsfairx_llama3_rm,gemma3_4b,72,2.0,34,0.4616269979531837,0.547130306932682,0.051880375,0.220653775,0.40974662295318365,0.32647653193268206,-0.08327009102050159,-20.322337355789696,25940.1875,110326.8875,262.52,-325.3126061636987
fsfairx_llama3_rm,gemma3_4b,72,5.0,16,0.4159799025219031,0.5092908281640781,0.0610123,0.2612442125,0.35496760252190307,0.2480466156640781,-0.10692098685782497,-30.121336735576445,12202.46,52248.8425,146.1,-328.182862308092
fsfairx_llama3_rm,gemma3_4b,72,10.0,7,0.35704606523746485,0.47505028225337653,0.053324325000000006,0.29398335000000003,0.3037217402374649,0.18106693225337656,-0.12265480798408834,-40.383940869096385,5332.4325,29398.335,83.9925,-451.3119012758248
fsfairx_llama3_rm,gemma3_4b,73,0.1,505,0.5980732118707369,0.6225866879045616,0.040808267,0.07558776650000001,0.557264944870737,0.5469989214045616,-0.010266023466175334,-1.8422159083695167,408082.67,755877.665,940.745,-85.2266024920882
fsfairx_llama3_rm,gemma3_4b,73,0.2,283,0.5739818220163823,0.61249797994728,0.04574336550000001,0.12191560200000001,0.5282384565163821,0.49058237794728,-0.037656078569102136,-7.128613622233375,228716.8275,609578.01,807.5725,-166.52084005493646
fsfairx_llama3_rm,gemma3_4b,73,0.5,133,0.5350906151184552,0.5904110417321082,0.05374525625,0.17391681125,0.48134535886845525,0.41649423048210804,-0.06485112838634721,-13.472889515087253,107490.5125,347833.6225,547.135,-223.59471958048388
fsfairx_llama3_rm,gemma3_4b,73,1.0,75,0.4989123963905574,0.5652369935518317,0.060614394999999995,0.2041485725,0.43829800139055736,0.36108842105183164,-0.07720958033872571,-17.61577285175116,60614.395,204148.5725,363.8475,-236.79882889204785
fsfairx_llama3_rm,gemma3_4b,73,2.0,40,0.467836121040231,0.5435604491463494,0.06465975,0.23355688,0.4031763710402309,0.31000356914634947,-0.09317280189388144,-23.109688113290797,32329.875,116778.44,233.7375,-261.2090674646902
fsfairx_llama3_rm,gemma3_4b,73,5.0,15,0.4086198658203907,0.4986470875191415,0.06067428750000001,0.2698171375,0.3479455783203909,0.22882995001914147,-0.11911562830124944,-34.233982473996804,12134.8575,53963.4275,127.4025,-344.69766126219446
fsfairx_llama3_rm,gemma3_4b,73,10.0,11,0.38468465449741385,0.4611563614679743,0.08895925,0.30509605,0.29572540449741386,0.15606031146797425,-0.1396650930294396,-47.22796584446331,8895.925,30509.605,73.55,-242.96158072375835
fsfairx_llama3_rm,gemma3_4b,74,0.1,505,0.5987276456470959,0.6230289505741277,0.041396463,0.07431425500000001,0.5573311826470959,0.5487146955741276,-0.00861648707296836,-1.5460263737700013,413964.63,743142.55,925.3025,-79.51836851375442
fsfairx_llama3_rm,gemma3_4b,74,0.2,269,0.5704928428945061,0.6161228776210661,0.044110970000000006,0.12342683850000001,0.5263818728945061,0.49269603912106613,-0.03368583377343998,-6.399504904719822,220554.85,617134.1925,813.14,-179.8098488879297
fsfairx_llama3_rm,gemma3_4b,74,0.5,143,0.5399836613138319,0.5921262425770069,0.058628906249999994,0.18129597875,0.48135475506383196,0.4108302638270068,-0.07052449123682514,-14.6512505579119,117257.8125,362591.9575,554.7375,-209.22626797254983
fsfairx_llama3_rm,gemma3_4b,74,1.0,62,0.49256318665539794,0.5683246540849205,0.050839075,0.2168690975,0.44172411165539793,0.35145555658492045,-0.09026855507047749,-20.435505486034835,50839.075,216869.0975,363.6225,-326.5795502770261
fsfairx_llama3_rm,gemma3_4b,74,2.0,40,0.46812535152365997,0.5462201128018079,0.065596085,0.248542465,0.40252926652366,0.29767764780180805,-0.10485161872185195,-26.0481975950161,32798.0425,124271.2325,218.0625,-278.8983214470802
fsfairx_llama3_rm,gemma3_4b,74,5.0,15,0.4022757644802505,0.4960109910719081,0.0614677625,0.2821966,0.34080800198025046,0.21381439107190814,-0.12699361090834232,-37.26250855920381,12293.5525,56439.32,103.7275,-359.096912792295
fsfairx_llama3_rm,gemma3_4b,74,10.0,8,0.352906671814129,0.4585893585532167,0.06547175000000001,0.316728,0.287434921814129,0.14186135855321663,-0.14557356326091236,-50.645746989312634,6547.175,31672.8,57.46,-383.76284428016663
fsfairx_llama3_rm,gemma3_4b,75,0.1,523,0.6015276881121141,0.6268424958085314,0.044431406750000006,0.07803240350000001,0.5570962813621141,0.5488100923085313,-0.008286189053582804,-1.4873890440127995,444314.0675,780324.035,929.69,-75.62442697135626
fsfairx_llama3_rm,gemma3_4b,75,0.2,283,0.5785631245956956,0.61800122416349,0.048088370000000005,0.1270564925,0.5304747545956956,0.49094473166349006,-0.03953002293220553,-7.451819825494536,240441.85,635282.4625,803.5175,-164.21459596155995
fsfairx_llama3_rm,gemma3_4b,75,0.5,134,0.5424072612507657,0.5925336684517668,0.05692430999999999,0.182409975,0.4854829512507655,0.410123693451767,-0.07535925779899849,-15.522534335108574,113848.62,364819.95,542.03,-220.44301459253526
fsfairx_llama3_rm,gemma3_4b,75,1.0,68,0.5059421178432395,0.5679350142984133,0.0577907675,0.21632835,0.4481513503432396,0.3516066642984132,-0.09654468604482641,-21.54287518510939,57790.7675,216328.35,360.275,-274.3302941944836
fsfairx_llama3_rm,gemma3_4b,75,2.0,40,0.4762340491073512,0.5387554380772283,0.0679524,0.24445193499999998,0.4082816491073512,0.2943035030772283,-0.1139781460301229,-27.91654885281267,33976.2,122225.9675,220.31,-259.73995767625576
fsfairx_llama3_rm,gemma3_4b,75,5.0,16,0.4168599432918957,0.5020415130779415,0.0679288375,0.27994060000000004,0.3489311057918956,0.22210091307794147,-0.12683019271395415,-36.348204734030325,13585.7675,55988.12,106.9075,-312.1086276502229
fsfairx_llama3_rm,gemma3_4b,75,10.0,9,0.3777615091328739,0.466567389991311,0.076363375,0.31422110000000003,0.30139813413287386,0.15234628999131108,-0.14905184414156278,-49.453472753037026,7636.3375,31422.11,59.9225,-311.4814202489086
rm_mistral_7b,gemma3_4b,71,0.1,505,0.5934628432775467,0.6168128221787352,0.0412959555,0.075837412,0.5521668877775467,0.5409754101787354,-0.011191477598811339,-2.0268288168920563,412959.555,758374.12,936.3025,-83.64367910072936
rm_mistral_7b,gemma3_4b,71,0.2,254,0.5653825030201585,0.6046405023253338,0.041545452000000004,0.12274070800000002,0.5238370510201584,0.48189979432533386,-0.041937256694824565,-8.005782831350492,207727.26,613703.54,805.9825,-195.4371708364131
rm_mistral_7b,gemma3_4b,71,0.5,107,0.5234774008177583,0.5796005804484066,0.0437457675,0.16451781625,0.4797316333177583,0.41508276419840656,-0.06464886911935175,-13.476048821764996,87491.535,329035.6325,512.12,-276.0771056308476
rm_mistral_7b,gemma3_4b,71,1.0,68,0.5003660581111099,0.5590267284714632,0.055617169999999994,0.18975498,0.4447488881111099,0.36927174847146316,-0.07547713963964675,-16.97073149754353,55617.17,189754.98,332.8125,-241.18057427229758
rm_mistral_7b,gemma3_4b,71,2.0,36,0.46577263935764257,0.5315100110693678,0.05888880999999999,0.21588579,0.4068838293576426,0.31562422106936777,-0.09125960828827484,-22.428910097594343,29444.405,107942.895,219.205,-266.59900242507877
rm_mistral_7b,gemma3_4b,71,5.0,16,0.4211081379750322,0.49241752665998895,0.0654401125,0.25449645000000004,0.3556680254750322,0.23792107665998896,-0.11774694881504322,-33.10585725488811,13088.0225,50899.29,112.915,-288.89977458397556
rm_mistral_7b,gemma3_4b,71,10.0,8,0.37695076856250054,0.4613770680997359,0.065430425,0.28520900000000005,0.3115203435625005,0.17616806809973581,-0.1353522754627647,-43.44893624438652,6543.0425,28520.9,60.9275,-335.89660314754195
rm_mistral_7b,gemma3_4b,72,0.1,545,0.5927953343220344,0.608422969640545,0.041601621500000005,0.06984042400000001,0.5511937128220343,0.5385825456405448,-0.01261116718148958,-2.2879736992866224,416016.215,698404.24,930.4675,-67.87909096283661
rm_mistral_7b,gemma3_4b,72,0.2,193,0.5522287344818424,0.5998822541163257,0.0294500735,0.11297133400000002,0.5227786609818424,0.4869109201163257,-0.03586774086551675,-6.860980285261211,147250.3675,564856.67,808.035,-283.6028932151902
rm_mistral_7b,gemma3_4b,72,0.5,131,0.5340012736394809,0.5816332151135094,0.049998805,0.15841167125,0.484002468639481,0.4232215438635093,-0.06078092477597169,-12.557978257182318,99997.61,316823.3425,538.0325,-216.83091475886278
rm_mistral_7b,gemma3_4b,72,1.0,62,0.49594529347886185,0.563099143532192,0.0473231975,0.1852088625,0.4486220959788618,0.3778902810321921,-0.07073181494666975,-15.766458134956084,47323.1975,185208.8625,364.165,-291.37013617898486
rm_mistral_7b,gemma3_4b,72,2.0,36,0.4659597973754577,0.5355146256536497,0.054926684999999996,0.212003725,0.4110331123754577,0.3235109006536499,-0.0875222117218078,-21.293226527662508,27463.3425,106001.8625,246.1225,-285.9758239551504
rm_mistral_7b,gemma3_4b,72,5.0,16,0.42103782406578283,0.5002946001839979,0.0610123,0.25043548750000005,0.3600255240657828,0.2498591126839977,-0.11016641138178512,-30.599611421343514,12202.46,50087.0975,128.88,-310.4672131684923
