model,reward_model,split_seed,price_per_million,profit,fixed_profit,profit_gain,profit_improvement_percent,quality,output_tokens,samples,fixed_n,fixed_quality,fixed_output_tokens,matched_fixed_tokens,matched_cost_saving_percent
gemma3_4b,armorm_llama3_8b,71,0.1,0.4978992645517038,0.4980001304056231,-0.00010086585391927416,-0.020254182230257354,0.4990502230517038,11509.585,28.1375,10,0.4988177946556231,8176.6425,11239.787103973,-2.4003826187386723
gemma3_4b,armorm_llama3_8b,71,0.2,0.4973877476361769,0.497419956339965,-3.220870378811691e-05,-0.00647515311309779,0.4986377876361769,6250.2,14.59,6,0.498402837839965,4914.4075,6398.723841132052,2.3211478541598662
gemma3_4b,armorm_llama3_8b,71,0.5,0.4962838126179502,0.4965313370401311,-0.0002475244221809003,-0.049850715094119966,0.4982386651179502,3909.705,7.335,3,0.4977571907901311,2451.7075,4208.267483432149,7.094665075534823
gemma3_4b,armorm_llama3_8b,71,1.0,0.494672980040954,0.4958233440565325,-0.0011503640155784978,-0.2320108622088871,0.498132390040954,3459.41,5.3025,2,0.4974631990565325,1639.855,3770.8219814556664,8.258464148855172
gemma3_4b,armorm_llama3_8b,71,2.0,0.49142170496494497,0.49491539707419424,-0.003493692109249269,-0.7059170375185396,0.49807528496494496,3326.79,4.435,1,0.49655268707419425,818.645,3539.042136977164,5.997445884000041
gemma3_4b,armorm_llama3_8b,71,5.0,0.4816125716710608,0.4924594620741943,-0.010846890403133469,-2.2025955918173157,0.4980213466710608,3281.755,4.085,1,0.49655268707419425,818.645,3320.1157254978943,1.1554032651118318
gemma3_4b,armorm_llama3_8b,71,10.0,0.4652718716585847,0.48836623707419424,-0.023094365415609552,-4.728902954874208,0.4980095216585847,3273.765,4.0125,1,0.49655268707419425,818.645,3272.12,-0.05027321736366108
gemma3_4b,armorm_llama3_8b,71,20.0,0.4325671216585847,0.48017978707419423,-0.047612665415609545,-9.915591346674645,0.4980095216585847,3272.12,4.0,1,0.49655268707419425,818.645,3272.12,0.0
gemma3_4b,armorm_llama3_8b,72,0.1,0.4980361098992492,0.49804074989446684,-4.63999521765901e-06,-0.0009316497131293391,0.4991109148992492,10748.05,36.3875,10,0.49880389089446686,7631.41,11435.158292952148,6.008734425439788
gemma3_4b,armorm_llama3_8b,72,0.2,0.4975617259728638,0.4974446636711359,0.00011706230172792154,0.023532728417268185,0.4987692934728638,6037.8375,18.9275,6,0.4983592761711359,4573.0625,7350.497046254934,17.858105893991638
gemma3_4b,armorm_llama3_8b,72,0.5,0.49646156422243837,0.49668869904720164,-0.0002271348247632754,-0.0457298153147008,0.4983509229724384,3778.7175,9.045,2,0.49744898029720164,1520.5625,4532.002336794936,16.62145737832219
gemma3_4b,armorm_llama3_8b,72,1.0,0.49494195985994094,0.49592841779720165,-0.0009864579372607096,-0.1989113553206581,0.4982347873599409,3292.8275,6.1175,2,0.49744898029720164,1520.5625,3961.137524913725,16.871669330094296
gemma3_4b,armorm_llama3_8b,72,2.0,0.49189791524941173,0.4950891826371942,-0.0031912673877824704,-0.6445843495879933,0.49814983524941175,3125.96,4.8025,1,0.4966044726371942,757.645,3553.5744569020812,12.033361396762876
gemma3_4b,armorm_llama3_8b,72,5.0,0.4827481960316251,0.4928162476371942,-0.010068051605569117,-2.0429625958641493,0.49806187103162514,3062.735,4.19,1,0.4966044726371942,757.645,3137.4392844776357,2.3810591282907745
gemma3_4b,armorm_llama3_8b,72,10.0,0.467551696046668,0.4890280226371942,-0.021476326590526174,-4.391635161255224,0.498045621046668,3049.3925,4.0425,1,0.4966044726371942,757.645,3060.5649546400477,0.36504549995286517
gemma3_4b,armorm_llama3_8b,72,20.0,0.43712244310505455,0.4814515726371942,-0.04432912953213963,-9.207391158641947,0.49804249310505455,3046.0025,4.005,1,0.4966044726371942,757.645,3045.7675,-0.007715625043602792
gemma3_4b,armorm_llama3_8b,73,0.1,0.49793658820493636,0.49797221934670516,-3.5631141768799335e-05,-0.007155246896211237,0.4990610627049364,11244.745,30.38,11,0.49886181184670514,8895.925,11331.701983539453,0.7673779602196285
gemma3_4b,armorm_llama3_8b,73,0.2,0.49741883033851053,0.4973984831821667,2.034715634385842e-05,0.004090715398584458,0.49866943933851055,6253.045,15.92,6,0.49837066718216666,4860.92,6835.6222868849845,8.522666444030024
gemma3_4b,armorm_llama3_8b,73,0.5,0.49633211235231794,0.4965193395507871,-0.00018722719846914204,-0.03770793674190636,0.49827040985231796,3876.595,7.9525,2,0.49732849080078706,1618.3025,4339.831179750919,10.674059901507638
gemma3_4b,armorm_llama3_8b,73,1.0,0.4947073383732585,0.49571018830078706,-0.0010028499275285818,-0.20230569215577077,0.4981179808732585,3410.6425,5.5725,2,0.49732849080078706,1618.3025,3682.210669423396,7.375139387826546
gemma3_4b,armorm_llama3_8b,73,2.0,0.49148949385263213,0.49490645551904733,-0.003416961666415197,-0.690425761941529,0.4980700688526321,3290.2875,4.585,1,0.49652648051904735,810.0125,3499.9361353110603,5.990070310023743
gemma3_4b,armorm_llama3_8b,73,5.0,0.4817647686409689,0.49247641801904735,-0.010711649378078447,-2.175058335009283,0.4980184186409689,3250.73,4.1425,1,0.49652648051904735,810.0125,3303.44017991962,1.5956147848544489
gemma3_4b,armorm_llama3_8b,73,10.0,0.46557689241291633,0.48842635551904734,-0.022849463106131007,-4.678179800893226,0.49800506741291634,3242.8175,4.0325,1,0.49652648051904735,810.0125,3252.647313300872,0.30220962662246276
gemma3_4b,armorm_llama3_8b,73,20.0,0.4331822894713029,0.4803262305190473,-0.04714394104774444,-9.81498366158351,0.4980019394713029,3240.9825,4.005,1,0.49652648051904735,810.0125,3240.7475,-0.0072514134470624825
gemma3_4b,armorm_llama3_8b,74,0.1,0.497725055431367,0.4978679772741282,-0.00014292184276115671,-0.028706775547940766,0.498966916931367,12418.615,28.1975,10,0.4986859750241282,8179.9775,11444.302177102352,-8.513518848244361
gemma3_4b,armorm_llama3_8b,74,0.2,0.49715639284332946,0.4971864765215216,-3.008367819212765e-05,-0.006050783682332402,0.4984927688433295,6681.88,14.5325,5,0.4980056220215216,4095.7275,6590.09889670856,-1.3927120780733881
gemma3_4b,armorm_llama3_8b,74,0.5,0.4960560034156181,0.49632005560142084,-0.00026405218580272116,-0.053201997949237266,0.4980568159156181,4001.625,7.175,2,0.4971395831014208,1639.055,4254.0025133572935,5.932707199040066
gemma3_4b,armorm_llama3_8b,74,1.0,0.4944482591805687,0.4955005281014208,-0.0010522689208520841,-0.21236484346121665,0.4978943166805687,3446.0575,5.175,2,0.4971395831014208,1639.055,3581.97218005123,3.7944091472337016
gemma3_4b,armorm_llama3_8b,74,2.0,0.4912472524247749,0.49452014796174315,-0.0032728955369682455,-0.6618325968027984,0.4978618924247749,3307.32,4.3725,1,0.49616081796174316,820.335,3447.8787277239794,4.076672610140353
gemma3_4b,armorm_llama3_8b,74,5.0,0.4814608838900399,0.49205914296174313,-0.010598259071703253,-2.1538587837046355,0.4978289338900399,3273.61,4.0725,1,0.49616081796174316,820.335,3311.575716349734,1.1464547273460135
gemma3_4b,armorm_llama3_8b,74,10.0,0.46511753704068043,0.48795746796174316,-0.022839930921062734,-4.680721665449217,0.49781878704068044,3270.125,4.0125,1,0.49616081796174316,820.335,3269.6125,-0.015674640343465995
gemma3_4b,armorm_llama3_8b,74,20.0,0.43242653704068046,0.47975411796174317,-0.047327580921062706,-9.864966062643933,0.49781878704068044,3269.6125,4.0,1,0.49616081796174316,820.335,3269.6125,0.0
gemma3_4b,armorm_llama3_8b,75,0.1,0.4978910385241318,0.49804288000319663,-0.00015184147906482925,-0.030487631720356023,0.4990266102741318,11355.7175,23.725,10,0.49889105525319666,8481.7525,10356.034060445385,-9.6531493979233
gemma3_4b,armorm_llama3_8b,75,0.2,0.49738935281005897,0.49739744657000295,-8.093759943983425e-06,-0.0016272218524234668,0.49864196481005896,6263.06,12.4425,7,0.49858729457000295,5949.24,6225.71992149343,-0.5997712550103396
gemma3_4b,armorm_llama3_8b,75,0.5,0.49626819940085587,0.49661353265149905,-0.0003453332506431761,-0.06953762391439208,0.4982631544008559,3989.91,6.445,2,0.49746199015149906,1696.915,4106.707412838522,2.844064626405729
gemma3_4b,armorm_llama3_8b,75,1.0,0.4945972469101468,0.49576507515149904,-0.0011678282413522534,-0.23556081295064624,0.49816113191014677,3563.885,4.905,2,0.49746199015149906,1696.915,3664.9980684577563,2.7588846315628412
gemma3_4b,armorm_llama3_8b,75,2.0,0.49126599375368796,0.49481585137484535,-0.003549857621157393,-0.7174098427312134,0.49813114875368797,3432.5775,4.26,1,0.49652379137484537,853.97,3535.1851194714077,2.9024680746209452
gemma3_4b,armorm_llama3_8b,75,5.0,0.4811116428511157,0.49225394137484535,-0.011142298523729666,-2.2635265230400545,0.49809979285111566,3397.63,4.0425,1,0.49652379137484537,853.97,3399.428826212806,0.05291554272104371
gemma3_4b,armorm_llama3_8b,75,10.0,0.46416834197473733,0.4879840913748454,-0.023815749400108055,-4.880435616868086,0.49809826697473736,3392.9925,4.0025,1,0.49652379137484537,853.97,3392.8225,-0.005010577476416422
gemma3_4b,armorm_llama3_8b,75,20.0,0.43024181697473735,0.47944439137484535,-0.049202574400108,-10.262415263429334,0.49809826697473736,3392.8225,4.0,1,0.49652379137484537,853.97,3392.8225,0.0
gemma3_4b,fsfairx_llama3_rm,71,0.1,0.5589663098299429,0.5568553302829491,0.0021109795469937964,0.3790894029731504,0.5905293363299429,315630.265,510.96,505,0.5981512857829491,412959.555,332037.4593290804,4.941368471567342
gemma3_4b,fsfairx_llama3_rm,71,0.2,0.5342781686552689,0.5268170623416387,0.0074611063136301725,1.4162613261739188,0.5705382436552688,181300.375,339.13,278,0.5722883203416387,227356.29,217379.6447657951,16.59735427604867
gemma3_4b,fsfairx_llama3_rm,71,0.5,0.4952810322528728,0.484093429036688,0.011187603216184783,2.311042155322647,0.5366028285028728,82643.5925,174.1225,133,0.538473345286688,108759.8325,104904.47778531592,21.220147848094907
gemma3_4b,fsfairx_llama3_rm,71,1.0,0.4634939416422561,0.4473772726326246,0.01611666900963149,3.602478265109839,0.5083272041422561,44833.2625,104.9525,68,0.5029944426326246,55617.17,60981.55485349318,26.480617610175884
gemma3_4b,fsfairx_llama3_rm,71,2.0,0.42438907191979436,0.4100723186262353,0.014316753293559081,3.491275232017852,0.47270707191979433,24159.0,58.19,40,0.47549900362623526,32713.3425,31292.87094029339,22.79711233240559
gemma3_4b,fsfairx_llama3_rm,71,5.0,0.36082961996830065,0.3507213044652562,0.010108315503044474,2.882150406704433,0.41331255746830065,10496.5875,26.045,16,0.41616141696525616,13088.0225,12263.904578665079,14.410721049963115
gemma3_4b,fsfairx_llama3_rm,71,10.0,0.31391872028938556,0.30215243268488023,0.011766287604505321,3.894156171423772,0.3717993452893856,5788.0625,14.125,10,0.3839188576848802,8176.6425,6743.883104883559,14.173149059944489
gemma3_4b,fsfairx_llama3_rm,71,20.0,0.2697446228486137,0.2530594351990394,0.01668518764957433,6.5933868999790075,0.3483277728486137,3929.1575,8.2075,4,0.3185018351990394,3272.12,4788.949626822486,17.95366821164428
gemma3_4b,fsfairx_llama3_rm,72,0.1,0.5676040489194272,0.5627310571562556,0.004872991763171575,0.8659539403773254,0.5977169911694272,301129.4225,531.06,541,0.6040264134062556,412953.5625,347666.030687225,13.385434319032253
gemma3_4b,fsfairx_llama3_rm,72,0.2,0.5408139005483585,0.5325474026045639,0.008266497943794637,1.5522557998339948,0.5752930780483585,172395.8875,353.5325,244,0.5697889241045639,186207.6075,204677.59996646544,15.77198114095264
gemma3_4b,fsfairx_llama3_rm,72,0.5,0.5020974161846734,0.4878335831404347,0.014263833044238727,2.923913715086019,0.5417001461846734,79205.46,190.1475,124,0.5351535331404347,94639.9,104700.6553920798,24.35055950376449
