reward_model,model,price_per_million,profit_gain,ci_low,ci_high,confidence,bootstrap_repetitions
armorm_llama3_8b,gemma3_4b,0.1,-8.71800625463226e-05,-0.00018000120957272416,-9.000786257656694e-07,0.95,1000
armorm_llama3_8b,gemma3_4b,0.2,1.3404663229486634e-05,-5.8124940321608516e-05,8.61899937993096e-05,0.95,1000
armorm_llama3_8b,gemma3_4b,0.5,-0.00025425437637173357,-0.00037724087586242424,-0.00013226150133755844,0.95,1000
armorm_llama3_8b,gemma3_4b,1.0,-0.0010719538085143282,-0.0012696898152323047,-0.0008970511116246217,0.95,1000
armorm_llama3_8b,gemma3_4b,2.0,-0.003384934864314457,-0.003935234479133917,-0.002882993361456772,0.95,1000
armorm_llama3_8b,gemma3_4b,5.0,-0.010673429796442743,-0.012001417807030472,-0.009493546395670393,0.95,1000
armorm_llama3_8b,gemma3_4b,10.0,-0.02281516708668748,-0.025469814780930487,-0.020393134944441303,0.95,1000
armorm_llama3_8b,gemma3_4b,20.0,-0.04712317826333286,-0.05233477470490463,-0.04223805032729563,0.95,1000
armorm_llama3_8b,granite42_8b,0.1,-0.0004600339520492181,-0.000587681956236529,-0.0003258782384447232,0.95,1000
armorm_llama3_8b,granite42_8b,0.2,-0.0004222764914121142,-0.0005536110546614895,-0.0002886167158375257,0.95,1000
armorm_llama3_8b,granite42_8b,0.5,-0.000364548330432678,-0.0005109564061299765,-0.00022425288260821227,0.95,1000
armorm_llama3_8b,granite42_8b,1.0,-0.0014050422156380252,-0.001695299568570432,-0.0011569733957332302,0.95,1000
armorm_llama3_8b,granite42_8b,2.0,-0.004843334204308091,-0.005704229970822118,-0.004173225302849654,0.95,1000
armorm_llama3_8b,granite42_8b,5.0,-0.015362999428963759,-0.017670062091518425,-0.013510068495466678,0.95,1000
armorm_llama3_8b,granite42_8b,10.0,-0.03303053626900655,-0.03770880449340976,-0.029165743655188706,0.95,1000
armorm_llama3_8b,granite42_8b,20.0,-0.06839621626900655,-0.07774543447118643,-0.06042785051924676,0.95,1000
armorm_llama3_8b,ministral3_8b,0.1,-0.0004070324538744805,-0.0005372695843745665,-0.0002869574276770899,0.95,1000
armorm_llama3_8b,ministral3_8b,0.2,-0.0003548539266863411,-0.0004852306535085067,-0.00023389762166024441,0.95,1000
armorm_llama3_8b,ministral3_8b,0.5,-0.0004344296266147494,-0.0005630422536665462,-0.0003004038185582221,0.95,1000
armorm_llama3_8b,ministral3_8b,1.0,-0.0011552750389750791,-0.0013796847721471868,-0.0009431454139947402,0.95,1000
armorm_llama3_8b,ministral3_8b,2.0,-0.0037539735170930228,-0.0044258667282476355,-0.003174776844389087,0.95,1000
armorm_llama3_8b,ministral3_8b,5.0,-0.012820660961612029,-0.014730099508324563,-0.011144142012530186,0.95,1000
armorm_llama3_8b,ministral3_8b,10.0,-0.028008023986240405,-0.03207268403648282,-0.024561944812902844,0.95,1000
armorm_llama3_8b,ministral3_8b,20.0,-0.05840613836329992,-0.06672931991379412,-0.05124860253871393,0.95,1000
armorm_llama3_8b,qwen35_9b,0.1,-0.00013785812085857738,-0.00021423974461015781,-4.685941901348989e-05,0.95,1000
armorm_llama3_8b,qwen35_9b,0.2,-0.0001658915123104452,-0.00023994522054365797,-8.533083922595401e-05,0.95,1000
armorm_llama3_8b,qwen35_9b,0.5,-0.00019871969924590795,-0.0002925050811209296,-9.7792998638965e-05,0.95,1000
armorm_llama3_8b,qwen35_9b,1.0,-0.0009996937812326132,-0.001223192782531004,-0.0008011356656997371,0.95,1000
armorm_llama3_8b,qwen35_9b,2.0,-0.0033237571355809415,-0.0039556537518069595,-0.0027531521257771184,0.95,1000
