reward_model,price_per_million,split_seed,selected_model,fixed_n,adaptive_utility,fixed_utility,adaptive_output_tokens,fixed_output_tokens,adaptive_cost_dollars,fixed_cost_dollars,adaptive_profit,fixed_profit,profit_gain,profit_improvement_percent,direct_cost_saving_percent,matched_quality_cost_saving_percent
armorm_llama3_8b,0.1,71,qwen35_9b,10,0.4991491772799271,0.498930555296313,12777.365,8300.6375,0.0012777365000000002,0.0008300637500000002,0.49787144077992707,0.49810049154631303,-0.0002290507663859631,-0.04598485050173176,-53.93233351052855,-14.625650290067016
armorm_llama3_8b,0.1,72,qwen35_9b,9,0.4992403082024829,0.49876685342133087,12363.4225,6968.645,0.0012363422500000002,0.0006968645000000001,0.49800396595248286,0.49806998892133086,-6.602296884800074e-05,-0.013255761301938016,-77.4150139661297,9.734437454283684
armorm_llama3_8b,0.1,73,gemma3_4b,11,0.4990610627049364,0.49886181184670514,11244.745,8895.925,0.0011244745000000003,0.0008895925,0.49793658820493636,0.49797221934670516,-3.5631141768799335e-05,-0.007155246896211237,-26.40332511796133,0.7673779602196285
armorm_llama3_8b,0.1,74,gemma3_4b,10,0.498966916931367,0.4986859750241282,12418.615,8179.9775,0.0012418615,0.00081799775,0.497725055431367,0.4978679772741282,-0.00014292184276115671,-0.028706775547940766,-51.817226881125286,-8.513518848244361
armorm_llama3_8b,0.1,75,qwen35_9b,9,0.49921925719253096,0.4987593058229228,13712.3925,7720.13,0.00137123925,0.0007720130000000001,0.497848017942531,0.4979872928229228,-0.00013927488039183755,-0.027967557084104498,-77.61867351974642,1.7688939184697605
armorm_llama3_8b,0.2,71,gemma3_4b,6,0.4986377876361769,0.498402837839965,6250.2,4914.4075,0.00125004,0.0009828815,0.4973877476361769,0.497419956339965,-3.220870378811691e-05,-0.00647515311309779,-27.181150525266773,2.3211478541598662
armorm_llama3_8b,0.2,72,gemma3_4b,6,0.4987692934728638,0.4983592761711359,6037.8375,4573.0625,0.0012075675,0.0009146125,0.4975617259728638,0.4974446636711359,0.00011706230172792154,0.023532728417268185,-32.030504721945086,17.858105893991638
armorm_llama3_8b,0.2,73,gemma3_4b,6,0.49866943933851055,0.49837066718216666,6253.045,4860.92,0.0012506090000000002,0.0009721840000000001,0.49741883033851053,0.4973984831821667,2.034715634385842e-05,0.004090715398584458,-28.639125926779286,8.522666444030024
armorm_llama3_8b,0.2,74,gemma3_4b,5,0.4984927688433295,0.4980056220215216,6681.88,4095.7275,0.0013363760000000002,0.0008191455,0.49715639284332946,0.4971864765215216,-3.008367819212765e-05,-0.006050783682332402,-63.1426895466068,-1.3927120780733881
armorm_llama3_8b,0.2,75,qwen35_9b,5,0.49878530672908816,0.49831126197872444,7520.1925,4286.5125,0.0015040385000000002,0.0008573025000000001,0.49728126822908814,0.49745395947872445,-0.00017269124963631421,-0.03471502163080079,-75.43848291589026,4.852170601253858
armorm_llama3_8b,0.5,71,qwen35_9b,3,0.4984473579006814,0.49778366320963713,4170.895,2501.2675,0.0020854475,0.00125063375,0.4963619104006814,0.4965330294596371,-0.00017111905895572654,-0.03446277463997724,-66.75125711264391,10.86877119467129
armorm_llama3_8b,0.5,72,qwen35_9b,3,0.4985446294714807,0.4978498248391769,4061.905,2311.7725,0.0020309525,0.00115588625,0.4965136769714807,0.4966939385891769,-0.00018026161769618687,-0.036292292635623245,-75.70522185898483,20.518853175435048
armorm_llama3_8b,0.5,73,gemma3_4b,2,0.49827040985231796,0.49732849080078706,3876.595,1618.3025,0.0019382974999999998,0.00080915125,0.49633211235231794,0.4965193395507871,-0.00018722719846914204,-0.03770793674190636,-139.54699445869977,10.674059901507638
armorm_llama3_8b,0.5,74,gemma3_4b,2,0.4980568159156181,0.4971395831014208,4001.625,1639.055,0.0020008125,0.0008195275,0.4960560034156181,0.49632005560142084,-0.00026405218580272116,-0.053201997949237266,-144.1422038918767,5.932707199040066
armorm_llama3_8b,0.5,75,qwen35_9b,3,0.4984208186876036,0.4976870389225809,4440.245,2577.4875,0.0022201225,0.00128874375,0.4962006961876036,0.49639829517258094,-0.00019759898497734296,-0.03980653980865193,-72.27028259108917,10.998104203213577
armorm_llama3_8b,1.0,71,gemma3_4b,2,0.498132390040954,0.4974631990565325,3459.41,1639.855,0.0034594099999999996,0.001639855,0.494672980040954,0.4958233440565325,-0.0011503640155784978,-0.2320108622088871,-110.95828594601352,8.258464148855172
armorm_llama3_8b,1.0,72,gemma3_4b,2,0.4982347873599409,0.49744898029720164,3292.8275,1520.5625,0.0032928274999999996,0.0015205625,0.49494195985994094,0.49592841779720165,-0.0009864579372607096,-0.1989113553206581,-116.55324920876318,16.871669330094296
armorm_llama3_8b,1.0,73,gemma3_4b,2,0.4981179808732585,0.49732849080078706,3410.6425,1618.3025,0.0034106425,0.0016183025,0.4947073383732585,0.49571018830078706,-0.0010028499275285818,-0.20230569215577077,-110.7543243614837,7.375139387826546
armorm_llama3_8b,1.0,74,gemma3_4b,2,0.4978943166805687,0.4971395831014208,3446.0575,1639.055,0.0034460575,0.001639055,0.4944482591805687,0.4955005281014208,-0.0010522689208520841,-0.21236484346121665,-110.24660551354285,3.7944091472337016
armorm_llama3_8b,1.0,75,qwen35_9b,2,0.4982221931253658,0.49714114945265403,3794.9925,1707.065,0.0037949925,0.001707065,0.4944272006253658,0.495434084452654,-0.0010068838272881964,-0.20323265170594432,-122.31095476739316,4.747076703163167
armorm_llama3_8b,2.0,71,gemma3_4b,1,0.49807528496494496,0.49655268707419425,3326.79,818.645,0.006653579999999999,0.0016372899999999998,0.49142170496494497,0.49491539707419424,-0.003493692109249269,-0.7059170375185396,-306.37761178532816,5.997445884000041
armorm_llama3_8b,2.0,72,gemma3_4b,1,0.49814983524941175,0.4966044726371942,3125.96,757.645,0.00625192,0.0015152899999999999,0.49189791524941173,0.4950891826371942,-0.0031912673877824704,-0.6445843495879933,-312.5890093645441,12.033361396762876
armorm_llama3_8b,2.0,73,gemma3_4b,1,0.4980700688526321,0.49652648051904735,3290.2875,810.0125,0.006580574999999999,0.001620025,0.49148949385263213,0.49490645551904733,-0.003416961666415197,-0.690425761941529,-306.20206478295086,5.990070310023743
armorm_llama3_8b,2.0,74,gemma3_4b,1,0.4978618924247749,0.49616081796174316,3307.32,820.335,0.00661464,0.00164067,0.4912472524247749,0.49452014796174315,-0.0032728955369682455,-0.6618325968027984,-303.1669988480316,4.076672610140353
armorm_llama3_8b,2.0,75,gemma3_4b,1,0.49813114875368797,0.49652379137484537,3432.5775,853.97,0.0068651549999999995,0.00170794,0.49126599375368796,0.49481585137484535,-0.003549857621157393,-0.7174098427312134,-301.95527945946577,2.9024680746209452
armorm_llama3_8b,5.0,71,gemma3_4b,1,0.4980213466710608,0.49655268707419425,3281.755,818.645,0.016408775,0.004093225,0.4816125716710608,0.4924594620741943,-0.010846890403133469,-2.2025955918173157,-300.87644827733635,1.1554032651118318
armorm_llama3_8b,5.0,72,gemma3_4b,1,0.49806187103162514,0.4966044726371942,3062.735,757.645,0.015313675000000002,0.003788225,0.4827481960316251,0.4928162476371942,-0.010068051605569117,-2.0429625958641493,-304.24407209181084,2.3810591282907745
armorm_llama3_8b,5.0,73,gemma3_4b,1,0.4980184186409689,0.49652648051904735,3250.73,810.0125,0.01625365,0.004050062500000001,0.4817647686409689,0.49247641801904735,-0.010711649378078447,-2.175058335009283,-301.31849817132445,1.5956147848544489
armorm_llama3_8b,5.0,74,qwen35_9b,1,0.49819703986525454,0.4963894696922223,3518.8675,881.8525,0.0175943375,0.0044092625,0.48060270236525454,0.4919802071922223,-0.011377504826967755,-2.3125940150926505,-299.0313005859823,1.148892410158464
armorm_llama3_8b,5.0,75,gemma3_4b,1,0.49809979285111566,0.49652379137484537,3397.63,853.97,0.01698815,0.00426985,0.4811116428511157,0.49225394137484535,-0.011142298523729666,-2.2635265230400545,-297.8629225851025,0.05291554272104371
armorm_llama3_8b,10.0,71,gemma3_4b,1,0.4980095216585847,0.49655268707419425,3273.765,818.645,0.03273765,0.00818645,0.4652718716585847,0.48836623707419424,-0.023094365415609552,-4.728902954874208,-299.9004452479402,-0.05027321736366108
armorm_llama3_8b,10.0,72,gemma3_4b,1,0.498045621046668,0.4966044726371942,3049.3925,757.645,0.030493925,0.00757645,0.467551696046668,0.4890280226371942,-0.021476326590526174,-4.391635161255224,-302.48302305169307,0.36504549995286517
armorm_llama3_8b,10.0,73,gemma3_4b,1,0.49800506741291634,0.49652648051904735,3242.8175,810.0125,0.032428175000000004,0.008100125000000001,0.46557689241291633,0.48842635551904734,-0.022849463106131007,-4.678179800893226,-300.3416613941143,0.30220962662246276
armorm_llama3_8b,10.0,74,qwen35_9b,1,0.49818761777755727,0.4963894696922223,3509.885,881.8525,0.03509885000000001,0.008818525,0.46308876777755725,0.4875709446922223,-0.024482176914665033,-5.021254277184079,-298.01270620653685,0.30459509246664185
