reward_model,price_per_million,split_seed,selected_model,fixed_n,adaptive_utility,fixed_utility,adaptive_output_tokens,fixed_output_tokens,adaptive_cost_dollars,fixed_cost_dollars,adaptive_profit,fixed_profit,profit_improvement_percent,direct_cost_saving_percent,matched_quality_cost_saving_percent
armorm_llama3_8b,0.02,71,gemma3_4b,31,0.5000650783059294,0.49961498397361154,58061.0775,25353.6575,0.00116122155,0.0005070731500000001,0.4989038567559294,0.49910791082361156,-0.040883757451454415,-129.00474024309904,3.9748457027888096
armorm_llama3_8b,0.02,72,gemma3_4b,31,0.5001322168335072,0.49960094594483523,53734.29,23648.9225,0.0010746858,0.00047297845000000003,0.4990575310335072,0.49912796749483523,-0.014111904344203518,-127.21665225973825,17.36303307436966
armorm_llama3_8b,0.02,73,gemma3_4b,30,0.5001068109784534,0.4995407551623016,55317.7375,24249.415,0.0011063547500000002,0.00048498830000000005,0.49900045622845346,0.49905576686230163,-0.011083056748532162,-128.1198845415446,19.655456882713228
armorm_llama3_8b,0.02,74,gemma3_4b,30,0.500114059018871,0.4995070716076534,62014.345,24598.75,0.0012402869,0.000491975,0.49887377211887096,0.4990150966076534,-0.02832068403204491,-152.103643477819,14.591972862315682
armorm_llama3_8b,0.02,75,gemma3_4b,31,0.5000003052924571,0.49961029177965316,56315.56,26328.3475,0.0011263112,0.00052656695,0.4988739940924571,0.4990837248296532,-0.04202315698987903,-113.8970552557467,-6.255219546142543
armorm_llama3_8b,0.1,71,qwen35_9b,10,0.4991491772799271,0.498930555296313,12777.365,8300.6375,0.0012777365000000002,0.0008300637500000002,0.49787144077992707,0.49810049154631303,-0.04598485050173176,-53.93233351052855,-14.625650290067016
armorm_llama3_8b,0.1,72,qwen35_9b,9,0.4992403082024829,0.49876685342133087,12363.4225,6968.645,0.0012363422500000002,0.0006968645000000001,0.49800396595248286,0.49806998892133086,-0.013255761301938016,-77.4150139661297,9.734437454283684
armorm_llama3_8b,0.1,73,gemma3_4b,11,0.4990610627049364,0.49886181184670514,11244.745,8895.925,0.0011244745000000003,0.0008895925,0.49793658820493636,0.49797221934670516,-0.007155246896211237,-26.40332511796133,0.7673779602196285
armorm_llama3_8b,0.1,74,gemma3_4b,10,0.498966916931367,0.4986859750241282,12418.615,8179.9775,0.0012418615,0.00081799775,0.497725055431367,0.4978679772741282,-0.028706775547940766,-51.817226881125286,-8.513518848244361
armorm_llama3_8b,0.1,75,qwen35_9b,9,0.49921925719253096,0.4987593058229228,13712.3925,7720.13,0.00137123925,0.0007720130000000001,0.497848017942531,0.4979872928229228,-0.027967557084104498,-77.61867351974642,1.7688939184697605
