generator,reward_model,split_seed,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
gemma3_4b,fsfairx_llama3_rm,71,0.1,four_over_n,505,0.5568553302829491,0.621565586319245,735661.42,920.8175,0.547999444319245,-1.5903387257161166
gemma3_4b,fsfairx_llama3_rm,71,0.1,four_over_n_plus_one,505,0.5568553302829491,0.621565586319245,735505.8125,920.6825,0.5480150050692449,-1.5875443284725685
gemma3_4b,fsfairx_llama3_rm,71,0.1,one_over_n,505,0.5568553302829491,0.5941834205434136,403327.445,603.87,0.5538506760434135,-0.5395753755304507
gemma3_4b,fsfairx_llama3_rm,71,0.1,one_over_n_plus_one,505,0.5568553302829491,0.5941834205434136,402762.73,603.295,0.5539071475434135,-0.5294342316948885
gemma3_4b,fsfairx_llama3_rm,71,0.1,record_then_smooth,505,0.5568553302829491,0.5940103412308244,399279.3925,599.5375,0.5540824019808244,-0.4979620650691703
gemma3_4b,fsfairx_llama3_rm,71,0.1,current_mean_costse2,505,0.5568553302829491,0.5905293363299429,315630.265,510.96,0.5589663098299429,0.3790894029731504
gemma3_4b,fsfairx_llama3_rm,71,0.2,four_over_n,278,0.5268170623416387,0.6121285445339997,599871.6425,797.24,0.49215421603399967,-6.579674195358604
gemma3_4b,fsfairx_llama3_rm,71,0.2,four_over_n_plus_one,278,0.5268170623416387,0.6121163377045313,599455.455,796.8575,0.4922252467045313,-6.566191209402163
gemma3_4b,fsfairx_llama3_rm,71,0.2,one_over_n,278,0.5268170623416387,0.5706583701155051,236648.2,404.8675,0.5233287301155052,-0.6621524767304081
gemma3_4b,fsfairx_llama3_rm,71,0.2,one_over_n_plus_one,278,0.5268170623416387,0.5704906258658738,235985.145,404.1525,0.5232935968658738,-0.668821442514313
gemma3_4b,fsfairx_llama3_rm,71,0.2,record_then_smooth,278,0.5268170623416387,0.5699284362058633,232988.68,400.545,0.5233307002058634,-0.6617785157297097
gemma3_4b,fsfairx_llama3_rm,71,0.2,current_mean_costse2,278,0.5268170623416387,0.5705382436552688,181300.375,339.13,0.5342781686552689,1.4162613261739188
gemma3_4b,fsfairx_llama3_rm,71,0.5,four_over_n,133,0.484093429036688,0.586831315898376,341055.96,533.7775,0.416303335898376,-14.003514419356932
gemma3_4b,fsfairx_llama3_rm,71,0.5,four_over_n_plus_one,133,0.484093429036688,0.586831315898376,340406.93,533.1,0.416627850898376,-13.93647880587096
gemma3_4b,fsfairx_llama3_rm,71,0.5,one_over_n,133,0.484093429036688,0.5432794715253803,115916.1675,233.27,0.48532138777538025,0.25366151759915423
gemma3_4b,fsfairx_llama3_rm,71,0.5,one_over_n_plus_one,133,0.484093429036688,0.5424622610777255,114998.435,232.2475,0.48496304357772557,0.17963774942536168
gemma3_4b,fsfairx_llama3_rm,71,0.5,record_then_smooth,133,0.484093429036688,0.5402998253085833,112398.0575,228.8475,0.48410079655858335,0.0015219214832148157
gemma3_4b,fsfairx_llama3_rm,71,0.5,current_mean_costse2,133,0.484093429036688,0.5366028285028728,82643.5925,174.1225,0.4952810322528728,2.311042155322647
gemma3_4b,fsfairx_llama3_rm,71,1.0,four_over_n,68,0.44737727263262445,0.5638903096380018,199136.7675,355.225,0.3647535421380018,-18.46846846028123
gemma3_4b,fsfairx_llama3_rm,71,1.0,four_over_n_plus_one,68,0.44737727263262445,0.5638903096380018,198472.9225,354.505,0.3654173871380018,-18.32008251387552
gemma3_4b,fsfairx_llama3_rm,71,1.0,one_over_n,68,0.44737727263262445,0.5128284250083853,65599.1675,148.56,0.4472292575083853,-0.03308507903589167
gemma3_4b,fsfairx_llama3_rm,71,1.0,one_over_n_plus_one,68,0.44737727263262445,0.5111861528999286,64580.3325,147.425,0.44660582039992863,-0.17243885192382383
gemma3_4b,fsfairx_llama3_rm,71,1.0,record_then_smooth,68,0.44737727263262445,0.507729998153103,62596.14,143.295,0.445133858153103,-0.5014591971379959
gemma3_4b,fsfairx_llama3_rm,71,1.0,current_mean_costse2,68,0.44737727263262445,0.5083272041422561,44833.2625,104.9525,0.4634939416422561,3.6024782651098777
gemma3_4b,fsfairx_llama3_rm,71,2.0,four_over_n,40,0.4100723186262353,0.5432794715253803,115916.1675,233.27,0.31144713652538025,-24.050680238855133
gemma3_4b,fsfairx_llama3_rm,71,2.0,four_over_n_plus_one,40,0.4100723186262353,0.5424622610777255,114998.435,232.2475,0.31246539107772553,-23.802369268791004
gemma3_4b,fsfairx_llama3_rm,71,2.0,one_over_n,40,0.4100723186262353,0.48334372164057077,37054.2275,85.095,0.40923526664057075,-0.20412301626910528
gemma3_4b,fsfairx_llama3_rm,71,2.0,one_over_n_plus_one,40,0.4100723186262353,0.482183640477554,36355.8625,84.2375,0.409471915477554,-0.14641396685653996
gemma3_4b,fsfairx_llama3_rm,71,2.0,record_then_smooth,40,0.4100723186262353,0.47921679827984426,35170.1825,82.345,0.40887643327984424,-0.29162791343666306
gemma3_4b,fsfairx_llama3_rm,71,2.0,current_mean_costse2,40,0.4100723186262353,0.47270707191979433,24159.0,58.19,0.42438907191979436,3.491275232017852
gemma3_4b,fsfairx_llama3_rm,71,5.0,four_over_n,16,0.35072130446525596,0.5022840153034306,54453.135,124.3425,0.23001834030343055,-34.41563504271888
gemma3_4b,fsfairx_llama3_rm,71,5.0,four_over_n_plus_one,16,0.35072130446525596,0.501173324705825,53750.0375,123.5,0.23242313720582497,-33.7299632937326
gemma3_4b,fsfairx_llama3_rm,71,5.0,one_over_n,16,0.35072130446525596,0.4309041814632158,17174.4575,37.235,0.34503189396321576,-1.6222027089899274
gemma3_4b,fsfairx_llama3_rm,71,5.0,one_over_n_plus_one,16,0.35072130446525596,0.42762294204685597,16469.05,36.095,0.345277692046856,-1.5521191182554002
