generator,reward_model,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
gemma3_4b,fsfairx_llama3_rm,0.1,four_over_n,515.8,0.5582557592638303,0.6245920240713713,741229.4025000001,928.4724999999999,0.5504690838213713,-1.3965752479604
gemma3_4b,fsfairx_llama3_rm,0.1,four_over_n_plus_one,515.8,0.5582557592638303,0.6245920240713713,741081.5165,928.3420000000002,0.5504838724213712,-1.3939262703693314
gemma3_4b,fsfairx_llama3_rm,0.1,one_over_n,515.8,0.5582557592638303,0.5979450112268653,409823.20200000005,616.7370000000001,0.5569626910268654,-0.23112212812857735
gemma3_4b,fsfairx_llama3_rm,0.1,one_over_n_plus_one,515.8,0.5582557592638303,0.5979450112268653,409242.319,616.1585,0.5570207793268653,-0.22071530298524214
gemma3_4b,fsfairx_llama3_rm,0.1,record_then_smooth,515.8,0.5582557592638303,0.5976419978225935,405837.0165,612.5585,0.5570582961725936,-0.21402161714294646
gemma3_4b,fsfairx_llama3_rm,0.1,current_mean_costse2,515.8,0.5582557592638303,0.5926801833411648,313649.38499999995,510.96049999999997,0.5613152448411647,0.5474587371029411
gemma3_4b,fsfairx_llama3_rm,0.2,four_over_n,271.4,0.5288919097905573,0.6153824005425227,606265.737,807.4965,0.49412925314252265,-6.5739313192741005
gemma3_4b,fsfairx_llama3_rm,0.2,four_over_n_plus_one,271.4,0.5288919097905573,0.615372635078948,605846.4165,807.1195,0.4942033517789479,-6.559920080978003
gemma3_4b,fsfairx_llama3_rm,0.2,one_over_n,271.4,0.5288919097905573,0.5754268537214673,244559.39849999998,420.1334999999999,0.5265149740214674,-0.44943062700245073
gemma3_4b,fsfairx_llama3_rm,0.2,one_over_n_plus_one,271.4,0.5288919097905573,0.5751861689564961,243808.05899999998,419.34499999999997,0.5264245571564963,-0.4664900464940109
gemma3_4b,fsfairx_llama3_rm,0.2,record_then_smooth,271.4,0.5288919097905573,0.5743455921697928,240734.70299999998,415.68100000000004,0.526198651569793,-0.5091440860107878
gemma3_4b,fsfairx_llama3_rm,0.2,current_mean_costse2,271.4,0.5288919097905573,0.5708003070370706,180153.66499999998,335.40549999999996,0.5347695740370707,1.1106237567465658
gemma3_4b,fsfairx_llama3_rm,0.5,four_over_n,133.4,0.48402201547203505,0.5907746840936889,348859.0225,549.156,0.4163451728436889,-13.984122299645065
gemma3_4b,fsfairx_llama3_rm,0.5,four_over_n_plus_one,133.4,0.48402201547203505,0.5907220147367843,348153.57200000004,548.4505,0.4166452287367843,-13.922058676182639
gemma3_4b,fsfairx_llama3_rm,0.5,one_over_n,133.4,0.48402201547203505,0.5437891556966894,117903.73899999999,233.57999999999998,0.48483728619668953,0.16957380767893632
gemma3_4b,fsfairx_llama3_rm,0.5,one_over_n_plus_one,133.4,0.48402201547203505,0.543082630103749,116974.57749999998,232.5665,0.48459534135374904,0.11955180672762049
gemma3_4b,fsfairx_llama3_rm,0.5,record_then_smooth,133.4,0.48402201547203505,0.5410299840926392,114354.47650000002,228.9915,0.48385274584263926,-0.0343153536937181
gemma3_4b,fsfairx_llama3_rm,0.5,current_mean_costse2,133.4,0.48402201547203505,0.5355132836586981,82368.094,171.95149999999998,0.4943292366586981,2.1279811815266982
gemma3_4b,fsfairx_llama3_rm,1.0,four_over_n,67.2,0.4450253676465291,0.567100095089837,205613.8865,366.979,0.3614862085898371,-18.773245929004034
gemma3_4b,fsfairx_llama3_rm,1.0,four_over_n_plus_one,67.2,0.4450253676465291,0.5670251739414252,204971.19300000003,366.2605,0.3620539809414252,-18.645663331427052
gemma3_4b,fsfairx_llama3_rm,1.0,one_over_n,67.2,0.4450253676465291,0.5132570128609127,66229.611,145.348,0.4470274018609127,0.4536719374961543
gemma3_4b,fsfairx_llama3_rm,1.0,one_over_n_plus_one,67.2,0.4450253676465291,0.5112618905341653,65157.817,144.17950000000002,0.4461040735341652,0.2460507753473089
gemma3_4b,fsfairx_llama3_rm,1.0,record_then_smooth,67.2,0.4450253676465291,0.5080767494778953,63085.3905,140.41500000000002,0.4449913589778953,-0.0052835460490006534
gemma3_4b,fsfairx_llama3_rm,1.0,current_mean_costse2,67.2,0.4450253676465291,0.5059743235843199,44860.91650000001,103.4965,0.46111340708431997,3.6167919551228542
gemma3_4b,fsfairx_llama3_rm,2.0,four_over_n,38.8,0.40676124565013216,0.5437891556966894,117903.73899999999,233.57999999999998,0.30798167769668955,-24.289490431152892
gemma3_4b,fsfairx_llama3_rm,2.0,four_over_n_plus_one,38.8,0.40676124565013216,0.543082630103749,116974.57749999998,232.5665,0.30913347510374906,-24.0062953361004
gemma3_4b,fsfairx_llama3_rm,2.0,one_over_n,38.8,0.40676124565013216,0.47972268794529543,37103.1805,83.39000000000001,0.40551632694529544,-0.31115030636027496
gemma3_4b,fsfairx_llama3_rm,2.0,one_over_n_plus_one,38.8,0.40676124565013216,0.47840876284717887,36422.1115,82.5525,0.40556453984717883,-0.29919423605755197
gemma3_4b,fsfairx_llama3_rm,2.0,record_then_smooth,38.8,0.40676124565013216,0.47547322784777435,35237.284,80.6055,0.40499865984777444,-0.4379495396669343
gemma3_4b,fsfairx_llama3_rm,2.0,current_mean_costse2,38.8,0.40676124565013216,0.4684349080385708,24276.026999999995,57.5495,0.41988285403857084,3.2222809578441023
gemma3_4b,fsfairx_llama3_rm,5.0,four_over_n,15.6,0.3486747186159392,0.5016548870273,54618.569,121.696,0.22856204202729993,-34.47633350910525
gemma3_4b,fsfairx_llama3_rm,5.0,four_over_n_plus_one,15.6,0.3486747186159392,0.5001105952178763,53928.90499999999,120.86499999999998,0.23046607021787624,-33.9311873844314
gemma3_4b,fsfairx_llama3_rm,5.0,one_over_n,15.6,0.3486747186159392,0.4297073774731934,17322.9545,37.834,0.3430926049731934,-1.6110506669172953
gemma3_4b,fsfairx_llama3_rm,5.0,one_over_n_plus_one,15.6,0.3486747186159392,0.4265436859631655,16618.270500000002,36.811,0.34345233346316545,-1.5078960122393066
gemma3_4b,fsfairx_llama3_rm,5.0,record_then_smooth,15.6,0.3486747186159392,0.4234432301254353,15938.642499999998,35.617000000000004,0.3437500176254353,-1.4238511945840462
gemma3_4b,fsfairx_llama3_rm,5.0,current_mean_costse2,15.6,0.3486747186159392,0.40975396924686114,10527.586,25.639499999999998,0.3571160392468612,2.4010966000502387
gemma3_4b,fsfairx_llama3_rm,10.0,four_over_n,9.0,0.2980865266733524,0.4664152654540126,30743.222999999998,69.0065,0.1589830354540126,-46.71455903341687
gemma3_4b,fsfairx_llama3_rm,10.0,four_over_n_plus_one,9.0,0.2980865266733524,0.46392826230868234,30021.46,68.1165,0.1637136623086823,-45.12574752951302
gemma3_4b,fsfairx_llama3_rm,10.0,one_over_n,9.0,0.2980865266733524,0.39686398553707647,10078.654,21.8465,0.29607744553707643,-0.6819634880156351
gemma3_4b,fsfairx_llama3_rm,10.0,one_over_n_plus_one,9.0,0.2980865266733524,0.389387961361889,9424.486,20.990000000000002,0.29514310136188904,-1.002906975959262
gemma3_4b,fsfairx_llama3_rm,10.0,record_then_smooth,9.0,0.2980865266733524,0.38807688400504475,9101.9675,20.299,0.29705720900504473,-0.35961863958319534
gemma3_4b,fsfairx_llama3_rm,10.0,current_mean_costse2,9.0,0.2980865266733524,0.37029407749986104,5823.7465,14.003,0.31205661249986105,4.67468836992545
gemma3_4b,rm_mistral_7b,0.1,four_over_n,501.0,0.5498727723433041,0.6118171071858067,748922.6,933.7504999999999,0.5369248471858067,-2.3548739990326473
gemma3_4b,rm_mistral_7b,0.1,four_over_n_plus_one,501.0,0.5498727723433041,0.6118171071858067,748798.9705,933.6424999999999,0.5369372101358068,-2.352625449115629
gemma3_4b,rm_mistral_7b,0.1,one_over_n,501.0,0.5498727723433041,0.5876434839070346,400244.549,597.2405000000001,0.5476190290070345,-0.4089310180378932
gemma3_4b,rm_mistral_7b,0.1,one_over_n_plus_one,501.0,0.5498727723433041,0.5875665379327606,399632.511,596.596,0.5476032868327605,-0.41175339629337654
gemma3_4b,rm_mistral_7b,0.1,record_then_smooth,501.0,0.5498727723433041,0.5870553636605254,396004.271,592.4280000000001,0.5474549365605255,-0.4386544019850572
gemma3_4b,rm_mistral_7b,0.1,current_mean_costse2,501.0,0.5498727723433041,0.5848934875987493,313856.759,512.6434999999999,0.5535078116987493,0.6609206064590245
gemma3_4b,rm_mistral_7b,0.2,four_over_n,240.0,0.5229641265830627,0.6023843099495256,606808.3375,805.6424999999999,0.4810226424495256,-8.018893328886367
gemma3_4b,rm_mistral_7b,0.2,four_over_n_plus_one,240.0,0.5229641265830627,0.6023805168766172,606389.6325000001,805.259,0.4811025903766172,-8.003607919680533
gemma3_4b,rm_mistral_7b,0.2,one_over_n,240.0,0.5229641265830627,0.5656954196646213,233478.55049999998,393.4415,0.5189997095646213,-0.7575164660076635
gemma3_4b,rm_mistral_7b,0.2,one_over_n_plus_one,240.0,0.5229641265830627,0.5656525614949969,232815.5995,392.7,0.5190894415949969,-0.7403389091362846
gemma3_4b,rm_mistral_7b,0.2,record_then_smooth,240.0,0.5229641265830627,0.5647120930713048,229721.44100000002,388.95449999999994,0.5187678048713048,-0.801822301730919
gemma3_4b,rm_mistral_7b,0.2,current_mean_costse2,240.0,0.5229641265830627,0.5663902093496623,178956.999,334.847,0.5305988095496622,1.4604159035164188
gemma3_4b,rm_mistral_7b,0.5,four_over_n,117.2,0.48122418392535904,0.5804484303845777,337583.88600000006,525.2035000000001,0.41165648738457766,-14.456673701425654
gemma3_4b,rm_mistral_7b,0.5,four_over_n_plus_one,117.2,0.48122418392535904,0.5798968073715891,336215.1655,523.8629999999999,0.4117892246215892,-14.429056803642473
gemma3_4b,rm_mistral_7b,0.5,one_over_n,117.2,0.48122418392535904,0.532071054677784,110524.274,217.2,0.4768089176777841,-0.9171286300479953
gemma3_4b,rm_mistral_7b,0.5,one_over_n_plus_one,117.2,0.48122418392535904,0.5318958935343698,109855.2935,216.42249999999999,0.4769682467843698,-0.8840899420176088
gemma3_4b,rm_mistral_7b,0.5,record_then_smooth,117.2,0.48122418392535904,0.5306598140883765,107605.82949999999,213.49499999999998,0.4768568993383765,-0.9070861094783117
gemma3_4b,rm_mistral_7b,0.5,current_mean_costse2,117.2,0.48122418392535904,0.5312757262151474,81560.383,174.3125,0.4904955347151475,1.9271911965295097
gemma3_4b,rm_mistral_7b,1.0,four_over_n,65.0,0.44657310586387966,0.5590600967656912,195255.473,339.794,0.3638046237656912,-18.53406303017169
gemma3_4b,rm_mistral_7b,1.0,four_over_n_plus_one,65.0,0.44657310586387966,0.558587408240498,194289.55299999999,338.78799999999995,0.364297855240498,-18.423620572437834
gemma3_4b,rm_mistral_7b,1.0,one_over_n,65.0,0.44657310586387966,0.5048753967849354,62207.128000000004,132.83350000000002,0.4426682687849353,-0.8743852748459208
gemma3_4b,rm_mistral_7b,1.0,one_over_n_plus_one,65.0,0.44657310586387966,0.5036768261393553,61390.867000000006,131.0055,0.44228595913935537,-0.960075868663073
gemma3_4b,rm_mistral_7b,1.0,record_then_smooth,65.0,0.44657310586387966,0.501613553110084,59683.1645,127.954,0.441930388610084,-1.0396485704931986
gemma3_4b,rm_mistral_7b,1.0,current_mean_costse2,65.0,0.44657310586387966,0.5001418740512488,44392.8235,103.62100000000001,0.4557490505512488,2.054334433821736
gemma3_4b,rm_mistral_7b,2.0,four_over_n,35.0,0.40747106165156266,0.532071054677784,110524.274,217.2,0.31102250667778414,-23.67669170509626
gemma3_4b,rm_mistral_7b,2.0,four_over_n_plus_one,35.0,0.40747106165156266,0.5318958935343698,109855.2935,216.42249999999999,0.3121853065343697,-23.391342098934974
