generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,half_include,0.3,,5028.71983469853,False,
gemma2_9b,71,half_include,0.35,9076.204314123288,10245.896074796543,True,11.416197784306359
gemma2_9b,71,half_include,0.4,29633.324775094607,21087.891648758457,True,-40.52293737406063
gemma2_9b,71,half_include,0.45,87534.32534365487,46511.10682689116,True,-88.20090794538018
gemma2_9b,71,half_include,0.5,181584.33744093508,99208.44369545512,True,-83.03314786224563
gemma2_9b,71,half_include,0.55,318220.60439282254,214263.90542127052,True,-48.51806409817823
gemma2_9b,71,half_include,0.6,683844.2590452373,548920.7474137497,True,-24.57977991671516
gemma2_9b,71,half_exclude,0.3,,5028.71983469853,False,
gemma2_9b,71,half_exclude,0.35,9943.570808448198,10245.896074796543,True,2.9506962020825367
gemma2_9b,71,half_exclude,0.4,44497.032592542746,21087.891648758457,True,-111.0074982065004
gemma2_9b,71,half_exclude,0.45,134831.67219689075,46511.10682689116,True,-189.89134294033957
gemma2_9b,71,half_exclude,0.5,331030.9247758527,99208.44369545512,True,-233.67212753788792
gemma2_9b,71,half_exclude,0.55,719272.6098536635,214263.90542127052,True,-235.69471649435334
gemma2_9b,71,half_exclude,0.6,1171126.218526037,548920.7474137497,True,-113.35069298142217
gemma2_9b,71,quarter32_include,0.3,,5028.71983469853,False,
gemma2_9b,71,quarter32_include,0.35,9695.332597932782,10245.896074796543,True,5.373502452538725
gemma2_9b,71,quarter32_include,0.4,20832.341095727134,21087.891648758457,True,1.2118354802262532
gemma2_9b,71,quarter32_include,0.45,43344.72027145899,46511.10682689116,True,6.807807363555318
gemma2_9b,71,quarter32_include,0.5,89929.24837264692,99208.44369545512,True,9.353231415758302
gemma2_9b,71,quarter32_include,0.55,187983.73485090406,214263.90542127052,True,12.26532789958078
gemma2_9b,71,quarter32_include,0.6,459403.14726411464,548920.7474137497,True,16.30792797892936
gemma2_9b,71,quarter32_exclude,0.3,,5028.71983469853,False,
gemma2_9b,71,quarter32_exclude,0.35,9990.158222891543,10245.896074796543,True,2.4960027901715587
gemma2_9b,71,quarter32_exclude,0.4,29395.813663596484,21087.891648758457,True,-39.39664596734189
gemma2_9b,71,quarter32_exclude,0.45,89759.46153327756,46511.10682689116,True,-92.98500435036227
gemma2_9b,71,quarter32_exclude,0.5,206172.09156343437,99208.44369545512,True,-107.81708076817597
gemma2_9b,71,quarter32_exclude,0.55,494385.6152481814,214263.90542127052,True,-130.73677028156254
gemma2_9b,71,quarter32_exclude,0.6,1149559.1757082876,548920.7474137497,True,-109.42170270015427
gemma2_9b,71,sqrt32_include,0.3,,5028.71983469853,False,
gemma2_9b,71,sqrt32_include,0.35,9683.246375581271,10245.896074796543,True,5.491464046754391
gemma2_9b,71,sqrt32_include,0.4,19719.858740392323,21087.891648758457,True,6.487291053805643
gemma2_9b,71,sqrt32_include,0.45,39597.524277753095,46511.10682689116,True,14.86436900947037
gemma2_9b,71,sqrt32_include,0.5,77079.7604620875,99208.44369545512,True,22.30524178092853
gemma2_9b,71,sqrt32_include,0.55,183371.95491547897,214263.90542127052,True,14.41771092758437
gemma2_9b,71,sqrt32_include,0.6,476290.3920754845,548920.7474137497,True,13.231482992848143
gemma2_9b,71,sqrt32_exclude,0.3,,5028.71983469853,False,
gemma2_9b,71,sqrt32_exclude,0.35,9933.769522819155,10245.896074796543,True,3.046356801775252
gemma2_9b,71,sqrt32_exclude,0.4,22399.00770033052,21087.891648758457,True,-6.217388032004867
gemma2_9b,71,sqrt32_exclude,0.45,51622.877081103805,46511.10682689116,True,-10.990429174773354
gemma2_9b,71,sqrt32_exclude,0.5,129096.57000467357,99208.44369545512,True,-30.126595273450164
gemma2_9b,71,sqrt32_exclude,0.55,338881.00578503957,214263.90542127052,True,-58.16056611063618
gemma2_9b,71,sqrt32_exclude,0.6,937360.1241914732,548920.7474137497,True,-70.76420022523521
gemma2_9b,72,half_include,0.3,,4030.3153300212684,False,
gemma2_9b,72,half_include,0.35,10045.304276959141,7592.430580091911,True,-32.306830744016324
gemma2_9b,72,half_include,0.4,22615.627491400046,15722.010224823078,True,-43.846920132979015
gemma2_9b,72,half_include,0.45,69062.1833750274,36113.056995948165,True,-91.23881808946852
gemma2_9b,72,half_include,0.5,169223.44827657813,76898.66553723335,True,-120.0603184650094
gemma2_9b,72,half_include,0.55,301620.2240112921,198184.50347067398,True,-52.19162887572784
gemma2_9b,72,half_include,0.6,616414.9060426427,569802.1302506098,True,-8.180519748413651
gemma2_9b,72,half_exclude,0.3,,4030.3153300212684,False,
gemma2_9b,72,half_exclude,0.35,8847.359116745369,7592.430580091911,True,-16.52867976091874
gemma2_9b,72,half_exclude,0.4,44852.258791189786,15722.010224823078,True,-185.2832312777262
gemma2_9b,72,half_exclude,0.45,139192.8024572725,36113.056995948165,True,-285.4362217878419
gemma2_9b,72,half_exclude,0.5,296685.7502017335,76898.66553723335,True,-285.813912541931
gemma2_9b,72,half_exclude,0.55,651066.5870763902,198184.50347067398,True,-228.51538625608566
gemma2_9b,72,half_exclude,0.6,1070089.1407082865,569802.1302506098,True,-87.80012988678034
gemma2_9b,72,quarter32_include,0.3,,4030.3153300212684,False,
gemma2_9b,72,quarter32_include,0.35,7423.6678132943425,7592.430580091911,True,2.222776553796635
gemma2_9b,72,quarter32_include,0.4,16090.066816115886,15722.010224823078,True,-2.341027553281272
gemma2_9b,72,quarter32_include,0.45,35835.694595197565,36113.056995948165,True,0.7680391077989346
gemma2_9b,72,quarter32_include,0.5,75380.23158985534,76898.66553723335,True,1.9745907640527305
gemma2_9b,72,quarter32_include,0.55,171325.54958707647,198184.50347067398,True,13.552499521019268
gemma2_9b,72,quarter32_include,0.6,455136.8738986039,569802.1302506098,True,20.123697379224247
gemma2_9b,72,quarter32_exclude,0.3,,4030.3153300212684,False,
gemma2_9b,72,quarter32_exclude,0.35,7706.611831878148,7592.430580091911,True,-1.5038827234802987
gemma2_9b,72,quarter32_exclude,0.4,21024.346685489076,15722.010224823078,True,-33.72556298363345
gemma2_9b,72,quarter32_exclude,0.45,73769.87922125516,36113.056995948165,True,-104.27481182092126
