generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,half_include,2e-08,0.6080464423489678,0.6135448098375619,951,-0.8961639639735238,-1.036674745324645,0.6370999496489678,1452675.365,945.8375,1247045.2699054014,-16.489384953137854
gemma2_9b,71,half_include,1e-07,0.4927554017963852,0.5443691531680899,356,-9.48138796464233,-9.874041434599194,0.6358260845463852,1430706.8275,935.67,1206784.8743701149,-18.555250226082066
gemma2_9b,71,half_include,2e-07,0.37376767085299156,0.5043549212672537,235,-25.891935402582295,-26.607561529924116,0.6295258148529915,1278790.72,875.865,1044778.5026672198,-22.3982611372046
gemma2_9b,71,half_include,1e-06,0.1429361042952102,0.4075245939842592,49,-64.92577223431792,-65.02167671696039,0.5726414767952102,429705.3725,445.55,329908.99345505214,-30.2496691586992
gemma2_9b,71,half_include,2e-06,0.13199435533433435,0.35894930903654637,28,-63.22757781910221,-63.50982542208187,0.49738387533433437,182694.76,233.1075,95539.37869466585,-91.22456362613987
gemma2_9b,71,half_include,1e-05,0.2521032253296699,0.24384346329543255,7,3.387321490029072,-0.1969542885980274,0.3589348753296699,10683.165,17.975,11652.075499719316,8.315346907447129
gemma2_9b,71,half_exclude,2e-08,0.5821197658817683,0.6135448098375619,951,-5.121882452907308,-5.256401952483685,0.6073739459817683,1262709.005,838.485,652215.9158798967,-93.60291189712753
gemma2_9b,71,half_exclude,1e-07,0.4768014773346098,0.5443691531680899,356,-12.412105910162872,-12.792046452414612,0.5852896575846098,1084881.8025,741.525,413416.056521652,-162.41888416909637
gemma2_9b,71,half_exclude,2e-07,0.38551870169467173,0.5043549212672537,235,-23.56202240953481,-24.300147392045975,0.5592190886946717,868501.935,635.225,250663.21487275828,-246.4816069804535
gemma2_9b,71,half_exclude,1e-06,0.2523131973036744,0.4075245939842592,49,-38.086387661447475,-38.255679855120924,0.4772195648036744,224906.3675,256.605,68880.56535568432,-226.51643658647723
gemma2_9b,71,half_exclude,2e-06,0.24049144834232894,0.35894930903654637,28,-33.001278373308324,-33.51552865817693,0.4290396333423289,94274.0925,129.3325,34196.13563920104,-175.68639186214966
gemma2_9b,71,half_exclude,1e-05,0.2561089725271644,0.24384346329543255,7,5.030075059617811,1.3888475992480136,0.3472589725271644,9115.0,13.3575,9814.510488178425,7.127308988267778
gemma2_9b,71,quarter32_include,2e-08,0.6075823071475162,0.6135448098375619,951,-0.9718120982270744,-1.1122156246133337,0.6300081807975162,1121293.6825,803.635,1054355.2195966677,-6.348758147082445
gemma2_9b,71,quarter32_include,1e-07,0.5549607245074022,0.5443691531680899,356,1.9456597196354852,1.5034377706254805,0.6035142280074022,485535.035,459.035,596347.3195306052,18.58183660787265
gemma2_9b,71,quarter32_include,2e-07,0.5165745184025227,0.5043549212672537,235,2.4228170718679123,1.4337689253435937,0.5790093154025227,312173.985,322.57,371877.8187487805,16.05469074484194
gemma2_9b,71,quarter32_include,1e-06,0.4081574338125305,0.4075245939842592,49,0.15528874517343233,-0.11856877822470663,0.4756358513125305,67478.4175,89.775,67087.00185675327,-0.5834448289737226
gemma2_9b,71,quarter32_include,2e-06,0.364245996609724,0.35894930903654637,28,1.475608794844722,0.6967303407045605,0.425670451609724,30712.2275,46.0475,32326.345402004306,4.993196360217778
gemma2_9b,71,quarter32_include,1e-05,0.2585033630877054,0.24384346329543255,7,6.012012622422194,2.3367429316148542,0.3405173380877054,8201.3975,10.5225,8863.925083088156,7.4744267001107705
gemma2_9b,71,quarter32_exclude,2e-08,0.5465413272091514,0.6135448098375619,951,-10.9207154154152,-11.047013249886803,0.5594940914591514,647638.2125,505.1275,252252.14689181378,-156.74239861980635
gemma2_9b,71,quarter32_exclude,1e-07,0.48158345462711727,0.5443691531680899,356,-11.533662070228598,-11.91741314397388,0.5031750838771173,215916.2925,211.96,104242.215044857,-107.12941720116747
gemma2_9b,71,quarter32_exclude,2e-07,0.43775384267505424,0.5043549212672537,235,-13.205200501435783,-14.043336358524831,0.46039417417505424,113201.6575,112.47,53588.619402648605,-111.24197406437575
gemma2_9b,71,quarter32_exclude,1e-06,0.3650265036268287,0.4075245939842592,49,-10.428349843119413,-10.673268215239128,0.3854816386268287,20455.135,24.0425,17169.647163566136,-19.135441777776553
gemma2_9b,71,quarter32_exclude,2e-06,0.33877534773178153,0.35894930903654637,28,-5.62028141492002,-6.344695194613107,0.3636592427317815,12441.9475,13.5525,12477.03518112106,0.28121809878480786
gemma2_9b,71,quarter32_exclude,1e-05,0.25583314013872965,0.24384346329543255,7,4.916956428219203,1.2796506128324665,0.32868696513872964,7285.3825,5.93,7610.4776076435255,4.271678131172985
gemma2_9b,71,sqrt32_include,2e-08,0.6073325273924948,0.6135448098375619,951,-1.012523021213696,-1.1528688270935936,0.6285859536924948,1062671.315,776.1625,1026118.8431509808,-3.562206472768281
gemma2_9b,71,sqrt32_include,1e-07,0.5515152057147361,0.5443691531680899,356,1.3127218000979732,0.8732454220239942,0.5874030487147361,358878.43,385.2075,428670.72211780725,16.281096076028945
gemma2_9b,71,sqrt32_include,2e-07,0.5157712809897388,0.5043549212672537,235,2.263556721881509,1.2760464763686261,0.5560599484897388,201443.3375,247.53,236535.17720822143,14.835780505210083
gemma2_9b,71,sqrt32_include,1e-06,0.4192850131855211,0.4075245939842592,49,2.885818273268708,2.6044945834454265,0.46999022568552107,50705.2125,70.8825,61516.90085208632,17.57515122239719
gemma2_9b,71,sqrt32_include,2e-06,0.3696661053145589,0.35894930903654637,28,2.9856015900343746,2.1951331502016136,0.42623992031455893,28286.9075,39.58,32642.38268025055,13.343006308438754
gemma2_9b,71,sqrt32_include,1e-05,0.2548501773818109,0.24384346329543255,7,4.513844225154813,0.8905136756390666,0.34298387738181096,8813.37,10.5825,9141.691829699688,3.591477768185425
gemma2_9b,71,sqrt32_exclude,2e-08,0.5537768987412991,0.6135448098375619,951,-9.74140928876679,-9.869379159679516,0.5626840165912991,445355.8925,399.195,270683.140450913,-64.53034044089756
gemma2_9b,71,sqrt32_exclude,1e-07,0.48482818142105494,0.5443691531680899,356,-10.937609414589646,-11.323946057625609,0.49716168492105495,123335.035,136.16,95236.81338703563,-29.50352979448736
gemma2_9b,71,sqrt32_exclude,2e-07,0.44981470140992497,0.5043549212672537,235,-10.813856979979438,-11.675084897462995,0.46350266790992495,68439.8325,73.9575,56117.4401424868,-21.958222481684196
gemma2_9b,71,sqrt32_exclude,1e-06,0.3766253669410828,0.4075245939842592,49,-7.582174793693539,-7.834875545155961,0.3988066419410828,22181.275,23.2675,20643.324878763626,-7.450108595725813
gemma2_9b,71,sqrt32_exclude,2e-06,0.3461514170717692,0.35894930903654637,28,-3.5653758462797702,-4.305562102646955,0.3746964420717692,14272.5125,13.68,14710.38051478792,2.9765920354523967
gemma2_9b,71,sqrt32_exclude,1e-05,0.25478960471966433,0.24384346329543255,7,4.489003427157612,0.8665340690268438,0.33361847971966435,7882.8875,6.41,8132.979690058955,3.075037681019255
gemma2_9b,72,half_include,2e-08,0.6041633184469202,0.6094161908336827,938,-0.8619515637706621,-1.031940870746208,0.6291603193469202,1249850.045,945.8375,1084921.7114030018,-15.201864969935542
gemma2_9b,72,half_include,1e-07,0.5041941168782011,0.542942656948785,320,-7.136764734666798,-7.422978884844864,0.6268838378782011,1226897.21,924.265,1030457.581426917,-19.063339638014497
gemma2_9b,72,half_include,2e-07,0.397900116952989,0.5098505676564831,158,-21.957502414496048,-22.208744484264354,0.622679483952989,1123896.835,877.4975,932494.1157041846,-20.52589030562142
gemma2_9b,72,half_include,1e-06,0.18558819501565738,0.423131274858289,40,-56.139334045252795,-56.42063579897528,0.5728310150156574,387242.82,468.5575,318091.7191846913,-21.739359010209867
gemma2_9b,72,half_include,2e-06,0.12473892983736384,0.37652587893833217,24,-66.8710872705263,-67.04330212938837,0.5106770548373638,192969.0625,283.5075,91467.11111259065,-110.97098197675273
gemma2_9b,72,half_include,1e-05,0.22679689554672336,0.2739840878081967,6,-17.22260319530194,-17.34818779985904,0.37252794554672336,14573.105,34.2225,10329.770500547478,-41.078690946983045
gemma2_9b,72,half_exclude,2e-08,0.5781646133335338,0.6094161908336827,938,-5.128117363832543,-5.290791592699993,0.5995700744335337,1070273.055,831.36,563943.2811533543,-89.78381173566252
gemma2_9b,72,half_exclude,1e-07,0.4846405829327388,0.542942656948785,320,-10.738164200192083,-11.013278462620903,0.5789333234327388,942927.405,732.485,362024.42905969557,-160.45960695224716
gemma2_9b,72,half_exclude,2e-07,0.4065649304306442,0.5098505676564831,158,-20.25802142392212,-20.514734629735706,0.5543428184306441,738889.44,622.6975,214294.7493237403,-244.80053399896497
gemma2_9b,72,half_exclude,1e-06,0.26456109535250877,0.423131274858289,40,-37.47540986160548,-37.87641327716821,0.47579052035250874,211229.425,266.9925,51086.92292755074,-313.47063572326795
gemma2_9b,72,half_exclude,2e-06,0.2238329172002925,0.37652587893833217,24,-40.55311209114736,-40.86213634119176,0.4334100922002925,104788.5875,152.585,28167.92002159869,-272.0139343609676
gemma2_9b,72,half_exclude,1e-05,0.25961562908358915,0.2739840878081967,6,-5.244267592162595,-5.388024966075101,0.3523893540835892,9277.3725,15.9275,7839.161175406057,-18.346495146777553
gemma2_9b,72,quarter32_include,2e-08,0.6047130917257906,0.6094161908336827,938,-0.7717384570072348,-0.9418824499357595,0.6254060855757906,1034649.6925,832.0625,995102.8049541556,-3.974150946913113
gemma2_9b,72,quarter32_include,1e-07,0.5548243409766684,0.542942656948785,320,2.188386540607411,1.873431304251284,0.6029417107266685,481173.6975,484.27,609890.5562006886,21.104910937222876
gemma2_9b,72,quarter32_include,2e-07,0.5206331914084752,0.5098505676564831,158,2.1148596149562446,1.7861214341253056,0.5783596879084751,288632.4825,325.705,357662.25585828105,19.300267844206964
gemma2_9b,72,quarter32_include,1e-06,0.42423217146975556,0.423131274858289,40,0.26017850177471835,-0.38284329069365847,0.4877933014697555,63561.13,98.0125,61942.104580046056,-2.6137720552612542
gemma2_9b,72,quarter32_include,2e-06,0.37777732307592693,0.37652587893833217,24,0.3323660358016779,-0.189194221766925,0.43585282307592693,29037.75,49.7825,29337.77772259993,1.022666833994068
gemma2_9b,72,quarter32_include,1e-05,0.27485463235927704,0.2739840878081967,6,0.3177354415157672,0.16553975015800598,0.35308595735927706,7823.1325,11.9475,7916.890283226806,1.1842753893589686
