generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,71,rank_jensen_bound,0.3,0.32311410961025144,7481.3975,4.8375,True,7056.7993914747085,-6.016865224172974
gemma2_9b,71,rank_jensen_bound,0.35,0.3423526309487799,11272.2875,7.28,True,9058.377380859083,-24.440471246197436
gemma2_9b,71,rank_jensen_bound,0.4,0.38957312282475615,26455.6775,16.52,True,18128.406288756127,-45.93493260578973
gemma2_9b,71,rank_jensen_bound,0.45,0.4733196239417488,74872.0875,55.4825,True,64682.08489099508,-15.753979832557242
gemma2_9b,71,rank_jensen_bound,0.5,0.5425842389855837,229057.555,175.01,True,190002.73135444225,-20.55487485214229
gemma2_9b,71,rank_jensen_bound,0.55,0.5917461208617637,600858.3,419.3425,True,460019.44518116256,-30.615848154717252
gemma2_9b,71,rank_jensen_bound,0.6,0.6191486829239927,1017707.3925,640.945,True,853883.8314978112,-19.185696573598676
gemma2_9b,71,rank_empirical_bound,0.3,0.32311410961025144,7481.3975,4.8375,True,7056.7993914747085,-6.016865224172974
gemma2_9b,71,rank_empirical_bound,0.35,0.3423526309487799,11272.2875,7.28,True,9058.377380859083,-24.440471246197436
gemma2_9b,71,rank_empirical_bound,0.4,0.38957312282475615,26455.6775,16.52,True,18128.406288756127,-45.93493260578973
gemma2_9b,71,rank_empirical_bound,0.45,0.4733196239417488,74872.0875,55.4825,True,64682.08489099508,-15.753979832557242
gemma2_9b,71,rank_empirical_bound,0.5,0.5425842389855837,229057.555,175.01,True,190002.73135444225,-20.55487485214229
gemma2_9b,71,rank_empirical_bound,0.55,0.5917461208617637,600858.3,419.3425,True,460019.44518116256,-30.615848154717252
gemma2_9b,71,rank_empirical_bound,0.6,0.6191486829239927,1017707.3925,640.945,True,853883.8314978112,-19.185696573598676
gemma2_9b,71,shape_jensen_bound,0.3,0.32311410961025144,7481.3975,4.8375,True,7056.7993914747085,-6.016865224172974
gemma2_9b,71,shape_jensen_bound,0.35,0.3423526309487799,11272.2875,7.28,True,9058.377380859083,-24.440471246197436
gemma2_9b,71,shape_jensen_bound,0.4,0.38957312282475615,26455.6775,16.52,True,18128.406288756127,-45.93493260578973
gemma2_9b,71,shape_jensen_bound,0.45,0.4733196239417488,74872.0875,55.4825,True,64682.08489099508,-15.753979832557242
gemma2_9b,71,shape_jensen_bound,0.5,0.5425842389855837,229057.555,175.01,True,190002.73135444225,-20.55487485214229
gemma2_9b,71,shape_jensen_bound,0.55,0.5917461208617637,600858.3,419.3425,True,460019.44518116256,-30.615848154717252
gemma2_9b,71,shape_jensen_bound,0.6,0.6191486829239927,1017707.3925,640.945,True,853883.8314978112,-19.185696573598676
gemma2_9b,71,shape_empirical_bound,0.3,0.32311410961025144,7481.3975,4.8375,True,7056.7993914747085,-6.016865224172974
gemma2_9b,71,shape_empirical_bound,0.35,0.3423526309487799,11272.2875,7.28,True,9058.377380859083,-24.440471246197436
gemma2_9b,71,shape_empirical_bound,0.4,0.38957312282475615,26455.6775,16.52,True,18128.406288756127,-45.93493260578973
gemma2_9b,71,shape_empirical_bound,0.45,0.4733196239417488,74872.0875,55.4825,True,64682.08489099508,-15.753979832557242
gemma2_9b,71,shape_empirical_bound,0.5,0.5425842389855837,229057.555,175.01,True,190002.73135444225,-20.55487485214229
gemma2_9b,71,shape_empirical_bound,0.55,0.5917461208617637,600858.3,419.3425,True,460019.44518116256,-30.615848154717252
gemma2_9b,71,shape_empirical_bound,0.6,0.6191486829239927,1017707.3925,640.945,True,853883.8314978112,-19.185696573598676
gemma2_9b,71,rank_jensen_moment,0.3,0.3165235262025302,6481.095,4.225,True,6404.582776575465,-1.1946480527096348
gemma2_9b,71,rank_jensen_moment,0.35,0.32565229499793735,7815.9275,5.0825,True,7307.983024110902,-6.950542635543333
gemma2_9b,71,rank_jensen_moment,0.4,0.3521189939599114,13166.1075,8.46,True,10579.385418298461,-24.45058932466395
