generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,fixed2_a1_sequential,0.3,,5028.71983469853,False,
gemma2_9b,71,fixed2_a1_sequential,0.35,9979.76083312804,10245.896074796543,True,2.597481369376342
gemma2_9b,71,fixed2_a1_sequential,0.4,20040.242137646546,21087.891648758457,True,4.968014482251915
gemma2_9b,71,fixed2_a1_sequential,0.45,45385.757299751225,46511.10682689116,True,2.4195285898664043
gemma2_9b,71,fixed2_a1_sequential,0.5,106752.94968952888,99208.44369545512,True,-7.604701488144983
gemma2_9b,71,fixed2_a1_sequential,0.55,261346.3135477972,214263.90542127052,True,-21.974026859053364
gemma2_9b,71,fixed2_a1_sequential,0.6,732716.4793921197,548920.7474137497,True,-33.48310896323867
gemma2_9b,71,fixed2_a1_doubling,0.3,,5028.71983469853,False,
gemma2_9b,71,fixed2_a1_doubling,0.35,9862.38092189909,10245.896074796543,True,3.743109925161603
gemma2_9b,71,fixed2_a1_doubling,0.4,19531.067339723693,21087.891648758457,True,7.382550778263419
gemma2_9b,71,fixed2_a1_doubling,0.45,42277.796108077826,46511.10682689116,True,9.101720014037118
gemma2_9b,71,fixed2_a1_doubling,0.5,98339.96625115591,99208.44369545512,True,0.8754067818715239
gemma2_9b,71,fixed2_a1_doubling,0.55,241514.589851336,214263.90542127052,True,-12.71828046655228
gemma2_9b,71,fixed2_a1_doubling,0.6,672799.6271758873,548920.7474137497,True,-22.567716805348546
gemma2_9b,71,fixed2_a2_sequential,0.3,,5028.71983469853,False,
gemma2_9b,71,fixed2_a2_sequential,0.35,9907.990830793009,10245.896074796543,True,3.2979569725944513
gemma2_9b,71,fixed2_a2_sequential,0.4,20198.91601642003,21087.891648758457,True,4.215573785873305
gemma2_9b,71,fixed2_a2_sequential,0.45,45691.1050300703,46511.10682689116,True,1.7630236147095246
gemma2_9b,71,fixed2_a2_sequential,0.5,104676.12431729007,99208.44369545512,True,-5.511305709642378
gemma2_9b,71,fixed2_a2_sequential,0.55,259199.94235310968,214263.90542127052,True,-20.972285016222926
