variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,llama3.1_8b,13,100000.0,0.5926719597048259,10515.465,10515.465
reference_train_scale,llama3.1_8b,13,500000.0,0.5342913202751727,35794.68,35794.68
reference_train_scale,llama3.1_8b,13,1000000.0,0.5527215493218947,64987.725,64987.725
reference_train_scale,llama3.1_8b,13,5000000.0,0.6199154344527514,267151.345,267151.3449999999
reference_train_scale,llama3.1_8b,13,10000000.0,0.6375,453232.24,453232.24
reference_train_scale,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open3,llama3.1_8b,13,100000.0,0.5645301323505268,7029.01,7029.01
local_exp_open3,llama3.1_8b,13,500000.0,0.5144776675271264,20671.265,20671.264999999996
local_exp_open3,llama3.1_8b,13,1000000.0,0.5018070723770469,48463.85,48463.85
local_exp_open3,llama3.1_8b,13,5000000.0,0.585,254400.065,254400.065
local_exp_open3,llama3.1_8b,13,10000000.0,0.6325,433098.53,433098.53
local_exp_open3,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open4,llama3.1_8b,13,100000.0,0.5776503554818783,9018.73,9018.73
local_exp_open4,llama3.1_8b,13,500000.0,0.5426435999130585,22173.26,22173.26
local_exp_open4,llama3.1_8b,13,1000000.0,0.5064436151335634,49684.135,49684.135
local_exp_open4,llama3.1_8b,13,5000000.0,0.585,254400.065,254400.065
local_exp_open4,llama3.1_8b,13,10000000.0,0.6325,433098.53,433098.53
local_exp_open4,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open5,llama3.1_8b,13,100000.0,0.5903290095011936,11028.33,11028.33
local_exp_open5,llama3.1_8b,13,500000.0,0.5480630834343055,23359.655,23359.655
local_exp_open5,llama3.1_8b,13,1000000.0,0.510944509931117,50079.605,50079.605
local_exp_open5,llama3.1_8b,13,5000000.0,0.585,254400.065,254400.065
local_exp_open5,llama3.1_8b,13,10000000.0,0.6325,433098.53,433098.53
local_exp_open5,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open6,llama3.1_8b,13,100000.0,0.5937712565390405,12995.12,12995.12
local_exp_open6,llama3.1_8b,13,500000.0,0.5360820570444218,24628.205,24628.205
local_exp_open6,llama3.1_8b,13,1000000.0,0.5192892927997436,51111.715,51111.71499999999
local_exp_open6,llama3.1_8b,13,5000000.0,0.585,254400.065,254400.065
local_exp_open6,llama3.1_8b,13,10000000.0,0.6325,433098.53,433098.53
local_exp_open6,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open8,llama3.1_8b,13,100000.0,0.5676930876945363,16953.245,16953.245
local_exp_open8,llama3.1_8b,13,500000.0,0.5401028405283814,28233.8,28233.8
local_exp_open8,llama3.1_8b,13,1000000.0,0.5175,54096.265,54096.265
local_exp_open8,llama3.1_8b,13,5000000.0,0.585,254400.065,254400.065
local_exp_open8,llama3.1_8b,13,10000000.0,0.6325,433098.53,433098.53
local_exp_open8,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open5_bonus_only,llama3.1_8b,13,100000.0,0.5551701873715678,10515.595,10515.595
local_exp_open5_bonus_only,llama3.1_8b,13,500000.0,0.5368498433805049,17038.38,17038.38
local_exp_open5_bonus_only,llama3.1_8b,13,1000000.0,0.5001356290256971,32306.375,32306.375
local_exp_open5_bonus_only,llama3.1_8b,13,5000000.0,0.5875,203072.875,203072.875
local_exp_open5_bonus_only,llama3.1_8b,13,10000000.0,0.6325,393580.705,393580.705
local_exp_open5_bonus_only,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open5_bonus_only_004,llama3.1_8b,13,100000.0,0.5713214975348455,10797.895,10797.895
local_exp_open5_bonus_only_004,llama3.1_8b,13,500000.0,0.4705005247057193,25250.73,25250.73
local_exp_open5_bonus_only_004,llama3.1_8b,13,1000000.0,0.4915300823641698,53647.175,53647.175
local_exp_open5_bonus_only_004,llama3.1_8b,13,5000000.0,0.6186020244842494,359514.445,359514.445
local_exp_open5_bonus_only_004,llama3.1_8b,13,10000000.0,0.635,761974.62,761974.62
local_exp_open5_bonus_only_004,llama3.1_8b,13,50000000.0,0.5,1956133.6,1956133.6
local_exp_open5_conf02,llama3.1_8b,13,100000.0,0.5621808746650538,10734.86,10734.86
local_exp_open5_conf02,llama3.1_8b,13,500000.0,0.5190923086496578,20168.245,20168.245
local_exp_open5_conf02,llama3.1_8b,13,1000000.0,0.5299371459911761,39346.345,39346.345
local_exp_open5_conf02,llama3.1_8b,13,5000000.0,0.5925,228766.06,228766.06000000003
local_exp_open5_conf02,llama3.1_8b,13,10000000.0,0.6374981509009825,415994.565,415994.565
local_exp_open5_conf02,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
local_exp_open5_conf06,llama3.1_8b,13,100000.0,0.5914452758023216,11376.505,11376.505
local_exp_open5_conf06,llama3.1_8b,13,500000.0,0.5407599968890591,27633.81,27633.81
local_exp_open5_conf06,llama3.1_8b,13,1000000.0,0.5247882458107108,61135.21,61135.21
local_exp_open5_conf06,llama3.1_8b,13,5000000.0,0.62,275030.98,275030.98
local_exp_open5_conf06,llama3.1_8b,13,10000000.0,0.64,456842.5,456842.5
local_exp_open5_conf06,llama3.1_8b,13,50000000.0,0.515,1810019.925,1810019.925
reference_train_scale,llama3.1_8b,14,100000.0,0.5613723452454391,9493.195,9493.195
reference_train_scale,llama3.1_8b,14,500000.0,0.5652298357259139,26863.27,26863.27
reference_train_scale,llama3.1_8b,14,1000000.0,0.5857080718902302,45751.12,45751.12
reference_train_scale,llama3.1_8b,14,5000000.0,0.645,202971.0,202971.0
reference_train_scale,llama3.1_8b,14,10000000.0,0.6125,393824.235,393824.235
reference_train_scale,llama3.1_8b,14,50000000.0,0.5075,1806953.275,1806953.275
local_exp_open3,llama3.1_8b,14,100000.0,0.5255998283100614,6923.19,6923.19
local_exp_open3,llama3.1_8b,14,500000.0,0.4851308851558362,22736.42,22736.419999999995
local_exp_open3,llama3.1_8b,14,1000000.0,0.5873803742360431,41036.465,41036.465
local_exp_open3,llama3.1_8b,14,5000000.0,0.63,200882.53,200882.53
local_exp_open3,llama3.1_8b,14,10000000.0,0.6089898462365477,388827.875,388827.875
local_exp_open3,llama3.1_8b,14,50000000.0,0.5075,1806953.275,1806953.275
local_exp_open4,llama3.1_8b,14,100000.0,0.5433595235840243,8747.315,8747.315
local_exp_open4,llama3.1_8b,14,500000.0,0.50550481803321,24097.935,24097.935
local_exp_open4,llama3.1_8b,14,1000000.0,0.6045833222487071,42044.99,42044.99
local_exp_open4,llama3.1_8b,14,5000000.0,0.63,200882.53,200882.53
local_exp_open4,llama3.1_8b,14,10000000.0,0.6089898462365477,388827.875,388827.875
local_exp_open4,llama3.1_8b,14,50000000.0,0.5075,1806953.275,1806953.275
local_exp_open5,llama3.1_8b,14,100000.0,0.5477510483150079,10573.225,10573.225
local_exp_open5,llama3.1_8b,14,500000.0,0.5154872666875522,24998.485,24998.485000000004
local_exp_open5,llama3.1_8b,14,1000000.0,0.6043018481175645,42256.6,42256.6
local_exp_open5,llama3.1_8b,14,5000000.0,0.63,200882.53,200882.53
local_exp_open5,llama3.1_8b,14,10000000.0,0.6089898462365477,388827.875,388827.875
local_exp_open5,llama3.1_8b,14,50000000.0,0.5075,1806953.275,1806953.275
local_exp_open6,llama3.1_8b,14,100000.0,0.5445565821261029,12410.605,12410.605
local_exp_open6,llama3.1_8b,14,500000.0,0.5203891519905284,26754.895,26754.895
local_exp_open6,llama3.1_8b,14,1000000.0,0.6126575435758826,43492.775,43492.775
local_exp_open6,llama3.1_8b,14,5000000.0,0.63,200882.53,200882.53
local_exp_open6,llama3.1_8b,14,10000000.0,0.6089898462365477,388827.875,388827.875
local_exp_open6,llama3.1_8b,14,50000000.0,0.5075,1806953.275,1806953.275
local_exp_open8,llama3.1_8b,14,100000.0,0.5311746201516248,16074.015,16074.015
