variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,llama3.1_8b,13,0.3,50000.0,True,True,0.30534376781188677,0.31231589470249205,0.5343767811886779,1.2315894702492058,7547.365,12252.14,38.39961835238579
reference_train_scale,llama3.1_8b,13,0.35,500000.0,True,True,0.417037226410097,0.35301524482337443,6.703722641009701,0.3015244823374452,35794.68,24439.45,-46.462706812141846
reference_train_scale,llama3.1_8b,13,0.4,1000000.0,True,True,0.46709347524870654,0.376119090700804,6.709347524870651,-2.388090929919601,64987.725,34629.58,-87.66535718885413
reference_train_scale,llama3.1_8b,13,0.45,1000000.0,True,True,0.46709347524870654,0.4212493036650262,1.7093475248706524,-2.875069633497379,64987.725,61028.86,-6.48687358734867
reference_train_scale,llama3.1_8b,13,0.5,2000000.0,True,True,0.5192096990815499,0.47483143901927954,1.9209699081549902,-2.5168560980720454,122121.195,112298.295,-8.747149722976657
reference_train_scale,llama3.1_8b,13,0.55,5000000.0,True,True,0.581928443860467,0.5378895943806394,3.1928443860467004,-1.211040561936061,267151.345,229057.64,-16.63061969904167
reference_train_scale,llama3.1_8b,13,0.6,10000000.0,True,True,0.6169358321103384,0.5785820579984087,1.6935832110338445,-2.1417942001591306,453232.24,392629.365,-15.435135627209137
local_exp_open3,llama3.1_8b,13,0.3,200000.0,True,True,0.31793360076861227,0.31231589470249205,1.793360076861228,1.2315894702492058,8921.51,12252.14,27.184067436382538
local_exp_open3,llama3.1_8b,13,0.35,500000.0,True,True,0.3845000248651531,0.35301524482337443,3.4500024865153134,0.3015244823374452,20671.265,24439.45,15.418452542917295
local_exp_open3,llama3.1_8b,13,0.4,1000000.0,True,True,0.4462320257732588,0.376119090700804,4.6232025773258805,-2.388090929919601,48463.85,34629.58,-39.94928613052771
local_exp_open3,llama3.1_8b,13,0.45,2000000.0,True,True,0.5106770934568414,0.4212493036650262,6.0677093456841416,-2.875069633497379,102652.18,61028.86,-68.20268312401704
local_exp_open3,llama3.1_8b,13,0.5,2000000.0,True,True,0.5106770934568414,0.47483143901927954,1.0677093456841424,-2.5168560980720454,102652.18,112298.295,8.589725249167858
local_exp_open3,llama3.1_8b,13,0.55,5000000.0,True,True,0.5784480707362541,0.5378895943806394,2.8448070736254105,-1.211040561936061,254400.065,229057.64,-11.063776349044716
