variant,description,uses_training_scale,model,confidence_scale,ei_bonus_scale,min_open,mean_relative_utility_gain_pct,mean_utility_delta_vs_reference,positive_utility_cells,utility_cells,mean_h2h_score,minimum_h2h_cell_mean,h2h_cells_above_half,mean_target_abs_error_pp,mean_target_character_saving_pct,positive_target_saving_cells,target_cells
local_exp_open3,remove the training tail-scale prior and otherwise change nothing,False,exp_tail_exponentiated,0.4,0.002,3,3.93146568374059,-0.004090301186653454,28,30,0.5693345219058498,0.505,30,3.5220985238759157,-13.166379681200912,11,35
local_exp_open4,training-free local tail with four initial responses,False,exp_tail_exponentiated,0.4,0.002,4,4.6221547761634145,-0.0018352566880208158,28,30,0.5739954262741682,0.505,30,3.565852347144348,-10.259841239758188,15,35
local_exp_open5,training-free local tail with five initial responses,False,exp_tail_exponentiated,0.4,0.002,5,4.484936613426523,-0.0018571079857721954,28,30,0.5752223211281641,0.505,30,3.3192800192771665,-9.186778304844514,15,35
local_exp_open5_bonus_only,local tail with only the additive anytime optimism bonus,False,exp_tail_exponentiated,0.0,0.002,5,1.8803857770158467,-0.010952916892717856,24,30,0.5633286333417534,0.505,30,3.039320183953071,-10.99485477645102,16,35
local_exp_open5_bonus_only_004,local tail with a larger additive anytime optimism bonus,False,exp_tail_exponentiated,0.0,0.004,5,3.9146301329526136,-0.004544604022780707,29,30,0.5562966420487389,0.5,26,3.8393511788624557,-24.872589713296684,11,35
local_exp_open5_conf02,local tail with weaker scale confidence inflation,False,exp_tail_exponentiated,0.2,0.002,5,3.2867087715344128,-0.005970526769813282,28,30,0.569724864928727,0.505,30,3.1546460992606593,-9.816367826703422,14,35
local_exp_open5_conf06,local tail with stronger scale confidence inflation,False,exp_tail_exponentiated,0.6,0.002,5,5.131640098506517,0.00037895118610502645,29,30,0.5779698441537945,0.505,30,2.807712160640694,-4.310375367553898,17,35
local_exp_open6,training-free local tail with six initial responses,False,exp_tail_exponentiated,0.4,0.002,6,4.144030357457928,-0.002267778313414488,29,30,0.5763780980019881,0.505,30,3.1308800941430084,-8.670119312171474,13,35
local_exp_open8,training-free local tail with eight initial responses,False,exp_tail_exponentiated,0.4,0.002,8,2.814617780674086,-0.004597788687757536,25,30,0.5757115010236401,0.505,30,3.078140039416053,-11.980736120496818,16,35
reference_train_scale,retained exponentiated-tail UCB with five training pseudo-observations,True,exp_tail_exponentiated,0.4,0.002,3,5.332990944426355,0.0,29,30,0.5838212796556407,0.505,30,2.4123252039841288,1.189799544301085,22,35
