variant,generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high
local_exp_open3,gemma2_9b,100000.0,3,0.5639502138813423,0.5167710352486617,0.6111293925140228,4908.049999999999,4538.899916892709,5277.200083107289,4908.049999999999,4538.8999168927085,5277.20008310729
local_exp_open3,gemma2_9b,500000.0,3,0.5843185429646276,0.3785222344030077,0.7901148515262475,25950.323333333334,14240.476594512382,37660.17007215429,25950.323333333334,14240.476594512382,37660.17007215429
local_exp_open3,gemma2_9b,1000000.0,3,0.5635557872568882,0.498769676766294,0.6283418977474823,50238.986666666664,31440.20319917887,69037.77013415446,50238.986666666664,31440.20319917888,69037.77013415445
local_exp_open3,gemma2_9b,5000000.0,3,0.6223493060509573,0.5734782354334065,0.6712203766685081,227900.75333333333,177960.97582078143,277840.5308458852,227900.75333333333,177960.97582078143,277840.5308458852
local_exp_open3,gemma2_9b,10000000.0,3,0.6433333333333334,0.5873253465198923,0.6993413201467745,411554.0533333333,382596.96998997976,440511.1366766868,411554.0533333333,382596.96998997964,440511.13667668693
local_exp_open3,gemma2_9b,50000000.0,3,0.5133333333333333,0.4846489818016702,0.5420176848649965,1175488.2233333334,1017929.5399915609,1333046.906675106,1175488.2233333334,1017929.5399915609,1333046.906675106
local_exp_open3,llama3.1_8b,100000.0,3,0.5911095705589529,0.5684592397170791,0.6137599014008266,6726.69,6163.010474678505,7290.369525321495,6726.689999999999,6163.010474678502,7290.3695253214955
local_exp_open3,llama3.1_8b,500000.0,3,0.5502176784983043,0.458925734192834,0.6415096228037745,22145.149999999998,18537.624886209753,25752.675113790243,22145.149999999998,18537.624886209764,25752.675113790232
local_exp_open3,llama3.1_8b,1000000.0,3,0.5774041836827805,0.5090891526415918,0.6457192147239691,47057.256666666675,36690.50665053408,57424.00668279927,47057.25666666666,36690.50665053407,57424.00668279925
local_exp_open3,llama3.1_8b,5000000.0,3,0.6063197413127233,0.39593789995641,0.8167015826690365,205576.29,201149.82388026803,210002.756119732,205576.29,201149.82388026803,210002.756119732
local_exp_open3,llama3.1_8b,10000000.0,3,0.6533333333333333,0.5617790121234979,0.7448876545431687,389217.18333333335,356986.1130291994,421448.2536374673,389217.1833333334,356986.1130291995,421448.25363746734
local_exp_open3,llama3.1_8b,50000000.0,3,0.5172177063873553,0.4896650174365536,0.544770395338157,1709808.75,1581576.5942500061,1838040.9057499939,1709808.75,1581576.5942500061,1838040.9057499939
local_exp_open3,llama3.2_3b,100000.0,3,0.5630686820789244,0.5383427963159582,0.5877945678418905,6330.083333333333,5574.891622744261,7085.275043922405,6330.083333333335,5574.8916227442605,7085.275043922409
local_exp_open3,llama3.2_3b,500000.0,3,0.5145218303650652,0.4756223981027499,0.5534212626273805,23671.423333333336,16285.110200662622,31057.736466004048,23671.423333333336,16285.110200662613,31057.73646600406
local_exp_open3,llama3.2_3b,1000000.0,3,0.5433667650408729,0.46736630940869106,0.6193672206730547,45839.463333333326,37317.751725383474,54361.17494128318,45839.463333333326,37317.751725383496,54361.174941283156
local_exp_open3,llama3.2_3b,5000000.0,3,0.6316666666666667,0.5567983111666915,0.7065350221666419,202038.04666666666,170522.86668337896,233553.22664995436,202038.04666666666,170522.866683379,233553.22664995433
local_exp_open3,llama3.2_3b,10000000.0,3,0.59,0.5144479010343216,0.6655520989656784,394525.88000000006,311716.21099789836,477335.54900210176,394525.88000000006,311716.21099789836,477335.54900210176
local_exp_open3,llama3.2_3b,50000000.0,3,0.52,0.5075793114412483,0.5324206885587517,1594646.8,1372112.5540563336,1817181.0459436665,1594646.8,1372112.5540563331,1817181.045943667
local_exp_open3,mistral_7b,100000.0,3,0.49708712736202987,0.36429966035252614,0.6298745943715336,6080.443333333334,5069.940548478754,7090.946118187913,6080.443333333334,5069.940548478754,7090.946118187913
