variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,llama3.1_8b,10,100000.0,0.5902954344986211,9434.87,9434.87
reference_train_scale,llama3.1_8b,10,500000.0,0.5823410805155537,30696.27,30696.27
reference_train_scale,llama3.1_8b,10,1000000.0,0.6015098394383745,53976.72,53976.72000000001
reference_train_scale,llama3.1_8b,10,5000000.0,0.595,216217.53,216217.53000000003
reference_train_scale,llama3.1_8b,10,10000000.0,0.695,392004.2,392004.20000000007
reference_train_scale,llama3.1_8b,10,50000000.0,0.505,1733407.43,1733407.4299999997
local_exp_open3,llama3.1_8b,10,100000.0,0.6012821211752314,6671.9,6671.899999999998
local_exp_open3,llama3.1_8b,10,500000.0,0.543116522516197,23806.98,23806.979999999992
local_exp_open3,llama3.1_8b,10,1000000.0,0.605,49762.9,49762.9
local_exp_open3,llama3.1_8b,10,5000000.0,0.6083045104989876,207359.87,207359.87
local_exp_open3,llama3.1_8b,10,10000000.0,0.695,389830.09,389830.0900000001
local_exp_open3,llama3.1_8b,10,50000000.0,0.505,1733407.43,1733407.4299999997
local_exp_open5,llama3.1_8b,10,100000.0,0.5756359051114346,10701.69,10701.690000000002
local_exp_open5,llama3.1_8b,10,500000.0,0.56,27108.35,27108.350000000006
local_exp_open5,llama3.1_8b,10,1000000.0,0.600579925378594,51499.28,51499.27999999999
local_exp_open5,llama3.1_8b,10,5000000.0,0.6083045104989876,207359.87,207359.87
local_exp_open5,llama3.1_8b,10,10000000.0,0.695,389830.09,389830.0900000001
local_exp_open5,llama3.1_8b,10,50000000.0,0.505,1733407.43,1733407.4299999997
local_exp_open8,llama3.1_8b,10,100000.0,0.5871393443833471,16027.04,16027.04
local_exp_open8,llama3.1_8b,10,500000.0,0.5742033895519854,31290.52,31290.52
local_exp_open8,llama3.1_8b,10,1000000.0,0.6053983222376668,52561.69,52561.68999999999
local_exp_open8,llama3.1_8b,10,5000000.0,0.6083045104989876,207359.87,207359.87
local_exp_open8,llama3.1_8b,10,10000000.0,0.695,389830.09,389830.0900000001
local_exp_open8,llama3.1_8b,10,50000000.0,0.505,1733407.43,1733407.4299999997
local_exp_open5_no_bonus,llama3.1_8b,10,100000.0,0.571453775654563,10323.35,10323.349999999999
local_exp_open5_no_bonus,llama3.1_8b,10,500000.0,0.5873254435903683,18537.18,18537.18
local_exp_open5_no_bonus,llama3.1_8b,10,1000000.0,0.5381765482609261,35203.12,35203.12
local_exp_open5_no_bonus,llama3.1_8b,10,5000000.0,0.555,100123.32,100123.31999999998
local_exp_open5_no_bonus,llama3.1_8b,10,10000000.0,0.58,145531.74,145531.73999999996
local_exp_open5_no_bonus,llama3.1_8b,10,50000000.0,0.5554994924559289,207084.53,207084.53
local_exp_open5_plugin,llama3.1_8b,10,100000.0,0.5472754905377976,9944.76,9944.76
local_exp_open5_plugin,llama3.1_8b,10,500000.0,0.5331790973746133,13917.57,13917.57
local_exp_open5_plugin,llama3.1_8b,10,1000000.0,0.5484139844494164,17437.76,17437.759999999995
local_exp_open5_plugin,llama3.1_8b,10,5000000.0,0.545,58922.31,58922.31000000001
local_exp_open5_plugin,llama3.1_8b,10,10000000.0,0.495,92670.54,92670.54
local_exp_open5_plugin,llama3.1_8b,10,50000000.0,0.5363195206520451,132471.71,132471.71
local_raw_tail_open5,llama3.1_8b,10,100000.0,0.5119323548463893,22163.88,22163.88
local_raw_tail_open5,llama3.1_8b,10,500000.0,0.485,395540.57,395540.57000000007
local_raw_tail_open5,llama3.1_8b,10,1000000.0,0.54,744790.1,744790.1000000001
local_raw_tail_open5,llama3.1_8b,10,5000000.0,0.525,1675242.4,1675242.4000000006
local_raw_tail_open5,llama3.1_8b,10,10000000.0,0.525,1683405.06,1683405.06
local_raw_tail_open5,llama3.1_8b,10,50000000.0,0.5,1767926.22,1767926.22
local_gaussian_open5,llama3.1_8b,10,100000.0,0.435,81403.22,81403.22000000002
local_gaussian_open5,llama3.1_8b,10,500000.0,0.46,380566.24,380566.24
local_gaussian_open5,llama3.1_8b,10,1000000.0,0.525,500918.72,500918.7199999999
local_gaussian_open5,llama3.1_8b,10,5000000.0,0.555,1228774.95,1228774.95
local_gaussian_open5,llama3.1_8b,10,10000000.0,0.5644993936163852,1426833.94,1426833.9399999997
local_gaussian_open5,llama3.1_8b,10,50000000.0,0.505,1768283.17,1768283.17
reference_train_scale,llama3.1_8b,11,100000.0,0.6265805418434565,10311.46,10311.46
reference_train_scale,llama3.1_8b,11,500000.0,0.6161657876308148,27054.47,27054.47
reference_train_scale,llama3.1_8b,11,1000000.0,0.584042820353329,54175.67,54175.66999999999
reference_train_scale,llama3.1_8b,11,5000000.0,0.52,214116.81,214116.81000000003
reference_train_scale,llama3.1_8b,11,10000000.0,0.6244142424276059,377227.66,377227.6600000001
reference_train_scale,llama3.1_8b,11,50000000.0,0.52,1650606.97,1650606.97
local_exp_open3,llama3.1_8b,11,100000.0,0.5836723243407674,6532.19,6532.189999999999
local_exp_open3,llama3.1_8b,11,500000.0,0.59,21508.39,21508.389999999996
local_exp_open3,llama3.1_8b,11,1000000.0,0.5772125510483416,49157.7,49157.69999999999
local_exp_open3,llama3.1_8b,11,5000000.0,0.5206547134391821,205572.91,205572.91000000003
local_exp_open3,llama3.1_8b,11,10000000.0,0.625,375946.84,375946.84
local_exp_open3,llama3.1_8b,11,50000000.0,0.52,1650606.97,1650606.97
