variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,llama3.1_8b,10,100000.0,5,0.2493766163917023,0.21869921059615932,0.030677405795542984,14.02721377544914,0.0,0.34372531639170234,9434.87,13.12
reference_train_scale,llama3.1_8b,10,500000.0,17,0.36063020601318496,0.3363498811130504,0.024280324900134542,7.218770174612814,0.0,0.422022746013185,30696.27,65.97
reference_train_scale,llama3.1_8b,10,1000000.0,44,0.40710594154448165,0.3919688054712583,0.015137136073223367,3.861821619969021,0.0,0.4610826615444815,53976.72,104.55
reference_train_scale,llama3.1_8b,10,5000000.0,116,0.5147337345733858,0.4943345281502946,0.020399206423091176,4.1265995518098055,0.0,0.5579772405733858,216217.53,296.77
reference_train_scale,llama3.1_8b,10,10000000.0,308,0.562985898230952,0.5525258382836608,0.010460059947291267,1.8931349852857353,0.0,0.6021863182309519,392004.2,424.66
reference_train_scale,llama3.1_8b,10,50000000.0,789,0.6320754622222835,0.634264591883868,-0.0021891296615844658,-0.3451445484419047,0.0,0.6667436108222836,1733407.43,946.14
local_exp_open3,llama3.1_8b,10,100000.0,5,0.24448803566263524,0.21869921059615932,0.025788825066475923,11.791915021630542,-0.004888580729067052,0.31120703566263525,6671.9,6.37
local_exp_open3,llama3.1_8b,10,500000.0,17,0.3528709726454787,0.3363498811130504,0.016521091532428256,4.911876727221247,-0.0077592333677063505,0.40048493264547863,23806.98,63.52
local_exp_open3,llama3.1_8b,10,1000000.0,44,0.4074057962334996,0.3919688054712583,0.01543699076224131,3.93832125076424,0.0002998546890179854,0.4571686962334995,49762.9,104.17
local_exp_open3,llama3.1_8b,10,5000000.0,116,0.5182644573126525,0.4943345281502946,0.023929929162357866,4.840837084939037,0.0035307227392666536,0.5597364313126524,207359.87,293.95
local_exp_open3,llama3.1_8b,10,10000000.0,308,0.563203309230952,0.5525258382836608,0.010677470947291212,1.9324835523455675,0.00021741099999999903,0.6021863182309519,389830.09,424.64
local_exp_open3,llama3.1_8b,10,50000000.0,789,0.6320754622222835,0.634264591883868,-0.0021891296615844658,-0.3451445484419047,0.0,0.6667436108222836,1733407.43,946.14
local_exp_open5,llama3.1_8b,10,100000.0,5,0.24038689505213598,0.21869921059615932,0.021687684455976658,9.916672491344386,-0.008989721339566315,0.347403795052136,10701.69,8.31
local_exp_open5,llama3.1_8b,10,500000.0,17,0.36295090387503853,0.3363498811130504,0.026601022761988113,7.908735592223164,0.002320697861853431,0.4171676038750385,27108.35,64.85
local_exp_open5,llama3.1_8b,10,1000000.0,44,0.41160473531865777,0.3919688054712583,0.01963592984739948,5.009564427911934,0.004498793774176214,0.4631040153186578,51499.28,104.92
local_exp_open5,llama3.1_8b,10,5000000.0,116,0.5182644573126525,0.4943345281502946,0.023929929162357866,4.840837084939037,0.0035307227392666536,0.5597364313126524,207359.87,293.95
local_exp_open5,llama3.1_8b,10,10000000.0,308,0.563203309230952,0.5525258382836608,0.010677470947291212,1.9324835523455675,0.00021741099999999903,0.6021863182309519,389830.09,424.64
local_exp_open5,llama3.1_8b,10,50000000.0,789,0.6320754622222835,0.634264591883868,-0.0021891296615844658,-0.3451445484419047,0.0,0.6667436108222836,1733407.43,946.14
local_exp_open8,llama3.1_8b,10,100000.0,5,0.21116182579545836,0.21869921059615932,-0.007537384800700958,-3.446461823138069,-0.03821479059624394,0.37143222579545837,16027.04,10.53
local_exp_open8,llama3.1_8b,10,500000.0,17,0.36876990787753333,0.3363498811130504,0.03242002676448291,9.638780503563263,0.008139701864348363,0.43135094787753336,31290.52,66.23
local_exp_open8,llama3.1_8b,10,1000000.0,44,0.4158421272124475,0.3919688054712583,0.023873321741189224,6.090617775689237,0.008736185667965945,0.46840381721244756,52561.69,105.19
local_exp_open8,llama3.1_8b,10,5000000.0,116,0.5182644573126525,0.4943345281502946,0.023929929162357866,4.840837084939037,0.0035307227392666536,0.5597364313126524,207359.87,293.95
local_exp_open8,llama3.1_8b,10,10000000.0,308,0.563203309230952,0.5525258382836608,0.010677470947291212,1.9324835523455675,0.00021741099999999903,0.6021863182309519,389830.09,424.64
local_exp_open8,llama3.1_8b,10,50000000.0,789,0.6320754622222835,0.634264591883868,-0.0021891296615844658,-0.3451445484419047,0.0,0.6667436108222836,1733407.43,946.14
local_exp_open5_no_bonus,llama3.1_8b,10,100000.0,5,0.237548076538355,0.21869921059615932,0.018848865942195675,8.618625504323923,-0.011828539853347314,0.34078157653835495,10323.35,6.7
local_exp_open5_no_bonus,llama3.1_8b,10,500000.0,17,0.3541635741449932,0.3363498811130504,0.0178136930319428,5.296179375177316,-0.006466631868191814,0.39123793414499325,18537.18,20.89
local_exp_open5_no_bonus,llama3.1_8b,10,1000000.0,44,0.384230204870823,0.3919688054712583,-0.007738600600435297,-1.9742899160384184,-0.022875736673658595,0.41943332487082297,35203.12,43.02
local_exp_open5_no_bonus,llama3.1_8b,10,5000000.0,116,0.46895171855010576,0.4943345281502946,-0.02538280960018885,-5.1347434085105235,-0.04578201602328018,0.48897638255010556,100123.32,78.37
local_exp_open5_no_bonus,llama3.1_8b,10,10000000.0,308,0.4932058347835444,0.5525258382836608,-0.05932000350011635,-10.736150129084479,-0.06978006344740753,0.5077590087835443,145531.74,95.38
local_exp_open5_no_bonus,llama3.1_8b,10,50000000.0,789,0.516076893904631,0.634264591883868,-0.118187697979237,-18.633816153634008,-0.11599856831765269,0.5202185845046309,207084.53,116.31
local_exp_open5_plugin,llama3.1_8b,10,100000.0,5,0.22673087345060622,0.21869921059615932,0.008031662854446897,3.6724699794540294,-0.02264574294109611,0.32617847345060624,9944.76,5.68
local_exp_open5_plugin,llama3.1_8b,10,500000.0,17,0.3281794489680798,0.3363498811130504,-0.008170432144970596,-2.4291467319485793,-0.032450757045105215,0.35601458896807986,13917.57,15.52
local_exp_open5_plugin,llama3.1_8b,10,1000000.0,44,0.362043650394089,0.3919688054712583,-0.029925155077169308,-7.6345756752736325,-0.045062291150392626,0.37948141039408895,17437.76,19.98
local_exp_open5_plugin,llama3.1_8b,10,5000000.0,116,0.4381045669801079,0.4943345281502946,-0.05622996117018669,-11.374880363018232,-0.07662916759327798,0.4498890289801078,58922.31,54.85
local_exp_open5_plugin,llama3.1_8b,10,10000000.0,308,0.4641596112439501,0.5525258382836608,-0.08836622703971064,-15.993139309865974,-0.0988262869870019,0.47342666524395,92670.54,68.83
local_exp_open5_plugin,llama3.1_8b,10,50000000.0,789,0.48769373547544786,0.634264591883868,-0.1465708564084201,-23.108787449900216,-0.1443817267468357,0.49034316967544783,132471.71,86.35
local_raw_tail_open5,llama3.1_8b,10,100000.0,5,0.1626196545766998,0.21869921059615932,-0.05607955601945952,-25.642322103765455,-0.08675696181500246,0.3842584545766999,22163.88,40.93
local_raw_tail_open5,llama3.1_8b,10,500000.0,17,-0.2515363586311482,0.3363498811130504,-0.5878862397441986,-174.78413781469553,-0.6121665646443332,0.5395447813688518,395540.57,367.82
local_raw_tail_open5,llama3.1_8b,10,1000000.0,44,-0.13847995544485395,0.3919688054712583,-0.5304487609161123,-135.32933067935383,-0.5455858969893355,0.606310144555146,744790.1,542.18
local_raw_tail_open5,llama3.1_8b,10,5000000.0,116,0.33311891310541625,0.4943345281502946,-0.16121561504487836,-32.61265516857914,-0.18161482146796973,0.6681673931054161,1675242.4,922.46
local_raw_tail_open5,llama3.1_8b,10,10000000.0,308,0.4998268871054161,0.5525258382836608,-0.052698951178244635,-9.53782565932954,-0.06315901112553587,0.6681673931054161,1683405.06,924.96
local_raw_tail_open5,llama3.1_8b,10,50000000.0,789,0.635696074646492,0.634264591883868,0.001431482762624059,0.22569173511204915,0.0036206124242085126,0.6710545990464921,1767926.22,952.94
local_gaussian_open5,llama3.1_8b,10,100000.0,5,-0.38890973843948023,0.21869921059615932,-0.6076089490356396,-277.8285972680644,-0.6382863548311825,0.42512246156051964,81403.22,78.99
local_gaussian_open5,llama3.1_8b,10,500000.0,17,-0.22343678434842534,0.3363498811130504,-0.5597866654614758,-166.429868685854,-0.5840669903616102,0.5376956956515746,380566.24,310.11
local_gaussian_open5,llama3.1_8b,10,1000000.0,44,0.07535820898358633,0.3919688054712583,-0.316610596487672,-80.77443716650251,-0.33174773256089524,0.5762769289835863,500918.72,386.45
local_gaussian_open5,llama3.1_8b,10,5000000.0,116,0.4081135766324007,0.4943345281502946,-0.08622095151789388,-17.441822613628915,-0.10662015794098513,0.6538685666324007,1228774.95,771.63
local_gaussian_open5,llama3.1_8b,10,10000000.0,308,0.5222042412503074,0.5525258382836608,-0.030321597033353354,-5.487815217391983,-0.04078165698064466,0.6648876352503074,1426833.94,849.24
local_gaussian_open5,llama3.1_8b,10,50000000.0,789,0.637915483056058,0.634264591883868,0.003650891172190085,0.5756101190114287,0.0058400208337745785,0.6732811464560581,1768283.17,952.98
reference_train_scale,llama3.1_8b,11,100000.0,3,0.2295242975472611,0.1940779407372719,0.03544635680998923,18.263980272736838,0.0,0.332638897547261,10311.46,17.59
reference_train_scale,llama3.1_8b,11,500000.0,16,0.36143194490399466,0.326236547353268,0.03519539755072665,10.78830616504012,0.0,0.41554088490399477,27054.47,52.08
reference_train_scale,llama3.1_8b,11,1000000.0,49,0.4227496105390547,0.3966851379266274,0.02606447261242728,6.570569482048072,0.0,0.47692528053905464,54175.67,109.03
reference_train_scale,llama3.1_8b,11,5000000.0,112,0.5418866658497968,0.5217695647719868,0.020117101077810062,3.8555528026248966,0.0,0.5847100278497969,214116.81,329.63
reference_train_scale,llama3.1_8b,11,10000000.0,327,0.5901728947944039,0.5670575222134625,0.02311537258094143,4.076371739274786,0.0,0.6278956607944038,377227.66,443.48
reference_train_scale,llama3.1_8b,11,50000000.0,948,0.6367950703276332,0.6371238486544475,-0.0003287783268143274,-0.0516035190816793,0.0,0.669807209727633,1650606.97,948.69
local_exp_open3,llama3.1_8b,11,100000.0,3,0.22097647946585663,0.1940779407372719,0.026898538728584748,13.859657942783906,-0.008547818081404406,0.2862983794658566,6532.19,9.15
local_exp_open3,llama3.1_8b,11,500000.0,16,0.34270088833451195,0.326236547353268,0.01646434098124394,5.046749395436493,-0.018731056569482644,0.38571766833451204,21508.39,50.07
local_exp_open3,llama3.1_8b,11,1000000.0,49,0.4135587055992942,0.3966851379266274,0.01687356767266679,4.253642513773177,-0.009190904939760502,0.4627164055992941,49157.7,107.97
local_exp_open3,llama3.1_8b,11,5000000.0,112,0.5435419240323704,0.5217695647719868,0.021772359260383678,4.172792115595741,0.0016552581825735684,0.5846565060323704,205572.91,326.97
local_exp_open3,llama3.1_8b,11,10000000.0,327,0.5901456890082953,0.5670575222134625,0.023088166794832832,4.071574027394975,-2.7205786108575046e-05,0.6277403730082952,375946.84,442.58
local_exp_open3,llama3.1_8b,11,50000000.0,948,0.6367950703276332,0.6371238486544475,-0.0003287783268143274,-0.0516035190816793,0.0,0.669807209727633,1650606.97,948.69
local_exp_open5,llama3.1_8b,11,100000.0,3,0.21601073777687108,0.1940779407372719,0.02193279703959919,11.301025225370749,-0.013513559770389968,0.3173253377768711,10131.46,11.69
local_exp_open5,llama3.1_8b,11,500000.0,16,0.36148843892701277,0.326236547353268,0.035251891573744754,10.805623054725363,5.649402301816042e-05,0.4088696389270129,23690.6,51.03
local_exp_open5,llama3.1_8b,11,1000000.0,49,0.42498913246282366,0.3966851379266274,0.028303994536196253,7.135128551609988,0.0022395219237689432,0.4752513524628235,50262.22,108.38
local_exp_open5,llama3.1_8b,11,5000000.0,112,0.5435419240323704,0.5217695647719868,0.021772359260383678,4.172792115595741,0.0016552581825735684,0.5846565060323704,205572.91,326.97
local_exp_open5,llama3.1_8b,11,10000000.0,327,0.5901456890082953,0.5670575222134625,0.023088166794832832,4.071574027394975,-2.7205786108575046e-05,0.6277403730082952,375946.84,442.58
local_exp_open5,llama3.1_8b,11,50000000.0,948,0.6367950703276332,0.6371238486544475,-0.0003287783268143274,-0.0516035190816793,0.0,0.669807209727633,1650606.97,948.69
local_exp_open8,llama3.1_8b,11,100000.0,3,0.2053939993735733,0.1940779407372719,0.011316058636301418,5.830677403786063,-0.024130298173687743,0.35978019937357336,15438.62,14.15
local_exp_open8,llama3.1_8b,11,500000.0,16,0.36717776283597303,0.326236547353268,0.04094121548270502,12.549549035771115,0.005745817931978299,0.42289234283597293,27857.29,52.57
local_exp_open8,llama3.1_8b,11,1000000.0,49,0.4281162276924939,0.3966851379266274,0.031431089765866504,7.923435178375685,0.005366617153439172,0.4790503376924937,50934.11,108.61
local_exp_open8,llama3.1_8b,11,5000000.0,112,0.5435419240323704,0.5217695647719868,0.021772359260383678,4.172792115595741,0.0016552581825735684,0.5846565060323704,205572.91,326.97
local_exp_open8,llama3.1_8b,11,10000000.0,327,0.5901456890082953,0.5670575222134625,0.023088166794832832,4.071574027394975,-2.7205786108575046e-05,0.6277403730082952,375946.84,442.58
local_exp_open8,llama3.1_8b,11,50000000.0,948,0.6367950703276332,0.6371238486544475,-0.0003287783268143274,-0.0516035190816793,0.0,0.669807209727633,1650606.97,948.69
local_exp_open5_no_bonus,llama3.1_8b,11,100000.0,3,0.21197180505789523,0.1940779407372719,0.017893864320623343,9.219937233797586,-0.017552492489365835,0.3102016050578952,9822.98,10.06
local_exp_open5_no_bonus,llama3.1_8b,11,500000.0,16,0.3435956384988279,0.326236547353268,0.01735909114555989,5.321013628421727,-0.017836306405166844,0.37691587849882785,16660.12,21.35
local_exp_open5_no_bonus,llama3.1_8b,11,1000000.0,49,0.3914550571304906,0.3966851379266274,-0.0052300807961367934,-1.3184463686925856,-0.031294553408563984,0.4248711471304906,33416.09,51.83
local_exp_open5_no_bonus,llama3.1_8b,11,5000000.0,112,0.49068738391960265,0.5217695647719868,-0.031082180852384123,-5.9570705060129425,-0.05119928193019411,0.5084143259196028,88634.71,94.75
