variant,generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high
local_exp_open5,gemma2_9b,100000.0,10,0.5449725247602352,0.5262801984448296,0.5636648510756407,8114.566499999999,7811.724046388751,8417.408953611246,8114.566499999999,7811.724046388751,8417.408953611246
local_exp_open5,gemma2_9b,500000.0,10,0.5523809776902674,0.5361193118773162,0.5686426435032186,26495.91725,24569.143306863076,28422.69119313692,26495.91725,24569.143306863076,28422.69119313692
local_exp_open5,gemma2_9b,1000000.0,10,0.5851017496503127,0.5668589024600147,0.6033445968406107,51919.320499999994,50413.304619594666,53425.33638040532,51919.320499999994,50413.304619594666,53425.33638040532
local_exp_open5,gemma2_9b,5000000.0,10,0.6175708672760465,0.6048927773979684,0.6302489571541245,227715.992,216210.04138882138,239221.94261117862,227715.992,216210.04138882138,239221.94261117862
local_exp_open5,gemma2_9b,10000000.0,10,0.6155909828689512,0.6052164172139612,0.6259655485239412,416588.762,404745.35487135476,428432.1691286452,416588.762,404745.35487135476,428432.1691286452
local_exp_open5,gemma2_9b,50000000.0,10,0.5116585848799493,0.5056570744940556,0.517660095265843,1333898.3395,1256073.5475912034,1411723.1314087966,1333898.3395,1256073.5475912034,1411723.1314087966
local_exp_open5,llama3.1_8b,100000.0,10,0.5493064396623424,0.5309249313223754,0.5676879480023094,11125.137249999998,10749.201536179116,11501.07296382088,11125.137249999998,10749.201536179115,11501.072963820881
local_exp_open5,llama3.1_8b,500000.0,10,0.5550868160542979,0.537725961468278,0.5724476706403178,24394.010000000002,23051.97274736321,25736.047252636796,24394.010000000002,23051.97274736321,25736.047252636796
local_exp_open5,llama3.1_8b,1000000.0,10,0.5712070202024465,0.550099164899227,0.5923148755056661,47723.7495,45620.333493419435,49827.16550658056,47723.7495,45620.333493419435,49827.16550658056
local_exp_open5,llama3.1_8b,5000000.0,10,0.6132514065557573,0.5993960290136618,0.6271067840978527,213418.64175,204958.62266948487,221878.66083051515,213418.64175,204958.62266948487,221878.66083051515
local_exp_open5,llama3.1_8b,10000000.0,10,0.6045476047209098,0.5896803638882813,0.6194148455535384,391499.89875000005,375993.124277406,407006.6732225941,391499.89875000005,375993.124277406,407006.6732225941
local_exp_open5,llama3.1_8b,50000000.0,10,0.5136779668748053,0.5069220628624104,0.5204338708872002,1851265.0775000001,1757864.1248410605,1944666.0301589398,1851265.0775000001,1757864.1248410605,1944666.0301589398
local_exp_open5,llama3.2_3b,100000.0,10,0.5432396751342712,0.5218769588739449,0.5646023913945974,10428.995749999998,10056.964563564063,10801.026936435934,10428.995749999998,10056.964563564063,10801.026936435934
local_exp_open5,llama3.2_3b,500000.0,10,0.5540358002471575,0.5356881633369802,0.5723834371573348,25291.54475,23477.312738175802,27105.7767618242,25291.54475,23477.312738175802,27105.7767618242
local_exp_open5,llama3.2_3b,1000000.0,10,0.5625560997714484,0.5431719370396629,0.5819402625032338,48426.1415,45494.98335025044,51357.299649749555,48426.1415,45494.98335025044,51357.299649749555
local_exp_open5,llama3.2_3b,5000000.0,10,0.6249341360275918,0.6075268016515819,0.6423414704036018,226716.53375,221229.92664634463,232203.14085365538,226716.53375,221229.92664634463,232203.14085365538
local_exp_open5,llama3.2_3b,10000000.0,10,0.6171226650535492,0.6082193870732192,0.6260259430338792,426170.06149999995,419237.34307422943,433102.7799257705,426170.06149999995,419237.34307422943,433102.7799257705
local_exp_open5,llama3.2_3b,50000000.0,10,0.5200768812690546,0.5108915510463327,0.5292622114917765,1715626.2175,1614052.058851396,1817200.376148604,1715626.2175,1614052.058851396,1817200.376148604
local_exp_open5,mistral_7b,100000.0,10,0.5285966975269485,0.5154364097082242,0.5417569853456727,9747.6995,9389.977920320749,10105.421079679252,9747.6995,9389.977920320749,10105.421079679252
local_exp_open5,mistral_7b,500000.0,10,0.5516608802080718,0.5312030372542861,0.5721187231618575,23297.274500000003,22269.01014809961,24325.538851900397,23297.2745,22269.010148099605,24325.538851900394
local_exp_open5,mistral_7b,1000000.0,10,0.5671829116996085,0.5565142152059762,0.5778516081932409,44705.561,42900.52952578972,46510.59247421028,44705.561,42900.52952578972,46510.59247421028
local_exp_open5,mistral_7b,5000000.0,10,0.5874247088264286,0.573428941513559,0.6014204761392982,201097.17925,194664.47183841982,207529.88666158015,201097.17925,194664.47183841982,207529.88666158015
local_exp_open5,mistral_7b,10000000.0,10,0.5774345469545674,0.5659512877019589,0.5889178062071759,416656.5355,405518.7628434288,427794.3081565712,416656.5355,405518.7628434288,427794.3081565712
local_exp_open5,mistral_7b,50000000.0,10,0.517691486866861,0.5114586688306425,0.5239243049030794,1675073.83275,1629012.5964046763,1721135.0690953238,1675073.83275,1629012.5964046763,1721135.0690953238
local_exp_open5,qwen2.5_7b,100000.0,10,0.5382157912541853,0.5178043556566715,0.5586272268516991,11625.591499999999,11263.42579159951,11987.757208400488,11625.591499999999,11263.42579159951,11987.757208400488
local_exp_open5,qwen2.5_7b,500000.0,10,0.5500296846070316,0.5279947043746996,0.5720646648393636,24065.731249999997,22953.76597877277,25177.696521227223,24065.731249999997,22953.76597877277,25177.696521227223
local_exp_open5,qwen2.5_7b,1000000.0,10,0.564760140680821,0.5475325507408894,0.5819877306207527,48351.19725,47351.96151277028,49350.43298722972,48351.19725,47351.96151277028,49350.43298722972
local_exp_open5,qwen2.5_7b,5000000.0,10,0.6192968473781438,0.6046623795977869,0.6339313151585008,229805.16750000004,223183.9746128028,236426.3603871973,229805.16750000004,223183.9746128028,236426.3603871973
local_exp_open5,qwen2.5_7b,10000000.0,10,0.6127013564847643,0.5963000918424342,0.6291026211270945,448635.40575000003,431343.0855687215,465927.72593127855,448635.40575000003,431343.0855687215,465927.72593127855
local_exp_open5,qwen2.5_7b,50000000.0,10,0.5298280716135222,0.517131929894445,0.5425242133325994,1853547.5552499997,1770040.6118513695,1937054.49864863,1853547.5552499997,1770040.6118513695,1937054.49864863
local_exp_open5_conf06,gemma2_9b,100000.0,10,0.5519070255667663,0.5327283028737865,0.5710857482597461,8603.733,8313.19793002442,8894.26806997558,8603.733,8313.19793002442,8894.26806997558
local_exp_open5_conf06,gemma2_9b,500000.0,10,0.5641277883677595,0.5489290844605401,0.5793264922749788,31381.31125,29684.15386141575,33078.46863858425,31381.31125,29684.15386141575,33078.46863858424
local_exp_open5_conf06,gemma2_9b,1000000.0,10,0.5875479890083245,0.5708697462983041,0.6042262317183449,60726.284750000006,59291.11278021567,62161.45671978434,60726.284750000006,59291.11278021567,62161.45671978434
local_exp_open5_conf06,gemma2_9b,5000000.0,10,0.6210944080905862,0.6085829380715588,0.6336058781096137,243126.99224999998,231329.3642150617,254924.62028493825,243126.99224999998,231329.3642150617,254924.62028493825
local_exp_open5_conf06,gemma2_9b,10000000.0,10,0.6165797344951323,0.6077004793444961,0.6254589896457684,428513.89349999995,415833.0852838261,441194.7017161738,428513.89349999995,415833.0852838261,441194.7017161738
local_exp_open5_conf06,gemma2_9b,50000000.0,10,0.5116175582798674,0.5056348008286083,0.5176003157311265,1333979.616,1256206.3012104225,1411752.9307895773,1333979.616,1256206.3012104225,1411752.9307895773
local_exp_open5_conf06,llama3.1_8b,100000.0,10,0.5549010406658917,0.5366934168018448,0.5731086645299387,11473.80425,11098.25913813444,11849.34936186556,11473.80425,11098.25913813444,11849.34936186556
local_exp_open5_conf06,llama3.1_8b,500000.0,10,0.5630442640262964,0.5448894338624055,0.5811990941901872,29065.199,27504.56005890217,30625.83794109783,29065.199,27504.56005890217,30625.83794109783
local_exp_open5_conf06,llama3.1_8b,1000000.0,10,0.5788808118602793,0.5567735900755771,0.6009880336449814,57132.683750000004,54675.960291438976,59589.40720856103,57132.683750000004,54675.960291438976,59589.40720856103
local_exp_open5_conf06,llama3.1_8b,5000000.0,10,0.6172369602361327,0.6037083890573812,0.6307655314148842,232901.5355,223115.27508942247,242687.79591057752,232901.5355,223115.27508942244,242687.79591057755
local_exp_open5_conf06,llama3.1_8b,10000000.0,10,0.60492282077536,0.590433750494039,0.6194118910566809,414167.30425000004,397199.02630374103,431135.58219625906,414167.30425000004,397199.02630374103,431135.58219625906
local_exp_open5_conf06,llama3.1_8b,50000000.0,10,0.5136169310507605,0.506906989726609,0.5203268723749119,1851515.932,1758269.1995425231,1944762.664457477,1851515.932,1758269.1995425231,1944762.664457477
local_exp_open5_conf06,llama3.2_3b,100000.0,10,0.5502389641598493,0.5308581432982068,0.5696197850214918,10871.2765,10521.850630814082,11220.702369185918,10871.276499999998,10521.850630814079,11220.702369185918
local_exp_open5_conf06,llama3.2_3b,500000.0,10,0.5627083169266689,0.543799947614694,0.5816166862386438,30030.184,27963.757021439633,32096.61097856037,30030.184,27963.757021439633,32096.61097856037
