variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,qwen2.5_7b,30,100000.0,0.5737125768769582,10874.24,10874.24
reference_train_scale,qwen2.5_7b,30,500000.0,0.5692077810570559,31761.1725,31761.1725
reference_train_scale,qwen2.5_7b,30,1000000.0,0.5846160634162652,53472.0175,53472.0175
reference_train_scale,qwen2.5_7b,30,5000000.0,0.6072817780998974,227979.6825,227979.6825
reference_train_scale,qwen2.5_7b,30,10000000.0,0.6006472705981865,463899.5475,463899.5475
reference_train_scale,qwen2.5_7b,30,50000000.0,0.555,1755802.2475,1755802.2475
local_exp_open5,qwen2.5_7b,30,100000.0,0.5450007536956685,11467.2975,11467.2975
local_exp_open5,qwen2.5_7b,30,500000.0,0.5331735307589379,25553.76,25553.76
local_exp_open5,qwen2.5_7b,30,1000000.0,0.5613160531382776,50365.9825,50365.9825
local_exp_open5,qwen2.5_7b,30,5000000.0,0.60125,220932.625,220932.625
local_exp_open5,qwen2.5_7b,30,10000000.0,0.59125,457412.085,457412.085
local_exp_open5,qwen2.5_7b,30,50000000.0,0.555,1755802.2475,1755802.2475
local_exp_open5_conf06,qwen2.5_7b,30,100000.0,0.5462801620474128,11718.1,11718.1
local_exp_open5_conf06,qwen2.5_7b,30,500000.0,0.5474420220099506,30239.0625,30239.062500000004
local_exp_open5_conf06,qwen2.5_7b,30,1000000.0,0.5800961211882404,58035.3625,58035.3625
local_exp_open5_conf06,qwen2.5_7b,30,5000000.0,0.59,254071.295,254071.295
local_exp_open5_conf06,qwen2.5_7b,30,10000000.0,0.6016461404748853,474583.2,474583.2
local_exp_open5_conf06,qwen2.5_7b,30,50000000.0,0.555,1755802.2475,1755802.2475
reference_train_scale,qwen2.5_7b,31,100000.0,0.601191919433782,11683.4725,11683.4725
reference_train_scale,qwen2.5_7b,31,500000.0,0.6257550041580323,32219.045,32219.045
reference_train_scale,qwen2.5_7b,31,1000000.0,0.6402514111484444,54944.985,54944.985
reference_train_scale,qwen2.5_7b,31,5000000.0,0.6313718021738834,223746.24,223746.23999999996
reference_train_scale,qwen2.5_7b,31,10000000.0,0.6423143205605925,435574.9125,435574.9125
reference_train_scale,qwen2.5_7b,31,50000000.0,0.5425,1726997.2175,1726997.2175
local_exp_open5,qwen2.5_7b,31,100000.0,0.5605710958931023,11699.7675,11699.7675
local_exp_open5,qwen2.5_7b,31,500000.0,0.6048050892540491,25357.9475,25357.9475
local_exp_open5,qwen2.5_7b,31,1000000.0,0.617881910071539,48212.0675,48212.0675
local_exp_open5,qwen2.5_7b,31,5000000.0,0.6193806245785527,224333.16,224333.16
local_exp_open5,qwen2.5_7b,31,10000000.0,0.6454952931848378,426473.4425,426473.4425
local_exp_open5,qwen2.5_7b,31,50000000.0,0.5425,1726997.2175,1726997.2175
local_exp_open5_conf06,qwen2.5_7b,31,100000.0,0.5707533098555231,12076.9925,12076.9925
local_exp_open5_conf06,qwen2.5_7b,31,500000.0,0.5913517765395112,30613.1375,30613.1375
local_exp_open5_conf06,qwen2.5_7b,31,1000000.0,0.6285143417996581,56367.7675,56367.76750000001
local_exp_open5_conf06,qwen2.5_7b,31,5000000.0,0.62875,244702.49,244702.49
local_exp_open5_conf06,qwen2.5_7b,31,10000000.0,0.6401607896486681,449256.6125,449256.6125
local_exp_open5_conf06,qwen2.5_7b,31,50000000.0,0.5425,1726997.2175,1726997.2175
reference_train_scale,qwen2.5_7b,32,100000.0,0.5806146131395387,11587.595,11587.595
reference_train_scale,qwen2.5_7b,32,500000.0,0.5613022807476147,34712.11,34712.11000000001
reference_train_scale,qwen2.5_7b,32,1000000.0,0.5933226366092196,60888.195,60888.195
reference_train_scale,qwen2.5_7b,32,5000000.0,0.66375,223443.38,223443.38
reference_train_scale,qwen2.5_7b,32,10000000.0,0.650361549837751,428415.6425,428415.6425
reference_train_scale,qwen2.5_7b,32,50000000.0,0.549088431128982,1826074.555,1826074.555
local_exp_open5,qwen2.5_7b,32,100000.0,0.5380302460609628,12165.9975,12165.9975
local_exp_open5,qwen2.5_7b,32,500000.0,0.5377703400348808,25410.43,25410.43
local_exp_open5,qwen2.5_7b,32,1000000.0,0.5738071452759905,48111.67,48111.67
local_exp_open5,qwen2.5_7b,32,5000000.0,0.65375,213744.025,213744.025
local_exp_open5,qwen2.5_7b,32,10000000.0,0.645,414555.725,414555.725
local_exp_open5,qwen2.5_7b,32,50000000.0,0.549088431128982,1826074.555,1826074.555
local_exp_open5_conf06,qwen2.5_7b,32,100000.0,0.5558026953847033,12546.335,12546.335
local_exp_open5_conf06,qwen2.5_7b,32,500000.0,0.538769388834395,30213.3775,30213.377499999995
local_exp_open5_conf06,qwen2.5_7b,32,1000000.0,0.5900111378777236,58427.995,58427.995
local_exp_open5_conf06,qwen2.5_7b,32,5000000.0,0.6680410227595387,228223.0475,228223.0475
local_exp_open5_conf06,qwen2.5_7b,32,10000000.0,0.6525,433631.8075,433631.8075
local_exp_open5_conf06,qwen2.5_7b,32,50000000.0,0.549088431128982,1826074.555,1826074.555
reference_train_scale,qwen2.5_7b,33,100000.0,0.5958435765101386,10768.995,10768.995
reference_train_scale,qwen2.5_7b,33,500000.0,0.5395878305900408,39280.785,39280.785
reference_train_scale,qwen2.5_7b,33,1000000.0,0.5745378693376746,70848.1825,70848.1825
reference_train_scale,qwen2.5_7b,33,5000000.0,0.6525,266066.265,266066.265
reference_train_scale,qwen2.5_7b,33,10000000.0,0.647097168975577,461567.3475,461567.3475
reference_train_scale,qwen2.5_7b,33,50000000.0,0.50875,1849068.4975,1849068.4975
local_exp_open5,qwen2.5_7b,33,100000.0,0.5154712783650374,10994.0875,10994.0875
local_exp_open5,qwen2.5_7b,33,500000.0,0.5617830144569638,22811.1175,22811.1175
local_exp_open5,qwen2.5_7b,33,1000000.0,0.5548244603800178,49253.65,49253.65
local_exp_open5,qwen2.5_7b,33,5000000.0,0.6518508468955301,236770.01,236770.01
local_exp_open5,qwen2.5_7b,33,10000000.0,0.64125,439825.8425,439825.8425
local_exp_open5,qwen2.5_7b,33,50000000.0,0.50875,1849068.4975,1849068.4975
local_exp_open5_conf06,qwen2.5_7b,33,100000.0,0.5331975920051137,11401.1875,11401.1875
local_exp_open5_conf06,qwen2.5_7b,33,500000.0,0.5751288848209276,27112.255,27112.255
local_exp_open5_conf06,qwen2.5_7b,33,1000000.0,0.5691361250218981,59726.3525,59726.35250000001
local_exp_open5_conf06,qwen2.5_7b,33,5000000.0,0.6544957286148062,262479.6875,262479.6875
local_exp_open5_conf06,qwen2.5_7b,33,10000000.0,0.64125,466096.5125,466096.5125
local_exp_open5_conf06,qwen2.5_7b,33,50000000.0,0.50875,1849068.4975,1849068.4975
reference_train_scale,qwen2.5_7b,34,100000.0,0.5686904329599832,11721.675,11721.675
reference_train_scale,qwen2.5_7b,34,500000.0,0.5523960330648942,34679.7025,34679.7025
reference_train_scale,qwen2.5_7b,34,1000000.0,0.5487476709344021,64643.6225,64643.6225
reference_train_scale,qwen2.5_7b,34,5000000.0,0.6277163686132795,254157.845,254157.845
reference_train_scale,qwen2.5_7b,34,10000000.0,0.61625,531534.9975,531534.9975
reference_train_scale,qwen2.5_7b,34,50000000.0,0.50375,1815273.2275,1815273.2275
local_exp_open5,qwen2.5_7b,34,100000.0,0.5413147891784982,10994.73,10994.73
local_exp_open5,qwen2.5_7b,34,500000.0,0.5509324293425317,23022.4775,23022.4775
local_exp_open5,qwen2.5_7b,34,1000000.0,0.5595334802660077,46539.7425,46539.7425
local_exp_open5,qwen2.5_7b,34,5000000.0,0.6209926533923342,231262.52,231262.51999999996
local_exp_open5,qwen2.5_7b,34,10000000.0,0.60125,505390.88,505390.88
local_exp_open5,qwen2.5_7b,34,50000000.0,0.50375,1815273.2275,1815273.2275
local_exp_open5_conf06,qwen2.5_7b,34,100000.0,0.5428357599323624,11416.6075,11416.6075
local_exp_open5_conf06,qwen2.5_7b,34,500000.0,0.5500271930309456,27351.34,27351.34
local_exp_open5_conf06,qwen2.5_7b,34,1000000.0,0.5402677909539743,56719.2875,56719.2875
local_exp_open5_conf06,qwen2.5_7b,34,5000000.0,0.62,255853.55,255853.55
local_exp_open5_conf06,qwen2.5_7b,34,10000000.0,0.61625,549360.095,549360.095
local_exp_open5_conf06,qwen2.5_7b,34,50000000.0,0.50375,1815273.2275,1815273.2275
reference_train_scale,qwen2.5_7b,35,100000.0,0.555895227012246,12177.0725,12177.0725
reference_train_scale,qwen2.5_7b,35,500000.0,0.511138688940397,34299.6375,34299.6375
reference_train_scale,qwen2.5_7b,35,1000000.0,0.5790298266839558,56449.105,56449.105
reference_train_scale,qwen2.5_7b,35,5000000.0,0.603029345144257,236056.2375,236056.23749999996
reference_train_scale,qwen2.5_7b,35,10000000.0,0.60375,448944.995,448944.995
reference_train_scale,qwen2.5_7b,35,50000000.0,0.545,1815027.9175,1815027.9175
local_exp_open5,qwen2.5_7b,35,100000.0,0.49417855651345605,12012.465,12012.465
local_exp_open5,qwen2.5_7b,35,500000.0,0.4995939291131721,26532.99,26532.99
