variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,qwen2.5_7b,30,0.3,75000.0,True,True,0.3124902916837527,0.31704526616705236,1.2490291683752708,1.7045266167052375,9652.9425,12480.46,22.655555163832105
reference_train_scale,qwen2.5_7b,30,0.35,200000.0,True,True,0.3543018551427637,0.355851179323721,0.4301855142763711,0.5851179323721034,16059.49,20989.515,23.488036765022915
reference_train_scale,qwen2.5_7b,30,0.4,500000.0,True,True,0.4089722728776458,0.39628080627529316,0.8972272877645793,-0.37191937247068596,31761.1725,35620.82,10.835369595646588
reference_train_scale,qwen2.5_7b,30,0.45,1000000.0,True,True,0.4515306020655742,0.46195646362528875,0.15306020655742048,1.1956463625288738,53472.0175,75896.2275,29.545882237690922
reference_train_scale,qwen2.5_7b,30,0.5,2000000.0,True,True,0.5042944012822667,0.4976162017260509,0.4294401282266658,-0.23837982739490782,100840.1375,124818.32,19.210467261536614
reference_train_scale,qwen2.5_7b,30,0.55,5000000.0,True,True,0.5554684703256811,0.5486739602592223,0.5468470325681096,-0.1326039740777718,227979.6825,285848.435,20.244558099469742
reference_train_scale,qwen2.5_7b,30,0.6,20000000.0,True,True,0.6158160973545904,0.5860239473427717,1.5816097354590442,-1.3976052657228233,889945.65,508798.3175,-74.91128004761926
local_exp_open5,qwen2.5_7b,30,0.3,75000.0,True,True,0.31131914280017253,0.31704526616705236,1.1319142800172544,1.7045266167052375,11092.4175,12480.46,11.121725481272321
local_exp_open5,qwen2.5_7b,30,0.35,500000.0,True,True,0.3854779628396987,0.355851179323721,3.547796283969873,0.5851179323721034,25553.76,20989.515,-21.74535714617512
local_exp_open5,qwen2.5_7b,30,0.4,1000000.0,True,True,0.4473032380665282,0.39628080627529316,4.7303238066528195,-0.37191937247068596,50365.9825,35620.82,-41.394786812880774
local_exp_open5,qwen2.5_7b,30,0.45,2000000.0,True,True,0.5039317410290984,0.46195646362528875,5.393174102909843,1.1956463625288738,92737.0025,75896.2275,-22.18921223719586
local_exp_open5,qwen2.5_7b,30,0.5,2000000.0,True,True,0.5039317410290984,0.4976162017260509,0.39317410290984345,-0.23837982739490782,92737.0025,124818.32,25.702410912116108
local_exp_open5,qwen2.5_7b,30,0.55,5000000.0,True,True,0.5536634107264213,0.5486739602592223,0.366341072642129,-0.1326039740777718,220932.625,285848.435,22.709870704732037
local_exp_open5,qwen2.5_7b,30,0.6,20000000.0,True,True,0.6176631197818905,0.5860239473427717,1.7663119781890502,-1.3976052657228233,885042.43,508798.3175,-73.94759368480028
local_exp_open5_conf06,qwen2.5_7b,30,0.3,50000.0,True,True,0.3080395627974289,0.31704526616705236,0.8039562797428901,1.7045266167052375,10922.19,12480.46,12.485677611241883
