variant,generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_delta_vs_reference_mean,utility_delta_vs_reference_ci_low,utility_delta_vs_reference_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
local_exp_open5,gemma2_9b,100000.0,10,6.011684468189456,5.069445340922056,6.953923595456856,0.015762336083467443,0.013173925777551613,0.018350746389383273,-0.006865587578482976,-0.011073300672890116,-0.002657874484075837,0.27753275132944044,0.2690277441368256,0.28603775852205526,0.3586784163294404,0.35312198927174715,0.3642348433871337,8114.566499999999,7811.724046388751,8417.408953611246,10.2285,8.85944001600788,11.59755998399212
local_exp_open5,gemma2_9b,500000.0,10,3.5569457255957504,1.7239543781105149,5.389937073080986,0.013239587118529355,0.006384011553498681,0.020095162683560028,-0.005797319414257164,-0.008914917494158216,-0.0026797213343561117,0.3862942937880383,0.37825985454716626,0.39432873302891036,0.43928612828803837,0.4323842314795482,0.44618802509652855,26495.91725,24569.143306863076,28422.69119313692,65.01925000000001,51.70871560279038,78.32978439720965
local_exp_open5,gemma2_9b,1000000.0,10,5.086661300991406,3.6907709950088066,6.482551606974006,0.02119346224562918,0.015454980692320467,0.026931943798937895,-0.0019240898417566717,-0.004987741560786246,0.0011395618772729022,0.438774261029444,0.43160705156724605,0.44594147049164196,0.4906935815294441,0.4831940823294285,0.49819308072945967,51919.320499999994,50413.304619594666,53425.33638040532,123.08449999999998,103.02701619587818,143.14198380412176
local_exp_open5,gemma2_9b,5000000.0,10,5.089973767297398,4.28549947467151,5.894448059923286,0.02596234660416321,0.021842358428667698,0.030082334779658722,0.0006833038213483146,9.049192642197803e-05,0.0012761157162746511,0.5360275698433631,0.5289881575199066,0.5430669821668196,0.5815707682433631,0.5745511336790646,0.5885904028076615,227715.992,216210.04138882138,239221.94261117862,368.89525,344.3693684587412,393.4211315412588
local_exp_open5,gemma2_9b,10000000.0,10,4.450404669536702,3.882091548602605,5.0187177904708,0.024189310878287608,0.021147159065964604,0.027231462690610612,0.0003983728061901362,-8.883123667814604e-05,0.0008855768490584185,0.5681238668608487,0.5608510400307508,0.5753966936909466,0.6097827430608488,0.6026520813196363,0.6169134048020612,416588.762,404745.35487135476,428432.1691286452,545.10025,514.1353128350505,576.0651871649494
local_exp_open5,gemma2_9b,50000000.0,10,0.10512806559711112,-0.03633232690608311,0.24658845810030533,0.0006581898734741354,-0.00023328225982688876,0.0015496620067751595,0.0,0.0,0.0,0.6222470252276532,0.6143461710692516,0.6301478793860548,0.6489249920176532,0.6418938885364082,0.6559560954988982,1333898.3395,1256073.5475912034,1411723.1314087966,951.4615,947.6220928383004,955.3009071616996
local_exp_open5,llama3.1_8b,100000.0,10,10.132341932660687,7.4322058746028326,12.832477990718541,0.01973335240294169,0.014740962623772585,0.024725742182110794,-0.009839142881032312,-0.012354072858752424,-0.007324212903312199,0.21586268807953837,0.20718026778192358,0.22454510837715316,0.32711406057953835,0.3200904409094756,0.3341376802496011,11125.137249999998,10749.201536179116,11501.07296382088,10.2835,9.132577228049403,11.434422771950597
local_exp_open5,llama3.1_8b,500000.0,10,6.540176743742087,5.280363861819539,7.799989625664636,0.021531986294432464,0.017294012385255707,0.02576996020360922,-0.0012923631896631245,-0.004722046854760317,0.002137320475434068,0.3503590557647497,0.3418513256685858,0.3588667858609136,0.3991470757647496,0.39193402097421703,0.4063601305552822,24394.010000000002,23051.97274736321,25736.047252636796,49.63099999999999,39.504617732851926,59.75738226714806
local_exp_open5,llama3.1_8b,1000000.0,10,7.286247174302656,5.427391627299693,9.14510272130562,0.02780184050833373,0.020942601298929883,0.03466107971773758,-0.0013813364630676738,-0.004992549439792179,0.002229876513656832,0.4101258229137059,0.4014173068881793,0.41883433893923255,0.4578495724137059,0.45064930882202686,0.4650498360053849,47723.7495,45620.333493419435,49827.16550658056,94.29325,79.74092612881174,108.84557387118826
local_exp_open5,llama3.1_8b,5000000.0,10,7.056179725150608,6.267347603962745,7.845011846338472,0.035181223170704636,0.031092899609226118,0.03926954673218316,0.0008377557586314643,-0.00029688571207466886,0.0019723972293375974,0.5334432948418469,0.5234738195034229,0.543412770180271,0.5761270231918469,0.5671178102785374,0.5851362361051565,213418.64175,204958.62266948487,221878.66083051515,284.9095,266.50909927644744,303.3099007235525
