variant,generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,3,0.5456175194792978,0.5114439744674549,0.5797910644911407,9025.801666666666,8789.046818997154,9262.556514336178,9025.801666666666,8789.046818997156,9262.556514336176
local_exp_open5_conf06,gemma2_9b,500000.0,3,0.5752856381033356,0.4982232946004042,0.652347981606267,31409.425,24388.274839691476,38430.57516030852,31409.425,24388.274839691476,38430.57516030852
local_exp_open5_conf06,gemma2_9b,1000000.0,3,0.5939022697132228,0.5190388430050634,0.6687656964213822,61201.17333333334,57155.10041046652,65247.24625620016,61201.17333333334,57155.10041046652,65247.24625620016
local_exp_open5_conf06,gemma2_9b,5000000.0,3,0.6558955168617243,0.5402711720455634,0.7715198616778852,252323.43666666668,239741.53519023026,264905.33814310306,252323.43666666668,239741.53519023026,264905.33814310306
local_exp_open5_conf06,gemma2_9b,10000000.0,3,0.6356864266788657,0.547206411584014,0.7241664417737174,438767.35333333333,359830.5274376442,517704.17922902247,438767.35333333333,359830.52743764414,517704.1792290225
local_exp_open5_conf06,gemma2_9b,50000000.0,3,0.5108333333333333,0.4908698695547229,0.5307967971119436,1374764.1183333334,1267025.3576333148,1482502.879033352,1374764.1183333334,1267025.3576333148,1482502.879033352
local_exp_open5_conf06,llama3.1_8b,100000.0,3,0.5351924724827587,0.47891860423779054,0.5914663407277269,11417.526666666667,10410.964812459692,12424.088520873642,11417.526666666667,10410.964812459692,12424.088520873642
local_exp_open5_conf06,llama3.1_8b,500000.0,3,0.5780311452396778,0.5081809341502752,0.6478813563290804,28482.498333333333,24575.676117927225,32389.32054873944,28482.498333333333,24575.676117927225,32389.32054873944
local_exp_open5_conf06,llama3.1_8b,1000000.0,3,0.5942676701684158,0.5419522129696019,0.6465831273672296,54513.34833333333,52039.39217437005,56987.30449229661,54513.34833333333,52039.39217437005,56987.30449229661
local_exp_open5_conf06,llama3.1_8b,5000000.0,3,0.6133333333333334,0.5915233209954955,0.6351433456711713,243001.91333333333,204777.0912447703,281226.73542189633,243001.91333333333,204777.0912447703,281226.73542189633
local_exp_open5_conf06,llama3.1_8b,10000000.0,3,0.6106864713334339,0.5846484111627054,0.6367245315041624,425827.57,399143.1950081595,452511.9449918405,425827.57,399143.1950081595,452511.9449918405
local_exp_open5_conf06,llama3.1_8b,50000000.0,3,0.5207478712402637,0.4781175370686607,0.5633782054118667,1841840.735,1800806.615847572,1882874.8541524282,1841840.735,1800806.615847572,1882874.8541524282
local_exp_open5_conf06,llama3.2_3b,100000.0,3,0.5209114299436064,0.409809136151191,0.6320137237360217,11013.093333333332,9395.234106827947,12630.952559838717,11013.093333333332,9395.234106827947,12630.952559838717
local_exp_open5_conf06,llama3.2_3b,500000.0,3,0.5388298942380735,0.4824004551063889,0.5952593333697581,29166.111666666668,20745.777869739824,37586.44546359351,29166.111666666668,20745.77786973982,37586.44546359351
local_exp_open5_conf06,llama3.2_3b,1000000.0,3,0.5775534279231884,0.554404314156611,0.6007025416897659,55017.333333333336,44195.05828206983,65839.60838459684,55017.333333333336,44195.058282069826,65839.60838459684
local_exp_open5_conf06,llama3.2_3b,5000000.0,3,0.6069089601264651,0.5303914929239714,0.6834264273289589,244536.18333333335,234766.7843846938,254305.5822819729,244536.18333333335,234766.7843846938,254305.5822819729
local_exp_open5_conf06,llama3.2_3b,10000000.0,3,0.6047589395536813,0.5244849344906793,0.6850329446166833,450480.1433333333,421633.7943233967,479326.4923432699,450480.1433333333,421633.7943233967,479326.4923432699
local_exp_open5_conf06,llama3.2_3b,50000000.0,3,0.5151606133467636,0.5041279042886359,0.5261933224048913,1714246.5533333335,1602576.717167295,1825916.3894993719,1714246.5533333335,1602576.717167295,1825916.3894993719
local_exp_open5_conf06,mistral_7b,100000.0,3,0.541833270077187,0.4983457721471456,0.5853207680072283,10656.121666666666,9457.676794888055,11854.566538445277,10656.121666666666,9457.676794888055,11854.566538445277
local_exp_open5_conf06,mistral_7b,500000.0,3,0.5576876244535348,0.5410837114891353,0.5742915374179344,27938.311666666665,25210.87957196211,30665.74376137122,27938.311666666665,25210.87957196211,30665.74376137122
local_exp_open5_conf06,mistral_7b,1000000.0,3,0.5774477705051285,0.5377453492502091,0.6171501917600479,51193.43833333333,50713.23889305355,51673.63777361311,51193.43833333333,50713.23889305355,51673.63777361311
local_exp_open5_conf06,mistral_7b,5000000.0,3,0.5658333333333333,0.5217734317359066,0.60989323493076,221468.58,181481.88715419403,261455.27284580594,221468.58,181481.88715419403,261455.27284580594
