variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,qwen2.5_7b,19,100000.0,0.5824164694663229,12369.78,12369.78
reference_train_scale,qwen2.5_7b,19,500000.0,0.5781198308237934,36815.165,36815.165
reference_train_scale,qwen2.5_7b,19,1000000.0,0.5805538759936986,64147.01,64147.01
reference_train_scale,qwen2.5_7b,19,5000000.0,0.6175,264531.995,264531.995
reference_train_scale,qwen2.5_7b,19,10000000.0,0.6225,468358.315,468358.315
reference_train_scale,qwen2.5_7b,19,50000000.0,0.5373705048362387,1792020.415,1792020.415
local_exp_open5_conf06,qwen2.5_7b,19,100000.0,0.5693512437645564,12374.155,12374.155
local_exp_open5_conf06,qwen2.5_7b,19,500000.0,0.564207803574094,30784.47,30784.47
local_exp_open5_conf06,qwen2.5_7b,19,1000000.0,0.5733482435136138,57456.91,57456.91000000001
local_exp_open5_conf06,qwen2.5_7b,19,5000000.0,0.6125,257532.65,257532.65
local_exp_open5_conf06,qwen2.5_7b,19,10000000.0,0.62,478413.9,478413.9
local_exp_open5_conf06,qwen2.5_7b,19,50000000.0,0.5373705048362387,1792020.415,1792020.415
local_rayleigh_open5_conf00,qwen2.5_7b,19,100000.0,0.49928861404343455,11007.565,11007.565
local_rayleigh_open5_conf00,qwen2.5_7b,19,500000.0,0.5671688110775548,13874.795,13874.795
local_rayleigh_open5_conf00,qwen2.5_7b,19,1000000.0,0.5786009077834855,20276.74,20276.74
local_rayleigh_open5_conf00,qwen2.5_7b,19,5000000.0,0.5425,126665.4,126665.4
local_rayleigh_open5_conf00,qwen2.5_7b,19,10000000.0,0.56,296712.645,296712.645
local_rayleigh_open5_conf00,qwen2.5_7b,19,50000000.0,0.54,1790038.91,1790038.91
local_rayleigh_open5_conf02,qwen2.5_7b,19,100000.0,0.510480843345709,11187.41,11187.41
local_rayleigh_open5_conf02,qwen2.5_7b,19,500000.0,0.5778708763256113,14892.665,14892.665
local_rayleigh_open5_conf02,qwen2.5_7b,19,1000000.0,0.5822645568798104,22910.945,22910.945
local_rayleigh_open5_conf02,qwen2.5_7b,19,5000000.0,0.5725,138340.945,138340.945
local_rayleigh_open5_conf02,qwen2.5_7b,19,10000000.0,0.5725,307462.8,307462.80000000005
local_rayleigh_open5_conf02,qwen2.5_7b,19,50000000.0,0.54,1790038.91,1790038.91
local_rayleigh_open5_conf04,qwen2.5_7b,19,100000.0,0.5241928151898629,11364.54,11364.54
local_rayleigh_open5_conf04,qwen2.5_7b,19,500000.0,0.5838286901392131,16469.19,16469.19
local_rayleigh_open5_conf04,qwen2.5_7b,19,1000000.0,0.5691265009604802,26858.615,26858.615
local_rayleigh_open5_conf04,qwen2.5_7b,19,5000000.0,0.595,155261.71,155261.71
local_rayleigh_open5_conf04,qwen2.5_7b,19,10000000.0,0.59,316048.815,316048.81500000006
local_rayleigh_open5_conf04,qwen2.5_7b,19,50000000.0,0.54,1790038.91,1790038.91
local_rayleigh_open5_conf06,qwen2.5_7b,19,100000.0,0.5403807905742738,11544.97,11544.97
local_rayleigh_open5_conf06,qwen2.5_7b,19,500000.0,0.5816809273941731,19637.59,19637.59
local_rayleigh_open5_conf06,qwen2.5_7b,19,1000000.0,0.5508307790205779,34180.62,34180.62
local_rayleigh_open5_conf06,qwen2.5_7b,19,5000000.0,0.6009872017504254,171321.705,171321.705
local_rayleigh_open5_conf06,qwen2.5_7b,19,10000000.0,0.58,325971.875,325971.875
local_rayleigh_open5_conf06,qwen2.5_7b,19,50000000.0,0.54,1790038.91,1790038.91
reference_train_scale,qwen2.5_7b,20,100000.0,0.5223225581365019,11029.39,11029.39
reference_train_scale,qwen2.5_7b,20,500000.0,0.6274357859414256,28520.68,28520.68
reference_train_scale,qwen2.5_7b,20,1000000.0,0.5931920597730439,50667.765,50667.765
reference_train_scale,qwen2.5_7b,20,5000000.0,0.61,214164.195,214164.195
reference_train_scale,qwen2.5_7b,20,10000000.0,0.6325,448494.4,448494.4
reference_train_scale,qwen2.5_7b,20,50000000.0,0.5375,1913087.88,1913087.88
local_exp_open5_conf06,qwen2.5_7b,20,100000.0,0.5180290475794246,13314.91,13314.91
local_exp_open5_conf06,qwen2.5_7b,20,500000.0,0.5593569436328447,30849.71,30849.71
local_exp_open5_conf06,qwen2.5_7b,20,1000000.0,0.5572377220641053,57009.525,57009.525
local_exp_open5_conf06,qwen2.5_7b,20,5000000.0,0.6325,226164.225,226164.225
local_exp_open5_conf06,qwen2.5_7b,20,10000000.0,0.6399720716334639,481270.34,481270.34
local_exp_open5_conf06,qwen2.5_7b,20,50000000.0,0.5375,1913087.88,1913087.88
local_rayleigh_open5_conf00,qwen2.5_7b,20,100000.0,0.45870685254358873,11790.655,11790.655000000002
local_rayleigh_open5_conf00,qwen2.5_7b,20,500000.0,0.5192958894764866,15374.56,15374.56
local_rayleigh_open5_conf00,qwen2.5_7b,20,1000000.0,0.5295946094888339,23185.54,23185.54
local_rayleigh_open5_conf00,qwen2.5_7b,20,5000000.0,0.565,141271.2,141271.2
local_rayleigh_open5_conf00,qwen2.5_7b,20,10000000.0,0.585,324559.69,324559.69
local_rayleigh_open5_conf00,qwen2.5_7b,20,50000000.0,0.5375,1913087.88,1913087.88
local_rayleigh_open5_conf02,qwen2.5_7b,20,100000.0,0.4688259416597139,11984.285,11984.285
