variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,qwen2.5_7b,40,100000.0,4,0.22424342130150673,0.20923979791132294,0.015003623390183796,7.170539992847068,0.0,0.3415518463015067,11730.8425,22.445
reference_train_scale,qwen2.5_7b,40,500000.0,14,0.35032711200842953,0.33204238800548863,0.0182847240029409,5.506743916875654,0.0,0.4168159770084296,33244.4325,66.345
reference_train_scale,qwen2.5_7b,40,1000000.0,33,0.41293751186491834,0.389216894165602,0.023720617699316326,6.094447094895064,0.0,0.4672153743649183,54277.8625,87.905
reference_train_scale,qwen2.5_7b,40,5000000.0,155,0.5109453328299774,0.4957227666650957,0.015222566164881768,3.0707821364125385,0.0,0.5588691808299774,239619.24,273.7475
reference_train_scale,qwen2.5_7b,40,10000000.0,288,0.549977808957757,0.5350351813725405,0.014942627585216584,2.792830846540568,0.0,0.598538388457757,485605.795,436.335
reference_train_scale,qwen2.5_7b,40,50000000.0,960,0.616206321210369,0.6169933673735544,-0.0007870461631853676,-0.12756152736871415,0.0,0.653616585310369,1870513.205,923.3775
local_exp_open5_conf06,qwen2.5_7b,40,100000.0,4,0.21941671311616978,0.20923979791132294,0.010176915204846843,4.863756946066197,-0.004826708185336943,0.34168481311616977,12226.81,8.42
local_exp_open5_conf06,qwen2.5_7b,40,500000.0,14,0.35081967980600753,0.33204238800548863,0.018777291800518903,5.655088771439782,0.0004925677975779786,0.41030743480600756,29743.8775,62.0575
local_exp_open5_conf06,qwen2.5_7b,40,1000000.0,33,0.4123921060940598,0.389216894165602,0.023175211928457784,5.954318087384284,-0.0005454057708584814,0.4680260035940599,55633.8975,89.255
local_exp_open5_conf06,qwen2.5_7b,40,5000000.0,155,0.5153960667018203,0.4957227666650957,0.019673300036724573,3.9686093437010967,0.0044507338718428055,0.5666768407018203,256403.87,280.19
local_exp_open5_conf06,qwen2.5_7b,40,10000000.0,288,0.5524846446824537,0.5350351813725405,0.01744946330991326,3.2613674609489554,0.002506835724696697,0.6016312144324537,491465.6975,438.515
local_exp_open5_conf06,qwen2.5_7b,40,50000000.0,960,0.616206321210369,0.6169933673735544,-0.0007870461631853676,-0.12756152736871415,0.0,0.653616585310369,1870513.205,923.3775
local_rayleigh_open5_conf12,qwen2.5_7b,40,100000.0,4,0.2175321556526132,0.20923979791132294,0.008292357741290252,3.9630882002689574,-0.006711265648893589,0.34650800565261314,12897.585,8.4
local_rayleigh_open5_conf12,qwen2.5_7b,40,500000.0,14,0.3428643930675655,0.33204238800548863,0.010822005062076867,3.259223958447733,-0.007462718940864016,0.41718634806756555,37160.9775,36.1175
local_rayleigh_open5_conf12,qwen2.5_7b,40,1000000.0,33,0.3939952252388479,0.389216894165602,0.004778331073245878,1.2276782289960977,-0.018942286626070438,0.47070948023884795,76714.255,82.4025
local_rayleigh_open5_conf12,qwen2.5_7b,40,5000000.0,155,0.5090170069760334,0.4957227666650957,0.013294240310937677,2.6817893397095287,-0.0019283258539441518,0.5714273379760333,312051.655,304.0975
local_rayleigh_open5_conf12,qwen2.5_7b,40,10000000.0,288,0.5508466446396895,0.5350351813725405,0.015811463267148995,2.9552193608254718,0.0008688356819324665,0.6013443316396895,504976.87,446.445
local_rayleigh_open5_conf12,qwen2.5_7b,40,50000000.0,960,0.6169536222468173,0.6169933673735544,-3.974512673710073e-05,-0.006441742948759661,0.0007473010364483059,0.6542340195468174,1864019.865,922.31
reference_train_scale,qwen2.5_7b,41,100000.0,3,0.23695154578774136,0.20761403931551464,0.029337506472226715,14.130791235963576,0.0,0.34293419578774137,10598.265,16.545
