variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,qwen2.5_7b,25,100000.0,0.6116758854959469,11070.71,11070.71
reference_train_scale,qwen2.5_7b,25,500000.0,0.5873412016234072,31274.135,31274.135
reference_train_scale,qwen2.5_7b,25,1000000.0,0.6029636831919993,57505.89,57505.89
reference_train_scale,qwen2.5_7b,25,5000000.0,0.645,225525.31,225525.31
reference_train_scale,qwen2.5_7b,25,10000000.0,0.6295703245063788,434163.88,434163.88
reference_train_scale,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_exp_open5_conf06,qwen2.5_7b,25,100000.0,0.5743187602090083,13025.44,13025.44
local_exp_open5_conf06,qwen2.5_7b,25,500000.0,0.5571115222531755,31764.805,31764.805
local_exp_open5_conf06,qwen2.5_7b,25,1000000.0,0.5718185877118817,60135.415,60135.415
local_exp_open5_conf06,qwen2.5_7b,25,5000000.0,0.6625,237562.23,237562.23000000004
local_exp_open5_conf06,qwen2.5_7b,25,10000000.0,0.64,443515.505,443515.505
local_exp_open5_conf06,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_rayleigh_open5_conf12,qwen2.5_7b,25,100000.0,0.5494567341100453,14024.49,14024.49
local_rayleigh_open5_conf12,qwen2.5_7b,25,500000.0,0.5646060764692854,35921.765,35921.76500000001
local_rayleigh_open5_conf12,qwen2.5_7b,25,1000000.0,0.5640718380240299,75711.23,75711.23
local_rayleigh_open5_conf12,qwen2.5_7b,25,5000000.0,0.6512521432823093,240188.715,240188.715
local_rayleigh_open5_conf12,qwen2.5_7b,25,10000000.0,0.6125,419942.025,419942.025
local_rayleigh_open5_conf12,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_rayleigh_open5_conf14,qwen2.5_7b,25,100000.0,0.5545390717360503,14625.585,14625.585
local_rayleigh_open5_conf14,qwen2.5_7b,25,500000.0,0.5614254220206601,46534.27,46534.27
local_rayleigh_open5_conf14,qwen2.5_7b,25,1000000.0,0.5555821386667386,86613.21,86613.21000000002
local_rayleigh_open5_conf14,qwen2.5_7b,25,5000000.0,0.6225,273297.735,273297.735
local_rayleigh_open5_conf14,qwen2.5_7b,25,10000000.0,0.6210138513467778,442219.625,442219.625
local_rayleigh_open5_conf14,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_rayleigh_open5_conf16,qwen2.5_7b,25,100000.0,0.5545825361573047,15925.795,15925.795
local_rayleigh_open5_conf16,qwen2.5_7b,25,500000.0,0.5609714904120326,53298.355,53298.355
local_rayleigh_open5_conf16,qwen2.5_7b,25,1000000.0,0.5538332570525563,98872.17,98872.17
local_rayleigh_open5_conf16,qwen2.5_7b,25,5000000.0,0.6118736308824645,300963.0,300963.0
local_rayleigh_open5_conf16,qwen2.5_7b,25,10000000.0,0.6244780749997164,465216.765,465216.765
local_rayleigh_open5_conf16,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_rayleigh_open5_conf18,qwen2.5_7b,25,100000.0,0.5767459942581659,16959.155,16959.155
local_rayleigh_open5_conf18,qwen2.5_7b,25,500000.0,0.5546982912762016,70026.405,70026.405
local_rayleigh_open5_conf18,qwen2.5_7b,25,1000000.0,0.584494642136434,109805.935,109805.935
local_rayleigh_open5_conf18,qwen2.5_7b,25,5000000.0,0.619543965257089,326696.86,326696.86
local_rayleigh_open5_conf18,qwen2.5_7b,25,10000000.0,0.6185723666157041,492758.215,492758.215
local_rayleigh_open5_conf18,qwen2.5_7b,25,50000000.0,0.5425,1830879.87,1830879.87
local_rayleigh_open5_conf20,qwen2.5_7b,25,100000.0,0.5996079336618345,18527.62,18527.62
local_rayleigh_open5_conf20,qwen2.5_7b,25,500000.0,0.5664603039464776,77977.59,77977.59
local_rayleigh_open5_conf20,qwen2.5_7b,25,1000000.0,0.5889752165527393,124624.05,124624.05
local_rayleigh_open5_conf20,qwen2.5_7b,25,5000000.0,0.615,347502.055,347502.055
local_rayleigh_open5_conf20,qwen2.5_7b,25,10000000.0,0.6225,522229.57,522229.57000000007
local_rayleigh_open5_conf20,qwen2.5_7b,25,50000000.0,0.5425,1831257.425,1831257.425
reference_train_scale,qwen2.5_7b,26,100000.0,0.5492809546564723,10150.855,10150.855
reference_train_scale,qwen2.5_7b,26,500000.0,0.6124087176656022,29236.855,29236.854999999996
reference_train_scale,qwen2.5_7b,26,1000000.0,0.6286422070780047,53210.105,53210.105
reference_train_scale,qwen2.5_7b,26,5000000.0,0.6225,260781.955,260781.95499999996
reference_train_scale,qwen2.5_7b,26,10000000.0,0.57,535919.44,535919.44
reference_train_scale,qwen2.5_7b,26,50000000.0,0.5225,2004264.875,2004264.875
local_exp_open5_conf06,qwen2.5_7b,26,100000.0,0.5217778146451155,12817.265,12817.265
