variant,generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,3,0.5705351855858105,0.48960979660948056,0.6514605745621405,8687.37,7272.637925957888,10102.102074042114,8687.37,7272.637925957891,10102.10207404211
local_exp_open5_conf06,gemma2_9b,500000.0,3,0.5889193447580402,0.45581500377208173,0.7220236857439987,28723.108333333337,26257.54794240076,31188.668724265914,28723.108333333337,26257.54794240076,31188.668724265914
local_exp_open5_conf06,gemma2_9b,1000000.0,3,0.5848092085497324,0.5497909434308634,0.6198274736686014,60029.16333333333,51946.2321742844,68112.09449238225,60029.16333333333,51946.2321742844,68112.09449238225
local_exp_open5_conf06,gemma2_9b,5000000.0,3,0.6202394915532999,0.5573790410342998,0.6830999420723001,248693.99333333332,236231.50509821658,261156.48156845005,248693.99333333332,236231.50509821656,261156.48156845008
local_exp_open5_conf06,gemma2_9b,10000000.0,3,0.6308333333333334,0.5787502991461583,0.6829163675205084,437411.00499999995,414583.3115487993,460238.6984512006,437411.00499999995,414583.3115487993,460238.6984512006
local_exp_open5_conf06,gemma2_9b,50000000.0,3,0.5141666666666667,0.4835317658018499,0.5448015675314833,1327387.9066666665,1117334.9404829806,1537440.8728503524,1327387.9066666665,1117334.9404829806,1537440.8728503524
local_exp_open5_conf06,llama3.1_8b,100000.0,3,0.5710793132260604,0.5679158639647283,0.5742427624873926,11241.613333333333,9737.374415564314,12745.852251102351,11241.613333333333,9737.374415564314,12745.852251102351
local_exp_open5_conf06,llama3.1_8b,500000.0,3,0.5583386559854194,0.43599609915494647,0.6806812128158924,28369.265,23909.66659578659,32828.86340421341,28369.265,23909.66659578659,32828.86340421341
local_exp_open5_conf06,llama3.1_8b,1000000.0,3,0.5664353711698958,0.4949282701504596,0.6379424721893321,54216.905,45804.342766647664,62629.467233352334,54216.905,45804.342766647664,62629.467233352334
local_exp_open5_conf06,llama3.1_8b,5000000.0,3,0.613274474394132,0.5448794622220781,0.6816694865661859,229666.06499999997,195838.12445174402,263494.0055482559,229666.06499999997,195838.12445174402,263494.0055482559
