variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,llama3.2_3b,22,100000.0,0.6438860073663026,10526.62,10526.62
reference_train_scale,llama3.2_3b,22,500000.0,0.4999373496493517,33732.49,33732.49
reference_train_scale,llama3.2_3b,22,1000000.0,0.5914262297686637,59419.2,59419.19999999999
reference_train_scale,llama3.2_3b,22,5000000.0,0.6125,244724.045,244724.045
reference_train_scale,llama3.2_3b,22,10000000.0,0.6201114926506862,471649.255,471649.25500000006
reference_train_scale,llama3.2_3b,22,50000000.0,0.525,1684010.31,1684010.31
local_exp_open5_conf06,llama3.2_3b,22,100000.0,0.5946021345047003,11554.825,11554.825
local_exp_open5_conf06,llama3.2_3b,22,500000.0,0.5608540228442326,29100.765,29100.765
local_exp_open5_conf06,llama3.2_3b,22,1000000.0,0.605,55486.385,55486.385
local_exp_open5_conf06,llama3.2_3b,22,5000000.0,0.6142873691256916,252099.29,252099.29
local_exp_open5_conf06,llama3.2_3b,22,10000000.0,0.615,478632.02,478632.02
local_exp_open5_conf06,llama3.2_3b,22,50000000.0,0.525,1684151.845,1684151.845
local_rayleigh_open5_conf06,llama3.2_3b,22,100000.0,0.5752826298163051,10816.145,10816.145
local_rayleigh_open5_conf06,llama3.2_3b,22,500000.0,0.5189481862645201,24538.835,24538.835
local_rayleigh_open5_conf06,llama3.2_3b,22,1000000.0,0.5075,55324.61,55324.61
local_rayleigh_open5_conf06,llama3.2_3b,22,5000000.0,0.5825,200603.56,200603.56
local_rayleigh_open5_conf06,llama3.2_3b,22,10000000.0,0.6125,369520.495,369520.49499999994
local_rayleigh_open5_conf06,llama3.2_3b,22,50000000.0,0.5225,1675090.59,1675090.59
local_rayleigh_open5_conf08,llama3.2_3b,22,100000.0,0.590543155584228,11205.485,11205.485
local_rayleigh_open5_conf08,llama3.2_3b,22,500000.0,0.5611848507234564,24363.23,24363.23
local_rayleigh_open5_conf08,llama3.2_3b,22,1000000.0,0.5172816563888757,66513.89,66513.89
local_rayleigh_open5_conf08,llama3.2_3b,22,5000000.0,0.5942940384754354,220242.725,220242.725
local_rayleigh_open5_conf08,llama3.2_3b,22,10000000.0,0.6275,386951.81,386951.81
local_rayleigh_open5_conf08,llama3.2_3b,22,50000000.0,0.525,1677062.735,1677062.735
local_rayleigh_open5_conf10,llama3.2_3b,22,100000.0,0.5861615366532044,11749.31,11749.31
local_rayleigh_open5_conf10,llama3.2_3b,22,500000.0,0.5673813972529405,28520.91,28520.91
local_rayleigh_open5_conf10,llama3.2_3b,22,1000000.0,0.55,65724.45,65724.45
local_rayleigh_open5_conf10,llama3.2_3b,22,5000000.0,0.596664243863191,245441.765,245441.76500000004
local_rayleigh_open5_conf10,llama3.2_3b,22,10000000.0,0.6325,402790.985,402790.9849999999
local_rayleigh_open5_conf10,llama3.2_3b,22,50000000.0,0.525,1678149.365,1678149.365
local_rayleigh_open5_conf12,llama3.2_3b,22,100000.0,0.5818145204958411,11984.965,11984.965
local_rayleigh_open5_conf12,llama3.2_3b,22,500000.0,0.5307369942196531,36326.195,36326.195
local_rayleigh_open5_conf12,llama3.2_3b,22,1000000.0,0.5750001498490611,73195.665,73195.665
local_rayleigh_open5_conf12,llama3.2_3b,22,5000000.0,0.6046789202088548,271834.315,271834.315
local_rayleigh_open5_conf12,llama3.2_3b,22,10000000.0,0.6325,421652.515,421652.515
local_rayleigh_open5_conf12,llama3.2_3b,22,50000000.0,0.525,1680014.475,1680014.475
local_rayleigh_open5_conf14,llama3.2_3b,22,100000.0,0.5748429035180631,12849.42,12849.420000000002
local_rayleigh_open5_conf14,llama3.2_3b,22,500000.0,0.5415910626519601,40275.69,40275.69
local_rayleigh_open5_conf14,llama3.2_3b,22,1000000.0,0.5986045285203645,80499.955,80499.955
local_rayleigh_open5_conf14,llama3.2_3b,22,5000000.0,0.62,299563.81,299563.81
local_rayleigh_open5_conf14,llama3.2_3b,22,10000000.0,0.6277515556983081,442503.955,442503.955
local_rayleigh_open5_conf14,llama3.2_3b,22,50000000.0,0.525,1685873.83,1685873.83
reference_train_scale,llama3.2_3b,23,100000.0,0.5761918266997058,10452.61,10452.61
reference_train_scale,llama3.2_3b,23,500000.0,0.5510120147117806,35202.435,35202.435
reference_train_scale,llama3.2_3b,23,1000000.0,0.5607038713630391,58373.78,58373.78
reference_train_scale,llama3.2_3b,23,5000000.0,0.6560287883095788,225215.83,225215.83
reference_train_scale,llama3.2_3b,23,10000000.0,0.6440037667335105,436852.975,436852.9749999999
reference_train_scale,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_exp_open5_conf06,llama3.2_3b,23,100000.0,0.555041995766868,10697.78,10697.78
local_exp_open5_conf06,llama3.2_3b,23,500000.0,0.6077739386734037,29252.69,29252.69
local_exp_open5_conf06,llama3.2_3b,23,1000000.0,0.5957990012484394,53912.275,53912.275
local_exp_open5_conf06,llama3.2_3b,23,5000000.0,0.6625,224057.08,224057.08
local_exp_open5_conf06,llama3.2_3b,23,10000000.0,0.6375,439012.47,439012.47
local_exp_open5_conf06,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_rayleigh_open5_conf06,llama3.2_3b,23,100000.0,0.5502214650766609,10138.745,10138.745000000003
local_rayleigh_open5_conf06,llama3.2_3b,23,500000.0,0.5508663829538386,20708.89,20708.89
local_rayleigh_open5_conf06,llama3.2_3b,23,1000000.0,0.5416123779804769,45326.65,45326.65
local_rayleigh_open5_conf06,llama3.2_3b,23,5000000.0,0.6010507706536804,181582.565,181582.565
local_rayleigh_open5_conf06,llama3.2_3b,23,10000000.0,0.635,350628.465,350628.465
local_rayleigh_open5_conf06,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_rayleigh_open5_conf08,llama3.2_3b,23,100000.0,0.5623622038098187,10477.06,10477.06
local_rayleigh_open5_conf08,llama3.2_3b,23,500000.0,0.5880394740938288,25427.38,25427.38
local_rayleigh_open5_conf08,llama3.2_3b,23,1000000.0,0.5581573348766312,56107.105,56107.105
local_rayleigh_open5_conf08,llama3.2_3b,23,5000000.0,0.61,200415.41,200415.41
local_rayleigh_open5_conf08,llama3.2_3b,23,10000000.0,0.6223675128221776,367593.735,367593.7349999999
local_rayleigh_open5_conf08,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_rayleigh_open5_conf10,llama3.2_3b,23,100000.0,0.5581386350730473,10789.955,10789.955
local_rayleigh_open5_conf10,llama3.2_3b,23,500000.0,0.5856346208504999,33408.92,33408.92
local_rayleigh_open5_conf10,llama3.2_3b,23,1000000.0,0.5387023536763175,69789.605,69789.605
local_rayleigh_open5_conf10,llama3.2_3b,23,5000000.0,0.6325,222838.29,222838.29
local_rayleigh_open5_conf10,llama3.2_3b,23,10000000.0,0.615,382249.39,382249.39
local_rayleigh_open5_conf10,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_rayleigh_open5_conf12,llama3.2_3b,23,100000.0,0.5697960611222962,11193.965,11193.965
local_rayleigh_open5_conf12,llama3.2_3b,23,500000.0,0.6213929397733099,34043.415,34043.41499999999
local_rayleigh_open5_conf12,llama3.2_3b,23,1000000.0,0.5734214002050853,72077.795,72077.79499999998
local_rayleigh_open5_conf12,llama3.2_3b,23,5000000.0,0.6205724141761424,248917.57,248917.57
local_rayleigh_open5_conf12,llama3.2_3b,23,10000000.0,0.6252178026716586,402384.48,402384.48
local_rayleigh_open5_conf12,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
local_rayleigh_open5_conf14,llama3.2_3b,23,100000.0,0.5603786501631065,12348.13,12348.129999999997
local_rayleigh_open5_conf14,llama3.2_3b,23,500000.0,0.5787748013419989,46889.585,46889.585
local_rayleigh_open5_conf14,llama3.2_3b,23,1000000.0,0.5585393326493471,85466.04,85466.04
local_rayleigh_open5_conf14,llama3.2_3b,23,5000000.0,0.647028477170273,265668.41,265668.41
local_rayleigh_open5_conf14,llama3.2_3b,23,10000000.0,0.62,425590.86,425590.86
local_rayleigh_open5_conf14,llama3.2_3b,23,50000000.0,0.51,1777523.115,1777523.115
reference_train_scale,llama3.2_3b,24,100000.0,0.5986494746318972,10001.595,10001.595
