variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,llama3.2_3b,22,0.3,50000.0,True,True,0.29676097491821485,0.2938354036661652,-0.32390250817851407,-0.6164596333834815,7635.79,9513.76,19.739514135315588
reference_train_scale,llama3.2_3b,22,0.35,75000.0,True,True,0.31274908098508314,0.3417771120151886,-3.725091901491684,-0.8222887984811356,9070.75,15460.805,41.33067456707461
reference_train_scale,llama3.2_3b,22,0.4,500000.0,True,True,0.4084589746253354,0.38012218762854816,0.8458974625335403,-1.9877812371451864,33732.49,28965.83,-16.456148503253647
reference_train_scale,llama3.2_3b,22,0.45,1000000.0,True,True,0.4819423448615991,0.4333435173261167,3.194234486159908,-1.665648267388331,59419.2,52029.71,-14.202443181020993
reference_train_scale,llama3.2_3b,22,0.5,2000000.0,True,True,0.5269191636841356,0.4932021383519406,2.6919163684135605,-0.67978616480594,107968.335,100187.28,-7.766509880296188
reference_train_scale,llama3.2_3b,22,0.55,5000000.0,True,True,0.5877209081194592,0.55128030847494,3.7720908119459162,0.1280308474939984,244724.045,221301.48,-10.584007391184189
reference_train_scale,llama3.2_3b,22,0.6,10000000.0,True,True,0.6227947606967064,0.5955409599111392,2.2794760696706384,-0.44590400888607773,471649.255,440716.185,-7.018818698478253
local_exp_open5_conf06,llama3.2_3b,22,0.3,50000.0,True,True,0.30850432124291577,0.2938354036661652,0.850432124291578,-0.6164596333834815,10037.615,9513.76,-5.506287734817775
local_exp_open5_conf06,llama3.2_3b,22,0.35,200000.0,True,True,0.3529672935519285,0.3417771120151886,0.29672935519285404,-0.8222887984811356,13647.895,15460.805,11.725844805622993
local_exp_open5_conf06,llama3.2_3b,22,0.4,500000.0,True,True,0.41727556537694144,0.38012218762854816,1.7275565376941415,-1.9877812371451864,29100.765,28965.83,-0.46584199382513003
local_exp_open5_conf06,llama3.2_3b,22,0.45,1000000.0,True,True,0.4863344836868314,0.4333435173261167,3.6334483686831396,-1.665648267388331,55486.385,52029.71,-6.643656095719163
local_exp_open5_conf06,llama3.2_3b,22,0.5,2000000.0,True,True,0.5350627150315213,0.4932021383519406,3.506271503152125,-0.67978616480594,106985.15,100187.28,-6.785162747207026
local_exp_open5_conf06,llama3.2_3b,22,0.55,5000000.0,True,True,0.5933545200662143,0.55128030847494,4.335452006621421,0.1280308474939984,252099.29,221301.48,-13.916676020422457
local_exp_open5_conf06,llama3.2_3b,22,0.6,10000000.0,True,True,0.6245684906251487,0.5955409599111392,2.4568490625148764,-0.44590400888607773,478632.02,440716.185,-8.603231805521283
local_rayleigh_open5_conf06,llama3.2_3b,22,0.3,50000.0,True,True,0.3021847918088617,0.2938354036661652,0.2184791808861719,-0.6164596333834815,9730.355,9513.76,-2.2766498208909973
local_rayleigh_open5_conf06,llama3.2_3b,22,0.35,500000.0,True,True,0.3887913020216839,0.3417771120151886,3.8791302021683904,-0.8222887984811356,24538.835,15460.805,-58.716412243735036
local_rayleigh_open5_conf06,llama3.2_3b,22,0.4,500000.0,True,True,0.3887913020216839,0.38012218762854816,-1.120869797831614,-1.9877812371451864,24538.835,28965.83,15.283508188786588
local_rayleigh_open5_conf06,llama3.2_3b,22,0.45,1000000.0,True,True,0.45896196141586165,0.4333435173261167,0.8961961415861641,-1.665648267388331,55324.61,52029.71,-6.332727974074815
