variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
reference_train_scale,llama3.1_8b,16,100000.0,0.5816568792139357,11517.98,11517.98
reference_train_scale,llama3.1_8b,16,500000.0,0.5651119238132639,34330.86,34330.86
reference_train_scale,llama3.1_8b,16,1000000.0,0.6276894289188683,62010.21,62010.21
reference_train_scale,llama3.1_8b,16,5000000.0,0.655,238184.67,238184.67
reference_train_scale,llama3.1_8b,16,10000000.0,0.6417350272275237,397143.055,397143.055
reference_train_scale,llama3.1_8b,16,50000000.0,0.505,1877377.74,1877377.74
local_exp_open5_conf06,llama3.1_8b,16,100000.0,0.5484519985272799,11971.505,11971.505
local_exp_open5_conf06,llama3.1_8b,16,500000.0,0.5632927170476484,26498.125,26498.125
local_exp_open5_conf06,llama3.1_8b,16,1000000.0,0.5661437456885596,52806.345,52806.345
local_exp_open5_conf06,llama3.1_8b,16,5000000.0,0.66,236575.355,236575.355
local_exp_open5_conf06,llama3.1_8b,16,10000000.0,0.6469468152549831,395674.255,395674.255
local_exp_open5_conf06,llama3.1_8b,16,50000000.0,0.505,1877377.74,1877377.74
local_halfnormal_open5_conf02,llama3.1_8b,16,100000.0,0.4912468453684727,13395.19,13395.19
local_halfnormal_open5_conf02,llama3.1_8b,16,500000.0,0.5032170179430832,30198.64,30198.64
local_halfnormal_open5_conf02,llama3.1_8b,16,1000000.0,0.5034996892194463,57816.685,57816.685
local_halfnormal_open5_conf02,llama3.1_8b,16,5000000.0,0.62,326864.765,326864.765
local_halfnormal_open5_conf02,llama3.1_8b,16,10000000.0,0.6453927929011047,640864.075,640864.075
local_halfnormal_open5_conf02,llama3.1_8b,16,50000000.0,0.505,1894079.73,1894079.73
local_halfnormal_open5_conf04,llama3.1_8b,16,100000.0,0.5019625973079106,16114.64,16114.64
local_halfnormal_open5_conf04,llama3.1_8b,16,500000.0,0.49931043699656597,40611.075,40611.075
local_halfnormal_open5_conf04,llama3.1_8b,16,1000000.0,0.5125,80636.885,80636.885
local_halfnormal_open5_conf04,llama3.1_8b,16,5000000.0,0.64,437694.135,437694.135
local_halfnormal_open5_conf04,llama3.1_8b,16,10000000.0,0.6475,708794.5,708794.5
local_halfnormal_open5_conf04,llama3.1_8b,16,50000000.0,0.505,1898950.295,1898950.295
local_halfnormal_open5_conf06,llama3.1_8b,16,100000.0,0.4832341150720677,18366.47,18366.47
local_halfnormal_open5_conf06,llama3.1_8b,16,500000.0,0.5225,51283.905,51283.905
local_halfnormal_open5_conf06,llama3.1_8b,16,1000000.0,0.57,102651.565,102651.565
local_halfnormal_open5_conf06,llama3.1_8b,16,5000000.0,0.6525,527416.135,527416.135
local_halfnormal_open5_conf06,llama3.1_8b,16,10000000.0,0.6392781421094496,807988.97,807988.97
local_halfnormal_open5_conf06,llama3.1_8b,16,50000000.0,0.505,1910788.375,1910788.375
local_halfnormal_open5_conf08,llama3.1_8b,16,100000.0,0.491987116046173,19441.03,19441.03
local_halfnormal_open5_conf08,llama3.1_8b,16,500000.0,0.5270394701330311,62856.245,62856.245
local_halfnormal_open5_conf08,llama3.1_8b,16,1000000.0,0.615,131007.665,131007.665
local_halfnormal_open5_conf08,llama3.1_8b,16,5000000.0,0.65,635730.435,635730.435
