variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,llama3.1_8b,16,100000.0,4,0.23024526210806393,0.18919996209661905,0.04104530001144488,21.69413754453302,0.0,0.34542506210806395,11517.98,16.01
reference_train_scale,llama3.1_8b,16,500000.0,28,0.35380804704198066,0.32547026010244395,0.028337786939536702,8.706720832378723,0.0,0.42246976704198064,34330.86,58.625
reference_train_scale,llama3.1_8b,16,1000000.0,39,0.42253578220073323,0.39296544360221913,0.0295703385985141,7.524920849897121,0.0,0.48454599220073324,62010.21,108.94
reference_train_scale,llama3.1_8b,16,5000000.0,144,0.544746106008578,0.4949709963485987,0.04977510965997928,10.056166932440544,0.0,0.592383040008578,238184.67,322.35
reference_train_scale,llama3.1_8b,16,10000000.0,482,0.5722078259676866,0.527721158249521,0.04448666771816556,8.42995718908262,0.0,0.6119221314676866,397143.055,416.355
reference_train_scale,llama3.1_8b,16,50000000.0,730,0.6256540007250847,0.6213878654561955,0.004266135268889193,0.6865494976727917,0.0,0.6632015555250849,1877377.74,928.455
local_exp_open5_conf06,llama3.1_8b,16,100000.0,4,0.21903648687748806,0.18919996209661905,0.02983652478086901,15.769836552944097,-0.01120877523057583,0.33875153687748805,11971.505,11.065
local_exp_open5_conf06,llama3.1_8b,16,500000.0,28,0.3527502095317001,0.32547026010244395,0.027279949429256156,8.381702654082622,-0.0010578375102804495,0.4057464595317002,26498.125,54.685
local_exp_open5_conf06,llama3.1_8b,16,1000000.0,39,0.41860756455732895,0.39296544360221913,0.025642120955109815,6.525286478132708,-0.003928217643404337,0.4714139095573289,52806.345,106.345
local_exp_open5_conf06,llama3.1_8b,16,5000000.0,144,0.5438355330198144,0.4949709963485987,0.04886453667121565,9.872202014196663,-0.0009105729887635897,0.5911506040198143,236575.355,322.095
local_exp_open5_conf06,llama3.1_8b,16,10000000.0,482,0.5713447085891518,0.527721158249521,0.04362355033963072,8.266401613369519,-0.000863117378534822,0.6109121340891518,395674.255,416.43
local_exp_open5_conf06,llama3.1_8b,16,50000000.0,730,0.6256540007250847,0.6213878654561955,0.004266135268889193,0.6865494976727917,0.0,0.6632015555250849,1877377.74,928.455
local_halfnormal_open5_conf02,llama3.1_8b,16,100000.0,4,0.20182044185975023,0.18919996209661905,0.012620479763131187,6.6704451857586875,-0.028424820248313675,0.33577234185975025,13395.19,13.06
local_halfnormal_open5_conf02,llama3.1_8b,16,500000.0,28,0.334828658422492,0.32547026010244395,0.009358398320048034,2.8753466805545966,-0.018979388619488686,0.3952259384224919,30198.64,64.1
local_halfnormal_open5_conf02,llama3.1_8b,16,1000000.0,39,0.3988380183781197,0.39296544360221913,0.005872574775900585,1.494425240567749,-0.02369776382261353,0.45665470337811975,57816.685,118.91
local_halfnormal_open5_conf02,llama3.1_8b,16,5000000.0,144,0.5296048327408941,0.4949709963485987,0.03463383639229539,6.997144610045683,-0.01514127326768386,0.5949777857408941,326864.765,363.47
local_halfnormal_open5_conf02,llama3.1_8b,16,10000000.0,482,0.56535550281543,0.527721158249521,0.03763434456590897,7.131482976870604,-0.006852323152256555,0.62944191031543,640864.075,501.29
local_halfnormal_open5_conf02,llama3.1_8b,16,50000000.0,730,0.6264437719449535,0.6213878654561955,0.0050559064887579774,0.8136474446674549,0.0007897712198686915,0.6643253665449536,1894079.73,931.425
local_halfnormal_open5_conf04,llama3.1_8b,16,100000.0,4,0.18713686104172567,0.18919996209661905,-0.0020631010548933792,-1.0904341798122623,-0.04310840106633829,0.34828326104172563,16114.64,19.5
local_halfnormal_open5_conf04,llama3.1_8b,16,500000.0,28,0.33517209499247763,0.32547026010244395,0.009701834890033678,2.980866788560024,-0.01863595204950301,0.41639424499247757,40611.075,72.995
local_halfnormal_open5_conf04,llama3.1_8b,16,1000000.0,39,0.40246220514945236,0.39296544360221913,0.009496761547233223,2.416691264295076,-0.020073577051280888,0.48309909014945235,80636.885,131.205
local_halfnormal_open5_conf04,llama3.1_8b,16,5000000.0,144,0.525694796633021,0.4949709963485987,0.030723800284422287,6.207192039750163,-0.019051309375556946,0.6132336236330209,437694.135,402.375
local_halfnormal_open5_conf04,llama3.1_8b,16,10000000.0,482,0.5626979437387825,0.527721158249521,0.03497678548926142,6.627891442761413,-0.009509882228904152,0.6335773937387824,708794.5,525.73
local_halfnormal_open5_conf04,llama3.1_8b,16,50000000.0,730,0.6275768130839582,0.6213878654561955,0.006188947627762675,0.9959878478185318,0.0019228123588733651,0.6655558189839581,1898950.295,932.15
local_halfnormal_open5_conf06,llama3.1_8b,16,100000.0,4,0.17404787421469214,0.18919996209661905,-0.015152087881926901,-8.008504713224605,-0.05619738789337178,0.35771257421469216,18366.47,24.86
local_halfnormal_open5_conf06,llama3.1_8b,16,500000.0,28,0.3349589977980494,0.32547026010244395,0.009488737695605431,2.9153931583852817,-0.018849049243931278,0.4375268077980493,51283.905,79.565
local_halfnormal_open5_conf06,llama3.1_8b,16,1000000.0,39,0.4064484321085145,0.39296544360221913,0.013482988506295368,3.4310875741897493,-0.016087350092218754,0.5090999971085145,102651.565,143.035
local_halfnormal_open5_conf06,llama3.1_8b,16,5000000.0,144,0.5149493346189888,0.4949709963485987,0.01997833827039014,4.0362644312031115,-0.02979677138958916,0.6204325616189887,527416.135,437.245
local_halfnormal_open5_conf06,llama3.1_8b,16,10000000.0,482,0.5589990722370414,0.527721158249521,0.031277913987520334,5.9269774384773255,-0.013208753730645298,0.6397979692370412,807988.97,558.795
local_halfnormal_open5_conf06,llama3.1_8b,16,50000000.0,730,0.627417243228464,0.6213878654561955,0.006029377772268529,0.9703082579255111,0.0017632425033792865,0.665633010728464,1910788.375,933.9
