variant,split,utility_divisor,reservation_divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_accuracy,fixed_chars,fixed_n
reference_profiled,75,100000.0,70000.0,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,0.5,0.20049148313492063,0.17232473214285712,0.028166750992063505,16.345158725512068,0.0,0.23958333333333334,3909.18501984127,7.311507936507937,0.20982142857142858,3749.6696428571427,7
reference_profiled,75,200000.0,70000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.22175991319444446,0.20862418898809523,0.01313572420634923,6.296357229745204,0.0,0.2490079365079365,5449.6046626984125,9.922619047619047,0.23809523809523808,5894.209821428572,11
reference_profiled,75,300000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.23083130125661377,0.22146850694444448,0.009362794312169298,4.2275962579717765,0.0,0.25992063492063494,8726.80009920635,16.60763888888889,0.25,8559.447916666666,16
reference_profiled,75,400000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.23810363467261908,0.23423138764880955,0.003872247023809533,1.6531717045604981,0.0,0.25992063492063494,8726.80009920635,16.60763888888889,0.2638888888888889,11863.000496031746,22
reference_profiled,75,500000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.24955199900793648,0.23737201984126982,0.01217997916666666,5.131177286527446,0.0,0.27529761904761907,12872.81001984127,23.75595238095238,0.26884920634920634,15738.593253968254,29
reference_profiled,75,600000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.25384293568121696,0.23590348792989418,0.01793944775132278,7.604570796619178,0.0,0.27529761904761907,12872.81001984127,23.75595238095238,0.2693452380952381,20065.05009920635,37
reference_profiled,75,700000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.25524860615079364,0.24054905187074832,0.014699554280045324,6.1108344288730265,0.0,0.28521825396825395,20978.753472222223,39.62400793650794,0.27529761904761907,24323.997023809523,45
reference_profiled,75,800000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2589948121279762,0.24420851066468255,0.014786301463293655,6.054785487634543,0.0,0.28521825396825395,20978.753472222223,39.62400793650794,0.279265873015873,28045.88988095238,52
reference_profiled,75,900000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.26190852788800706,0.24382503527336863,0.01808349261463843,7.416585665357871,0.0,0.28521825396825395,20978.753472222223,39.62400793650794,0.27976190476190477,32343.18253968254,60
reference_profiled,75,1000000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.26423950049603173,0.24560710416666665,0.018632396329365086,7.586261151762662,0.0,0.28521825396825395,20978.753472222223,39.62400793650794,0.28174603174603174,36138.92757936508,67
global_exp_q75_conf08_085x,75,100000.0,85000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.19536307539682538,0.17232473214285712,0.023038343253968252,13.369144966881176,-0.005128407738095238,0.24851190476190477,5314.882936507936,10.481150793650794,0.20982142857142858,3749.6696428571427,7
global_exp_q75_conf08_085x,75,200000.0,170000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2185830431547619,0.20862418898809523,0.00995885416666667,4.773585563098321,-0.0031768700396825403,0.2569444444444444,7672.280257936508,15.037202380952381,0.23809523809523808,5894.209821428572,11
global_exp_q75_conf08_085x,75,300000.0,255000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2320519708994709,0.22146850694444448,0.010583463955026434,4.778767013443272,0.001220669642857143,0.2638888888888889,9551.075396825398,18.78968253968254,0.25,8559.447916666666,16
global_exp_q75_conf08_085x,75,400000.0,340000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24485612971230158,0.23423138764880955,0.010624742063492038,4.536002698076505,0.006752495039682538,0.2728174603174603,11184.532242063493,22.017857142857142,0.2638888888888889,11863.000496031746,22
global_exp_q75_conf08_085x,75,500000.0,425000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24859253075396823,0.23737201984126982,0.011220510912698406,4.726972842124163,-0.0009594682539682542,0.27380952380952384,12608.496527777777,24.893849206349206,0.26884920634920634,15738.593253968254,29
global_exp_q75_conf08_085x,75,600000.0,510000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2535382291666667,0.23590348792989418,0.0176347412367725,7.4754050444617395,-0.000304706514550264,0.2767857142857143,13948.49107142857,27.610119047619047,0.2693452380952381,20065.05009920635,37
global_exp_q75_conf08_085x,75,700000.0,595000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2580028691893424,0.24054905187074832,0.017453817318594078,7.2558246157512825,0.0027542630385487526,0.27976190476190477,15231.32490079365,30.146825396825395,0.27529761904761907,24323.997023809523,45
global_exp_q75_conf08_085x,75,800000.0,680000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2611817974950397,0.24420851066468255,0.016973286830357176,6.95032568036207,0.0021869853670634922,0.28174603174603174,16451.38740079365,32.67063492063492,0.279265873015873,28045.88988095238,52
