split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture
55,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30361473905560654,0.3048780487804878,3154.0914634146343,,,3154.0914634146343,0.19047619047619047,0.37417614665033416,2673.6071428571427,5.1398809523809526,-5.952380952380953,5,True,0.25695085252384303,2418.6120903201218,0.2085789081131646,2792.7460007440477,4.266011225337495,4,0.19798543920101214,2234.196800595238,True,0.7509248724821671,-19.667485968328137,output_characters,False,False
55,train_selected_ucb,0.3,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30361473905560654,0.3048780487804878,3154.0914634146343,,,3154.0914634146343,0.19047619047619047,0.37417614665033416,2673.6071428571427,5.1398809523809526,-10.952380952380953,12,True,0.3020879576905299,5804.669016768293,0.24563447117567808,6702.590401785714,60.11083801055728,4,0.19798543920101214,2234.196800595238,True,0.7509248724821671,-19.667485968328137,output_characters,False,False
55,train_selected_ucb,0.35,0.0,True,,0,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35365853658536583,0.39253808268433715,0.35365853658536583,21697.60975609756,,,21697.60975609756,0.24404761904761904,0.49516243538017857,14161.973214285714,27.68452380952381,-10.595238095238093,40,True,0.3505288876933319,19348.896722560974,0.2897884904897648,22341.96800595238,36.61268689261099,12,0.24563447117567808,6702.590401785714,True,0.15868521280590353,-111.29104369129674,output_characters,False,False
56,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2829862874796069,0.2865853658536585,3520.2926829268295,,,3520.2926829268295,0.2619047619047619,0.2809739169446403,3125.2113095238096,6.9375,1.1904761904761918,7,True,0.2539151723515394,3765.0713128810976,0.25366013694487644,3539.854166666667,11.713557610575501,9,0.2648863650262249,4551.241071428572,True,0.29816031214630057,31.332767030447606,output_characters,False,False
56,train_selected_ucb,0.3,0.0,True,,0,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30759621669708986,0.3048780487804878,5172.969512195122,,,5172.969512195122,0.29464285714285715,0.30109118746642355,4833.571428571428,10.06547619047619,-0.5357142857142838,16,True,0.3010892459904796,8605.877286585366,0.2853754287604068,8091.0952380952385,40.26060395614226,22,0.2948559189503751,11125.255952380952,True,0.021306180751795578,56.55316651355801,output_characters,False,False
56,train_selected_ucb,0.35,0.0,True,,0,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38257145112281726,0.3719512195121951,20297.98780487805,,,20297.98780487805,0.31845238095238093,0.36166697009387244,18553.97619047619,40.00297619047619,-3.1547619047619047,39,True,0.3501208763171199,20976.82588605183,0.3111501189590283,19722.044642857145,5.922653931340738,50,0.31850680764305916,25284.672619047622,True,0.005442669067823314,26.619670066445774,output_characters,False,False
57,train_selected_ucb,0.25,0.0,True,,0,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.3075224519673588,0.25609756097560976,16603.85975609756,,,16603.85975609756,0.4107142857142857,0.2925709589636021,15032.306547619048,34.17857142857143,16.07142857142857,61,True,0.2502008115364748,34012.419636051825,0.42123165024720827,29673.419363839286,49.34083476089795,49,0.4113987273268431,23836.025390625,True,0.06844416125574293,36.93450857989337,output_characters,False,False
57,train_selected_ucb,0.3,0.0,False,target_unattainable_cheapest_maximum_accuracy,0,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2682926829268293,0.32782410442578525,0.2682926829268293,29902.30487804878,,,29902.30487804878,0.43154761904761907,0.3129803664559942,26873.818452380954,62.461309523809526,13.154761904761909,275,True,0.30014324982842755,153334.6786871189,0.47132819362929534,133773.6118861607,79.91097192228752,79,0.4317764697434396,38429.51032366072,True,0.022885069582051498,30.069838969988183,output_characters,False,False
57,train_selected_ucb,0.35,0.0,False,target_unattainable_cheapest_maximum_accuracy,0,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2682926829268293,0.32782410442578525,0.2682926829268293,29902.30487804878,,,29902.30487804878,0.43154761904761907,0.3129803664559942,26873.818452380954,62.461309523809526,8.154761904761909,512,False,0.3248431224589792,285481.2926829268,0.48322057223976794,249062.14285714287,89.2099946848224,79,0.4317764697434396,38429.51032366072,True,0.022885069582051498,30.069838969988183,output_characters,False,False
58,train_selected_ucb,0.25,0.0,True,,0,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.2409918020485543,0.2621951219512195,5717.90243902439,,,5717.90243902439,0.3244047619047619,0.21243938432939882,6116.544642857143,12.354166666666666,7.440476190476192,16,True,0.2517460821791731,8109.371951219512,0.3337680060290361,8575.779017857143,28.676512884476082,13,0.3258184701892182,6967.820452008928,True,0.14137082844563054,12.217246627047482,output_characters,False,False
