split,target_accuracy,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,eligible
95,0.25,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25,0.25882265413141686,0.2619047619047619,2387.2088414634145,0.2619047619047619,2892.9258127298463,True
95,0.25,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2530487804878049,0.2673743101816448,0.2702380952380953,2700.0213414634145,0.2702380952380953,3488.261204502811,True
95,0.25,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2606707317073171,0.2727106761343255,0.28154761904761905,3173.1341463414633,0.28154761904761905,4198.70066547771,True
95,0.25,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25914634146341464,0.2782159529142474,0.28809523809523807,3721.112804878049,0.28809523809523807,5076.893788641759,True
95,0.25,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2652439024390244,0.2826428520055838,0.2988095238095238,4462.943597560976,0.2988095238095238,6175.559636136172,True
95,0.25,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2850446559227764,0.30773809523809526,5327.745426829269,0.30773809523809526,7434.221686361343,True
95,0.25,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.28995589371713715,0.3095238095238095,6434.161585365854,0.3095238095238095,8989.34939618774,True
95,0.25,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2728658536585366,0.29277799745188393,0.3119047619047619,7734.801829268293,0.3119047619047619,10824.830909938366,True
95,0.25,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27134146341463417,0.2946818556740367,0.31309523809523815,9263.364329268292,0.31309523809523815,13207.564554625482,True
95,0.25,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.2980037484356892,0.31845238095238093,10946.850609756097,0.31845238095238093,15931.09138621613,True
95,0.25,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.29962487306619184,0.325,12256.001524390244,0.325,18237.34934232897,True
95,0.25,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2759146341463415,0.30116426635628596,0.33392857142857146,14674.038109756097,0.33392857142857146,22513.844782963257,True
