split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,matched_fixed_n_low,matched_fixed_n_high,matched_fixed_high_weight,matched_fixed_expected_n,matched_fixed_accuracy,matched_fixed_chars,matched_target_reached,matched_accuracy_error_pp,saving_vs_matched_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture,equal_quality_fixed_n_low,equal_quality_fixed_n_high,equal_quality_fixed_high_weight,equal_quality_fixed_expected_n,equal_quality_fixed_accuracy,equal_quality_fixed_chars,equal_quality_target_reached,equal_quality_accuracy_error_pp,saving_vs_equal_quality_fixed_pct
95,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25,0.25882265413141686,0.2619047619047619,2387.2088414634145,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24206349206349206,0.23632665289003976,2814.907738095238,6.106646825396825,-0.7936507936507936,12,True,0.2514273898985882,6656.842797256097,0.26400254168647475,5870.706473214285,52.05163550692664,8,0.24713130082517307,3913.8043154761904,True,0.5067808761681003,28.077453260389955,7,8,0.21823591599624095,7.218235915996241,0.24206349206349206,3531.345359768915,True,0.0,20.287951154133488,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.24797439814677397,3991.0514143736473,True,0.5910906083281903,29.469519536695632
95,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2850446559227764,0.30773809523809526,5327.745426829269,0.30773809523809526,7434.221686361343,7434.221686361343,0.28621031746031744,0.2775933301295233,6701.383432539683,14.780753968253968,-1.3789682539682546,202,True,0.30004649841925407,112056.85375381097,0.31965358735312727,98823.5589657738,93.21884022122637,27,0.2868962415411753,13209.089564732143,True,0.06859240808578804,49.26687869213812,26,27,0.17988180405617682,26.179881804056176,0.28621031746031744,12807.866797921457,True,0.0,47.67759894546041,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.27780740277753335,9100.825097910341,True,-0.8402914682784091,26.365100301967114
95,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.30953503887233985,0.3511904761904762,25502.594512195123,0.3511904761904762,40188.76546613821,40188.76546613821,0.3323412698412698,0.3186778472665287,33491.36755952381,78.45932539682539,-1.7658730158730152,512,False,0.3177192505281277,284025.2926829268,0.3292326964236759,250483.47619047618,86.62931061606002,511,0.3292326964236759,249994.25065104166,False,-0.3108573417593907,86.60314488341044,511,511,0.0,511.0,0.3292326964236759,249994.25065104166,False,-0.3108573417593907,86.60314488341044,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.3058669086129547,37890.822814152016,True,-2.6474361228315146,11.610872839069184
96,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2850609756097561,0.27455842821313203,0.2619047619047619,2712.2591463414633,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24553571428571427,0.2745417273688765,3222.5223214285716,6.028769841269841,-0.4464285714285726,6,True,0.2578688735990125,2846.262576219512,0.23162063195572657,3406.0320870535716,5.387787341244554,9,0.2492896733666875,5109.048130580357,True,0.37539590809732293,36.925191560829695,8,9,0.2516801441711879,8.251680144171187,0.24553571428571427,4684.2478905249845,True,0.0,31.20512840605861,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.245065248075248,4631.009654616402,True,-0.0470466210466286,30.414260349981912
96,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32164634146341464,0.3147132795569473,0.30773809523809526,6381.428353658536,0.30773809523809526,7434.221686361343,7434.221686361343,0.26884920634920634,0.3216768238884477,7796.170138888889,15.344742063492063,-3.115079365079365,14,True,0.3008597800961402,6641.279344512195,0.267698618788055,7947.408203125,1.902985984495461,15,0.2705660443423961,8515.080217633928,True,0.17168379931897793,8.442786918862419,14,15,0.4012615286243121,14.401261528624312,0.26884920634920634,8175.193143424095,True,0.0,4.636257491238385,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.2795834618568779,10560.126773012875,True,1.0734255507671542,26.17351754893195
96,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3902439024390244,0.3633955229565869,0.3511904761904762,35406.27286585366,0.3511904761904762,40188.76546613821,40188.76546613821,0.3179563492063492,0.3798982858794702,40094.40178571428,82.20833333333333,-3.204365079365079,54,True,0.35028592790758156,25616.36318597561,0.32762699201071965,30654.28878348214,-30.795407027413674,44,0.3179841252465407,24977.568638392855,True,0.0027776040191496154,-60.521635897280426,43,44,0.9741019394062863,43.97410193940628,0.3179563492063492,24962.867034163744,True,0.0,-60.61617333794946,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.34487094132675,43966.55118040768,True,2.6914592120400815,8.807034645052854
97,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.2867987914703093,0.2619047619047619,3533.699695121951,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.23511904761904762,0.296571726328859,3390.2361111111113,7.150297619047619,-1.4880952380952384,5,True,0.25657753046893955,2601.8859565548782,0.21776992974102846,2613.8357979910716,-29.703484576833844,9,0.2383055942789596,4704.904436383929,True,0.3186546659911971,27.94250856842565,8,9,0.1307660636848181,8.130766063684817,0.23511904761904762,4250.497480470066,True,0.0,20.239074915621824,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.23521850650951562,4264.680486865267,True,0.00994588904680016,20.504335048014628
97,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.3367490105626789,0.30773809523809526,8786.083841463415,0.30773809523809526,7434.221686361343,7434.221686361343,0.26537698412698413,0.353739720028196,8718.479662698413,17.80654761904762,-3.462301587301586,10,True,0.30339718410488964,5203.7719131097565,0.24142992273926986,5227.671595982143,-66.77558072697637,25,0.26591362348003267,13069.178989955359,True,0.05366393530485403,33.28976770920945,24,25,0.5145127997655443,24.514512799765544,0.26537698412698413,12815.382225267502,True,0.0,31.96863340128407,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.2580744997035273,9724.783566969672,True,-0.7302484423456823,10.347828281640947
97,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3704268292682927,0.39723183450384236,0.3511904761904762,54750.45579268293,0.3511904761904762,40188.76546613821,40188.76546613821,0.3209325396825397,0.42753835045484817,46343.61954365079,95.40873015873017,-2.906746031746027,26,True,0.35063724265310325,13529.806974085366,0.26698516387459265,13591.946149553572,-240.96382544285572,117,0.32131855624637407,61163.75767299108,True,0.03860165638343571,24.230261012698737,116,117,0.08345128931375995,116.08345128931374,0.32093253968253965,60684.61610687222,True,-5.551115123125783e-15,23.632013322726426,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.30291110828179474,40488.6421920835,True,-1.802143140074497,-14.460789580916305
98,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2686869842835598,0.2619047619047619,3476.6966463414633,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.2867063492063492,0.2093466927876858,3412.8333333333335,8.095238095238095,3.6706349206349187,7,True,0.2521115948250102,4081.141053734756,0.25964513324403377,3231.3098958333335,-5.6176424840609815,12,0.2890120569292651,5539.388392857143,True,0.23057077229159395,38.38970855096443,11,12,0.495525059252966,11.495525059252966,0.2867063492063492,5306.514840252025,True,0.0,35.68597401357223,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.268194510312004,3765.813191469794,True,-1.8511838894345212,9.373270531210098
